|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
360|Geralt|Hm?|Novigrad Poor Man 01|I ain't blind. Take the damn things. Let none say I ain't an honest man.|Novigrad Poor Man 01|I win.|Wygrałem.|Wygrałem.
361|Geralt|Who-- Who're you?|Dwarf Sleepy|Your friends asked me to find you, Ferenc and Ivo.|Geralt|I'm Geralt.|Jestem Geralt.|Jestem Geralt.
362|Verden Girl 03|No, that's why I'm here. She maybe tell you where she was going? Or anything else?|Geralt|I saw her go to the forest! With another lady! It was dawn almost - I'd gone out so I wouldn't wet the pallet.|Verden Boy 05|Hmm… She said turnips are healthy and we ought to eat 'em.|Hmm... Że trzeba jeść brukiew, bo zdrowa.|Hmm... Powiedziała, że rzepy są zdrowe i powinniśmy je jeść.
363|Triss|What I want? Hm, one more thing…|Geralt|This is how I see it. We're living in a small town, where everybody knows everybody else. You've got your practice… brewing potions, that sort of thing.|Geralt|Shhh. I know.|Tśśś. Wiem.|Cicho. Wiem.
364|Von Gratz|Very well, speak. But be quick. Reverend Nathaniel has come by for an inspection. He'll be here shortly.|Coroner|Let's examine something else.|Geralt|I sincerely doubt they bear any relation to the matter…|Wątpię, żeby miały coś wspólnego ze sprawą...|Wątpię szczerze, żeby miały cokolwiek wspólnego ze sprawą...
365|Novigrad Poor Man 47|Welcome, people!|Novigrad Poor Man 47|Hm.|Novigrad Poor Man 47|Ah, at your service.|A, kłaniam się.|Ach, do usług.
366|Geralt|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Baron|What would you have me do?! Sit on my arse and wait for her return? I'll send men, go with them myself, and we will pull her out!|Baron|Do what you will, but leave me out of this. You ask me? Wading through the swamp to mess with the Crones - just plain stupid.|Rób, co chcesz, ale mnie w to nie mieszaj. Choć moim zdaniem zapuszczanie się na bagna i igranie z wiedźmami to czysta głupota.|Rób co chcesz, ale mnie w to nie mieszaj. Pytasz mnie? Przedzieranie się przez bagna, żeby mieszać się w sprawy Kruków - czysta głupota.
367|Verden Old Man 01|Tree bark and green moss - sup on them, you'll live!|Verden Old Man 01|So the lord went back to his feast, drank and gorged hisself to sleep.|Verden Old Man 01|Your sobbin', whinin' - it's killed me appetite! Now begone!|Apetyt mi dławią wasze szlochy a lamenty. Wara!|Twoje szlochanie i użalanie się nad sobą - zabiło mi apetyt! Teraz idź stąd!
368|Geralt|Have you found the djinn?|Yennefer|Beautiful craftsmanship…|Geralt|No. But I found something that could be just as valuable to me, as the djinn is to you.|Nie... Ale mam coś, co dla mnie może być równie cenne jak dla ciebie dżinn.|Nie. Ale znalazłem coś, co może być dla mnie równie cenne, jak dżin dla ciebie.
369|Novigrad Rich Man 01|And when a man is thirsty, melancholy strangles his soul! Pour, Gascoigne!|Novigrad Rich Man 02|Care to drink with us? To poetry?|Novigrad Rich Man 02|Anywhere is good for that! It's simply a matter of summoning inspiration… Vodka, for example, is a great aid.|Każde miejsce jest dobre! Tylko trzeba rozbudzić w sobie natchnienie... Wódeczką na przykład.|Wszędzie jest dobrze do tego celu! To po prostu kwestia przywołania inspiracji... Wódka, na przykład, jest świetnym wsparciem.
370|Geralt|Once, they attacked Lars and me when we was fishin'. 'Fore we could drive 'em off they'd pulled Lars in the water and scratched me up so bad that… oi!|Skellige Fisherman 02|Hah! Plain to see you're no islander! With a hornwall's horn. One toot and they ploughin' scurry off so quick the waves rock your boat.|Navigator|Drive away the sirens? How's that work?|Jak niby odganiacie syreny?|Jak odpędzić syreny? Jak to działa?
371|Geralt|The hym would've thought you'd killed the tyke, it would've abandoned Udalryk. I'd 'ave showed it the babe then, safe and sound. It would've had to go.|Cerys|Lemme talk to Udalryk. I'll explain what you wanted, what happened here.|Geralt|Hmm… Not a bad scheme. Just… risky. I'd rather do it the witchers' way.|Hmm... Nieźle to wymyśliłaś... Ale twój plan był bardzo ryzykowny. Wolę to zrobić po wiedźmińsku.|Hmm... Niezły plan. Ale... ryzykowny. Wolę zrobić to po wiedźmińsku.
372|Avallach|Mainly desert creatures able to survive months on end without water.|Avallach|We must be careful they don't sense us.|Avallach|Oh, and large sandcrabs, beneath the surface.|No i olbrzymie pazurnice, głęboko pod powierzchnią.|Oh, i duże kraby piaskowe, pod powierzchnią.
373|Dwarf Man 01|Portrait of the hierarch. Nice.|Geralt|All right. Farewell.|Geralt|Oh, it's nothing, really - got oodles of 'em. Just… if you wouldn't mind not mentioning where you got it… All right?|Och, to naprawdę nic wielkiego – mamy takich dużo. Tylko... nie mów, skąd go wziąłeś, dobrze?|Oh, to nic takiego naprawdę - mam ich mnóstwo. Tylko... jeśli nie masz nic przeciwko, żeby nie wspominać skąd go masz... Dobrze?
374|Skellige Woman 04|Shan't force you to stay… But the Rock's a ways off, and you can barely walk. You best take a horse.|Skellige Warrior 03|Fine… That will do. Thank you both very much.|Cirilla|True! Skjall can prepare a horse for you. You'll have to wait a spell, but even so you'll get there faster than on foot.|Właśnie! Skjall przygotuje wierzchowce. Chwilę zaczekasz, ale i tak na miejscu będziesz szybciej, niż gdybyś szła.|Prawda! Skjall może przygotować dla ciebie konia. Będziesz musiał trochę poczekać, ale i tak dotrzesz tam szybciej niż pieszo.
375|Geralt|Picked one out already. Other side of the stream - there's fields and a grove. Plenty of room and far enough so no one'll get in our way.|Vesemir|||Good. Meet you there.|Dobra. Tam się widzimy.|Dobrze. Spotkamy się tam.
376|Geralt|What is the meaning of this?|Nilfgaardian Soldier 01|For gods' sake, Yoana… What do you think you're doin'?|Fergus Graem|Exactly what it looks like. Yoana crafted a suit of armor for you, general. To prove she's the superior armorer.|Dokładnie to, co widać. Yoana też zrobiła zbroję dla generała. Żeby udowodnić, że jest w tym fachu lepsza od Fergusa.|Dokładnie tak, jak wygląda. Yoana stworzyła dla ciebie zbroję, generale. Aby udowodnić, że jest lepszą płatnerką.
377|Geralt|I didn't mention many things. Fortunately, they're no longer important.|Avallach|I pursued those studies to protect Ciri. To protect Lara Dorren's blood, in whomever's veins it courses.|Avallach|Your experiments with the gene, Elder Blood - that's not important?|To, że manipulowałeś genem Starszej Krwi, jest bez znaczenia?|Twoje eksperymenty z genem, Starą Krwią - to nie jest ważne?
378|Skellige Woman 05|What did he do to deserve that?|Yennefer|We need to talk to him… Even if it's not in keeping with your customs.|Geralt|He fled from the Wild Hunt… He alone!|Tym, że uciekł przed Gonem. On jeden!|Uciekł przed Dzikim Gonem… Sam jeden!
379|Novigrad Poor Woman 22|So much work…|Novigrad Poor Woman 22|Ain't got time now.|Novigrad Poor Woman 23|Got this crackin' in me spine.|Coś mnie w krzyżu łupie.|Mam tyle pracy...
380|Cerys|||||Join with us, Geralt, celebrate. We've a new king.|Świętuj z nami, Geralt. Mamy nowego króla.|Dołącz do nas, Geralt, świętujmy. Mamy nowego króla.
381|Geralt|The others will never make it without me.|Triss|Or we're too late…|Triss|No guardsmen or hunters in sight. Everything seems in order.|Nie widać ani straży, ani łowców. Czyli wszystko w porządku.|Nie widzę żadnych strażników ani myśliwych. Wszystko wydaje się być w porządku.
382|Geralt|Let me guess: Triss? Yennefer, perchance?|Zoltan Chivay|As for Yennefer, well…|Geralt|Triss and I… talked. Cleared some things up.|Rozmawiałem z Triss, wyjaśniliśmy sobie kilka rzeczy...|Triss i ja... porozmawialiśmy. Wyjaśniliśmy sobie parę spraw.
383|Vespula|||||Oh, mother…|O matuś...|Oh, matko...
384|Skellige Priestess 01|Where is this holy garden?|Geralt|And now?|Yennefer|Not far from here… North. We cultivated healing herbs there once…|Niedaleko. Na północ stąd. Hodowałyśmy tam lecznicze zioła.|Nieopodal stąd... Na północy. Kiedyś uprawialiśmy tam lecznicze zioła...
385|Zoltan Chivay|||Haha, more likely you'd just say I stole them.|Dandelion|I might believe you if you showed me a pair of monogrammed batiste galligaskins.|Jakbyś mi pokazał batystowe hajdawery z monogramem, może bym ci i uwierzył.|Haha, prędzej powiedziałbyś, że je ukradłem.
386|Novigrad Guard 03|As you say, miss.|Novigrad Guard 03|Hahah, see, Frederic? Did I not warn you not to jest with the guards? They haven't any sense of humor whatever.|Edna Var Attre|But miss, he just claimed to be the cook! He's a cheat, he is!|Ale pani, jeszcze przed chwilą mówił, że jest kucharzem! To oszust!|Ale pani, on twierdził, że jest kucharzem! To oszust, bez dwóch zdań!
387|Novigrad Drunk 05|Boy, is my head spinnin'…|Novigrad Drunk 05|Guardsh, 'e's a killer…|Novigrad Drunk 05|Hic-cup! Ehhe! Buurrp.|Yk!|Hic-cup! Ehhe! Buurrp.
388|Skellige Warrior 04|What business?|Geralt|Fine, I'm going.|Geralt|Oh, drop the secret shite, we've not the time. Nilfgaardian bloke, Ville, said he'd send a body for the goods the day. So in ye go, and just be sure to behave.|Daruj sobie te podchody, nie mamy na to czasu. Ville Nilfgaardczyk mówił, że przyśle dziś kogoś po towar. Właź do środka i bądź grzeczny.|Oh, przestań pieprzyć głupoty, nie mamy czasu. Ten Nilfgaardczyk, Ville, powiedział, że wyśle kogoś po towar dzisiaj. Więc ruszaj i upewnij się, że będziesz się dobrze zachowywać.
389|Redanian Soldier 03|Word is, the king himself.|Redanian Soldier 03|Apart from which, when folk can go hither and thither, always a chance some spy'll slink through. This way, spy's got it harder…|Redanian Soldier 03|Doesn't want paupers and refugees pissing all over his beautiful city.|Nie chce, żeby biedota i uchodźcy zatruwali mu jego piękne miasto.|Nie chce żebraków i uchodźców sikających po całym jego pięknym mieście.
390|Geralt|What the bloody hell was that?|Novigrad Thug Strong 02|Oy! I'm talkin' to you! Y'understand human?! Get. The. Fuck. Out!|Novigrad Thug Strong 03|A bout of sudden sincerity.|Moment szczerości.|A bout of sudden sincerity.
391|Nilfgaardian Soldier 01|This much we can pay.|Nilfgaardian Soldier 01|||You know what I will tell you? You will take this job at the rate offered or try your luck somewhere else. That is my last word.|Wiesz co ci powiem? Bierzesz to zlecenie za najmniejszą stawkę, albo idź szukać szczęścia gdzie indziej. To jest moje ostatnie słowo.|Wiesz co ci powiem? Weźmiesz tę pracę za oferowaną stawkę albo spróbujesz szczęścia gdzie indziej. To moje ostatnie słowo.
392|Eskel|So… got the evening off. What do we do with it?|Geralt|Or… we could have a drink.|Eskel|Vesemir mentioned some roof beams in the tower need replacing. Maybe we could see to that.|Vesemir mówił, że trzeba wymienić belki w stropie, wiecie, tam w baszcie. Może byśmy się tym zajęli...|Vesemir wspomniał, że niektóre belki stropowe w wieży potrzebują wymiany. Może moglibyśmy się tym zająć.
393|Geralt|Oh… Will you buy a round for a victim of the beast?|Redanian Townswoman 02|I'd need another bottle to get through it.|Redanian Townswoman 02|Tell me about the monster, how you were attacked?|A opowiesz mi o ataku potwora?|Opowiedz mi o potworze, jak zostałaś zaatakowana?
394|Novigrad Nobleman 01|Want a rematch?|Geralt|The luck! Hah! Jolly good hands!|Novigrad Nobleman 01|What with? You've left me high and dry. I'll not bet half a crown more.|Za co? Zostawiłeś mnie w samych gaciach. Nie postawię ani pół korony więcej.|Czym? Zostawiłeś mnie na lodzie. Nie postawię już ani grosza więcej.
395|Eskel|No… don't think so.|Geralt|"Told him, ""Give me what you find at home"" and all that… No kid this time, but his mare had just foaled."|Eskel|Saved this lost knight once… You know, woods, dark, wolves. The standard.|Raz uratowałem takiego rycerzyka... Wiesz, las, noc, wilki. Taki tam standard.|Uratowałem raz zagubionego rycerza... Wiesz, las, ciemność, wilki. Standard.
396|Lambert|Dammit.|Lambert|How many more your mama spawn?|Lambert|Ugh!|Uch!|Ugh!
397|Novigrad Dockworker 02|Funny. Grow thirsty whenever it rains.|Novigrad Dockworker 02|Smell o' burnin' flesh waftin' about again. Hunters're havin' a spot o' fun.|Novigrad Dockworker 02|Guards! Help!|Straż! Na pomoc!|Strażnicy! Pomocy!
398|Cirilla|Ciri's most important in all of this. The Hunt's after her, and we have to defend her at all costs.|Geralt|Stay inside the keep. If they break through, come inside, we'll all converge to help you.|Yennefer|What do I do?|Co mam robić?|Co mam robić?
399|Skellige Fisherman 04|Disturbin' the deads' peace - it ain't right!|Skellige Villager 04|Disturbed our ghostly forefathers' slumber.|Skellige Fisherman 04|Some whoreson's plundered the castle!|Jakiś skurwiel zamek splądrował!|Jakiś skurwysyn splądrował zamek!
400|Geralt|What do they call ye?|Skellige Guard 01|||Geralt of Rivia.|Geralt z Rivii.|Geralt z Rivii.
401|Novigrad Dockworker 01|You believe that?|Novigrad Dockworker 01|Let us live, eh?|Novigrad Dockworker 01|Mornin', mornin'. Think I'm gonna spew.|Dobry, dobry. Rzygać mi się chce...|Dzień dobry, dzień dobry. Myślę, że zaraz zwymiotuję.
402|Eskel|We shouldn't. Rather not tire out my horse for no reason.|Geralt|Pretty damn handsome stick, though.|Geralt|Ah… Honestly can't see what all those dames see in you. You're a stick in the mud.|Ech... Nie wiem, co te wszystkie baby w tobie widzą. Sztywniak jesteś.|Ach... Szczerze mówiąc nie widzę, co te damy w tobie widzą. Jesteś jak kołek w płocie.
403|Skellige Warrior 05|Harald was dead by then?|Geralt|You again… Really got no one else to bother?|Skellige Warrior 05|What? No, jarl fought like a bear! Slicin', and dodgin', and hollerin', then slicin' again. Couldn't save himself though.|Gdzie tam, walczył jak niedźwiedź! Ciął, uchylał się, wrzeszczał, znowu ciął. Ale to go nie uratowało.|Co? Nie, jarl walczył jak niedźwiedź! Cięcie, uniki, krzyki, potem znowu cięcia. Nie mógł jednak siebie uratować.
404|Novigrad Trader 02|Beg your pardon!|Novigrad Trader 02|Don't hurt me…|Novigrad Trader 02|Master… what're you planning with that sword?|Mistrzu... na co ci ten miecz?|Mistrzu... co zamierzasz zrobić tym mieczem?
405|Yennefer|See? Wasn't so hard.|Geralt|Thank you. Whatever your plans, I hope they work out.|Novigrad Old Man 03|One last bit of advice - find a new tavern. Everyone here knows you.|I jeszcze rada na koniec: zmień lokal. Tu wszyscy wiedzą, kim jesteś.|Jedna ostatnia rada - znajdź nową karczmę. Wszyscy tutaj cię znają.
406|Geralt|What… what will you do with that blood?|Baron|Do anything stupid, and I'll kill you, too.|Geralt|Me? Nothing. Just hope the pellar knows what to do with it. Go home. I'll come see you once I know something.|Ja nic, ale mam nadzieję, że Guślarz mi pomoże. Idź do siebie, przyjdę, jak coś będę wiedział.|Ja? Nic. Tylko mam nadzieję, że pellar wie, co z tym zrobić. Idź do domu. Przyjdę zobaczyć się z tobą, gdy dowiem się czegoś.
407|Skellige Bandit 02|Freya dammit.|Skellige Bandit 01|Grim wins it, soundly defeatin' Geralt the Traveler! O' course, the loser may demand a rematch - if he's man enough!|Skellige Bandit 02|If brawlin's in your nature and ye care to continue, there's Einar still to fight.|Gdybyś chciał dalej stawać do walki na pięści, to możesz walczyć z Einarem.|Jeśli masz ochotę na bijatyki i chcesz kontynuować, pozostał jeszcze Einar do pokonania.
408|Mirror|Yennefer's in danger.|Geralt|||Oh, the devilry! Why didn't you say so?! We must act.|O, do czarta! Czemu nic nie mówiłeś! Trzeba działać.|Oh, niech to diabli! Dlaczego mi tego nie powiedziałeś?! Musimy działać.
409|Geralt|This one's waited a year. That one - three.|Skellige Guard 04|Get to work, then. Grab a pickaxe, earn your next meal.|Skellige Guard 04|All right. I've heard enough.|Dobra, to wszystko.|W porządku. Wystarczy mi tych informacji.
410|Geralt|Well, let's have a name, then, and we shall issue an entry ticket.|Novigrad Scribe 02|Gerard… of Rivia. The match will start soon, but the hoi polloi must first be driven out. We will please wait. Achoo!|Novigrad Scribe 02|Geralt of Rivia.|Geralt z Rivii.|Geralt z Rivii.
411|Novigrad Poor Man 33|Dolt!|Novigrad Poor Man 33|Ptooey!|Novigrad Poor Man 34|Agh!|Ha-a!|Ach!
412|Yennefer|||||Dammit it all!|Niech to szlag!|Dammit it all!
413|Geralt|Good work.|Lambert|Got a certain matter to take care of.|Lambert|What're you doing in Novigrad? Never mentioned coming here.|Co robisz w Novigradzie? Nie wspominałeś, że się tu wybierasz.|Co robisz w Novigradzie? Nigdy nie wspominałeś, że tu przyjedziesz.
414|Mirror|Looking for a woman.|Geralt|Not like everyone, and not just any woman. Mine smells of lilac and gooseberries, dresses in black and white.|Geralt|Ahh, like everyone.|Jak wszyscy.|Ahh, tak jak wszyscy.
415|Cirilla|But it's here, later, that things get interesting. He actually tried to cultivate a genetic mix like Ciri's. But one excluding the human line.|Yennefer|Don't be foolish! Avallac'h never got that far. Apparently, all his experiments ended in failure.|Yennefer|Meaning what exactly? That I ought to be looking about for giant jars holding my siblings?|Czyli co? Mam się tu rozejrzeć za wielkimi słojami z moim rodzeństwem?|Cóż dokładnie masz na myśli? Że mam szukać wielkich słoików z moimi rodzeństwem?
416|Skellige Warrior 03|Ruar, don't eat so much.|Skellige Warrior 04|Cause if you get hit in the gut and those herrings get tangled in your entrails, there'll be no hope for you.|Skellige Warrior 04|Why the spit not?|A to niby czemu?|Dlaczego nie plujesz?
417|Skellige Old Woman 02|We'd 'uve fought 'em off. Everyone knows Larvik's got better warriors.|Skellige Warrior 04|Time to gather a raidin' party. A sword that don't taste blood rusts.|Skellige Warrior 05|Stupider, maybe. Sonny… if the Naglfar had landed here, you'd be dead and rotten now.|Głupszych raczej. Synku... Gdyby to tu Naglfar przybił, już byś pod ziemią leżał.|Głupszy może. Synku... gdyby Naglfar tu wylądował, byłbyś już martwy i zgniły.
418|Dreamer Corine Tilly|But I didn't want my hair pulled.|Godling Sara|Then I don't want 'em.|Godling Sara|Can't have one without the other.|Bez szarpania nie ma warkoczy.|Nie można mieć jednego bez drugiego.
419|Novigrad Citizen Man 02|Through our art we speak to the state of Novigrad and what happens here today!|Novigrad Bard 01|That ain't real fire…|Novigrad Boy 03|We'd best be getting home, dear.|To może my lepiej już chodźmy do domu.|Lepiej wróćmy do domu, kochanie.
420|Skellige Blacksmith Helper 03|Just look - iron ore from the bowels of Mount Ard Faand, where giants once tore up the earth. Then my forge fire, blazin' unbroken for six generations, it's care passed from father to son.|Skellige Blacksmith Helper 03|You lookin' to buy somethin'? You're in for a surprise - we're just as well-stocked as any land-bound shop in Novigrad.|Skellige Fisherman 01|And everyday come dawn, Hara, my youngest, she pricks her finger and squeezes a drop of her blood into the water I use to temper the blades.|I co dzień o brzasku Hara, moja najmłodsza, przychodzi i wpuszcza kroplę swojej krwi do wody, w której hartuję ostrza.|I każdego świtu Hara, moja najmłodsza, przebija palec i wyciska kroplę swojej krwi do wody, której używam do hartowania ostrzy.
421|Yennefer|Geralt, come here! I've found the mask!|Yennefer|Help me, Geralt!|Yennefer|That's one less!|Jednego mniej!|To jedna mniej.
422|Geralt|I've no illusions. Only a dead Radovid means a free Temeria.|Roche|But you will help?|Dijkstra|Came by 'cause I'm curious.|Jestem tu tylko przez ciekawość.|Przybyłem, bo jestem ciekawy.
423|Geralt|No. Neighbors' son.|Temerian Peasant 02|||That him?|To ten?|To on?
424|Fergus Graem|You wish…|Blacksmith Woman|So, what kind of armor are we talkin' about?|Fergus Graem|Don't listen to her. She's been sore lately, snortin' every chance she gets.|Nie zwracaj na nią uwagi, ostatnio ciągle ma muchy w nosie.|Nie słuchaj jej. Ostatnio była drażliwa, chrumkając przy każdej okazji.
425|Yennefer|||||Use the Mask.|To użyj Maski.|Użyj Maska.
426|Dandelion|Ugh. I've told you. The piece is sad, melancholy. It needs a minor key.|Priscilla|To ruin everything. We'll start in E-minor.|Priscilla|But I wanted--|Ale ja chciałem...|Ale chciałem...
427|Skellige Warrior 05|Heheh. Be kickin' themselves when they wake on seein' us with most of the booty.|Skellige Warrior 04|It's like a sheep grindin' 'gainst the shears for ye.|Skellige Warrior 05|Be the first raid where the Black Ones deliver the goods to our doorstep.|Jeszcze takiej rejzy nie było, żeby Czarni nam pod nos towar podstawiali.|To był pierwszy najazd, podczas którego Czarne Słońca dostarczyły nam łup do drzwi.
428|Witch Weavess|I'll take her feet. Lovely, hmhm, plump. Perfect for a broth.|Witch Brewess|Oh, you'll regret that, girl, regret it dearly.|Witch Whispess|Oooo, I can taste it already… Very well. Get on with it!|Uff, narobiłaś mi smaku... Niech będzie. No, idź już, idź!|Oooo, mogę już poczuć smak... Dobrze. Kontynuuj!
429|Geralt|But I'm guessin' you're more interested in blades.|Skellige Blacksmith Helper 02|0x001070db|Skellige Blacksmith Helper 02|Show me what you got, then.|No, pokaż, co tam masz.|Pokaż mi co masz.
430|Scoiatael Elf Woman 36|Cheer up.|Scoiatael Elf Woman 36|You're dead already.|Scoiatael Elf Woman 36|I don't like it.|Nie podoba mi się to.|Nie podoba mi się to.
431|Dijkstra|You know, Geralt, somehow I dislike running into you at parties.|Dijkstra|The mask - dead giveaway.|Geralt|My bones start to ache, as if bad weather were approaching.|Zaraz zaczyna mnie rwać w kościach, jak na niepogodę.|Moje kości zaczynają boleć, jakby nadchodziła zła pogoda.
432|Lambert|Can't help feeling we've overlooked something important.|Geralt|What's ready?|Geralt|Don't think about it.|Nie myśl o tym.|Nie myśl o tym.
433|Geralt|Interest you in a fritter?|Novigrad Trader 03|Greetings.|Novigrad Trader 03|Take care, now.|Bywaj.|Uważaj teraz.
434|Cirilla|Does that mean… you know which way to go?|Verden Girl 02|No. I never am.|Cirilla choice|Not quite, not yet. But I'm sure we'll find the way if we set off together.|Jeszcze nie, ale jak pójdziemy razem, na pewno coś wymyślimy.|Nie do końca, nie jeszcze. Ale jestem pewna, że znajdziemy drogę, jeśli ruszymy razem.
435|Geralt|Mhm. I suppose he had no idea they could interfere with my megascope?|Yennefer|You don't suppose he--? Lambert? Really? I'm flattered.|Yennefer|No, he probably knew… But that's the sort of prank you only pull on someone you like.|Zapewne się domyślał... Ale wiesz, co mówią. Kto się czubi, ten się lubi.|Nie, on pewnie wiedział... Ale takiego żartu nie robi się komuś, kogo się nie lubi.
436|Verden Peasant 02|An evil spirit had possessed a tree on the hill. It was responsible for the killings.|Geralt|I'll look around the Whispering Hillock.|Geralt|How'd ye dispel this evil?|A jak żeście go przegnali?|Jak się pozbyłeś tego zła?
437|Steingrim|You fight well, Steingrim.|Geralt|That how you want it? More blood? Fine. We'll make it a fight to the death…|Steingrim|One day I'll show you how I drink.|Kiedyś pokażę ci, jak piję.|Pewnego dnia pokażę ci, jak piję.
438|Temerian Peasant 01|Slandering servants of the Eternal Fire and his majesty, was he?|Redanian Officer 01|||And how!|A jeszcze jak!|I tak!
439|Witch Hunter 03|Where are the mages?|Witch Hunter 02|Sent him ahead. They'll mount a full assault in a minute!|Witch Hunter 03|Don't be fooled!|Nie dajcie się zwieźć!|Nie daj się zwieść!
440|Skellige Girl 02|But can you toss an axe? Me brother can!|Skellige Girl 01|Wanna play hide-n-seek?|Skellige Girl 02|Heeey theeere!|Czee-eeść!|Heeey theeere!
441|Coroner|Choosing the lesser evil can be hard at times. Happen to know a thing or two about that.|Geralt|"""Patricia Vegelbud."""|Geralt|In that respect, this work has its benefits. I couldn't possibly hurt anyone here if I tried.|Dlatego ta praca ma swoje plusy. Tu nikogo już nie skrzywdzę, choćbym chciał.|W tym względzie ta praca ma swoje zalety. Nie mógłbym tu nikogo skrzywdzić, choćby nie wiem co.
442|Cirilla|We'll hide you, cover your tracks…|Geralt|||No. I will flee no more.|Nie. Nie będę już uciekać.|Nie. Nie będę już uciekać.
443|Novigrad Prostitute 38|Hey.|Novigrad Prostitute 38|Hmmm?|Novigrad Prostitute 38|Hm?|Hm?|Hm?
444|Novigrad Nobleman 01|Yes?|Novigrad Nobleman 01|I've heard ballads about you. And that sorceress of yours, Guinevere.|Novigrad Nobleman 01|You are the famed Geralt of Rivia, are you not?|Tyś sławny Geralt z Rivii, prawda?|Jesteś sławnym Geraltem z Rivii, czyż nie?
445|Patrick Hazelnutt|I can see that.|Geralt|Apologies, but I must focus my thoughts before the match.|Patrick Hazelnutt|This will certainly serve me better than your conversation with Sasha has served you. I'd be wary of her.|Na pewno lepiej na tym wyjdę niż ty na rozmowach z Saszą. Na twoim miejscu bym na nią uważał.|To z pewnością posłuży mi lepiej niż twoja rozmowa z Sashą służyła tobie. Byłbym ostrożny wobec niej.
446|Geralt|Thank you for your help. That's the only way to deal with this rabble. They beg for trouble.|Novigrad Nobleman 03|I've come on business.|Novigrad Nobleman 03|And you're begging for trouble, just coming here at this hour. Especially dressed like that.|Ty też prosisz się o kłopoty, przychodząc tu o tej porze. Zwłaszcza w takim stroju.|I ty prosisz się o kłopoty, przychodząc tutaj o tej porze. Szczególnie tak ubrany.
447|Avallach|It's simple… which does not mean it will be easy to execute.|Avallach|The Lodge must then prevent the ship from returning to the world of the Aen Elle, while the imperial fleet blocks its escape by sea.|Avallach|I shall activate the Sunstone. If Caranthir answers the call, the Naglfar should appear in the bay shortly afterwards.|Aktywuję Kamień Słoneczny. Jeśli Caranthir odpowie na wezwanie, po chwili Naglfar pojawi się w zatoce.|Aktywuję Kamień Słońca. Jeśli Caranthir odpowie na wezwanie, Naglfar powinien pojawić się w zatoce krótko potem.
448|Crach|Between you and me… Hjalmar's not too hot-headed to be king?|Geralt|But Skellige wants a different ruler. The kind who'll drown Nilfgaard in blood, sooner jump into a fire than surrender. And that is Hjalmar.|Crach|Depends on the kind of king you have in mind. Want one who'll send emissaries, move figurines about a map, calculate the most profitable option. Then yes, he's too hot-headed.|Zależy, o jakim królu myślisz. Jeśli chodzi ci o takiego, co śle posłów, przesuwa figurki po mapach, rachuje, co mu się bardziej opłaca... To tak, jest zbyt porywczy.|Zależy od tego, jakiego króla masz na myśli. Chcesz takiego, który będzie wysyłać posłów, przestawiać figurki po mapie, obliczać najbardziej opłacalne opcje? Wtedy tak, jest zbyt porywczy. Ale Skellige chce innego władcy – takiego, który utopi Nilfgaard we krwi, raczej rzuci się w ogień niż się podda. A taki jest Hjalmar.
449|Geralt|Ugh… I can't serve this to Yen…|Geralt|Wouldn't serve this to a dog.|Geralt|Might've added too many ingredients...|Chociaż trochę chyba przesadziłem z dodatkami...|Może dodałem za dużo składników...
450|Witch Hunter 04|||||He's conjurin'!|Czary!|On czaruje!
451|Geralt|A death worthy of a Skelliger.|Yennefer|Arrows stuck in the side. The kind Faroe folk use.|Geralt|Clan emblem indicates a Dimun man. So he was from Faroe.|Insygnia klanowe wskazują na człowieka z Dimun. Czyli pochodził z Faroe.|Godło klanu wskazuje na mieszkańca Dimuny. Więc był z Faroe.
452|Geralt|||Too long. But the day will come when the emperor's banner will fly first over Novigrad, then over Tretogor. And we will all go home.|Nilfgaardian Officer 01|You look tired, quartermaster. Been stationed here long?|Wyglądacie na zmęczonych, kwatermistrzu. Długo już tu stacjonujecie?|Wyglądasz na zmęczonego, kwatermistrzu. Jesteś tu stacjonowany od dawna?
453|Geralt|||Friendly? Nothing further from the truth. This racist here has demanded to search me! For no reason at all!|Elf Man 01|Rare sight - an elf and a guard of the Eternal Fire having a friendly chat…|Elf i strażnik Wiecznego Ognia pogrążeni w przyjacielskiej rozmowie. Rzadki widok.|Rzadki widok - elf i strażnik Wiecznego Ognia prowadzący przyjazną rozmowę...
454|Lady Bran|You? Yet another an Craite lackey?|Lady Bran|What did you say?!|Crach|Did Cerys entice you to cooperate? I can imagine how. Or has Crach paid you to smear my name?|Domyślam się, jak Cerys skłoniła cię do współpracy. A może to Crach ci zapłacił, żebyś mnie oczerniał?|Czy Cerys skusiła cię do współpracy? Mogę sobie wyobrazić jak. Czy może Crach zapłacił ci za szkalowanie mojego imienia?
