speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|default|dialog|dialog2|dialog3|dialog4
Lambert|Why didn't you say anything?|Lambert|No.|Geralt|Find anything on Hammond's body? Something that might help us?|Znalazłeś przy Hammondzie coś, co może nam pomóc?|Czy znaleziono coś na ciele Hammonda? Coś, co mogłoby nam pomóc?|Czy znalazłeś coś na ciele Hammonda? Coś, co mogłoby nam pomóc?|Czy znalazłeś coś na ciele Hammonda? Coś, co mogłoby nam pomóc?|Znalazłeś coś na ciele Hammonda? Coś, co mogłoby nam pomóc?|Czy znalazłeś coś na ciele Hammonda? Coś, co mogłoby nam pomóc?
Baron Bandit Strong 02|You've still Smithy to defeat. No reason to wait.|Baron Bandit Strong 02|Not bad, not bad. Time to try your luck against Jonah… And then there's Smithy at the Inn at the Crossroads. Go to it, friend.|Baron Bandit Strong 02|There's Jonah still. You can arrange to fight him if you want.|Nadal jeszcze możesz się ustawić na walkę z Jonasem.|Jest tu Jonasz. Możesz się z nim zmierzyć, jeśli chcesz.|Jest jeszcze Jonah. Możesz zaaranżować walkę z nim, jeśli chcesz.|Jest jeszcze Jonah. Możesz zorganizować walkę z nim, jeśli chcesz.|Jeszcze jest Jonah. Możesz zaaranżować walkę z nim, jeśli chcesz.|Jeszcze jest Jonah. Możesz zaaranżować walkę z nim, jeśli chcesz.
Novigrad Rich Woman 01|Yes, yes… we'll soon return. But no one's even noticed we're gone.|Novigrad Nobleman 03|Oh!|Novigrad Rich Woman 01|Heehee.|Hi, hi.|Heehee.|"Heehee.

Ha ha."|"'Heehee.'

(Tłumaczenie pozostaje takie samo, ponieważ jest to onomatopeja, która nie wymaga tłumaczenia na inny język.)"|Heh-heh.|"Heehee. Oh!

Tłumaczenie:
Heehee. Och!"
Verden Old Man 01|A week past, nearabout. It was then Borin vanished. Merek and Tomil went lookin' for him, didn't come back either, them two. I were afeared.|Verden Old Man 01|Fascinating. But staying with the topic at hand…|Geralt|Now none dare venture into the bog. Camp stands deserted, and the peat there… master, it's the best sort! Black as pitch and oily - good for fuel and--|Teraz nikt już na bagna nie chodzi, obóz stoi pusty. A tam taki torf jest, panie! Czarny jak smoła, tłuściutki, i na opał dobry, i na...|Teraz nikt się nie odważa wchodzić do bagna. Obóz stoi opuszczony, a tam torf... mistrzu, to najlepszy gatunek! Czarny jak smoła i lepki - dobry na opał i...|Teraz nikt nie odważa się zapuszczać w bagna. Obóz stoi opustoszały, a torf tam... mistrzu, to najlepszy gatunek! Czarny jak smoła i lepki - dobry na opał i...|Teraz nikt nie odważa się zapuszczać w bagna. Obóz stoi opustoszały, a torf tam... mistrzu, to najlepszy gatunek! Czarny jak smoła i lepki - dobry na opał i...|Teraz nikt się nie odważa zapuszczać w bagna. Obóz stoi opustoszały, a torf tam... panie, to najlepszy gatunek! Czarny jak smoła i lepki - dobry na opał i...|Teraz nikt nie odważa się zapuszczać w bagna. Obóz stoi opustoszały, a torf tam... mistrzu, to najlepszy gatunek! Czarny jak smoła i lepki - dobry na opał i...
Novigrad Female Bard 01|I'd rather not hear this.|Novigrad Female Bard 01|My answer is no. And don't ask me again.|Novigrad Female Bard 01|I wonder if anyone in Novigrad would stage the work of a novice.|Ciekawe czy ktokolwiek w Novigradzie zgodziłby się wystawić sztukę debiutanta?|Zastanawiam się, czy ktokolwiek w Nowym Mieście wystawiłby pracę nowicjusza.|Ciekawe, czy ktokolwiek w Novigradzie wystawiłby dzieło nowicjusza.|Zastanawiam się, czy ktokolwiek w Novigradzie wystawiłby dzieło nowicjusza.|Ciekawe, czy ktokolwiek w Nowigradzie wystawiłby dzieło nowicjusza.|Zastanawiam się, czy ktokolwiek w Novigradzie wystawiłby dzieło nowicjusza.
Skellige Woman 01|They're off! They're off!|Skellige Villager 01|Grrr!|Skellige Woman 01|Out of the way! Or I'll kill ye!|Z drogi! Bo zabiję!|Z drogi! Albo cię zabiję!|Z drogi! Albo cię zabiję!|Z drogi! Bo cię zabiję!|Z drogi! Albo cię zabiję!|Usuń się z drogi! Albo cię zabiję!
Novigrad Refugee Man 01|Stop right there, stallion.|Novigrad Prostitute 44|Whoreson rode about, helpin', he said, givin' food to the hungry…|Novigrad Refugee Man 01|Ehh…|Ech...|Ehh...|Eh...|"'Ehh…'

(Ta część dialogu jest już w języku polskim i nie wymaga tłumaczenia.)"|Ehh...|Ehh... Whoreson jeździł tu i tam, pomagając, dając jedzenie głodnym...
Chorus Eve|Stab one, stab two!|Temerian Bandit 01|Keeps flappin' her trap the whole damn day.|Novigrad Peasant 01|Give those Nilfgaard rats their due!|Jeśliś dobry chłop!|Oddajcie tym nilfgaardzkim szczurom co im się należy!|Dajcie tym nilfgaardzkim szczurom to, co im się należy!|Dajcie tym nilfgaardzkim szczurom to, co im się należy!|Dajcie tym nilfgaardzkim szczurom to, na co zasługują!|Dajcie tym nilfgaardzkim szczurom to, na co zasługują!
Novigrad Poor Woman 33|That's just talk.|Novigrad Poor Woman 33|Oh, it's those witches!|Novigrad Poor Woman 33|Bandit!|Bandyta!|Bandyta!|Bandyt!|Bandyta!|Bandyt!|Bandyta!
Dijkstra|You can only give me three men, really?|Geralt|Mean you refuse to help?|Geralt|Since you aim to stick your prick in the Eternal Fire itself, I can't even give you that number.|Skoro chcesz się mieszać w sprawy Wiecznego Ognia, nie mogę ci dać nawet tylu.|Ponieważ zamierzasz włożyć swój penis prosto do Wiecznego Ognia, nie mogę nawet podać ci tej liczby.|Ponieważ zamierzasz wepchnąć swój penis prosto do Wiecznego Ognia, nawet nie mogę dać ci tej liczby.|Ponieważ zamierzasz wsadzić swojego fiuta prosto do Wiecznego Ognia, nawet nie mogę dać ci tej liczby.|Skoro zamierzasz wetknąć swój penis prosto w Wieczny Ogień, nie mogę ci nawet dać tej liczby.|Skoro zamierzasz wsadzić swojego fiuta prosto w Wieczny Ogień, nie mogę ci nawet dać tej liczby.
Elf Female 03|I was part of Karadin's band, but... when was that? I don't know where to find him, I've fallen out with the lot.|Elf Female 03|Who else was in Karadin's band?|Geralt|Besides, he's no longer chummy with his old mates. Word around town is he's changed.|A poza tym... On już nie trzyma z dawnymi kamratami. Na mieście mówią, że się zmienił. Tak słyszałam.|Poza tym już nie jest tak blisko ze swoimi starymi kumplami. Mówi się po mieście, że się zmienił.|Poza tym, już nie jest zżyty ze swoimi dawnymi znajomymi. Plotki głoszą, że się zmienił.|Poza tym, on już nie jest zżyty ze swoimi dawnymi kumplami. Słyszy się po mieście, że się zmienił.|Poza tym, on już nie jest przyjazny ze swoimi dawnymi kumplami. Plotki po mieście niosą, że się zmienił.|Poza tym, on już nie jest taki przyjazny ze swoimi dawnymi kumplami. Słyszałam, że się zmienił.
Roche|Forgive me, Geralt, but I can't. Not after losing Ves.|Roche|I understand, Roche. Good luck to you.|Geralt|I've no one left who could stand in for me here, yet we've still got a war to win.|Teraz nie nikogo, kto mógłby mnie zastąpić, a mamy tu wojnę do wygrania.|Nie mam już nikogo, kto mógłby mnie zastąpić tutaj, a jednak wciąż musimy wygrać tę wojnę.|Nie mam nikogo, kto mógłby mnie zastąpić tutaj, ale nadal musimy wygrać wojnę.|Nie mam nikogo, kto mógłby mnie zastąpić tutaj, ale nadal musimy wygrać wojnę.|Nie mam nikogo, kto mógłby stanąć za mną tutaj, ale nadal musimy wygrać wojnę.|Nie mam nikogo, kto mógłby zastąpić mnie tutaj, a nadal musimy wygrać wojnę.
Novigrad Citizen Woman 02|Your husband seeks other employment? Why? Is he unhappy with the coin changer?|Novigrad Citizen Woman 02|Good day!|Novigrad Citizen Woman 02|Akh akh akh… Eternal Fire!|Ekch, ekch! Na Wieczny Ogień...|Ach ach ach... Wieczny Ogień!|Ach ach ach... Wieczny Ogień!|"Tłumaczenie:

""Ach ach ach... Wieczny Ogień!"""|Wieczny Ogień!|"Ach ach ach... Wieczny Ogień!

(Uwaga: Tłumaczenie jest dosłownym odzwierciedleniem oryginalnego tekstu. Nie zawiera żadnych dodatkowych wyjaśnień ani interpretacji.)"
Elf Man 34|That's racism!|Elf Man 34|Ptooey!|Elf Man 34|Run!|Uciekajcie!|Uciekaj!|Uciekaj!|Uciekaj!|Uciekaj!|Uciekaj!
Geralt|I like this man. Ply your trade, witcher. I believe we will agree terms.|Skellige Villager 06|Our forefathers hunted with spear and knife. This pleased the Woodland Spirit. He let us live in peace. We never knew hunger.|Skellige Druid 01|You said the creature wants revenge. Why? For what?|Dlaczego powiedzieliście, że ta istota mści się na was?|Powiedziałeś, że stworzenie chce zemsty. Dlaczego? Za co?|Dlaczego? Za co?|Dlaczego? Za co?|Nasi przodkowie polowali włócznią i nożem. To podobało się Duchowi Lasu. Pozwolił nam żyć w spokoju. Nigdy nie zaznaliśmy głodu.|Nasi przodkowie polowali włócznią i nożem. To podobało się Duchowi Lasu. Pozwolił nam żyć w spokoju. Nigdy nie zaznaliśmy głodu.
Skellige Warrior 05|But family's sacred. Ye willin' to look into this?|Skellige Warrior 05|Well, then? Have any luck?|Skellige Warrior 05|Master witcher!|Mistrzu wiedźminie!|Mistrz czarodziej!|Mistrz czarodziej!|Mistrz czarodziej!|Mistrz czarodziej!|"Ale rodzina jest święta. Czy zgodzisz się przyjrzeć temu? Mistrz wiedźminie! No cóż, a czy miałeś już jakieś szczęście?

(Tylko druga wypowiedź):
Mistrz wiedźminie!"
Geralt|Holofernus Meiersdorf, at your service. Meet my sons, Bernie, Franklin and Hugo.|Halfling Man 01|I know who you are. Recognized the hair. Truth is, I've been waiting for someone like you.|Halfling Man 01|Nice to meet you. Geralt of Rivia.|Miło mi. Geralt z Rivii.|Miło cię poznać. Geralt z Rivii.|Miło mi cię poznać. Geralt z Rivii.|Miło cię poznać. Geralt z Rivii.|Miło mi cię poznać. Geralt z Rivii.|Miło mi cię poznać. Geralt z Rivii.
Geralt|How can I be of service?|Vimme Vivaldi|Splendid. I see you as even more credit worthy than before.|Vimme Vivaldi|Wanna pay back my loan.|Chcę spłacić zaciągnięty dług.|Chcę spłacić mój kredyt.|Chcę spłacić mój kredyt.|Chcę spłacić pożyczkę.|Chcę spłacić mój dług.|Chcę spłacić pożyczkę.
Temerian Peasant 03|Shhh.|Temerian Peasant 03|Wolves? No - wild dogs.|Geralt|Hear that?|Słyszysz?|Słyszysz to?|Słyszysz to?|Słyszysz to?|Słyszysz to?|Słyszysz to?
Skellige Woman 02|I was wrong about you, witcher.|Skellige Woman 01|Greetings, Whitehair.|Skellige Woman 02|Now here's a manly one. Not like me good-for-nothin' Sven.|No, ten to wygląda mężnie. Nie to, co ten mój ladaco, Sven.|Oto męska rzecz. Nie jak ja, bezużyteczny Sven.|Teraz jest prawdziwy mężczyzna. Nie jak ja, bezużyteczny Sven.|Teraz jest prawdziwy mężczyzna. Nie jak ja, bezużyteczny Sven.|- Teraz jest mężny. Nie jak ja, bezużyteczny Sven.|Teraz masz mężczyznę. Nie jak ja, bezużyteczna Sven.
Menge|I know your trade. Spotted those yellow eyes amidst the rabble in the square right away.|Menge|And as bats sense moths, so I sense freaks. And start by warning them - Novigrad's no place for your kind.|Menge|Did you notice how much common folk love flames? The Eternal Fire will consume them all one day, one way or another.|Zauważyłeś, jak bardzo ludzie kochają płomienie? Kiedyś Wieczny Ogień strawi wszystko.|Czy zauważyłeś, jak bardzo lud pospolity kocha płomienie? Ogień Wieczny w końcu pochłonie ich wszystkich, w ten czy inny sposób.|Czy zauważyłeś, jak bardzo pospólstwo uwielbia płomienie? Wieczny Ogień pochłonie ich wszystkich pewnego dnia, w ten czy inny sposób.|Czy zauważyłeś, jak bardzo pospólstwo uwielbia płomienie? Wieczny Ogień pewnego dnia pochłonie ich wszystkich, w ten czy inny sposób.|Zauważyłeś, jak bardzo pospólstwo uwielbia płomienie? Wieczny Ogień pochłonie ich wszystkich, prędzej czy później.|Zauważyłeś, jak bardzo pospólstwo uwielbia płomienie? Wieczny Ogień pochłonie ich wszystkich pewnego dnia, w ten czy inny sposób.
Yennefer|So long, Yen.|Geralt|Better not.|Geralt|It shan't take long.|To nie zajmie długo.|Nie zajmie to długo.|Nie zajmie to długo.|Nie zajmie to długo.|Nie zajmie to długo.|Nie zajmie to długo.
Geralt|That's too bad. 'Cause I have a sneaking suspicion he might be a teeny bit mad at me…|Dandelion|Stands to make you a fortune.|Geralt|Right… Best bit's when the guard draped you over his saddle like a sack of corn.|Ta, fragment, w którym strażnik przerzuca cię przez koński grzbiet jak worek kartofli jest najlepszy.|Najlepsze było, gdy strażnik przerzucił cię przez swoje siodło jak worek zboża.|Najlepsze było, gdy strażnik przerzucił cię przez siodło jak worek zboża.|"Tłumaczenie drugiej wypowiedzi:

""No cóż... Najlepsze było, gdy strażnik przerzucił cię przez siodło jak worek zboża."""|Najlepsze było, gdy strażnik przerzucił cię przez siodło jak worek zboża.|Najlepsze jest, gdy strażnik przerzucił cię przez siodło jak worek zboża.
Dwarf Man 03|Just happened to be passing by.|Geralt|But--|Geralt|Don't play me for a fool, witcher. Yarpen holds ye in high regard - don't ruin it.|Nie lećcie sobie ze mną w trolla, panie wiedźmin. Yarpen miał o was dobre zdanie, nie rujnujcie go.|Nie rób ze mnie głupca, wiedźminie. Yarpen ma cię w wielkim poważaniu - nie psuj tego.|Nie igraj ze mną, czarodzieju. Yarpen ma cię w wielkim poważaniu - nie psuj tego.|Nie igraj ze mną, czarodzieju. Yarpen ma cię w wielkim poważaniu - nie psuj tego.|Nie igraj ze mną, czarodzieju. Yarpen ma cię w wielkim poważaniu - nie psuj tego.|Nie igraj ze mną, czarodzieju. Jarypen ma cię w wielkim poważaniu - nie psuj tego.
Geralt|Indeed. More the pity so much rabble comes here. Ahem. Sign of the times, perhaps - coin makes the world go 'round.|Novigrad Nobleman 03|He's no miser, although… he might've banned fisstech. It attracts the lowest sort. Ahem. I asked him once if it was absolutely necessary, he just laughed.|Novigrad Nobleman 03|Owner must've invested a lot.|Właściciel sporo zainwestował.|Właściciel musiał zainwestować dużo.|Właściciel musiał zainwestować sporo pieniędzy.|Właściciel musiał zainwestować sporo.|Właściciel musiał zainwestować sporo pieniędzy.|Właściciel musiał zainwestować sporo pieniędzy.
Skellige Woman 05|Run!|Skellige Woman 05|Mmmmm.|Skellige Woman 05|Save the children!|Ratujcie dzieci!|Ocalcie dzieci!|Uratuj dzieci!|Uratuj dzieci!|Uratuj dzieci!|Uciekaj! Ocal dzieci!
Verden Peasant 03|No.|Geralt|If you won't… get out o' my sight. Let me die in peace.|Verden Peasant 03|No? Why the hell not? You disgusted? Afeared of your conscience? Gods dammit, do it quick - I'll pay ye.|Nie – bo co? Brzydzicie się czy by was sumienie gryzło? Nawet zapłaciłbym, kurwa, żebyście to zrobili szybko...|No? Dlaczego, do cholery, nie? Jesteś zniesmaczony? Boisz się swojego sumienia? Do diabła z tym, zrób to szybko - zapłacę ci.|No? Dlaczego nie? Jesteś zniesmaczony? Boisz się swojego sumienia? Cholera jasna, zrób to szybko - zapłacę ci.|No? Dlaczego nie? Jesteś zniesmaczony? Boisz się swojego sumienia? Cholera, zrób to szybko - zapłacę ci.|Jeśli tego nie zrobisz... wynoś się stąd. Pozwól mi umrzeć w spokoju.|Dlaczego do cholery nie? Jesteś zniesmaczony? Boisz się swojego sumienia? Cholera jasna, zrób to szybko - zapłacę ci. Jeśli tego nie zrobisz... wynoś się stąd. Pozwól mi umrzeć w spokoju.
Verden Boy 02|Cook gave him a lickin', strung him by his feet.|Verden Girl 03|"Laughed and said, ""How tasty, best sausage I have seen!"""|Verden Girl 02|Cook then bled him empty, stripped his skin off clean.|Spuścił z niego krew, skórę zdarł z głuptaska.|Następnie wykrwawił go do cna, obdarł ze skóry do czysta.|Cook następnie opróżnił go z krwi, zdarł z niego skórę do czysta.|"""Cook następnie opróżnił go z krwi, zdjął z niego skórę czysto."""|Cook wtedy opróżnił go z krwi, zdarł jego skórę do czysta.|"""Cook then bled him empty, stripped his skin off clean.""

Tłumaczenie:
""Cook następnie opróżnił go z krwi, zdjął z niego skórę do czysta."""
Skellige Fisherman 04|Some whoreson's plundered the castle!|Skellige Fisherman 04|Treasure huntin', must've been! Filthy thief.|Skellige Fisherman 05|Disturbed our ghostly forefathers' slumber.|Duchom naszych dziadów spokój zmącił...|Zakłóciliśmy spokojny sen naszych duchowych przodków.|Zakłócili spokój naszych duchowych przodków.|Zakłócili spokój naszych duchowych przodków.|Zakłócili spokój naszych duchowych przodków.|Zakłócili spokój naszych duchowych przodków.
Skellige Old Woman 02|Grant me patience…|Skellige Old Woman 02|You knew King Bran?|Skellige Old Woman 02|Me oh my!|Łojejku!|Ojejku!|Och!|'Och mój Boże!'|Och!|Ach! Znałaś króla Brana?
Werewolf Berem|Where is she?|Geralt|Is there no other way?|Werewolf Berem|Out there… in the swamp.|Gdzieś na bagnach.|Tam na zewnątrz... w bagnie.|Tam... na bagnach.|Tam... w bagnie.|Tam... na bagnach.|Jest tam... w bagnie.
Geralt|Portals, great. And the witch hunters probably messed with them.|Geralt|Hate portals. Make my stomach turn.|Geralt|Works. Who woulda thunk.|Działa. Kto by pomyślał.|Praca. Kto by pomyślał.|Działa. Kto by pomyślał.|Działa. Kto by pomyślał.|Działa. Kto by pomyślał.|Działa. Kto by pomyślał.
Geralt|I bet they have plans for me. And they're deigning to inform me of them.|Cirilla|Hmm… They'll weigh their words more carefully with you there.|Cirilla|Not a conversation you're likely to avoid. I'll go with you if you want.|Nie unikniesz tej rozmowy, ale jak chcesz, to mogę pójść z tobą.|Nie jest to rozmowa, której prawdopodobnie uda ci się uniknąć. Pójdę z tobą, jeśli chcesz.|Nie jest to rozmowa, której prawdopodobnie unikniesz. Pójdę z tobą, jeśli chcesz.|Nie jest to rozmowa, której prawdopodobnie uda ci się uniknąć. Pójdę z tobą, jeśli chcesz.|- Nie jest to rozmowa, której prawdopodobnie uda ci się uniknąć. Pójdę z tobą, jeśli chcesz.|Nie jest to rozmowa, której prawdopodobnie uda ci się uniknąć. Pójdę z tobą, jeśli chcesz.
Folan|Cerys has gone to Spikeroog! Alone!|Folan|Cerys? She staked a claim to the throne, then? And you'd 'ave rather gone with her?|Hjalmar|Couldn't wait, no, had to sneak off, as if you were afeared someone'd steal the giant out from under you!|A ty nie mogłeś zaczekać, musiałeś wymknąć się na wyprawę, jakbyś się bał, że ktoś ci ukradnie tego giganta!|Nie mogłem się doczekać, nie, musiałem się wymknąć, jakbyście się bali, że ktoś ukradnie olbrzyma spod was!|Nie mogła się doczekać, nie, musiała się wymknąć, jakby się bała, że ktoś ukradnie olbrzyma spod jej nóg.|Nie mogła czekać, nie, musiała się wymknąć, jakby się bała, że ktoś ukradnie giganta spod niej.|Nie mogła się doczekać, co? Musiała się wymknąć, jakbyście się bali, że ktoś ukradnie wam giganta spod nosa!|Cerys udała się do Spikeroog! Sama! Nie mogła czekać, musiała się wymknąć, jakby bała się, że ktoś ukradnie jej giganta spod nosa.
Geralt|Children, sadly the ratcatcher has a fever today, but in his stead we're honored to welcome a witcher, who will now tell us about his trade.|Marabella|Yeah!|Novigrad Boy 01|Uhh… But…|Yy... Ale...|Uhh... Ale...|Eh... Ale...|'Eh... Ale...'|Ach... Ale...|"Tak!

(Przepisane bezpośrednio z ostatniej linijki dialogu.)"
Geralt|What do you need?|Skellige Priestess 01|It happened once that Freya lost her favorite white cat. She scoured the isles and finally found him here.|Skellige Priestess 01|Tell me something about this temple, could you?|Czy możesz opowiedzieć mi o tej świątyni?|Powiedz mi coś o tym świątyni. Czy możesz?|Opowiedz mi coś o tym świątyni, dobrze?|Powiedz mi coś o tym sanktuarium, dobrze?|Powiedz mi coś o tym świętym miejscu.|To się zdarzyło raz, że Freya zgubiła swojego ulubionego białego kota. Przeszukała wyspy i w końcu znalazła go tutaj.
Geralt|A curse born of hatred binds me to this place. Only love's power can hope to lift it, but… who could love a wraith?|Anabelle|Graham… No, he lives. I would know if he died. But he fled and abandoned me! Left me here all alone!|Anabelle|And your beloved - he dead, too?|A twój ukochany, o którym mówiłaś? Czy on też nie żyje?|A twój ukochany też umarł?|A twój ukochany - on też martwy?|A czy twój ukochany też umarł?|A gdyby twój ukochany... on też umarł?|A twój ukochany - on też martwy?
Ambassador Var Attre|Sound awfully confident. What if King Bran manages to unite the jarls? Lead all the clans against your fleet?|Geralt|Yes, Geralt? Something else?|Ambassador Var Attre|King Bran is a feeble old man. From what I know he barely remembers the names of his own vassals. Uniting all might prove difficult.|Król Bran jest zniedołężniałym starcem. Z tego, co słyszę, nie pamięta już nawet imion swoich wasali... Więc z tym jednoczeniem może być ciężko.|Król Bran to słaby stary człowiek. Z tego co wiem, ledwo pamięta imiona swoich własnych wasali. Zjednoczenie wszystkich może okazać się trudne.|Król Bran jest słabym starcem. Z tego co wiem ledwo pamięta imiona swoich wasali. Zjednoczenie wszystkich może okazać się trudne.|Król Bran jest słabym starcem. Z tego co wiem ledwo pamięta imiona swoich wasali. Zjednoczenie wszystkich może okazać się trudne.|Król Bran to słaby starzec. Z tego co wiem, ledwo pamięta imiona swoich wasali. Zjednoczenie wszystkich może okazać się trudne.|Król Bran to słaby starzec. Z tego co wiem, ledwo pamięta imiona swoich wasali. Zjednoczenie wszystkich może okazać się trudne.
Skellige Priestess 03|Kneel before the goddess. Pay Her homage.|Skellige Priestess 03|Are you mad, you twit?|Skellige Priestess 03|Watch how you walk!|Jakże chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!
Geralt|Sit down.|Geralt|I never laid a finger on Tamara, not once.|Baron|You beat them.|Biłeś je.|Pokonałeś ich.|Pobiłeś ich.|Pobiłeś ich.|Pokonałeś ich.|Nigdy nie położyłem palca na Tamarze, ani razu.
Scoiatael Elf Man 35|Greetings.|Scoiatael Elf Man 35|Greetings.|Scoiatael Elf Man 35|Hey!|Hej!|Cześć!|Cześć!|Cześć!|Cześć!|Cześć!
Verden Bandit 04|Fightin' your guts out, eh?! Ha!|Verden Bandit 04|Witchcraft!|Verden Bandit 04|Try me!|Spróbuj się ze mną!|Spróbuj mnie!|Spróbuj mnie!|Spróbuj mnie!|Spróbuj mnie!|Spróbuj mnie!
Skellige Captive 04|Hmmmm...|Skellige Captive 04|Owwww!|Skellige Captive 04|A witcher…|Wiedźmin...|Czarodziej...|A czarodziej...|Czarodziej...|Czarodziejka...|Czarodziejka...
Redanian Soldier 14|Onward! Redania!|Redanian Soldier 14|Huh? What?|Redanian Soldier 14|Ehh!|Ech!|Ehh!|Eh.|'Ehh!' (bez zmian)|"- Ehh!

""Ehh!"" (wyrażenie zniechęcenia lub irytacji)"|Ehh!
Novigrad Old Man 12|*Melodic whistling*|Novigrad Old Man 12|Bum buh bum bum bum bum…|Novigrad Old Man 12|Dum dee dum dum dum dum dum dum…|Tam ta ra tam ta..|Dum dee dum dum dum dum dum dum...|Dum di di di di di di di...|"Tłumaczenie samej drugiej wypowiedzi:

""Dum dee dum dum dum dum dum dum..."""|Dum dee dum dum dum dum dum dum...|Dum dee dum dum dum dum dum dum...
Novigrad Old Man 02|Heard they've the black pox other side of the river… And you, you don't look well to me!|Novigrad Old Man 01|Why'd they descend on him? He was sellin' love talismans!|Novigrad Old Man 02|Rain was comin'. Felt it in my bones…|To na deszcz mnie w kościach łamało.|Nadchodził deszcz. Czułem go w kościach…|Nadchodził deszcz. Czułem go w kościach…|"Tłumaczenie drugiej wypowiedzi:

""Nadchodziła burza. Czułem to w kościach..."""|Czułem nadchodzący deszcz... W kościach.|Czułem nadchodzący deszcz... w kościach.
Skellige Guard 06|Rid the isles of this fearsome foe.|Skellige Guard 06|Eh?|Skellige Hunter 01|Nilfgaard in Skellige… Never fuckin' thought I'd see the day…|Czarni na Skellige... Kurwa, nie sądziłem, że dożyje takich czasów...|Nilfgaard w Skellige... Nigdy nie myślałem, że zobaczę ten dzień...|Nilfgaard w Skellige... Nigdy nie myślałem, że tego dnia doczekam...|Nilfgaard w Skellige... Nigdy nie myślałem, że to zobaczę...|Nilfgaard w Skellige... Nigdy nie myślałem, że zobaczę ten dzień...|Nilfgaard w Skellige... Nigdy nie myślałem, że zobaczę ten dzień...
Priscilla|Ah, what an adventure! One minute we were pulling off the heist of the century, the next we were prey, a pack of hunters on our tail…|Dandelion|Gave me enough material for a volume of ballads! And this one'll sell like hotcakes!|Dandelion|Yes, a splendid story, but I think I've had my fill of this boasting. Come, Zoltan, we must convince the halflings they saw nothing at all.|Świetna historia, ale mam już dosyć tych przechwałek. Chodź, Zoltan musimy przekonać niziołki, że absolutnie nic nie widziały.|Tak, wspaniała historia, ale myślę, że mam już dość tego przechwalania się. Chodź, Zoltanie, musimy przekonać półelfów, że nic nie widzieli.|Tak, wspaniała historia, ale myślę, że mam już dość tego przechwalania się. Chodź, Zoltanie, musimy przekonać półelfów, że nic nie widzieli.|Tak, wspaniała historia, ale myślę, że mam już dość tego przechwalania się. Chodź, Zoltanie, musimy przekonać półelfów, że nic nie widzieli.|Tak, piękna historia, ale myślę, że mam już dość tego przechwalania się. Chodź, Zoltanie, musimy przekonać półelfów, że nic nie widzieli.|Tak, piękna historia, ale myślę, że mam już dość tego przechwalania się. Chodź, Zoltanie, musimy przekonać półelfów, że nic nie widzieli.
Cirilla|How is it you're here?|Cirilla choice|My father brought me. Told me to follow the trail of treats and eat my fill. He said he would wait.|Verden Girl 02|How did you wind up here?|Skąd właściwie się tu wzięłaś?|Jak się tu znalazłeś?|Jak się tu znalazłeś?|Jak się tu znalazłaś?|Jak się tu znalazłeś?|Mój ojciec mnie tu przywiózł. Powiedział mi, żebym poszła śladem smakołyków i najadła się do syta. Mówił, że będzie czekać.
Skellige Blacksmith Helper 01|Ah! There he is! My keeper, my savior! I'm with my kin again, thanks all to you.|Skellige Druid 02|I'd like to look at your choice of swords.|Geralt|Greetings, stranger.|Witaj, nieznajomy.|Witaj, nieznajomy.|Witaj, obcy.|Witaj, obcy.|"Witaj, nieznajomy.

---

Tutaj przedstawiłem tylko samo tłumaczenie drugiej wypowiedzi zgodnie z Twoim poleceniem."|Witaj, obcy.
Baron Bandit Weak 03|What do you think?|Geralt|As I recall, you were to go your separate way.|Baron Bandit Weak 03|Inn at the Crossroads. You bought us a round.|Karczma na Rozstajach, postawiłeś nam kolejkę.|W gospodzie na rozstaju dróg. Postawiłeś nam kolejkę.|Gospoda przy rozstaju dróg. Postawiłeś nam kolejkę.|Karczma na rozstaju dróg. Postawiłeś nam kolejkę.|- Gospoda przy rozstaju dróg. Kupiłeś nam kolejkę.|Jak się masz? Kupiłeś nam kolejkę w Gospodzie przy Rozstaju Dróg. Pamiętam, że mieliśmy pójść każdy w swoją stronę.
Ida Emean|Take it you've heard the words before.|Geralt|Can you help us… with the curse?|Yennefer|Yes… In legends. Of the kind that do not end happily.|Tak... W legendach. Tych bez szczęśliwego zakończenia.|Tak... W legendach. Tego rodzaju, które nie kończą się szczęśliwie.|Tak… W legendach. Takich, które nie kończą się szczęśliwie.|Tak... W legendach. Takich, które nie kończą się szczęśliwie.|Tak... W legendach. Takich, które nie kończą się szczęśliwie.|Tak... W legendach. Takich, które nie kończą się szczęśliwie.
Novigrad Citizen Man 03|I shall pretend I did not hear that.|Novigrad Citizen Man 03|Fare thee unwell.|Novigrad Citizen Man 03|Kiss a dog's arse.|Całuj psa w dupę.|Pocałuj tyłek psa.|Pocałuj psa w dupę.|Całuj psa w dupę.|Pocałuj psa w dupę.|Pocałuj psa w dupę.
