speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Geralt|Let's gut the bastard!|Novigrad Thug Strong 01|What were the names again? Olgard and Vick?|Geralt|Believe I did have the pleasure to meet those two gentlemen.|Rzeczywiście mogliśmy się spotkać.|Miałem już przyjemność poznać tych dwóch panów.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Wierzę, że miałem przyjemność spotkać tych dwóch dżentelmenów.
Cirilla choice|And, once more, there's no need. Gods bless your journey!|Skellige Woman 02|I suppose… why not?|Cirilla|Well… why not.|W sumie... Czemu nie.|Dobrze... Dlaczego nie?|Dobrze… dlaczego nie?|Cóż... dlaczego nie.
Geralt|We will return to Novigrad shortly. Would you join us for the journey? We would be delighted.|Voorhis|||I might. Thank you.|Dziękuję.|Może tak zrobię. Dziękuję.|Może tak zrobię. Dziękuję.|Mogę. Dziękuję.
Novigrad Citizen Man 02|Let us pray to the Eternal Fire that it may grant our supplications!|Eternal Fire Priest 02|Eternal Fire, hear our prayer.|Novigrad Citizen Man 03|Eternal Fire, hear our prayer.|Niechaj Wieczny Ogień wysłucha próśb naszych.|Eternal Fire, hear our prayer.|Niechaj wieczny ogień wysłucha naszych próśb.|Ogień wieczny, wysłuchaj naszej modlitwy.
Verden Peasant 03|Swish, swash, witchman buccaneer!|Verden Peasant 01|The Black'uns didn't help, Bloody Baron didn't help. But you - you helped.|Verden Peasant 03|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Wiesz, wiedźminie, źle o tobie gadają. Ale ja nie zapomnę, co dla nas zrobiłeś!|Wiesz co, czarowniku piracie? Ludzie mogą mówić co chcą. Ja? Nigdy nie zapomnę, co dla nas zrobiłeś!|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Wiesz co, wiedźminie, ludzie mogą mówić, co chcą. Ja? Nigdy nie zapomnę, co dla nas zrobiłeś!
Geralt|From Zerrikania. Won him. Card game with a camel merchant.|Dijkstra|See me smiling? I'm dead serious.|Dijkstra|Your jokes are getting better by the minute.|Co żarcik, to lepszy.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Twoje dowcipy stają się coraz lepsze z minuty na minutę.
Gnome Man 02|Not that surprised, actually.|Geralt|Yeah. What else would you recommend?|Geralt|Monkshood, for instance - lovely blossom, soothes aches and pains, but just a handful and you could poison a whole family. A very useful plant.|Taki tojad na przykład, śliczny kwiatuszek, na bóle pomaga, a przygarścią całą rodzinę wytruć można. Bardzo użyteczna roślina.|Monkshood, na przykład - piękny kwiat, łagodzi bóle i dolegliwości, ale garść wystarczy, by otruć całą rodzinę. Bardzo przydatna roślina.|Monkshood, dla przykładu - piękny kwiat, łagodzi bóle i dolegliwości, ale garść wystarczy by otruć całą rodzinę. Bardzo użyteczna roślina.|Wilcze jagody na przykład - urocze kwiaty, łagodzą bóle i dolegliwości, ale garść wystarczy, by otruć całą rodzinę. Bardzo przydatna roślina.
Geralt|Might not work. Menge's scum, but you have to admit… Death doesn't scare him.|Triss|Uhh… Maybe tell him you have information about the Lodge - or about Philippa, even better, he hates her most of all. You'll think of something.|Triss|Always found that annoying in fanatics. So we gotta trick him into talking. Any ideas?|Zawsze mnie to irytowało w fanatykach. No nic. W takim razie musimy go wziąć podstępem. Jakieś sugestie?|Zawsze uważałem to za irytujące u fanatyków. Więc musimy go jakoś skłonić do mówienia. Jakieś pomysły?|Musimy go jakoś sprowokować do mówienia. Może powiesz mu, że masz informacje o Siedzibie - albo o Philippie, to byłoby jeszcze lepsze, jej nienawidzi najbardziej ze wszystkich.|Zawsze irytowało mnie to u fanatyków. Musimy go podstępem skłonić do rozmowy. Jakieś pomysły?
Geralt|I've yet to thank you for your aid, vatt'ghern. My coin lies concealed in a hollowed-out stump behind the house. Take what you wish. It's dangerous to possess too much in these times.|Elf Female 01|||Thank you. Farewell.|Dziękuję. Bywaj.|Dziękuję ci. Żegnaj.|Dziękuję ci. Żegnaj.|Dziękuję. Żegnaj.
Geralt|A witcher versus the Beast of Metinna! Killer instinct versus primal rage!|Novigrad Thug Strong 02|How it always is with you ploughin' Nordlings.|Novigrad Thug Strong 02|Not in the mood for a fight. Can't I just pay you?|Nie mam ochoty na walkę. Wolę wam zapłacić.|Nie mam ochoty na walkę. Czy nie mogę po prostu ci zapłacić?|Nie mam teraz ochoty na walkę. Czy nie mogę po prostu ci zapłacić?|Nie mam ochoty na kłótnię. Czy nie mogę po prostu ci zapłacić?
Novigrad Rich Man 02|Dull, dull, dull! Garlands, posies - they don't interest anyone!|Novigrad Rich Man 01|Traveler! Hello, come sit with us!|Novigrad Rich Man 01|Oh, I knew you'd rather go with tits and arse from the start, but I'm an artiste! Ar-teest!|No, ja wiem, ty byś od razu chciał o dupie i cyckach, ale ja jestem artystą! Ar-tys-tą!|Oh, wiedziałem, że od początku bardziej interesowały cię cycki i tyłek, ale ja jestem artystą!|Oh, I knew you'd rather go with tits and arse from the start, but I'm an artiste! Ar-teest!|Och, wiedziałem, że od początku wolałbyś piersi i tyłek, ale jestem artystą! Ar-tystą!
Geralt|I dunno. Must've been those beasts you slaughtered.|Verden Old Man 03|It was how it was. Why dwell on it?|Verden Peasant 01|This'd be the first time ghouls came to help out a village in trouble. At this rate, they'll be taking jobs off the notice boards before long.|To byłby pierwszy raz, kiedy ghule przyszły na ratunek wiosce w opałach. Tylko czekać, aż zaczną znikać zlecenia z tablic.|To byłoby pierwszy raz, kiedy ghoule przyszły z pomocą wiosce w potrzebie. W tym tempie wkrótce będą odbierać ludziom pracę z tablic ogłoszeniowych.|To byłoby pierwszy raz, kiedy ghoule pomogły wiosce w potrzebie. W tym tempie wkrótce będą odbierać prace z tablic ogłoszeniowych.|To byłby pierwszy raz, kiedy ghoule przychodzą z pomocą wiosce w tarapatach. Przy tym tempie wkrótce będą odbierać prace z tablic ogłoszeń.
Geralt|I see no point in delaying this. Let's begin.|Voorhis|Very well, I shan't insist. The attractive one - that's Molly. Speak to her. The baroness and I will place our wagers. You can then ride back to Novigrad with us if you wish.|Voorhis|I'd rather resolve what I have to with Molly.|Wolałbym załatwić sprawę z Molly.|Wolałbym najpierw załatwić sprawy z Molly.|Wolałbym najpierw załatwić sprawy z Molly.|Wolałbym zająć się tym, co muszę zrobić z Molly.
Talar|Still tart as rotting rhubarb.|Talar|Looking for apprentices?|Geralt|Truth be told, you didn't have to kill 'em.|Tak po prawdzie to nie musiałeś ich zabijać.|Szkoda, że musiałeś ich zabić.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Prawdę mówiąc, nie musiałeś ich zabijać.
Jorund|Lookin' to eat? Wait out in the yard, then, till Ilge tosses what's left in our bowls o'er the fence.|Skellige Villager 05|Don't you talk to me about me da, Jorund, or I'll tuck you in 'neath a barrow.|Skellige Villager 05|Whosoever denies shelter to a traveler disgraces himself and brings shame on his clan. Your das teach you nothin'?|Kto podróżnego pod dach nie przyjmie, ten hańbą się okrywa i wstydem. Ojciec was nie uczył?|Ktokolwiek odmawia schronienia wędrowcowi, hańbi sam siebie i sprowadza wstyd na swój klan. Twoi rodzice niczego cię nie nauczyli?|Whosoever denies shelter to a traveler disgraces himself and brings shame on his clan. Your das teach you nothin'?|Ktokolwiek odmawia schronienia podróżnemu, hańbi siebie i przynosi wstyd swojemu klanowi. Twoje słowa niczego cię nie nauczą?
Lady Bran|You? Yet another an Craite lackey?|Lady Bran|What did you say?!|Crach|Did Cerys entice you to cooperate? I can imagine how. Or has Crach paid you to smear my name?|Domyślam się, jak Cerys skłoniła cię do współpracy. A może to Crach ci zapłacił, żebyś mnie oczerniał?|Czy Cerys skusiła cię współpracą? Mogę sobie wyobrazić jak. Albo czy Crach zapłacił ci za szkalowanie mojego imienia?|Czy Cerys skusiła cię współpracą? Mogę sobie wyobrazić jak. Albo czy Crach zapłacił ci za szkalowanie mojego imienia?|Czy Cerys skusiła cię do współpracy? Mogę sobie wyobrazić jak. Czy może Crach zapłacił ci za szkalowanie mojego imienia?
Temerian Woman 02|Is that how we're gonna live now?|Temerian Woman 03|It's rainin', it's pourin', emp'ror Emhyr's snorin', he bumped his head when he went to bed and wet himself come mornin'.|Verden Boy 01|Must be. Tavern'll be first to go, just you wait. Then they'll ban hooch-makin' altogether. And then they'll start floggin' us about the fields, rain or shine!|Musi być. Wpierw karczmę zamkną, obaczysz, i bimbru pędzić zabronią. A potem batem na pola zaganiać będą, skwar czy słota!|Musi tak być. Najpierw zamkną karczmę, potem zakażą produkcji alkoholu. A potem zaczną nas ganiać po polach, czy pada, czy nie.|Musimy tak teraz żyć?|Musi być. Karczma będzie pierwsza, która pójdzie, poczekaj tylko. Potem zakażą produkcji bimbru. A potem zaczną nas chłostać po polach, deszcz czy słońce!
Skellige Fisherman 03|Make yourself useful.|Skellige Fisherman 03|If it were Bran's son on the throne, no Black dog'd dare set foot in Skellige!|Skellige Fisherman 03|How're we to fish with Madman Morkvarg piratin' again?|I jak tu łowić, jak ten Szalony Morkvarg znów piracić zaczął?|Jak my się mamy rybać z tym szaleńcem Morkvargiem piratem znów?|Jak my się mamy rybać z tym szaleńcem Morkvargiem piratem znów?|Jak mamy znowu piratować z szalonym Morkvargiem?
Geralt|||||A strangler. Strange - didn't consume its prey.|Dusiciel. Dziwne, że nie pożarł ofiary.|Dusiciel. Dziwny - nie pożarł swojej zdobyczy.|Dusiciel. Dziwny - nie pożarł swojej zdobyczy.|Dusiciel. Dziwny - nie pożera swojej ofiary.
Zoltan Chivay|Hmm… this the lute he got from the elves of Dol Blathanna?|Geralt|The faculty of Oxenfurt University is honored to grant Julian Alfred Pankratz, viscount de Lettenhove, the title of Master of the Seven Liberal Arts.|Geralt|Aye. Must've been in a great rush to leave it behind.|Acha. Jeśli jej nie wziął, musiało mu się bardzo śpieszyć.|Tak, musiał być w dużym pośpiechu, żeby go zostawić.|Tak, musiał być w dużym pośpiechu, żeby to zostawić.|Tak. Musiałem być w dużym pośpiechu, żeby to zostawić.
Udalryk|||||Diiiiie!|Giiiń!|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Diiiiie!|Diiiiie!
Verden Peasant 03|Rain don't rust your blades?|Verden Peasant 03|Nothin' left but to pray, beg evil spares us, at least.|Verden Peasant 03|Greetings.|Kłaniam się.|Cześć.|Cześć.|Pozdrowienia.
Dwarf Doc|This Ivo… Where do I look??|Geralt|Tried to knock it out his head - literally! Bugger wouldn't budge.|Dwarf Doc|Idgit insisted he'd explore the caves to the east.|Kretyn uparł się, że przeszuka jaskinie na wschodzie.|Idgit upierał się, że będzie eksplorował jaskinie na wschodzie.|Idgit upierał się, że będzie eksplorował jaskinie na wschodzie.|Idgit upierał się, że będzie eksplorował jaskinie na wschodzie.
Geralt|Please, sir… Mercy!|Novigrad Poor Man 01|Leave him be! I talked him into callin' the guard… They would've found 'em anyways. Then they'd 'uve burned us all!|Novigrad Poor Woman 01|How much? A bushel of grain? A barrel of herrings?|Ile dostaliście? Korzec ziarna? Beczkę śledzi?|Ile? Kopa zboża? beczka śledzi?|Ile? Korzec zboża? Beczkę śledzi?|Ile? Korzec zboża? Beczka śledzi?
Cirilla|No, Geralt. I've seen what is to come, I know destruction approaches. The worlds will freeze, one after the other, and all life will be eradicated.|Cirilla|There's gotta be another way…|Geralt|Only I can prevent this from happening.|Tylko ja mogę temu zapobiec.|Tylko ja mogę temu zapobiec.|Tylko ja mogę temu zapobiec.|Tylko ja mogę temu zapobiec.
Geralt|Aye. How'd you know?|Eustace|Fabian? Fabian? Oh yeah, I remember - hah! No eyes, no heart - one of them, right? No purse, neither, as I recall…|Eustace|Hff. Fourth sense, I think it is. You bring Fabian Meyer's body to the morgue?|Szósty zmysł. To ty przyniosłeś do kostnicy ciało Fabiana Meyera, zgadza się?|Hff. Czwarty zmysł, chyba tak to nazwę. Zabierasz ciało Fabiana Meyera do kostnicy?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Hff. Myślę, że to czwarty zmysł. Przynosisz ciało Fabiana Meyera do kostnicy?
Gremista|I want you to share your knowledge, teach me alchemy.|Geralt|Well well. There's a way after all.|Geralt|Hmm. Though I am preparing to perform a rather tricky ritual, so I could use some help… Even yours. I require three favors. Do them for me, and I shall accept you as my apprentice.|Hmm. Ale akurat przygotowuję się do przeprowadzenia wyjątkowo trudnego rytuału, więc pomoc by się przydała... Choćby i taka. Jeśli załatwisz dla mnie trzy sprawunki, wezmę cię na ucznia.|Chrząknąłem. Choć szykuję się do wykonania dość ryzykownego rytuału, więc przydałaby mi się pomoc... Nawet twoja. Potrzebuję trzech przysług. Zrób dla mnie te trzy rzeczy, a przyjmę cię jako ucznia.|Chrząknął. Choć szykuję się do wykonania dość ryzykownego rytuału, więc przydałaby mi się pomoc... Nawet twoja. Potrzebuję trzech przysług. Zrób dla mnie te trzy rzeczy, a przyjmę cię jako ucznia.|Hmm. Chociaż przygotowuję się do wykonania dość skomplikowanego rytuału, więc mógłbym skorzystać z trochę pomocy... Nawet twojej. Potrzebuję trzech przysług. Wykonaj je dla mnie, a zaakceptuję cię jako mojego ucznia.
Eternal Fire Priest 20|Yaaaaawn…|Eternal Fire Priest 19|I could go for a beer.|Eternal Fire Priest 20|Glory be to the Eternal Fire.|Cześć Wiecznemu Ogniowi.|Chwała wiecznemu ogniowi.|Chwała wiecznemu ogniowi.|Chwała wiecznemu ogniowi.
Verden Boy 02|There's naught to fear, Gran. He's only angry 'cause he cares.|Verden Girl 02|Johnny's your invention - and you shouldn't be usin' those ugly words. To the hut! Go on, now! You'll stand in a corner, I'll make sure you do.|Celina|Maybe Johnny knows somethin'? I'll take 'im to Johnny, afore he goes barmy on us…|Może Janek coś wie? Zaprowadzę go do Janka, zanim go szlag trafi...|Może Janek wie coś więcej? Zabiorę go do Jana, zanim całkiem zwariuje...|Może Janek wie coś więcej? Zabiorę go do Jana, zanim całkiem zwariuje...|Może Johnny coś wie? Zabiorę go do Johnny'ego, zanim całkiem zwariuje na naszym punkcie...
Novigrad Thug Strong 01|Someone call for me? Wonder why.|Menge|Temple Guard…|Novigrad Thug Weak 01|It's Menge…|Menge...|To Menge...|To Menge...|To jest Menge...
Ves|Ah, some old friends.|Letho|We need him.|Geralt|What's this whoreson doing here?|Co ten skurwysyn tutaj robi?|Co ten sukinsyn tu robi?|Co ten sukinsyn tu robi?|Co ten skurwiel tu robi?
Geralt|This is not Ragh nar Roog… Not yet. The Conjunction is just beginning.|Yennefer|I don't know, Geralt. I'd rather not find out.|Yennefer|What'll happen next?|Co się będzie działo dalej?|Co będzie dalej?|Co będzie dalej?|Co się stanie dalej?
Dwarf Man 02|||Be sure and tell us when the rammy's due to start, eh?|Dwarf Man 02|Hey! White-hair!|Ej, białowłosy!|Hej! Białowłosy!|Hey! White-hair!|Cześć! Siwy włosie!
Geralt|Aye, I do. Gimme the dagger… Be back soon.|Verden Peasant 02|So it were a ghost…|Verden Peasant 02|Some being had come to possess the tree's heart. I destroyed the heart and its inhabitant.|Serce drzewa zostało opanowane przez jakąś istotę. Zniszczyłem i serce, i lokatora.|Zniszczyłem serce drzewa i jego mieszkańca.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Jacyś istnieni zawładnęli sercem drzewa. Zniszczyłem serce i jego mieszkańca.
Morkvarg Warewolf|||||Hrrr a bite… Just one morrrrrsel… hrrrr…|Grrryza... Tylko grrryza...|Hrrr a bite… Just one morrrrrsel… hrrrr…|Hrrr a bite… Just one morrrrrsel… hrrrr…|Hrrr a ugryź... Tylko jedna morcela... hrrrr...
Cirilla choice|Mum… she's from the Continent… she's shy.|Skellige Woman 04|I'm not at all shy. I just wanted something to sit on…|Cirilla|I'm not shy, not at all.|Wcale się nie wstydzę.|Nie jestem wcale nieśmiała.|Nie jestem ani trochę nieśmiała.|Nie jestem nieśmiały, wcale nie.
Cirilla|This mornin'.|Verden Girl 02|It warmed my back.|Verden Girl 02|And did the sun warm your face or your back?|I słońce świeciło ci w twarz czy w plecy?|I czy słońce ogrzało ci twarz, czy plecy?|I czy słońce ogrzało ci twarz, czy plecy?|Czy słońce ogrzewało twoją twarz czy plecy?
Geralt|Because of me. You see… I've spent months searching for Ciri. Using locating spells, haruspicy, geomancy, anything, really. I knew the Wild Hunt might sense it, perhaps even find me, but… I thought I'd tricked them.|Yennefer|Hm. I've sensed them on my trail, hunting me, for some time. If not for you and Emhyr's soldiers, they'd have gotten what they were after.|Yennefer|Well, guess you were wrong.|Cóż. Nie do końca ci wyszło.|No cóż, chyba się pomyliłaś.|No cóż, chyba się pomyliłaś.|No cóż, chyba się myliłeś.
Skellige Guard 01|||||Hurraaaaarrgh!|Hurraaa!|Hurraaaaarrgh!|Hurraaaaarrgh!|Hurraaaaarrgh!
Geralt|Oh, yes… the Elder Blood can be fiery.|Avallach|I beg to differ… Emhyr is a pragmatist, Ciri an idealist.|Avallach|Gets that from her father.|Charakter to ma akurat po ojcu.|Dostała to po ojcu.|Dostaje to po ojcu.|Dostaje to od swojego ojca.
Geralt|My mare reared as if a wolf had already clinched her hind. The cart tipped and - whoa! The cargo fell right on top me.|Verden Peasant 03|Aye, damn thing bolted. Ain't that my luck? If it don't rain, a wagon o' stiffs pours on me head.|Verden Peasant 03|Your horse run off?|A koń uciekł?|Czy twój koń uciekł?|Tak, cholera, uciekła. Co za pech! Jak nie leje, to na głowę zwala mi się wóz ze sztywniakami.|Twój koń uciekł?
Novigrad Peasant Woman 01|"Gudrun calls it ""Uroboros."""|Novigrad Peasant Woman 02|||Hee-hee-hee! Does it loop back on itself?|Hi, hi, hi.|Cóż za głupota! Czy ono owija się wokół siebie?|Czy owija się wokół siebie?|Hee-hee-hee! Czy to się zapętla?
Geralt|He always talk this much?|Letho|Mean to say Merigold can conjure up more than a cloud of butterflies?|Letho|Only when he's nervous.|Tylko jeśli jest zdenerwowany.|Tylko gdy jest zdenerwowany.|Tak dużo gada tylko wtedy, gdy jest zdenerwowany.|Tylko gdy jest zdenerwowany.
Hattori|Precisely! You must find me a bodyguard! Geralt, I beg you! They'll kill me!|Hattori|Can't you talk to him yourself?|Geralt|There's a mercenary, Sukrus, often drinks at the Sturgeon. He's an old pirate, a Skelliger. He used to work for me. Huge as an oak, wouldn't fear a dozen Cleavers.|Jest taki najemnik, Sukrus. W Jesiotrze przesiaduje. To stary pirat ze Skellige, który kiedyś mi pomagał. Wielki jak stodoła. On się nie wystraszy nawet tuzina Tasaków.|Jest pewien najemnik, Sukrus, często pije w Karpiu. To stary pirat ze Skellige. Kiedyś dla mnie pracował. Wielki jak dąb, nie bałby się tuzina toporników.|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Jest najemnik, Sukrus, często pije w Łososiu. To stary pirat ze Skelligów. Kiedyś dla mnie pracował. Wielki jak dąb, nie bałby się tuzina Sztyletów.
Holger Blackhand|Arnvald fled Kaer Trolde, rode to an agreed meeting point. The warriors who awaited him there tried to kill him.|Geralt|Those men wore Clan Tuirseach colors.|Arnvald|What's that to do with Birna?|No i co to ma wspólnego z Birną?|Co to ma wspólnego z Birną?|Co to ma wspólnego z Birną?|Co to ma wspólnego z Birną?
Geralt|Monster's slain! Oy, what's this? Two witchers? We only hired one.|Verden Peasant 01|You can take him there now.|Geralt|Any witcher needing a brother's aid must then bury his medallion in the earth. In doing so, he renounces his trade. Then he's gotta work for the village elder for a year.|Że jeśli wiedźmin towarzysza na pomoc wezwie, musi swój medalion w ziemi zakopać, fachu się wyrzec i przez rok u starszego we wsi pracować.|Każdy wiedźmin potrzebujący braterskiej pomocy musi pogrzebać swój medalion w ziemi. W ten sposób rezygnuje ze swojego fachu. Potem przez rok musi pracować dla starszego wioski.|Każdy wiedźmin potrzebujący braterskiej pomocy musi pogrzebać swój medalion w ziemi. W ten sposób rezygnuje ze swojego fachu. Potem przez rok musi pracować dla starszego wioski.|Każdy czarodziej potrzebujący braterskiej pomocy musi wtedy zakopać swój medalion w ziemi. W ten sposób wyrzeka się swojego fachu. Następnie musi pracować dla starosty przez rok.
Cirilla|We'd all be dead if not for you.|Geralt|||No, Geralt. The Hunt would never have come to Kaer Morhen if I wasn't here.|Nie, Geralt. Gdyby nie ja, Gon nigdy nie trafiłby do Kaer Morhen.|Nie, Geralt. Łowy nigdy by nie dotarły do Kaer Morhen, gdybym tu nie była.|Nie, Geralt. Łowy nigdy by nie dotarły do Kaer Morhen, gdybym tu nie była.|No, Geralt. Łowy nigdy by nie dotarły do Kaer Morhen, gdyby mnie tu nie było.
Novigrad Thug Weak 01|||Same reason anyone comes here. Play a bit, have a good time.|Geralt|Why you even here?|Czego tu chcesz?|Dlaczego tu w ogóle jesteś?|Taki sam powód, dla którego każdy tu przychodzi. Trochę pograć, dobrze się bawić.|Po co tu jesteś?
Cirilla|Aaaarrrggggh!!!|Cyprian Willey|Th-they're coming…|Dudu Biberveldt|An eye for an eye.|Oko za oko.|Oko za oko.|An eye for an eye.|Oko za oko.
Skellige Fisherman 02|I found your friends. All dead, unfortunately. Sorry.|Geralt|||Told 'im not to go… but he wanted glory. Ahh.|A mówiłem mu, żeby tam nie szedł... To mu się zachciało chwały... Ech...|Tak mu mówiłem, żeby tam nie szedł... Ale chciał sławy. Ach.|Told 'im not to go… but he wanted glory. Ahh.|Powiedziałem mu, żeby nie szedł... ale chciał sławy. Ach.
Verden Peasant 03|And if I don't?|Geralt|Tell you what. Give you a chance to earn something. Anything you take off me, you get to keep.|Geralt|Heheheh, then you die.|To zginiesz, he, he.|Jeśli tego nie zrobię?|Heheheh, to umrzesz.|Heheheh, potem umierasz.
Yennefer|Right. Fine. Good. Glad we've got that over with. We know where we stand, at least.|Yennefer|Wait.|Geralt|Naught left for us here, let's go.|Nic tu po nas, chodźmy.|Nie ma tu już dla nas nic do roboty, chodźmy.|Nic tu po nas, chodźmy.|Nic tu po nas, chodźmy.
Geralt|Welcome, sir. We trust our charms and skills will prove to your liking. What is it you wish?|Elf Female 03|I remember you. And I'm glad you've returned.|Elf Female 03|Take care of yourself. Might be back.|Bywaj. Może tu jeszcze wrócę.|Weź się za siebie. Może wrócę.|Witaj, panie. Mamy nadzieję, że nasze uroki i umiejętności przypadną ci do gustu. Czego sobie życzysz?|Dbaj o siebie. Może wrócę.
Cirilla|We were right to come.|Cirilla|Well, they shouldn't spit on his name anymore.|Geralt|I was deeply troubled. You've no idea.|Nawet nie wiesz, jak strasznie mnie to gryzło.|Byłam głęboko poruszona. Nie masz pojęcia.|Byłam głęboko poruszona. Nie masz pojęcia.|Byłem głęboko zaniepokojony. Nie masz pojęcia.
Eternal Fire Guard 01|Or you'll die!|Novigrad Drunk 01|Rubbish.|Eternal Fire Guard 02|And remember - never venture into the Bits alone. Always take a partner.|I pamiętaj – na Okrawki nigdy nie wybieraj się sam. Zawsze z partnerem.|I pamiętaj - nigdy nie zapuszczaj się samotnie do Bitsów. Zawsze weź ze sobą partnera.|I pamiętaj - nigdy nie zapuszczaj się samotnie do Bitów. Zawsze bierz ze sobą partnera.|I pamiętaj - nigdy nie zapuszczaj się w Bity samotnie. Zawsze bierz partnera.
Skellige Warrior 03|I didn't intend it to…|Cirilla|I'm sorry… But I really don't have time right now.|Cirilla choice|I'll take Njord, you can ride Grayback. She's old, but she'll make the--|Ja pojadę na Njordzie, a ty na Siwej. To stara klacz, ale do Skały cię...|Wezmę Njorda, ty możesz dosiąść Szarogrzywego. Jest stary, ale da radę.|I'll take Njord, you can ride Grayback. She's old, but she'll make the--|Wezmę Njorda, ty możesz jechać na Graybacku. Jest stara, ale da radę--
Novigrad Female Bard 01|Have you heard? Some circus troupe's angered Menge!|Novigrad Female Bard 01|I wonder if anyone in Novigrad would stage the work of a novice.|Novigrad Female Bard 01|I'd rather not hear this.|Nie chce o tym słuchać.|Wolałabym tego nie słyszeć.|Wolałabym tego nie słyszeć.|Wolałbym tego nie słyszeć.
Geralt|Whaddaya want?|Verden Peasant 05|||Never mind. So long.|Nieważne. Bywaj.|Nieważne. Żegnaj.|Nieważne. Żegnaj.|Nieważne. Do widzenia.
Novigrad Drunk 05|Guards! Help…|Novigrad Drunk 05|I'm a right and randy dandy, the ladies find me handy!|Novigrad Drunk 05|Uuuuuuh?|Yy?|Uuuuuuh?|Uuuuuuh?|Uuuuuuh?
Geralt|Keep it. Not like I have any use for it.|Geralt|Ewaech ife ford o fan hyn!|Foreigner Woman 01|Farewell.|Bywaj.|Żegnaj.|Żegnaj.|Żegnaj.
Geralt|True, that! So let's get to work afore night creeps up on us!|Temerian Peasant 01|I believe we will manage.|Temerian Merchant 01|Sure you don't need any help?|Na pewno nie potrzebujecie pomocy?|Czy na pewno nie potrzebujecie pomocy?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Na pewno nie potrzebujesz żadnej pomocy?
Geralt|||||Ghouls dug up the graves, then the stench of decay attracted wild dogs.|Ghule rozkopały groby, a smród rozkładu zwabił dzikie psy.|Ghoule rozkopały groby, a potem odór rozkładu zwabił dzikie psy.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ghule rozkopały groby, a następnie odór rozkładu przyciągnął dzikie psy.
Dandelion|Don't worry about me, I'll be quiet. But those halflings? You can't trust them, you know…|Dandelion|||Once I saw one of them… Ouch!|Widziałem kiedyś, jak jeden... Auć!|Raz widziałem jednego... Uch!|Raz widziałem jednego... Uch!|Raz zobaczyłem jednego z nich... Och!
Geralt|"And a letter… ""You sought a servant of the Eternal Fire. Yet you were blinded by its flame."""|Geralt|Aaaaaaaaaa!|Novigrad Citizen Woman 14|Wasn't Nathaniel. Dammit.|Zaraza. To nie był Nataniel.|To nie był Nathaniel. Cholera.|To nie był Nathaniel. Cholera.|Nie był to Nathaniel. Cholera.
Temerian Peasant 03|Lycanthropy. Werewolves? Handled a few cases in the past. It's usually a simple curse that…|Geralt|Dieter walked in on us in the stables. They drove me away… Florian hanged himself. Lord started drinkin', and the estate fell into ruin. That's the long and short of it.|Temerian Peasant 03|The lord's son, Florian, and I… We loved each other.|Syn dziedzica, Florian, i ja... Kochaliśmy się.|Mój panicz Florian i ja... Kochaliśmy się.|The lord's son, Florian, and I… We loved each other.|Syn pana, Florian, i ja... Kochaliśmy się.
Geralt|The infamous well…|Geralt|A bracelet. Examine it later.|Geralt|Strange… she's not attacking.|Dziwne... Nie atakuje.|Dziwne... ona nie atakuje.|Dziwne... ona nie atakuje.|Dziwne... ona nie atakuje.
Geralt|Victim needs to get the fang, is all. But I'll not give it to you. That whoreson should suffer.|Skellige Warrior 05|Hard to believe, but fur rose through his skin, and his mug stretched forth into a muzzle, like a dog's or a wolf's. He howled, long and grieving, then lunged at his men.|Skellige Warrior 05|What happened to Morkvarg?|I co się wtedy stało z Morkvargiem?|Co się stało z Morkvargiem?|Co się stało z Morkvargiem?|Co się stało z Morkvargiem?
Skellige Berserker 01|Ooooh hoo hoo.|Skellige Berserker 01|Make a mash of ye.|Skellige Berserker 01|You'll beg for death.|Będziesz błagał o śmierć.|Będziesz błagać o śmierć.|Będziesz błagać o śmierć.|Będziesz błagać o śmierć.
Fugas|The Defier's Oren.|Fugas|||A death sentence.|Wyrok śmierci.|Wyrok śmierci.|Wyrok śmierci.|Wyrok śmierci.
Geralt|||||Maybe he'll say something if I put out his fire…|Może jeśli zgaszę mu to ognisko, coś mi powie...|Może coś powie, jeśli ugaszę jego ogień...|Może coś powie, jeśli ugaszę jego ogień...|Może coś powie, jeśli ugaszę jego ogień...
