speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Geralt|Ah, a witcher.|Verden Old Man 03|Nilfgaardians came plunderin'… Lookin' for valuables - as if we was rich.|Verden Peasant 01|What happened?|Co tu się stało?|Co się stało?
Yennefer|I know your opinion. But I'm not asking anyone's permission. I'm saying what will happen. I'll be back at dawn. With Uma… or whoever hides inside him.|Vesemir|Oo, sounds serious. C'mon, Lambert… See you in a bit Geralt.|Eskel|Do as you will… But in a moment. Geralt and I must talk.|Dobrze... Ale za chwilę. My z Geraltem musimy jeszcze porozmawiać.|Rób co chcesz... Ale za chwilę. Geralt i ja musimy porozmawiać.
Redanian Townswoman 02|I'd need another bottle to get through it.|Redanian Townswoman 02|Something down an alley called me name. It were dark, I couldn't see what it was, but… it wasn't no human. Of that I'm certain.|Redanian Townswoman 02|I was leaving the inn that night. Might've had a drink or… five, but I'm sure I wasn't hallucinating.|Wychodziłam wtedy z karczmy. Możliwe, że wypiłam trochę za dużo, ale na pewno mi się nie przywidziało.|Wychodziłam z karczmy tej nocy. Może wypiłam jednego... albo pięć, ale jestem pewna, że nie miałam halucynacji.
Novigrad Nobleman 01|I noticed.|Geralt|I have no more money. Not a single crown…|Novigrad Nobleman 01|I've a mind to let you win some back if you bring more coin.|Załatw pieniądze i wróć. Może pozwolę ci się odegrać.|Mam ochotę dać ci trochę forsy z powrotem, jeśli przyniesiesz więcej monet.
Geralt|||||Rocks… tracks end here. Great.|Kamienie... I ślad się urywa. Świetnie.|Rocky... ścieżka kończy się tutaj. Świetnie.
Lambert|That was amazing. Thanks.|Lambert|Bastard wants to break through, get inside!|Lambert|Next time you get the feeling I'm about to piss off Merigold, make sure and knock me upside the head.|Następnym razem daj mi w łeb, zanim zdenerwuję Merigold.|Następnym razem, gdy poczujesz, że zaraz zdenerwuję Merigold, upewnij się i walnij mnie w łeb.
Novigrad Dockworker 03|They're eatin' moss other side o' the Pontar! Bow wow mutton's a delicacy o'er there!|Novigrad Dockworker 03|Got that twinge in me back again…|Novigrad Dockworker 03|Eternal Fire…|Wieczny Ogniu…|Eternal Fire…
Geralt|Remember, there's only a few of us. We have to help each other, work together.|Geralt|The inner courtyard is our last line of defense. If we don't stop them there, we're doomed.|Geralt|If anything goes wrong and the Hunt puts us on the defensive, we pull back, make a stand at the gates of the fortress.|Jeśli coś pójdzie nie tak, Gon zepchnie nas do defensywy. W takim wypadku będziemy musieli wycofać się pod bramę twierdzy.|Jeśli coś pójdzie nie tak i Polowanie zmusi nas do obrony, wycofujemy się i stajemy w obronie przy bramach twierdzy.
Skellige Fisherman 05|Treasure huntin', must've been! Filthy thief.|Skellige Fisherman 05|Old castle's haunted, methinks…|Skellige Villager 02|Fenrir the Wolf devour the bugger!|A niech go zeżre wilk Fenrir!|Fenrir Wilk pożre tego drania!
Skellige Guard 01|Geralt of Rivia - enter the arena.|Skellige Guard 01|||Emerge victorious, and you'll have the honor to face the Champion of Champions.|Jeśli zwyciężysz w tej walce, spotka cię zaszczyt pojedynku z Mistrzem Mistrzów.|Pokonaj mistrza, a będziesz miał zaszczyt zmierzyć się z Mistrzem Mistrzów.
Novigrad Dockworker 01|Whaddaya want from me?|Novigrad Dockworker 01|Where you walkin'?! Dimwit!|Novigrad Dockworker 01|You can run from a storm, but not from Skellige pirates.|Możesz uciec przed sztormem, ale nie przed piratami ze Skellige.|Możesz uciec przed burzą, ale nie przed piratami ze Skellige.
Eskel|||Underestimated you… Or should I say Scorpion. One fast mount.|Geralt|I could beat you riding a lame sow… Good one.|„Wygram, jadąc na kulawej świni”... Dobre sobie.|Mógłbym cię pokonać jadąc na kulawym prosiaku… Dobra robota.
Skellige Warrior 05|The men escortin' the women and the children to the ships took my unconscious flesh away and brought me to Ard Skellig.|Skellige Warrior 05|Go ask Rante or Javor. Or the innkeep.|Skellige Warrior 05|You again… Really got no one else to bother?|To znowu ty... Nie możesz innym głowy pozawracać?|Znowu ty... Naprawdę nie masz nikogo innego do dręczenia?
Novigrad Trader 02|Pick and choose while I've the inclination…|Novigrad Trader 02|Come on, good folk. come quickly! I haven't enough for everyone!|Novigrad Trader 02|Once I close this shambles down, you won't see me till next week!|Jak zamknę bałagan, przyjdę aż w sobotę!|Raz zamknę ten bałagan, to nie zobaczysz mnie do przyszłego tygodnia!
Yennefer|So do we. So long.|Geralt|Drinking on duty? Zoltan could make sure they have plenty of hooch.|Geralt|What our friend said about the guards was interesting…|To, co nasz przyjaciel mówił o strażnikach, było interesujące...|To co nasz przyjaciel powiedział o strażnikach było interesujące...
Geralt|Go plough yourself! Kill me if you must. I've nothin' to live for anyway.|Baron|||You've got another daughter… and a wife. And the botchling's blood will help me find them.|Masz jeszcze drugą córkę i żonę. A krew porońca pomoże mi je znaleźć.|Masz jeszcze córkę... i żonę. A krew botcha pomoże mi ich odnaleźć.
Skellige Villager 01|Behold - who do I spy? Could it be a challenger for Olaf?!|Skellige Guard 01|Bit of a milksop, ain't he?|Skellige Woman 01|Fight! There's gonna be a fight!|Będzie walka!|Będzie walka!
Temerian Bandit 01|Better round up someone else to help. Three of you don't stand a chance against me.|Geralt|If I had a bag over my head and my hands tied behind-- Actually, no, not even then.|Geralt|Wha?! I could fuck you up by meself.|Sam bym ci naklepał.|Co?! Mógłbym cię sam sprać.
Skellige Guard 04|Known also as the Butcher of Blaviken.|Geralt|You bored? Grab a pickaxe.|Skellige Guard 04|Aye, and now you're the Jailrat of Arinbjorn. You don't scare me.|A teraz jesteś Więźniem z Arinbjorn. Nie próbuj mnie nastraszyć.|Tak, a teraz jesteś Jailratem Arinbjorna. Nie boję się ciebie.
Novigrad Scribe 02|So long.|Geralt|||Achoo! Yes?|Apsik! Tak?|Ach! Tak?
Novigrad Poor Man 34|Greetings.|Novigrad Poor Man 34|Who d'you think you are?|Novigrad Poor Man 34|Ahh...|Ech.|Ahh...
Yennefer|Grraghh!|Djinn|Graug!|Djinn|Do you see the spell that binds us?|Widzisz zaklęcie, które na nas ciąży?|Czy widzisz zaklęcie, które nas wiąże?
Lambert|The matter you mentioned - anything I can help with?|Geralt|||Hm. Maybe. But we'll talk about that later.|Być może, ale pomówimy o tym później.|Może. Ale porozmawiamy o tym później.
Geralt|Fine, I'll have a drink.|Geralt|Yennefer of Vengerberg?|Mirror|Can we cut to the chase? You seen her or not?|Możemy przejść do rzeczy? Widziałeś ją?|Czy możemy przejść do rzeczy? Widziałeś ją czy nie?
Yennefer|He's only analyzing - really believe that? If he's anything like our mages, I seriously doubt he's standing back and observing how Lara's descendants are doing.|Geralt|Did you have a hand in… in what Geralt mentioned? The work of those human mages…|Cirilla|I don't think we'll ever know if or how deeply the elves have meddled in the gene's mutation.|Nie sądzę, aby udało nam się dowiedzieć, na ile elfy ingerowały w mutację genu.|Nigdy nie dowiemy się, czy i jak głęboko elfowie ingerowali w mutację genów.
Skellige Warrior 05|They say Lugos is fixin' for a fight. And not with the Black Ones, but with us.|Skellige Warrior 04|And if that lad o' his crosses my path, he'll truly be a blue boy.|Skellige Warrior 03|If he breaks the truce, he'll prove himself the madman we all call him.|Jeśli złamie rozejm, udowodni, że słusznie wołają na niego Szalony.|Jeśli zerwie rozejm, udowodni, że jest szaleńcem, którego tak nazywamy.
Skellige Woman 03|Time to gather a raidin' party. A sword that don't taste blood rusts.|Skellige Warrior 05|Luve… What's eatin' you? I've sailed out many a time before, brought back dresses, gold. You never opposed it then.|Skellige Warrior 05|And a wife without a husband? You know what becomes of her?|A żona bez męża? Wiesz, co się z nią dzieje?|A żona bez męża? Wiesz, co się z nią stanie?
Godling Sara|||||Come to toss me out again? I've been behavin'.|Znowu mnie chcesz wyrzucić? Jestem grzeczna.|Przychodzisz mnie znowu wyrzucić? Zachowywałam się.
Novigrad Boy 01|That ain't real fire…|Novigrad Boy 03|They just smear ash on their lips first, that's why it don't hurt.|Novigrad Boy 01|Nuh-huh! It is too!|A właśnie, że tak!|Nie, to nie jest prawdziwy ogień...
Skellige Blacksmith Helper 01|Come on. Let's do some trading.|Geralt|Oh yeah?|Geralt|Greetings, White Wolf. I suspected you'd come by. Bah, I was sure of it!|Witaj, Biały Wilku. Spodziewałem się, że tu zajrzysz. Ba, pewny byłem!|Witaj, Biały Wilku. Przewidziałem, że się tu zjawisz. Ech, byłem pewien, że tak będzie!
Yennefer|I shan't leave you with this! We'll defeat them together!|Yennefer|Smelled it. Gas.|Geralt|Geralt. Hear that?|Geralt, słyszysz to?|Słyszysz to?
Dijkstra|||No one apart from Madame Serenity and your lackey.|Roche|Anyone see you come in?|Nikt cię nie widział, jak wchodziłeś?|Czy ktoś widział, jak wchodziłem?
Temerian Guard 03|That needs a tourniquet. But first… wanna explain what's going on here?|Geralt|Listen, I can't walk. And Rhosyn they'll hang for desertion if he happens on any of his own. Would you find my brother, tell 'im I'm alive? His name's Dune. He might have a dog with 'im - Hussar. Please… We'll die if he don't help us.|Temerian Guard 03|We… we fought in that battle. Huge it was, you heard? They had me killin' in Temeria's name, and Rhosyn in Nilfgaard's. Ordered to slay each other. We decided to run away.|My... Myśmy walczyli w tej wielkiej bitwie, kojarzysz? Ja po stronie Temerii, Rhosyn Nilfgaardu. Kazali nam się nawzajem zabijać... Ale woleliśmy razem uciec.|Walczyliśmy w tej bitwie. Była ogromna, słyszałeś? Kazali mi zabijać w imieniu Temerii, a Rhosyn w imieniu Nilfgaardu. Rozkazano nam mordować się nawzajem. Postanowiliśmy uciec.
Fergus Graem|No, but find someone who can, and I'll gladly meet 'em.|Fergus Graem|It can. Just needs the proper tools to make it. Tools like the folk of Clan Tordarroch used on Undvik.|Blacksmith Woman|Oughta know one thing when it comes to armor: if it's gotta be durable, it can't be light.|Słuchaj no, o pancerzach musisz wiedzieć jedno: jak ma być wytrzymały, to nie może być lekki.|Powinieneś wiedzieć jedną rzecz o zbroi: jeśli musi być trwała, nie może być lekka.
Geralt|Geralt, watch out!|Yennefer|||Great.|Świetnie.|Świetnie.
Novigrad Rich Woman 01|I've been hit… Oww…|Dandelion|Eternal Fire, what do you want from us?! Leave us be!|Novigrad Rich Woman 01|To the house, quickly! He shan't get us there!|Szybko do domu, tam nas nie dopadnie!|Do domu, szybko! On nas tam nie doprowadzi!
Geralt|That slag's sellin' us to the Black Ones! Wanna watch? Go on in!|Donar An Hindar|As good a king as a fish's arse is a whistle!|Donar An Hindar|And Svanrige? He is king, after all.|A Svanrige? W końcu to on jest królem.|A co ze Svanrigem? Przecież on jest królem.
Witch Weavess|||||Come back… come back… come back…|Wracaj... Wracaj... Wracaj...|Wróć... wróć... wróć...
Skellige Blacksmith Helper 02|I'd like you to craft something for me.|Geralt|0x001070db|Skellige Blacksmith Helper 02|If besides the likin' you've got some gold, too, then we're in business.|Jeśli poza chęcią masz też złoto, to się dogadamy.|Jeśli masz trochę złota razem z tym upodobaniem, to możemy robić interesy.
Sorceress 01|You're dead already.|Scoiatael Elf Woman 36|*Heavy sigh* Ugh…|Sorceress 01|Witcher?|Wiedźminie?|Wiedźmin?
Triss|Clearly she's not heard enough about you.|Luiza La Valette|Unfortunately.|Geralt|The Baroness la Valette?|To była baronowa la Valette?|Baronowa la Valette?
Lambert|I'm exposing you all to danger. Unnecessarily.|Geralt|I brought this Mahakaman mix - flammable as bone dry saltpeter and ploughin' sticks to anythin'.|Zoltan Chivay|You worry too much. Wipe that frown off your face. We'll make it.|Za bardzo się martwisz. Głowa do góry, damy radę.|Martwisz się za bardzo.
Novigrad Trader 03|We know each other?|Geralt|Begone, already.|Novigrad Trader 03|No, thank the gods. Though we might've met had you helped me. But no, chose to wash your hands of the matter, abandoned me to thugs who assaulted me in a passageway.|Na szczęście nie. Chociaż mogliśmy się poznać, gdybyś mi pomógł. Ale ty wolałeś umyć ręce i zostawić mnie na pastwę oprychów, którzy dopadli mnie w bramie.|Nie, dzięki bogom. Choć mogliśmy się spotkać, gdybyś mi pomógł. Ale nie, wybrałeś umycie rąk od tej sprawy, zostawiłeś mnie na pastwę opryszków, którzy napadli mnie w przejściu.
Verden Girl 02|I never lose my way.|Cirilla|Looking for lost little girls.|Cirilla|Mmm. If that's true, what are you doin' so deep in the forest alone?|Mhm, akurat. To co robisz sama w środku lasu?|A jeśli tak jest, co robisz tak głęboko w lesie sama?
Yennefer|The Ida? Elven Sage? What do you want from her?|Geralt|Members of the Lodge don't let just anyone in on their secrets… or so I've heard.|Geralt|Stay and you'll learn for yourself.|Zostań, to sam się przekonasz.|Poczekaj, a sam się przekonasz.
Geralt|How'd ye dispel this evil?|Verden Peasant 02|Ye be careful, master witcher. Don't ye treat this evil light.|Verden Peasant 02|I'll look around the Whispering Hillock.|Rozejrzę się po Szepczącym Wzgórzu.|Przeszukam okolicę Wzgórza Szeptów.
Novigrad Poor Man 02|Trofast! Get 'im, boy!|Steingrim|Reef in the sails!|Novigrad Poor Man 03|Storm approaching!|Sztorm nadchodzi!|Burza nadchodzi!
Temerian Peasant 01|Pelko Sambor, aged fifty, two children, a rye field, and one goat.|Redanian Officer 01|||Do what you will. I'm just sayin'.|Jak sobie chcecie. Ale ja mówiłem.|Mówię tylko tak.
Cirilla|||What is it?|Geralt|Geralt!|Geralt!|Geralt!
Skellige Girl 02|Wanna play hide-n-seek?|Skellige Girl 02|Got a betrothed?|Skellige Girl 02|How old're you?|Ile masz lat?|Ile masz lat?
Coroner|Who's the victim this time?|Geralt|Any titles in particular?|Geralt|Joris Aquinus. A lecturer in theology at Oxenfurt Academy. Found this morning at his home… on a catafalque made of his books.|Joris Aquinus. Wykładowca teologii Akademii Oxenfurckiej. Znaleziono go dziś rano w mieszkaniu... Na katafalku ułożonym z książek.|Joris Aquinus. Wykładowca teologii w Akademii Oxenfurt. Znaleziono go dziś rano w jego domu... na katafalku zrobionym z jego książek.
Cirilla|We'd all be dead if not for you.|Geralt|||No, Geralt. The Hunt would never have come to Kaer Morhen if I wasn't here.|Nie, Geralt. Gdyby nie ja, Gon nigdy nie trafiłby do Kaer Morhen.|Nie, Geralt. Łowy nigdy nie dotarłyby do Kaer Morhen, gdyby mnie tu nie było.
Novigrad Prostitute 38|Hmmm?|Novigrad Prostitute 38|Now look what you've done!|Novigrad Prostitute 38|Mmm.|Eee-e.|Ach, to jest naprawdę... satysfakcjonujące.
Novigrad Nobleman 01|I've heard ballads about you. And that sorceress of yours, Guinevere.|Novigrad Nobleman 01|Have you paid Radovid? His new war tax? I will not, I refuse!|Novigrad Nobleman 01|Where are the guards?|Gdzie jest Straż?!|Gdzie są strażnicy?
Count Tybalt|Anyone leaving the Passiflora before the end of play will be disqualified. That's rule number one.|Count Tybalt|We play for golden figurines. The winner will take them all, along with a monetary prize equal to nine times the buy-in.|Count Tybalt|Rules number two, three and four are: no fighting, dirty play or magic tricks.|Zasada numer dwa, trzy i cztery: żadnych awantur, nieczystych zagrań i magicznych sztuczek.|Reguły numer dwa, trzy i cztery to: żadnej walki, nieczystej gry ani sztuczek magicznych.
Novigrad Nobleman 03|Now what makes you think I need either of those? I'd simply ask you to accompany me on a stroll. Should anything happen along the way, well… perhaps then you might need to do some work for your pay.|Novigrad Nobleman 03|||What say you to that?|Co ty na to?|Co powiesz na to?
Yennefer|Not doing it just to be nice, believe me.|Geralt|Ladies and gentlemen - less talk, more action, please. Sisters, we must scale the cliffs.|Philippa Eilhart|He's doing it for the same reason we all are.|Robi to dokładnie z tego samego powodu, co my.|On robi to z tych samych powodów co my wszyscy.
Crach|Beautiful craftsmanship. Thanks.|Geralt|Lu-gos! Lu-gos! Lu-gos!|Chorus Skellige|Heh, I'm the one--|To ja...|Heh, ja jestem tym--
Geralt|Argh. Gotta start over. Need some more ingredients.|Geralt|Hmm… Not so sure about this…|Geralt|An eggless omelet… Doubt that'll pass muster.|Omlet bez jajek... To się chyba nie przyjmie.|Omlet bez jajek... Wątpię, żeby to przeszło inspekcję.
Witch Hunter 02|But, commander! It's full of monsters and traps!|Witch Hunter 02|I don't give a shit! We've orders to search this cave and that's what we'll do!|Witch Hunter 01|We've dragged out four wounded, and there's near a dozen corpses still down there!|Czterech naszych wynieśliśmy rannych, a na dole zostało chyba z dziesięć trupów!|Wyciągnęliśmy czterech rannych, a tam wciąż leży prawie tuzin trupów!
Yennefer|Hoping for pirate treasure?|Geralt|Now that's what I call war booty…|Geralt|I hope to find the djinn. Try to open it.|Mam nadzieję znaleźć dżinna. Spróbuj ją otworzyć.|Mam nadzieję znaleźć dżina. Spróbuj go otworzyć.
Nilfgaardian Officer 01|Looking for work.|Geralt|Geralt of Rivia.|Geralt|Wait, wait… Two swords, eyes like slits - you are a witcher, is that so?|Zaraz, zaraz, dwa miecze, oczy jak szparki. Nie mówcie, żeście wiedźmin?|Czekaj, czekaj... Dwie szable, oczy jak szparki - jesteś wiedźminem, czy tak?
Geralt|Merchants put out a contract on me?!|Novigrad Guard 03|That was some pretty bad acting. Really oughta explore other career options. Petty theft, maybe?|Geralt|Argh. Always the same old shit.|Zawsze to samo.|Ach. Znowu ten sam stary syf.
Crach|You've that right. But it's no proof of my guilt.|Lady Bran|Svanrige… You… You must believe me. I had naught to do with this. I swear to you!|Lady Bran|To blacken my clan's name, put your son on the throne. Or would you yourself rule? With the blood of our children on your hands?|Żeby oczernić mój klan i posadzić syna na tronie. Czy może sama chciałaś nami rządzić? Z krwią naszych dzieci na rękach?|Aby czarnić imię mojego klanu, umieść swojego syna na tronie. Czy sama byś rządziła? Z krwią naszych dzieci na rękach?
Geralt|Hm, greetings.|Verden Peasant 05|||Thanks, Farewell.|Bywaj.|Dzięki, żegnaj.
Geralt|There's not enough for everyone, so bugger off. Feedin' time's first-come, first-served.|Novigrad Thug Weak 03|You deaf? Didn't you hear me? This is all mine now! Fuck off, freak!|Novigrad Thug Weak 02|Take what you want, I'm just here for some placards.|Bierz, co chcesz, ja przyszedłem tu tylko po plakaty.|Weź co chcesz, ja tu jestem tylko po plakaty.
Skellige Guard 01|Finish him!|Skellige Woman 01|The fight is done! Olaf retains his title!|Skellige Guard 01|The fight is done! Geralt of Rivia wins! Behold our new champion!|Walka skończona! Zwycięzcą został Geralt z Rivii! Nowy mistrz!|Walka skończona! Geralt z Rivii zwycięża! Oto nasz nowy mistrz!
Geralt|Something to hide?|Yennefer|No.|Yennefer|Don't like secrets?|Nie lubisz tajemnic?|Nie lubisz tajemnic?
Novigrad Peasant Woman 02|Witch Hunters've been tellin' folk that any hag with a wart on her mug…|Novigrad Peasant Woman 02|You think it's true?|Novigrad Peasant Woman 02|…is a witch and she's to burn!|Znaczy się wiedźma i ją trza spalić!|To czarownica i trzeba ją spalić!
Verden Old Woman 02|"I say, ""I'll come, Jackamar, but when the gods summon me, not before."" Then he says, ""Leave your weddin' ring by me grave, it'll make the waitin' lighter."" And I'd leave it… were the woods not so terryfin'."|Verden Old Woman 02|||So I thought to meself… Maybe you…?|Więc pomyślałam... Że może wy...?|Może ty...?
Novigrad Thug Strong 01|Reaaally? I wonder how.|Novigrad Citizen Woman 01|And I thought you'd stop drinking with your mates.|Novigrad Citizen Woman 01|Thought you'd give up this nonsense once I put a ring on your finger!|Myślałem, że jak ci się oświadczę, to zrezygnujesz z tych głupot!|Myślałem, że rzucisz te głupoty, gdy tylko włożę ci pierścionek na palec.
Novigrad Rich Man 01|"Well, I was in the sauna… And I heard a sort of growling coming from below. ""Maaargh. Buerrgh"" - something like that."|Novigrad Rich Man 03|What can I get for you, m'lady? A Toussaint romance? Or perhaps a cookery tome?|Novigrad Trader 01|Come, now… It was surely your belly growling. You must have sat there too long on an empty stomach. Speaking of… shall we dine?|E, tam. W brzuchu miałeś pomruki, boś za długo o pustym żołądku siedział. Właśnie... Zjemy coś?|"No cóż, byłem w saunie... I usłyszałem takie jakby warczenie dochodzące spod spodu. ""Maaargh. Buerrgh"" - coś w tym stylu."
Geralt|No. But I wager it's an ordinary witchers' contract.|Voorhis|Yes, Geralt?|Voorhis|Mhm. Some werebbubbs.|Mhm. Na bobołaki.|Jakieś były?
Geralt|||||Where's that damned katakan?|Gdzie jest ten przeklęty katakan?|Gdzie jest ten przeklęty katakan?
Geralt|I did not expect you to keep your word, witcher.|Emhyr|As do I.|Emhyr|I always keep my word.|Zawsze dotrzymuję słowa.|Zawsze dotrzymuję słowa.
Geralt|Hrr help, or I'll hrr returrn to shrrred you, hrrr rrrip you limb frrrom limb!|Morkvarg Warewolf|I need hrrr hrrr no morrre fangs hrrr…|Morkvarg Warewolf|Here, put this on.|Masz. Załóż ten naszyjnik.|Daj mi to założyć.
Verden Peasant 04|Where you headed with that spade?|Verden Old Man 02|Ye not heard? Poison gasses waftin' about there. And a monster hidin' within 'em.|Verden Old Man 02|Huh? To the swamp, gonna dig up some peat. Where else would I be goin'?|Jak to gdzie? Nie na grzyby przecie. Na bagna idę, torfu nakopać.|Hę? Do bagien, idę wykopać trochę torfu. Gdzie indziej mógłbym iść?
Redanian Townswoman 02|It's true, I heard the same!|Redanian Townswoman 02|Sorry?|Redanian Townswoman 02|So will you visit your mum after all?|Czyli jednak jedziesz do matki w odwiedziny?|No cóż, to może odwiedzisz mamę po tym wszystkim?
Cirilla|If he thinks he can buy me, he is sorely mistaken.|Cirilla|Emperor's got lots. Couldn't see why he shouldn't share some with us.|Geralt|By the way, that spectacle with the coin - what was that?|À propos: o co chodziło z tymi pieniędzmi?|Przy okazji, ten spektakl z monetą - co to było?
Novigrad Rich Woman 20|You started the brawl at the mummering! Rogue.|Novigrad Rich Woman 19|What shall I whip up for supper…?|Novigrad Rich Woman 20|Oh my?!|Ejże?!|O mój Boże!
Novigrad Rich Man 18|I've caught a cold. *Cough cough*|Novigrad Rich Man 18|It's gotten so I'm afraid to see the surgeon… Never know when they'll accuse him of witchcraft.|Novigrad Rich Man 18|I haven't strength for anything.|Nie mam na nic siły.|Nie mam siły na nic.
Triss|Let's try to decompress this one. Anything I can do to help?|Geralt|{Ver d’eer! En zer Ker'zaer! } [For Honor! For The Emperor!]|Nilfgaardian Soldier 04|Yes. Be quiet and try not to disturb me.|Tak. Stój cicho i nie przeszkadzaj.|Tak. Bądź cicho i spróbuj mnie nie rozpraszać.
Geralt|||||What's he doing here?|A ten co tu robi?|Co on tu robi?
Troll_2|Blech.|Troll_2|Aaagragah!|Troll_2|What here you for?|Co tu szukasz?|Po co tu jesteś?
Keira Metz|Do you think it's a mind game of some sort?|Keira Metz|Perhaps these apparitions believe they are real.|Keira Metz|You know, can you defeat yourself? Are you willing to?|No wiesz: czy jesteś w stanie pokonać samego siebie?|Wiesz, czy możesz pokonać samą siebie? Czy jesteś gotowa spróbować?
Skellige Woman 05|So what is she to ye, the sorceress? Yennefer, right?|Skellige Woman 04|Who's that?|Skellige Woman 05|Uh-oh.|Ocho.|Ups.
Redanian Soldier 01|No beast to speak of in the woods. Just elves from a Scoia'tael band that attacked the convoys. Here… their squirrel tails.|Geralt|Yeah. Definitely.|Geralt|Scoia'tael, you say? And I thought we'd exterminated the last of those vermin. And the nonhumans left had wised up. Well, seems we'll need to pacify 'em again. Make a list of all the long-ears around, hang every tenth one… that should do it.|Scoia'tael, powiadasz? A myślałem, że już żeśmy wybili te szkodniki do ostatniego. Że nieludzie zmądrzały. No, to trzeba będzie ich usadzić. Zrobi się spis długouchych w okolicy, powiesi co dziesiątego, to się uspokoją.|Scoia'tael, mówisz? Myślałem, że wybiliśmy już całe to robactwo. A pozostałych nie-ludzi nauczyliśmy rozumu. Cóż, chyba trzeba będzie ich uspokoić ponownie. Sporządź listę wszystkich długouchych, powiesić co dziesiątego... to powinno załatwić sprawę.
Geralt|You're back.|Skellige Blacksmith Helper 03|New? Nothin'.|Skellige Blacksmith Helper 03|Anything new in Fyresdal?|Co nowego w Fyresdal?|Czy coś nowego wydarzyło się w Fyresdal?
Novigrad Prostitute 15|What grace, what style…|Novigrad Prostitute 14|You cop a look, you got to pay!|Novigrad Prostitute 15|Got me break now.|Tera mam przerwę.|Mam teraz przerwę.
Novigrad Guard 01|What you been doin' in there? We're not payin' you by the hour, like some dockside whore. Hurry up! Chop, chop!|Novigrad Trader 03|Found a cage. Someone'd kept a nekker in it. Bars had been sawed through, though.|Geralt|Keep out of this. The witcher'll be paid from the coffers of the Temple Guard. Just as soon as he kills the monster…|Nie wtrącaj się. Wiedźmin dostanie nagrodę z pieniędzy straży. Jak tylko zabije potwora...|Trzymaj się z dala od tego. Wiedźmin zostanie opłacony ze skarbca Straży Świątynnej. Jak tylko zabije potwora…
Yennefer|Hm?|Geralt|Don't really know.|Geralt|Your beard. Why'd you decide to grow it out?|Twoja broda. Skąd ten pomysł?|Dlaczego postanowiłeś zapuścić brodę?
Baron|Got only yourself to blame, I think. Leaving her to fend for herself…|Geralt|There's always a choice.|Geralt|How was I not to? I was a soldier! I had no choice.|Jak mogłem jej nie zostawiać samej? Byłem żołnierzem! Nie miałem wyboru...|Jak miałem nie być żołnierzem? Nie miałem wyboru.
Skellige Villager 04|How'm I supposed to help?|Geralt|Mhm, might've guessed you'd come around to coin. So, need a loan, or is it just alms you're after?|Geralt|I haven't even got the coin for the journey home. And with each day's delay I draw closer to bankruptcy!|Nie mam nawet za co wrócić do domu, a każdy dzień opóźnienia zbliża mnie do bankructwa...|Nawet nie mam pieniędzy na podróż do domu. A z każdym dniem zwłoki zbliżam się do bankructwa!
Eredin|No. I'm enjoying this. You are my toy.|Eredin|I dare you to take it instead.|Crach|Out of my way, old man… And I shall spare your life.|Zejdź z drogi, dziadku... A daruję ci życie.|Z drogi, stary człowieku... A oszczędzę twoje życie.
Cirilla|Avallac'h's different…|Cirilla|If you say so…|Geralt|He is intent on my gift not falling into the wrong hands, not spinning out of control. It's why he teaches me, protects me.|Jemu zależy na tym, żeby mój dar nie wpadł w niepowołane ręce, nie wymknął się spod kontroli. Dlatego mnie uczy i chroni.|On chce mieć pewność, że mój dar nie trafi w niepowołane ręce, nie wymknie się spod kontroli. Dlatego mnie uczy, chroni.
Skellige Girl 02|Cause… 'Cause… 'Cause I didn't like me uncle, Gretter. He was fat and stank.|Skellige Girl 02|That's how your laws work. A murderer has to be punished, even if he killed to save someone else.|Geralt|Once, I told me brother that uncle… did bad things to me. Yorg flew in a rage and killed him. Then they caught 'im and tied 'im to the rocks.|Raz powiedziałam mojemu bratu, że wujek... mi robił złe rzeczy. I Yorg się wściekł i go zabił. A potem go złapali i przykuli do skały.|Raz powiedziałam bratu, że wuj... robił mi złe rzeczy. Jorg wpadł we wściekłość i go zabił. Potem go złapali i przywiązali do skał.
Keira Metz|Teleport over there.|Geralt|It's grown awfully quiet.|Keira Metz|We must activate it quickly. I've a feeling another golem's about to surprise us.|Aktywujmy go szybko, bo mam wrażenie, że zaraz wyleci na nas następny golem.|Musimy to szybko aktywować. Mam przeczucie, że kolejny golem zaraz nas zaskoczy.
Geralt|Aye? What's it you need?|Skellige Woman 04|||Never mind. Take care.|Nieważne. Bywaj.|Nieważne. Dbaj o siebie.
Eternal Fire Priest 02|Spare no donation, I tell you! Spare no crown! Spare nothing, and you yourselves shall be spared.|Eternal Fire Priest 02|To be stingy is to be short-sighted - you will reap what you sow!|Eternal Fire Priest 02|Make offerings to the temples and chapels of the Eternal Fire, and the horror of war will bypass our fair city!|Wasza ofiara na świątynie i kaplice Wiecznego Ognia sprawi, że pożoga wojenna oszczędzi Novigrad!|Składajmy ofiary w świątyniach i kapliczkach Wiecznego Ognia, aby okropności wojny ominęły nasze piękne miasto!
Verden Peasant 05|All right, I'll look for your brother. How will I recognize him?|Geralt|Corpses aren't always in a condition where I can determine the sex.|Geralt|Shouldn't be hard. He were the only lad in a group o' women.|No, to nie powinno być za trudne, bo był jedynym chłopem w całej grupie.|Nie powinno być trudno. Był jedynym chłopakiem w grupie kobiet.
