speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Geralt|Bahumum…|Skellige Fisherman 02|Fair winds to you!|Navigator|Nice talking to you, but time I was on my way. So long.|Miło się rozmawia, ale na mnie już czas. Bywajcie.|Nice talking to you, but time I was on my way. So long.
Nilfgaardian Soldier 01|{Ess’creasa tilleadh aen deaghlach, n’ees hwre, aen wilde caer ess’iare tuvean…} [Should be home with my family, not here, seeking death in this barbarous land…]|Nilfgaardian Soldier 01|Sheathe your weapon.|Nilfgaardian Soldier 01|Make way!|Odstąp!|Usuń się.
Geralt|It'll make learning my shecret methodsh eashier. Look… You take the potion like thish… And gulp!|Gremista|Yeah, yeah… I call it stimulation and assimilation. First you stimulate, and then - hahaa - you assimilate. Now shit down.|Gremista|Drink hard and study hard. I like the idea.|Nauka przy butelce? To lubię.|Drink hard and study hard. I like the idea.
Dandelion|Dandelion, you rascal! Got this lass to thank for us racin' after youse. She chivvied and chivvied…!|Zoltan Chivay|Dandelion, I need to ask you something. It's important, so focus. Where's Ciri?|Geralt|Shame you arrived too late to see us hoodwink that hunter! I had a plan all set, but then Geralt…|Szkoda, że nie widzieliście, jak załatwiliśmy tego łowcę! Ja chciałem zrobić to całkiem inaczej, ale Geralt...|Szkoda, że przybyliście za późno, by zobaczyć, jak oszukaliśmy tego myśliwego! Miałem już gotowy plan, ale potem Geralt...
Novigrad Poor Man 24|Got a big dump brewin'…|Novigrad Poor Man 24|Eh?|Novigrad Poor Man 25|You must make more as a mummer than you do witcherin', eh?|Jako aktor chyba wińcej pieniędzy zgarniasz, niż jako wiedźmin?|Musisz robić więcej jako mim, niż jako wiedźmin, co?
Skellige Warrior 04|Storm's a-comin'. Gotta go to your mum, tell her to take the wash down… You keep practicin'.|Skellige Warrior 05|If your fingers tire, grip the string with…|Skellige Warrior 05|Aye.|Dobrze.|Jeśli twoje palce zmęczą się, chwyć sznurek...
Scoiatael Dwarf 32|Most of us don't like humans.|Scoiatael Dwarf 32|What was that?|Scoiatael Dwarf 32|Don't bother me.|Nie przeszkadzaj.|Nie zawracaj mi głowy.
Geralt|Really. Then who are you? And how on earth did you get in?!|Rosa Var Attre|Well fought. You're much better than the last one.|Rosa Var Attre|Incredibly. But we oughta discuss that another time.|Niezmiernie. Ale pozwól, że pogadamy o tym kiedy indziej.|Ależ oczywiście. Ale porozmawiamy o tym innym razem.
Cerys|Not a bad idea - on condition it's a ghost we're dealing with. But something doesn't add up…|Geralt|Aki drowned at sea - said so yourself. But the ghost haunts this house.|Geralt|What's that?|Co takiego?|Co dokładnie się stało?
Geralt|The ritual is only for members of the Inner Circle. Thus, my dear apprentice, you must wait outside. Under no circumstances must you to enter! We shall begin your tutelage come morn.|Gremista|Hah! We'll make someone out of you yet, witcher. Now off with you, shoo!|Gremista|As you wish, Master.|Jak sobie życzysz... Mistrzu.|Jak sobie życzysz, Mistrzu.
Baron Bandit Strong 03|Key's gotta be 'ere somewhere!|Baron Bandit Strong 03|Let me out, I beg ye! Key's around here somewhere! It's gotta be!|Verden Vendor 02|Thank ye, witcher! Ye ought to come by Mulbrydale, see me forge. I'll have somethin' for ye. A gesture of gratitude.|Dzięki, wiedźminie! Zajdźcie no kiedy do Jawornika, do mojej kuźni -- a dam coś w podzięce.|Dzięki ci, wiedźminie! Powinieneś zajrzeć do Mulbrydale, zobaczyć moją kuźnię. Coś dla ciebie będę mieć. Gest wdzięczności.
Geralt|Ah, the key.|Geralt|Dammit, now where would she leave…?|Dandelion|Not here.|Tu go nie ma.|Nie tutaj.
Baron Bandit Strong 03|Nice scythe - put it away.|Baron Bandit Strong 03|Aye-yah!|Baron Bandit Strong 03|Arrrgh!|Arghh!|Arrrgh!
Verden Old Man 02|Let it go. 'Tis the hunger… makes me head spin.|Verden Old Man 02|Tisn't easy, not at all…|Verden Old Man 02|Be well!|Trzymajcie się zdrowo!|Bądź zdrowy!
Elf Man 37|I wonder if the river's rising.|Elf Man 37|Ugh, humans.|Elf Man 37|What are you looking at?|Na co się gapisz?|Co takiego?
Novigrad Boy 01|I don't believe you!|Novigrad Boy 01|Snails'll come out after the rain. We'll catch some, have a race!|Novigrad Boy 02|Saw some dead folk…|Widziałem martwych ludzi...|Widziałem martwych ludzi...
Geralt|Not too special, that, as dangers litter this isle. But it does go to explain why we're a wee bit distrustful.|Dwarf Doc|Crikey. Ye call a shipwreck conventional?|Dwarf Grumpy|No way you can get to this isle conventionally.|Na tę wyspę nie da się trafić w zwykły sposób.|Nie ma żadnego sposobu, by dostać się na tę wyspę konwencjonalnymi środkami.
Geralt|What mood would you be in if you'd lost your son…? So, I'm askin' - what d'ye want?|Skellige Blacksmith Helper 01|So be it…|Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Chcę obejrzeć twoje towary.|Chętnie bym obejrzał Twój towar.
Karl Varese|Shit happens.|Geralt|Temple Guard! Scatter!|Novigrad Citizen Man 03|Aye, it sure fuckin' do. That's business - sometimes you kick the cow, sometimes it kicks you.|No mówi się, kurwa, mówi. Tak to już jest w interesach – raz na wozie, raz pod wozem.|Tak już bywa w interesach - czasem ty kopiesz krowę, a czasem krowa ciebie kopie.
Hjalmar|Ochre, coal dust, woad. Tattoo dyes.|Geralt|Human scalps… Unusual as decorations go.|Geralt|I'll bloody give 'em tattoos…|Już ja im zrobię tatuaże...|Dobrze, dam im nauczkę...
Skellige Warrior 02|We've just barely made port and already you're pesterin' me…?|Skellige Warrior 02|May your axe never crumble.|Skellige Warrior 02|Greetings.|Witaj.|Witaj.
Geralt|I'll give you all I got…|Cyprian Willey|I'll tell you everything…|Cyprian Willey|Got a few questions to start with.|Na początek zadam kilka pytań.|Mam kilka pytań na początek.
Geralt|I sense no wrath…|Ghost In The Tree|Beguiled by darkness. But your heart... It is not black…|Ghost In The Tree|Didn't come here in anger.|Nie przychodzę w gniewie.|Nie przyszedłem tutaj w gniewie.
Triss|No way. Too risky.|Geralt|Fine, let's say they take the bait… What then? We go in, I put a sword to Menge's throat and ask him where Dandelion is?|Geralt|Dandelion's life's on the line… Ciri's too. No such thing as too risky.|Tu chodzi o Jaskra... I Ciri. Więc nie ma czegoś takiego jak zbyt duże ryzyko.|Życie Dandeliona i Ciri jest w niebezpieczeństwie… Nie ma takiego ryzyka, które byłoby zbyt duże.
Vesemir|Let's go give it a warm welcome.|Geralt|A crossbow?|Geralt|Wait. Take this.|Czekaj... Weź to.|Czekaj. Weź to.
Novigrad Citizen Woman 01|Rain. The one thing that's ploughing free in this city.|Novigrad Citizen Woman 01|I'm at a loss for words!|Novigrad Citizen Woman 01|Jeweler's widow gave her whole inheritance to the priests!|Jubilerowa cały spadek po mężu kapłanom oddała!|Wdowa po jubilerze oddała cały swój spadek księżom!
Geralt|Geralt, stop fingering my toiletries.|Yennefer|I know. You might bring me some more once you're done training.|Yennefer|You're running out of juice.|Kończy ci się sok.|Wiesz, że ci się kończy sok?
Geralt|||||Medallion's humming - there's magic here.|Medalion drży – w tym miejscu obecna jest magia.|Medalion buczy - tu jest magia.
Elf Man 02|Can't afford it anyway.|Elf Man 02|Wild Hunt take you all!|Elf Man 02|I will not speak to you. I refuse. Va fail.|Nie będę z tobą rozmawiał. Va faill.|Nie będę z tobą rozmawiał. Odmówię. Va fail.
Verden Boy 01|Pappy brought 'er at night, the lady does the medicines. She was all afeared. Talked about an awful monster, said she had to go back. Don't know where to.|Verden Boy 01|The pretty young one, does the medicines - she came that night. She was tired, breathin' hard. Mummy gave her something to drink.|Verden Boy 01|Mummy and pappy cheered 'er up, gave 'er clothes. Hers were ragged.|I tata z mamą ją pocieszali i dali nowe ubranie, bo jej było potargane.|Mama i tata pocieszyli ją, dali jej ubrania. Jej były podarte.
Triss|No, I've got other plans.|Triss|Haven't decided… Bet Radovid would be very interested in it…|Geralt|So, what will you do with the crystal?|Co zamierzasz zrobić z kryształem?|Co zamierzasz zrobić z tym kryształem?
Cyclops|She's hurt, did you see that? I wanna help her.|Geralt|Hmm… Ever had a stomach ache?|Geralt|Birdy no pastgo say. Bart no let pastgo.|Kazała nikogo nie puszczać. I Bart nie puści. Bart obiecał!|Ptaszki nie chodzą tam, gdzie chcą. Nie pozwól im tam pójść.
Novigrad Thug Strong 33|Not jarred-off easily, eh?|Novigrad Thug Strong 33|Any smartasses?|Novigrad Thug Strong 33|What? Smartass, eh?|No, cwaniaczku, he?|Nie tak łatwo cię zdenerwować, co?
Cirilla|Likewise, for the most part. In one, a monster grown from a stillborn child chased you.|Cirilla|Had a few nice dreams. For example, in one we sat around a fire, drinking good wine, and all around people danced and laughed.|Cirilla|Ugh, that was horrible…|Uch, to było okropne...|Ugh, to było straszne…
Skellige Girl 02|Why because of you?|Geralt|Once, I told me brother that uncle… did bad things to me. Yorg flew in a rage and killed him. Then they caught 'im and tied 'im to the rocks.|Skellige Girl 02|Cause… 'Cause… 'Cause I didn't like me uncle, Gretter. He was fat and stank.|No bo... No bo... Bo nie lubiłam tego wujka, Grettera. Był gruby i śmierdział.|Bo... Bo... Bo... Bo nie lubiłam mojego wujka, Grettera. Był gruby i śmierdział.
Priscilla|The key is to convince Dudu that he can rely on you. And that we wish to free Dandelion.|Priscilla|Now to find the proper expressive form for our content. A gripping, contemporary story - that'd be best.|Priscilla|The message must be clear, though naturally woven into the play's dramaturgical essence, meaning we need an appropriate dramatic structure. Following along?|To musi być absolutnie jasne przesłanie, ale oczywiście głęboko zintegrowane z efektem dramaturgicznym, a to znaczy, że potrzebujemy odpowiedniej struktury scenicznej. Rozumiesz?|Wiadomość musi być jasna, choć oczywiście wpleciona w dramaturgiczną esencję sztuki, więc potrzebujemy odpowiedniej struktury dramatycznej.
Skellige Girl 02|Wanna play hide-n-seek?|Skellige Girl 02|Got a betrothed?|Skellige Girl 02|How old're you?|Ile masz lat?|Ile masz lat?
Skellige Villager 02|Help me!|Skellige Villager 02|You'll never get me sheep!|Skellige Villager 02|Go back to the sea!|Wracajcie do morza!|Wracaj do morza!
Geralt|||||Claw marks - wolves. I should look around.|Ślady wilczych pazurów. Muszę się tu rozejrzeć.|Ślady pazurów - wilki. Powinienem się rozejrzeć.
Skellige Warrior 05|They say Lugos is fixin' for a fight. And not with the Black Ones, but with us.|Skellige Warrior 04|And if that lad o' his crosses my path, he'll truly be a blue boy.|Skellige Warrior 03|If he breaks the truce, he'll prove himself the madman we all call him.|Jeśli złamie rozejm, udowodni, że słusznie wołają na niego Szalony.|Jeśli złamie rozejm, udowodni, że jest szaleńcem, którego tak nazywamy.
Novigrad Nobleman 01|I spoke to him today. Know what he said?|Novigrad Nobleman 01|Take him! Alive!|Novigrad Nobleman 01|You find anyone sniffing around for me, they're to stop sniffing, for good.|„Jak ktoś będzie za mną węszył, to niech przestanie węszyć. Raz na zawsze”.|Jeśli znajdziesz kogoś, kto węszy wokół mnie, ma natychmiast przestać, raz na zawsze.
Geralt|When what was?|Eight|Oh, that! No, I don't remember. Ya might ask Wilhelm, though.|Eight|When Hjalmar an Craite was here with his men.|Kiedy Hjalmar an Craite i jego ludzie tu byli.|Kiedy Hjalmar an Craite był tutaj ze swoimi ludźmi.
Skellige Villager 01|A druid? No chance! I don't trust any man who ploughin' lives on roots and leaves!|Skellige Fisherman 01|||You'll have to make an exception or ye really will lose that leg.|Chyba będziesz musiał zrobić wyjątek, bo inaczej naprawdę stracisz nogę.|Musisz zrobić wyjątek, inaczej naprawdę stracisz tę nogę.
Cirilla|Avallac'h? He's not let me down to date. Not once.|Cirilla|But you failed to meet there…|Geralt|We had agreed that if anything went wrong and we were separated, we would meet at his hideout in Velen.|Tak czy siak umówiliśmy się, że gdyby coś poszło nie tak, spotkamy się w jego kryjówce w Velen.|Ustaliliśmy, że jeśli coś pójdzie nie tak i się rozdzielimy, spotkamy się w jego kryjówce w Velen.
Skellige Old Man 03|Yeah. And it had golden scales and smoke poured out its ass like it does out a chimney.|Geralt|And the princess' hand. But I'll just take the coin.|Geralt|Just like the skalds sing it… You've earned your reward.|Wszystko jak w pieśniach skaldów... Zasłużyliście na swoją nagrodę.|Tak jak śpiewają skaldowie... Zasłużyłeś na swoją nagrodę.
Geralt|||||Hm, a fresh corpse.|Te zwłoki są dość świeże.|Hm, świeże zwłoki.
Yennefer|Something's pinned under that tree. Can you…?|Geralt|||I can.|Dam.|Tak, mogę.
Novigrad Beggar 01|Sod off! This is my nook!|Novigrad Beggar 01|Bloody hell!|Novigrad Beggar 01|Walkin' about all dour-faced, scarin' decent folk…|Chodzi taki, morda szpetna, ludziska straszy...|Chodząc wszędzie ponury, straszysz porządnych ludzi...
Geralt|You haven't changed a bit.|Cirilla|I'd rather not. Not yet, at least.|Cirilla|Tell us what you talked about?|Opowiesz nam, o czym rozmawiałyście?|Opowiedz nam o czym rozmawialiście?
Geralt|Well played. Congratulations on both your victories. I'd wanted to summon the guards, initially, but…|Count Tybalt|Please join me for the final.|Count Tybalt|Yeah, it's better I took care of it.|Tak, wolałem załatwić to sam.|Tak, lepiej że sam się tym zająłem.
Geralt|Gotta be the lowest level.|Geralt|Chest completely crushed. Ribs must've pierced the lungs.|Geralt|Missing one tile.|Brakuje jednej płytki.|Brakuje jednej płyty.
Geralt|You've not seen us!|Dwarf Bashful|Borrowed. We knew it was yours, still is. You don't think we'd do that to a mate like you - plough you soapless while you slept off a bender?|Dwarf Doc|You stole my boat.|Ukradliście tę łódkę.|Ukradliście moją łódź.
Skellige Villager 01|Your stomach.|Skellige Druid 01|Love.|Skellige Druid 01|And lovage?|A lubczyk?|Lubczyk?
Geralt|It's just… you'll have somewhere to come home to.|Triss|Let's go to the bathhouse, might not be too late.|Geralt|Always used to be Kaer Morhen… House in your vision looks a lot cozier…|Zawsze wracałem do Kaer Morhen... Ale dom z twojej wizji wygląda znacznie bardziej przytulnie...|Zawsze był to Kaer Morhen... Twój dom w wizji wygląda dużo przytulniej...
Redanian Soldier 01|All right, let me cross.|Geralt|Wanna frisk me?|Geralt|Are you in a rush? Got somethin' concealed, maybe?|Tak ci się spieszy? Masz może coś do ukrycia?|Czy się panu spieszy? Może ma pan coś ukrytego?
Verden Old Man 01|Your sobbin', whinin' - it's killed me appetite! Now begone!|Verden Old Man 01|But he were a bad man, and an ill fate befell 'im.|Verden Old Man 01|So the lord went back to his feast, drank and gorged hisself to sleep.|I wrócił dziedzic na ucztę. Tam żarł i pił aż do zemdlenia.|So the lord went back to his feast, drank and gorged hisself to sleep.
Cirilla|He's had more than his share of concerns…|Triss|||Sh, he's coming.|Cicho, idzie.|Ciii, on nadchodzi.
Geralt|Here's where the mash goes, probably.|Geralt|||Done.|Zrobione.|To już chyba skończone.
Verden Girl 01|||||Must be comin' home from war.|Musi z wojny wraca.|Muszę wracać z wojny do domu.
Vernossiel|||Might not trouble you. But the Redanians're convinced something prowls these woods. Hired me to kill it.|Geralt|Vatt'ghern? Strange. No monsters trouble us.|Vatt’ghern? Ciekawe. Nie mamy tu problemów z potworami.|Vatt'ghern? Dziwne. Żadne potwory nas nie niepokoją.
Geralt|Master Claytop heartily greets the challenger!|Novigrad Rich Man 01|Will you take up the challenge? Will you face our tavern's champion?|Novigrad Rich Man 01|Greetings to Master Claytop from Geralt.|Geralt wita pana Claytopa.|Pozdrowienia dla Mistrza Glinianego Serca od Geralta.
Yennefer|Now you'll tell me why you need this mask.|Geralt|Take you'll decide when.|Geralt|Oh, I shall. In due course.|Owszem. Ale wszystko w swoim czasie.|Wkrótce ci wyjaśnię, dlaczego potrzebuję tej maski.
Novigrad Poor Man 01|||Bloede dh'oine...|Scoiatael Man 01|What you starin' at?|Na co się gapisz?|Co tak patrzysz?
Crach|Out of my way, old man… And I shall spare your life.|Eredin|Hahahaha… As you will.|Eredin|I dare you to take it instead.|Może lepiej spróbuj je zabrać.|Śmiałbym się spróbować odebrać ci życie.
Geralt|Here you are! So, about this private showing…|Novigrad Rich Woman 01|Oh. I'm sorry, I…|Novigrad Rich Woman 01|Under any other circumstances I'd give you the full monty.|W innych okolicznościach dałbym z siebie wszystko.|W normalnych okolicznościach dałbym ci pełny pokaz.
Novigrad Rich Man 02|||What is this?!|Zoltan Chivay|Ah, at last. I fear the body's gone cold.|No wreszcie. Trup już zdążył wystygnąć.|Ah, at last. I fear the body's gone cold.
Cyprian Willey|I'll finish what you started.|Cirilla|Dudu?|Cirilla|Whoa-ho, stop! It's me, Dudu! Dudu Biberveldt! You really didn't recognize me?|Hola, stój! To ja, Dudu! Dudu Biberveldt! Naprawdę mnie nie poznaliście?|To ja, Dudu! Dudu Biberveldt! Naprawdę mnie nie poznałaś?
Novigrad Rich Woman 15|You've the stench of blood about you.|Novigrad Rich Woman 15|Stare any harder and your eyes will pop out.|Novigrad Rich Woman 15|A hired killer. I wonder if he pays taxes.|Najemny morderca. Ciekawe czy podatki płaci.|Ciekawe czy płaci podatki.
Skellige Warrior 03|Dammit all! They'll pick us off like ducks!|Skellige Guard 01|Demons! The demons of Mörhogg!|Skellige Warrior 04|Fuckin' hell!|Kurwa mać!|Cholera jasna! Wybiją nas jak kaczki!
Yennefer|You didn't have it?|Geralt|||For a short time only. Once the emperor's mages got their hands on me, my memory quickly returned.|Tylko przez jakiś czas. Kiedy trafiłam w ręce cesarskich czarodziejów, szybko odzyskałam wspomnienia.|Tylko przez krótki czas. Kiedy magowie cesarscy dorwali mnie w swoje ręce, moja pamięć szybko wróciła.
Witch Whispess|You'll return, you shall. Our fates are bound.|Witch Weavess|||And one will die. But it shan't be one of us.|A wtedy ktoś umrze. Ale żadna z nas.|I jedna z nas umrze. Ale to nie będę ja.
Geralt|Yes? What is it, Wolf?|Vesemir|||See you later, Vesemir.|Na razie.|Do zobaczenia później, Vesemirze.
Temerian Merchant 01|Mhm. A little wet, but intact.|Geralt|No dryads in these swamps, and never known a drowner or a water hag to use a bow. So lacking any other suspects, I'm guessing--|Geralt|At last, fortune smiles my way! Yours as well, witcher. Here, the gold I promised you. Happy trails, now.|Wreszcie uśmiechnęło się do mnie szczęście! I do ciebie też, wiedźminie... Masz. To obiecane złoto! Szerokiej drogi!|Wreszcie fortuna uśmiechnęła się do mnie! Twoja też się poprawi, wiedźminie. Oto obiecane złoto. Miłej drogi.
Novigrad Thug Strong 01|Boss's got a voracious appetite. I hear 'em squealin' like sows bein' slaughtered.|Novigrad Thug Strong 02|Mhm, yeah…|Novigrad Thug Strong 02|Ah, I could do with a little fleshy diversion myself.|Sam bym się chętnie tak zabawił.|Ah, I could do with a little fleshy diversion myself.
Witch Whispess|||||Mhehe. A child of the Elder Blood!|Dziecię Starszej Krwi...|Ach, dziecko Starszej Krwi!
Yennefer|Doesn't look like the talkative type.|Geralt|Thought necromancy was strictly forbidden.|Geralt|Anyone can be made to talk, even a corpse… One must simply know how.|Każdego można zmusić do gadania, nawet trupa... Trzeba tylko wiedzieć jak.|Każdego można skłonić do mówienia, nawet trupa… Trzeba tylko umieć.
Eternal Fire Guard 02|Surrender!|Eternal Fire Guard 02|Hmm?|Eternal Fire Guard 02|Dead man! Dead man!|Trup! Trup!|Martwy człowiek! Martwy człowiek!
Novigrad Boy 01|You're jokin'!|Novigrad Boy 01|Saw some dead folk…|Novigrad Boy 01|I don't believe you!|Nie wierze ci!|Nie wierzę ci!
Novigrad Rich Man 01|||||Two!|Dwa!|Dwa!
Geralt|{N'ess a tearth. }[Don't be afraid.]|Elf Man 02|||Shit.|Zaraza.|Cholera.
Guslar|This Voytek from your vision - know him?|Geralt|In Blackbough lives one. In his hut, there he stays, has for years. Gophers, with gophers he lives, they say. And he can remember a time when in these lands dwelled only elves.|Guslar|Voytek… Voytek… Two Voyteks have we nearabouts.|Wojciech, Wojciech... W okolicy mamy dwóch Wojciechów.|Voytek… Voytek… Dwóch Voytków mamy w okolicy.
Keira Metz|Find him immediately. We're close to unraveling this, I can feel it.|Keira Metz|Had to fight a pesta.|Geralt|What was that? It sounded for a moment like you'd joined the wraiths yourself…|Co to było? Brzmiało, jakbyś postanowił dołączyć do drużyny upiorów...|Co to było? Na chwilę brzmiało tak, jakbyś sam stała się upiorem...
Triss|Moment of weakness.|Geralt|Can't think about that.|Geralt|Well, none of those during the battle, please. If anything should happen to you…|Tylko nie okaż jej w walce... Jeśli coś ci się stanie...|Proszę, żadnych słabości podczas bitwy. Jeśli cokolwiek by ci się stało…
Geralt|Shall we begin?|Yennefer|Need a bit more time.|Geralt|Graden'll show up, and Zoltan awaits your signal.|Graden się zjawi, a Zoltan czeka na twój sygnał.|Graden się pojawi, a Zoltan czeka na Twój sygnał.
Novigrad Rich Man 01|And as the Princess…|Novigrad Rich Man 01|We have for you a tale moving and heartbreaking…|Novigrad Rich Man 01|…renowned artiste, beloved queen of the stage, Irina Renarde!|...wybitną artystkę, królową sceny, Irinę Renarde!|...renowned artiste, beloved queen of the stage, Irina Renarde!
King Beggar|||||Ahhh!|Aaah!|Ach!
Molly|I'm under the impression Dandelion thinks you still serve the la Valettes…|Geralt|And your husband has nothing against it... your old friendship?|Geralt|Oh, that's 'cause I never told him I stopped. Didn't want him to treat me any different…|Och, bo nigdy mu nie powiedziałam, że przestałam. Nie chciałam, żeby zaczął mnie inaczej traktować...|Oh, to dlatego, że nigdy mu nie powiedziałam, że przestałam im służyć. Nie chciałam, żeby traktował mnie inaczej...
Novigrad Nobleman 01|No faculty meetings to attend, no tenure to gain, endnotes to compile. First soldier you see'll kill you.|Geralt|Boots.|Geralt|Why would he do that? Me, a neutral civilian, a scholar…|Niby czemu? Jestem cywilem, bezstronnym...|Dlaczego miałby to robić? Ja, neutralny cywil, uczony…
Halfling Man 05|Dill pickle soup for luncheon today. Lovely.|Halfling Man 05|*Sneezes* Excuse me.|Halfling Man 05|Gloomy as a root cellar, y'are.|Mroczny jesteś jak piwnica z rzepą.|Jesteś ponury jak piwnica na warzywa.
Geralt|||||A woman came through here. Barefoot.|Szła tędy kobieta. Boso.|Przeszła tędy kobieta. Bosa.
Yennefer|What would be the point? Surely none now.|Cirilla|…authoritarian rotter unworthy of even one inch of trust?|Cirilla|And later? Don't count your father out just because he's the world's richest and most powerful--|A później? Nie skreślaj swojego ojca tylko dlatego, że jest najbogatszym i najbardziej wpływowym...|I później? Nie licz na swojego ojca tylko dlatego, że jest najbogatszym i najpotężniejszym...
Geralt|Hah! Look who we have here!|Baron Bandit Weak 01|It's not the time for brawls, now. Come back another day.|Baron Bandit Weak 01|Don't feel like fighting right now.|Na razie nie mam ochoty na walkę.|Nie mam teraz ochoty na walkę.
Geralt|It's a trap, Geralt.|Triss|Such a sharp sense of smell, you should've legged it while you had the chance.|Novigrad Rich Man 01|This stank from the start.|Od początku coś mi tu śmierdziało.|Ten smród był od początku.
Skellige Merchant 01|Yeah, I found it. Glad to give it back, provided the finder's fee is fair.|Geralt|Thanks.|Geralt|Naturally. Wouldn't have it any other way.|Wiadomo. U nas się inaczej nie godzi.|Naturalnie. Tak bym tego nie widział.
Skellige Blacksmith Helper 02|What d'ya need?|Skellige Blacksmith Helper 02|What're you selling, what's good?|Geralt|Oof, stay where y'are - heat from the furnace is somethin' awful.|Uch, nie podchodź bliżej, bo żar z paleniska bije.|Stój tam gdzie jesteś - żar z pieca jest czymś strasznym.
Geralt|Naïvety is a fool's blessing…|Geels|Oh! Who's this? And why are they here?|Elf Female 01|Shut your mouth or I'll shove a gag in it.|Stul pysk, bo założę ci knebel.|Zamknij się albo cię zaknebluję.
Eskel|Oh, fuck off.|Lambert|Still got time to leave.|Lambert|Geralt, this is a problem. Don't dismiss it.|A ty, Geralt, nie lekceważ problemu.|Geralt, to jest problem. Nie lekceważ go.
Cirilla|Yes. And I must do this.|Cirilla|Wait, something I gotta tell you before we go.|Geralt|Come, we shall talk on the way.|Chodź, pogadamy po drodze.|Chodźmy, porozmawiamy po drodze.
Triss|What's that?|Geralt|What?|Geralt|Uhh… nothing. A preliminary image.|Yyy... nic. Obraz wstępny.|Nic takiego. Wstępny obraz.
Verden Woman 03|*Sneezes* Some malady's tryin' to grip me.|Verden Woman 02|Aaaaa!|Verden Woman 03|Someone have mercy!|Niech ktoś się nade mną zlituje!|Ktoś ma litość!
Geralt|Folk took to sayin' that the river'd flowed red with blood, er, that the baron had slaughtered his prisoners to a man. Been known as the Bloody Baron ever since.|Verden Peasant 05|Well, a week before, he'd massacred a whole squadron in Ingholm. But far fewer heard that story.|Verden Peasant 05|Kind of ironic.|Ironia losu?|To trochę ironiczne.
Skellige Old Woman 04|Ah, that's rubbish.|Skellige Old Woman 04|Yaaaawn…|Skellige Old Woman 04|Think they'd dare do it?|Myślisz że oni sie na to odważą?|Myślicie, że odważyliby się to zrobić?
Elf Man 03|Incredibly useful skill.|Geralt|Bonfires, wine, jugglers… What more could you ask for?|Geralt|Finally found you two! Enjoying yourselves?|No, nareszcie was znalazłem. Dobrze się bawicie?|W końcu was znalazłem dwóch! Cieszysz się?
Yennefer|||||I detest it when you walk away without a word.|Nie lubię, kiedy mnie zostawiasz bez słowa.|Nienawidzę, kiedy odchodzisz bez słowa.
Novigrad Nobleman 02|Your friends, among others. Once we've all gathered, I'll lead you--|Triss|Farewell.|Novigrad Nobleman 02|You will lead? Forgive me, Merigold, but that is like allowing myself to be led by a lame duck.|Ty wyprowadzisz? Wybacz, Merigold. To tak, jakbym dał się prowadzić kulawemu kaczątku.|Wy poprowadzicie? Wybacz mi, Merigold, ale to tak, jakbym pozwolił prowadzić się kulawemu kaczorowi.
Geralt|Ah. So that's how it's to be.|Verden Peasant 02|Forgive me... Didn't know ye came from the Ladies of the Wood.|Verden Peasant 02|So, you know who sent me. Good, easier that way.|Wiesz, kto mnie przysyła. Dobrze, będzie łatwiej.|Tak więc, wiecie kogo do was przysłano. Dobrze, będzie prościej.
Cirilla|I visited a city once that was very much like Novigrad.|Cirilla|This somewhere in Zerrikania?|Geralt|But the people there were much taller and had dark skin.|Tylko ludzie byli tam znacznie wyżsi i mieli czarną skórę.|To było gdzieś w Zerrikanii?
Geralt|Why not?|Lambert|Why didn't you say anything?|Lambert|I killed him.|Zabiłem go.|Zabiłem go.
Verden Old Woman 02|Can you tell me anything more?|Geralt|"He stands by me headboard and wails: ""So many years apart, I've such woe in the beyond, come join me."""|Verden Old Woman 02|You see, Jackamar haunts me dreams… Jackamar's me husband, or was till he died at war.|Widzicie, nachodzi mnie w snach Jaczemir... Znaczy, mój mąż, co na wojence zginął.|Jackamar nawiedza moje sny... Jackamar był moim mężem, dopóki nie zginął na wojnie.
Witch Hunter 02|You!|Witch Hunter 02|Eternal Fire!|Witch Hunter 02|I'd advise you not to try my patience.|Nie wystawiaj na próbę ssmojej cierpliwości.|Nie radzę wystawiać mojej cierpliwości na próbę.
Elf Female 44|Aaah! Aaah!|Elf Female 44|Ha ha ha ha ha....|Elf Female 44|Oh...! And who is that!|Och! A któż to?|Oh...! A kto to!
Verden Peasant 02|Put it out yer mind, master. Ye soon be leavin', and we must tarry on. Our young'uns, and their young'uns after 'em.|Verden Peasant 02|The Crones, or the Ladies of the Wood, as you call them, said to remind you about payment. Take it you know what they want.|Geralt|No gods nor masters watch over Velen. The land is no man's. He who wants to survive must seek his own protectors.|Nad Velen nie czuwają ani bogowie, ani żaden władca. To ziemia niczyja. Kto chce przeżyć, ten sam sobie musi znaleźć pana.|No bogowie ani panowie nie strzegą Velenu. Ziemia ta nie należy do nikogo. Kto chce przeżyć, musi szukać własnych obrońców.
Novigrad Thug Weak 03|S'all right. I'll try me knuckledusters. Come here!|Novigrad Thug Strong 03|It's a comedy - a ghoul could play the prince. Lighten up, for gods' sake.|Novigrad Thug Weak 03|Give it a rest, mate. Can't you see it's all in fun?|Daj spokój. Nie widzisz, że to żarty są?|Daj spokój, stary. Widzisz chyba, że to wszystko dla żartów?
