speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Verden Old Man 02|Slish, slash, slew the besotted beast! Sadly, he died of his wounds soon after.|Verden Old Man 02|A knight like George - we could use one now…|Verden Old Man 03|Out o' gratitude our forebears built 'im a tomb. It stands in the caves to this day.|Z wdzięczności mu nasi dziadowie sprawili grobowiec. Do dziś w jaskiniach stoi!|Wybudowali mu grobowiec z wdzięczności. Stoi on w jaskiniach do dziś.|Z wdzięczności nasi przodkowie zbudowali mu grób. Stoi on w jaskiniach do dziś.
Geralt|||||Stupid fucking goat. Follow me. Need to stay closer to it.|Zaraza, czemu ta głupia koza za mną nie idzie? Muszę się trzymać bliżej.|Głupi pierdolony kozioł. Chodź za mną. Musimy trzymać się bliżej niego.|Głupi jebany kozioł. Chodź za mną. Muszę być blisko niego.
Ugliest Man Alive|I'm looking for Ciri. Ashen hair, scar on her cheek. Seen her?|Geralt|||Uma! Uma! Umamama!|Uma! Uma! Umamama!|Uma! Uma! Umamama!|
Skellige Druid 04|Gods!|Skellige Druid 04|I shan't parley with you.|Skellige Druid 04|O Freya, swaddle all living creatures in your protective embrace.|Otocz swą opieką Freyjo, wszystkie żywe stworzenia.|O Freya, otulaj wszystkie stworzenia swym opiekuńczym uściskiem.|O Freya, otul wszystkie istoty żywe swoim ochronnym uściskiem.
Novigrad Old Man 01|||||From the far east, where a man's life is worth less than a cup of water, a witcher! A murderous mutant!|Z dalekiego wschodu, gdzie ludzkie życie jest tańsze niż kubek wody, przybył walczyć wiedźmin! Mutant-morderca!|Z dalekiego wschodu, gdzie życie człowieka jest warte mniej niż szklanka wody, wiedźmin! Morderczy mutant!|Z dalekiego wschodu, gdzie życie człowieka jest warte mniej niż kubek wody, czarodziej! Morderczy mutant!
Geralt|If that's how you wish to be, I shall travel to Vizima. Emperor must be wondering what progress we've made…|Yennefer|You sure this mage actually had a djinn?|Geralt|Do what you gotta do.|Skoro musisz.|Rób co musisz zrobić.|Rób to, co musisz zrobić.
Verden Peasant 04|Spirit - speak! This time is yours! Tell us of your ghostly woes!|Guslar|Should I drive him away?|Geralt|Tis old man Ambros!|Kurwa, to stary Jamroz!|To stary Ambros!|Ten stary człowiek to Ambroży!
Eredin|||||Ess'tedd, esse creasa.|Ess’tedd, esse creasa.|Ess'tedd, esse creasa.|
Skellige Villager 01|Think the gods would've seen Svanrige's strength?|Skellige Villager 02|Svanrige could be king yet. These're uncertain times…|Skellige Villager 04|I think they know he'll make a good warrior. As he'd 'ave made a good king.|Myślę, że z niego będzie dobry wojownik. I byłby dobry król.|Myślę, że oni wiedzą, że zrobi z niego dobrego wojownika. Bo byłby z niego dobry król.|Myślę, że wiedzą, że zrobi z niego dobrego wojownika. Tak jak zrobiłby z niego dobrego króla.
Skellige Armorer 02|I want 'im to take me huntin', 'stead of leavin' me to mind these pots. I'm a better shot than he is!|Skellige Woman 03|It's, uh… adornment. I engraved it.|Skellige Blacksmith Helper 01|What's this?|Co to ma być?|Co to jest?|Co to jest?
Yennefer|It'll be the first Trial in years… decades.|Geralt|Wary? That's not the problem. Those secrets have been forgotten. And that's how they should stay.|Lambert|I knew you'd be wary.|Wiedziałam, że wam się to nie spodoba...|Wiedziałam, że będziesz ostrożny.|Wiedziałem, że będziesz ostrożny.
Scoiatael Elf Man 33|You'll regret that!|Scoiatael Elf Man 33|I've killed Rivians, before.|Scoiatael Elf Man 33|Rivian.|Riv.|Rycerz.|Rivian
Skellige Hunter 02|Ice Giant, then that werewolf Morkvarg… You been busy, witcher.|Skellige Hunter 01|Go back where you come from.|Skellige Hunter 02|Don't ye putter 'round here.|Nie pałętaj się tu.|Nie kręć się tu.|Nie kręć się tutaj.
Godling Johnny|||||…|...|…|
Verden Old Man 02|Let it go. 'Tis the hunger… makes me head spin.|Verden Old Man 02|Tisn't easy, not at all…|Verden Old Man 02|Be well!|Trzymajcie się zdrowo!|Niech ci się wiedzie!|Bądź zdrowy!
Redanian Townsman 04|Have a nice day.|Redanian Townsman 04|Ah, forgive me.|Redanian Townsman 04|Viva Radovid!|Wiwat Radowid!|Niech żyje Radovid!|Niech żyje Radovid!
Geralt|Then go outside, get some air. I've given you your reward, you've no reason to stay.|Novigrad Rich Woman 03|Tricked? I only said my house was haunted. I could not know it was hunters…|Novigrad Rich Woman 03|Don't enjoy being tricked.|Nie lubię, jak się mnie oszukuje.|Nie ciesz się byciem oszukanym.|Nie ciesz się z bycia oszukiwanym.
Novigrad Guard 03|See what I can do.|Geralt|What did the corpses look like?|Geralt|We'll pay you. The boys and me, we pooled what we had for a reward.|Zapłacimy. Razem z chłopakami zrobiliśmy ściepę. Na nagrodę.|Zapłacimy ci. Ja i chłopaki zebraliśmy pieniądze na nagrodę.|Zapłacimy ci. Chłopcy i ja zebraliśmy to, co mieliśmy, jako nagrodę.
Novigrad Peasant 03|Bringin' your drinkin' mates home now, is that it?!|Novigrad Peasant Woman 03|Likely!|Novigrad Peasant Woman 03|I don't know them.|Nie znam go.|Nie znam ich.|Nie znam ich.
Hattori|I'll be back.|Geralt|||Don't leave me here!|Nie zostawiaj mnie tutaj!|Nie zostawiaj mnie tutaj!|Nie zostawiaj mnie tutaj!
Geralt|See? Ravvy's on board. Whaddaya say we add some spice to the game, raise the stakes - Ravvy's life and the Natalis card. Fancy that?|Novigrad Thug Strong 02|Mhahaha! And here I thought you'd be no fun at all.|Novigrad Thug Strong 02|Agreed.|Zgoda.|Zgadzam się.|Zgoda.
Geralt|Nearby. Listen…|Avallach|I've heard enough of your bullshit. Draw your weapon, let's get this over with.|Geralt|Shut up.|Zamknij się.|Przymknij się.|Zamknij się.
Avallach|Ithlinne's Prophecy is drivel. Destruction is not our fate.|Geralt|Avallac'h is right. If I do nothing, humans, elves, all will face destruction.|Cirilla|You have seen the future, don't you remember? Entropy cannot be stopped. The worlds will freeze, one after the other, and all life will perish.|Widziałeś przyszłość, nie pamiętasz? Entropii nie da się zatrzymać. Światy zamarzną jeden po drugim, a wszelkie życie zginie.|Widziałeś przyszłość, nie pamiętasz? Entropii nie da się zatrzymać. Światy będą zamierać jeden po drugim, a całe życie zginie.|Widziałeś przyszłość, czyżbyś nie pamiętał? Entropia nie może zostać zatrzymana. Światy będą zamrażać się jeden po drugim, a wszelkie życie wyginie.
Novigrad Poor Woman 17|Eh, sod it.|Novigrad Poor Woman 17|Watch it! Geezer…|Novigrad Poor Woman 18|They's stealin' our work, those Temerians!|Robotę nam zabierają, ci uchodźcy, Temerczyki.|Oni kradną naszą pracę, ci Temerianie!|Oni kradną naszą pracę, ci Temeriańczycy!
Novigrad Rich Man 02|You asked for it…|Geralt|Mercy… I've had enough.|Novigrad Rich Man 02|Come back, you coward! I'm not done with you!|Wracaj tu, tchórzu ty! Jeszcze z tobą nie skończyłem!|Wracaj, tchórzu! Nie skończyłem z tobą!|Wracaj, tchórzu! Nie skończyłem z tobą!
Avallach|Many times, but I don't remember a thing.|Geralt|Did Eredin start hunting her because of that? Because of me? Why didn't she say anything?|Geralt|Ciri came for you. She sensed you were in danger, tore you from the Hunt's grasp, then deposited you in the woods near Kaer Morhen.|To Ciri po ciebie przyszła. Wyczuła, że jesteś w niebezpieczeństwie, wyrwała cię z łap Gonu i przeniosła do lasu pod Kaer Morhen.|Ciri przyszła po ciebie. Wyczuła, że jesteś w niebezpieczeństwie, wyrwała cię z uścisku Łowców, a potem zostawiła cię w lesie niedaleko Kaer Morhen.|Ciri przyszła po ciebie. Wyczuła, że jesteś w niebezpieczeństwie, wyrwała cię z uścisku Łowcy, a następnie zostawiła cię w lesie niedaleko Kaer Morhen.
Skellige Old Man 01|Oh, the many times the sea drenched me and froze me thorugh to me marrow…|Skellige Old Man 01|They strutted into the village and raped our lasses.And Holger was among 'em!|Skellige Old Man 01|Twas the jarl put the bun in 'er!|To jarl ją zabrzuszył!|To Jarl włożył bułkę do jej ręki!|To jarl włożył jej bułkę!
Lambert|Line must've come loose.|Geralt|||Really? Here I thought the boat untied itself, to go for jaunt on its own. Dammit, in this fog we'll never--|Doprawdy? A ja myślałem, że łódka sama się odwiązała. Cholera, w tej mgle nigdy jej...|Naprawdę? Myślałem, że łódź sama się odwiązała, żeby popłynąć na przejażdżkę. Cholera, w tej mgle nigdy...|Naprawdę? Myślałem, że łódź sama się odwiązała, żeby wyruszyć na przejażdżkę. Cholera, w tej mgle nigdy...
Skellige Villager 02|Why's that? Veins're too deep in the rock?|Skellige Villager 01|How could he. Three sons I gave him. All healthy lads.|Skellige Woman 01|Naye. There's somethin' in those caves… Somethin' that kills any man that enters, pickaxe in hand or no.|Nie. W tych pieczarach coś mieszka... Coś, co zabije każdego, kto wejdzie z kilofem.|Nie. W tych jaskiniach... Jest coś, co zabija każdego mężczyznę, który tam wejdzie, z kilofem czy bez.|Nie. Jest coś w tych jaskiniach... Coś, co zabija każdego mężczyznę, który tam wchodzi, z kilofem czy bez.
Verden Peasant 04|What're you doing here?|Geralt|You too can seek His aid… That's if you've got fittin' offerin's. He scorned ours, then cursed the whole village.|Verden Peasant 02|What? This 'un fly in from the moon? We're makin' offerin's to the Allgod, clearly.|A ten co, z księżyca zleciał? Składamy dary Wszechbogu, się rozumie!|Co? Ten gość spadł z księżyca? Składamy ofiary dla Wszechboga, przecież widać.|"Co? Ten ""niezidentyfikowany obiekt latający z księżyca? My robimy oferty dla wszystkich bogów, jasne."
Letho|Tell 'em I sent you. They'll understand, give you space.|Geralt|So, see you at Kaer Morhen.|Geralt|Kaer Morhen, you say… Hmm, why not? Got some loose ends to tie up, but then I'll head there.|Kaer Morhen, mówisz... Hmm, czemu nie? Załatwię jeszcze kilka rzeczy i pojadę tam.|Letho - Kaer Morhen, tak mówisz... Hmm, dlaczego nie? Mam parę luźnych spraw do załatwienia, ale potem tam pojadę.|Kaer Morhen, mówisz... Hmm, czemu nie? Mam kilka luźnych wątków do związania, ale potem tam pojadę.
Geralt|||||These tracks're older. Somebody left the camp before the attack…|Te ślady są starsze. Ktoś odłączył się od obozu przed atakiem...|Te ślady są starsze. Ktoś opuścił obóz przed atakiem...|Te ślady są starsze. Ktoś opuścił obóz przed atakiem...
Keira Metz|Look, it worked.|Keira Metz|Zireael not recognized. Intruders. Destroy the intruders.|Golem|I've a bad feeling about this…|Mam złe przeczucia...|Mam złe przeczucia co do tego...|Mam złe przeczucia co do tego...
Margarita Laux Antille|I don't recall you having these doubts when he was healing you.|Philippa Eilhart|Hm?|Philippa Eilhart|Do you know what I just realized?|Wiesz, co sobie właśnie uświadomiłam?|Właśnie coś sobie uświadomiłam.|Czy wiesz, co właśnie zdałem sobie sprawę?
Triss|Geralt gave the signal!|Cirilla|Elli Abadabra Sani!|Triss|I'm ready!|Jestem gotowa!|Jestem gotowa!|Jestem gotowy!
Folan|Heeeheheh ahhh… But where are the others?|Vigi|Hahahaha!|Hjalmar|Vigi… you daft bastard.|Vigi... Ty pojebie.|Vigi... ty głupi draniu.|Vigi... ty głupi draniu.
Skellige Guard 05|Yaaaaawn…|Skellige Guard 05|You're too eager to believe.|Skellige Guard 05|They light lanterns on the rocks, then loot the wrecked ships!|Oni na skały latarnie wynoszą, a potem rozbite statki rabują!|Zapalają latarnie na skałach, a potem rabują wraki statków!|Zapalają latarnie na skałach, a potem rabują rozbite statki!
Geralt|Here…|Skellige Villager 02|Shoulda seen it! I said you'd pull it off, Gunnar said there weren't a chance. It's why he's got that sheep's arse frown now.|Skellige Villager 04|You bet on it?|Założyliście się?|Postawiłeś na niego?|Zakładacie się o to?
Skellige Blacksmith Helper 03|Relax… They're fine, just not what I need.|Geralt|How are things? Business good?|Geralt|Foreigners and their fancies… Fine, show me what you want.|Obcy i ich smaki... No dobra, pokaż, o co chodzi.|Cudzoziemcy i ich zachcianki... W porządku, pokaż mi czego chcesz.|Cudzoziemcy i ich zachcianki... Dobrze, pokażcie mi, czego chcecie.
Cirilla|Come here.|Cirilla|I won't let them take you, you know that?|Geralt|Everything will be all right.|Wszystko będzie dobrze.|Wszystko będzie w porządku.|Wszystko będzie dobrze.
Geralt|What mood would you be in if you'd lost your son…? So, I'm askin' - what d'ye want?|Skellige Blacksmith Helper 01|So be it…|Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Chcę obejrzeć twoje towary.|Nie miałbym nic przeciwko rzuceniu okiem na twój towar.|Nie miałbym nic przeciwko rzuceniu okiem na twój stan magazynowy.
Geralt|Hmm, a power cell for portals… Feels dead.|Geralt|Should work now…|Geralt|Maybe a Sign'll revive it…?|Może da się je naładować którymś ze Znaków.|Może znak pomoże...?|Może jakiś znak je ożywi…?
Geralt|||||Hm. Might wanna look around some.|Warto się tu rozejrzeć.|Może warto rozejrzeć się trochę.|Hm. Może warto się rozejrzeć.
Geralt|Important thing now's to get outta here. Will ye help, master witcher?|Verden Peasant 05|||Need to tend to the monster. Doubt I'll have to look far. Wyverns like to herd their prey towards their nests.|Zajmę się potworem. Wiwerny często próbują zagnać ofiary w pobliże gniazda, więc pewnie nie będę musiał szukać daleko.|Muszę zająć się potworem. Wątpię, żebym musiał go długo szukać. Wywerny lubią gromadzić swoją zdobycz w pobliżu swoich gniazd.|Muszę zająć się potworem. Wątpię, czy będę musiał szukać daleko. Wyverny lubią gromadzić swoją zdobycz w kierunku swoich gniazd.
Geralt|We'll never surrender Ciri.|Triss|||I know that look. Something eating you?|Wyglądasz, jakby coś cię gryzło...|Rozpoznaję ten wyraz twarzy. Coś cię gnębi?|Znam ten wzrok. Coś cię gryzie?
Baron|Go home. Get yourself together. I'll try to find your other daughter - the one who's still alive.|Geralt|Me? Nothing. Just hope the pellar knows what to do with it. Go home. I'll come see you once I know something.|Geralt|What… what will you do with that blood?|Co... Co chcesz zrobić z tą krwią?|Co... co zrobicie z tą krwią?|Co... co zrobisz z tą krwią?
Geralt|Go and train with her. Then come back. It'll give me a chance to put my face on.|Yennefer|You've known many?|Yennefer|Of all the women I've known, you're the only one who does that before…|Ze wszystkich kobiet, które poznałem, tylko ty malujesz się idąc do łóżka.|Ze wszystkich kobiet, które znam, ty jesteś jedyną, która robi to przed...|Ze wszystkich kobiet, które znam, ty jedyna robisz to przed...
Vesemir|||||Throw a bomb. Don't worry, Ciri, Quen'll dampen the blow.|Rzuć petardą. Bez obaw, Ciri, Quen wytrzyma wybuch.|Rzuć bombę. Nie martw się, Ciri, Quen osłabi uderzenie.|Rzuć bombę. Nie martw się, Ciri, Quen złagodzi cios.
Redanian Soldier 04|Regards.|Redanian Soldier 04|Stay outta my way.|Redanian Soldier 04|Sod off, you misborn clod.|Won stąd, dziwolągu.|Spieprzaj stąd, ty niechlujny gburze.|Odwal się, ty niechciany gnoju.
Geralt|Hahaha! Waaaoho! Hahaha…|Triss|||Careful…!|Uważaj...!|Uważaj...!|Uważaj...!
Geralt|Into, fucking, what...?|Baron|But how… how does it know?|Baron|A cursed creature that draws strength from killing pregnant women. Once it's strong enough, it attacks those who scorned it.|To przeklęte istoty, które czerpią moc, zabijając ciężarne kobiety. Gdy są wystarczająco silne, atakują tych, którzy je skrzywdzili.|Przeklęte stworzenie, które czerpie siłę z zabijania ciężarnych kobiet. Gdy staje się wystarczająco silne, atakuje tych, którzy je skrzywdzili.|Przeklęte stworzenie czerpiące siłę z zabijania ciężarnych kobiet. Gdy jest wystarczająco silne, atakuje tych, którzy nim gardzili.
Celina|Crones? Where d'you get such an ugly word, young man?|Celina|There's no limit to how jealous and petty humans can be. Do we look like crones to you?|Celina|Village bitches have been gossiping again.|Baby po wsiach znów nas obgadują.|Celina: Mieszkańcy wioski znów plotkują.|Wiejskie suki znowu plotkują.
Dwarf Man 01|Ach. I'd expect teeth to grow up me arse before I'd expect to find Whoreson hidin' in his house!|Dwarf Man 02|Ought to burn the corpses, though. Else rats'll congregate to feast.|Dwarf Man 01|Cleaver said to be thorough, so we look everywhere.|Tasak kazał szukać dokładnie, to szukajmy.|Cleaver kazał być dokładnym, więc sprawdzamy wszędzie.|Cleaver powiedział, że trzeba być dokładnym, więc sprawdzamy wszędzie.
Skellige Old Woman 01|Greetings, greetings.|Skellige Old Woman 01|Greetings.|Skellige Old Woman 01|What can one say?|Cóż powiecie?|Co można powiedzieć?|Co można powiedzieć?
Verden Peasant 05|Important thing now's to get outta here. Will ye help, master witcher?|Verden Peasant 05|||We'll wait here. Wouldn't want to get in your way.|My tu poczekamy. Coby nie przeszkadzać.|Poczekamy tutaj. Nie chciałbym ci przeszkadzać.|Poczekamy tutaj. Nie chcielibyśmy przeszkadzać.
Geralt|Ventured a bit too far, white-haired stray. But ye still got a chance to leave 'ere alive… if ye pay.|Skellige Bandit 01|||I don't have time to argue with all of you. Here, take it and forget you ever saw me.|Nie mam czasu się z wami wszystkimi użerać. Weźcie to i zapomnijcie, że mnie widzieliście.|Nie mam czasu na sprzeczkę ze wszystkimi wami. Weźcie to i zapomnijcie, że kiedykolwiek mnie widzieliście.|Nie mam czasu kłócić się z wami wszystkimi. Weź to i zapomnij, że kiedykolwiek mnie widziałeś.
Geralt|Come on.|Triss|The life of a witcher, it's no fairytale. But I like being on the Path, sleeping under the stars, waking up with dew on my face…|Geralt|I dunno, Triss…|No nie wiem, Triss...|Nie wiem, Triss...|Nie wiem, Triss...
Geralt|||||Blacksmithing tools… but ornamented? Gotta be the ones Yoana mentioned.|Mają ornamenty, chociaż to tylko narzędzia kowalskie... To o nich musiała mówić Yoana.|Narzędzia kowalskie... ale ozdobione? Muszą być te, o których wspomniała Yoana.|Narzędzia kowalskie... ale ozdobione? Muszą to być te, o których wspomniała Yoana.
Novigrad Thug Weak 03|Ain't much.|Novigrad Thug Weak 02|They took everything…|Novigrad Trader 03|Now sod off.|Teraz stąd spływaj.|Spadaj stąd.|Teraz spieprzaj.
Novigrad Nobleman 03|Who's the fellow followed you here?|Novigrad Thug Strong 02|Just no funny stuff, got it?|Novigrad Thug Strong 02|He's my gardener. I never go anywhere without him. He's good luck, you see.|To jest mój ogrodnik. Nigdzie się bez niego nie ruszam, bo przynosi mi szczęście.|To mój ogrodnik. Nigdzie się bez niego nie ruszam. Przynosi mi szczęście, widzisz.|On jest moim ogrodnikiem. Nigdzie się bez niego nie ruszam. Przynosi mi szczęście, widzisz.
Yennefer|Agreed.|Geralt|Ah, Geralt… Anything you'd like to say?|Yennefer|Splendid. On to more pressing matters.|Świetnie. To przejdźmy do bardziej palących kwestii.|Doskonale. Przejdźmy do ważniejszych spraw.|Wspaniale. Ma teraz ważniejsze sprawy do załatwienia.
Novigrad Bard 03|Stay calm. Just stay calm!|Novigrad Bard 03|I'm in a rut… I've such a hard time finding inspiration…|Novigrad Bard 03|Gods save me!|Bogowie, ratujcie!|Boże, ratuj mnie!|Boże chroń mnie!
Geralt|It's not a request, Geralt.|Vesemir|Shame you aren't. 'Cause it seems there's something I failed to teach you. That at times you can't win without making a sacrifice.|Vesemir|I know. But I'm not your student anymore.|Wiem. Ale ja nie jestem już twoim uczniem.|Wiem. Ale nie jestem już twoim uczniem.|Wiem. Ale już nie jestem twoim uczniem.
Dwarf Doc|By me mum's beard, get yourselves together, lads.|Dwarf Doc|Yeah. Geralt.|Geralt|You, there! Outside the door! Geralt - that right?!|A ty tam, a drzwiami... Geralt? Dobrze mówię?|Ty tam! Za drzwiami! Geralt - czyżby?!|Ty tam! Za drzwiami! Geralt - to ty?!
Geralt|Board the ship! We want them alive!|Witch Hunter 04|Sorry, I must. It's my profession. So… will you ask her to stay?|Dijkstra|Don't meddle in other people's lives.|Nie mieszaj się w nie swoje sprawy.|Nie mieszaj się w sprawy innych ludzi.|Nie wtrącaj się w sprawy innych ludzi.
Dwarf Man 01|||Man'll be thrilled. Come on! Go!|Gnome Man 02|But why ever would he want that?|No ale po co mu to?|Ale dlaczego miałby tego chcieć?|Ale dlaczego miałby tego chcieć?
Skellige Villager 01|Fuckin' hell, didn't hurt this much when that bear clawed me shoulder.|Skellige Fisherman 01|||Stop groanin', herb'll do its thing soon, and I'll take ye to the druid.|Nie jęcz, zioła zaczną działać, to cię wezmę do druida.|Przestań jęczeć, zioło zaraz zadziała, a potem zabiorę cię do druida.|Przestań jęczeć, zioło wkrótce zrobi swoje, a ja zaprowadzę cię do druida.
Geralt|||Trust me, Geralt, this is important. There's something I gotta know.|Lambert|Who?|Kogo?|Kto?|Kto?
Priscilla|Dandelion can be irritatin', I shan't deny it. Yet, I also know he can be fair and noble at times.|Priscilla|I see, I get it.|Geralt|Well… I very much doubt I could bear to have him around were it not so.|No... Gdyby nie to, chyba bym z nim nie wytrzymała.|No cóż... Bardzo wątpię, czy mogłabym znieść jego obecność, gdyby nie było innego wyjścia.|Cóż... bardzo wątpię, czy mógłbym znieść jego obecność, gdyby tak nie było.
Verden Old Man 03|Rot will the seed and wither the crops…|Verden Old Man 03|For when the Great Dark descends, it will consume all, bring all to an end…|Verden Old Man 03|Wolves will leave crows corpse upon corpse.|Wilcy wylezą z lasu, trupy rozdziobie wrona.|Wilki zostawią krukom truchła jedne na drugich.|Wilki zostawią ciało wrony na ciele wrony.
Geralt|Been wanting to fix that breach in the wall. But we'll need the same tools to clear the rubble from the armory.|Vesemir|Haven't you heard? Roof caved in a couple of years back. There's some excellent swords in there. Swords we could use.|Vesemir|Rubble?|Odgruzować...?|Ruina?|Gruz?
Novigrad Guard 03|||Slag'll stay there till she rots!|Novigrad Guard 03|Stand back! You'll all get a look soon enough!|Cofnąć się! Wszyscy zdążą zobaczyć!|Cofnijcie się! Wkrótce wszyscy będą mieli okazję to zobaczyć.|Odstąp! Wkrótce wszyscy się przyjrzą!
Verden Girl 03|Gonna kill the monsters? All of 'em?|Verden Girl 02|You seen me muscles?!|Verden Girl 03|Shrooms'll grow! Ah! Enough for a soup!|Grzyby porosną! Będą na zupę!|Grzyby urosną! Ach! Wystarczająco dużo na zupę!|Grzyby urosną! Ach! Wystarczająco na zupę!
Keira Metz|Your what?|Geralt|Wonderful.|Geralt|My feminine intuition!|Kobiecą intucję!|Moja kobieca intuicja!|Moja kobieca intuicja!
Skellige Bandit 03|Lemme give it a think.|Skellige Bandit 03|Fare ye well.|Skellige Bandit 03|How's it, mate?|Jak żyjesz, brachu?|Jak leci, kolego?|Jak leci, ziomku?
Skellige Priestess 02|Bow before Modron Freya.|Skellige Priestess 02|What is it you wish?|Skellige Priestess 02|We serve Her who is Virgin, Mother and Crone.|Służymy tej, która jest Dziewicą, Matką i Staruchą.|Służymy Jej, która jest Dziewicą, Matką i Staruchą.|Służymy Tej, która jest Dziewicą, Matką i Staruchą.
Hjalmar|I'd a debt to pay.|Hjalmar|You can count on me, you know? Always.|Hjalmar|Wouldn't be right to tarry - war with the Black Ones won't wait.|Nie ma co zwlekać – wojna z Czarnymi nie zaczeka.|Nie byłoby rozsądne zwlekać - wojna z Czarnymi nie poczeka.|Nie byłoby słuszne zwlekać - wojna z Czarnymi nie będzie czekać.
Temerian Peasant 02|My respects!|Temerian Peasant 02|What now?|Temerian Peasant 02|May the sun shine upon ye.|Oby słonko nam świeciło.|Niech słońce świeci nad tobą.|Niech słońce świeci na ciebie.
Geralt|So long.|Geralt|For a captive of Emhyr - is that what you mean?|Fringilla Vigo|You look good.|Dobrze wyglądasz.|Wyglądasz świetnie.|Wyglądasz dobrze.
Geralt|Aye, read my mind? Some seafiends got a lair in the bay. Grab folk off boats from time to time… Ye lookin' for work, maybe?|Skellige Boatbuilder 01|Aye. Same sum I was ready to pay for the seafiends.|Skellige Boatbuilder 01|Did it already. Here for my reward. Happened on a few drowners, true, but a water hag was the real problem. Her head get me anything?|Nie. Zapłaty. Byłem w tym leżu. Natknąłem się na parę utopców, prawda... Ale to baba wodna była większym zagrożeniem. Dostanę coś za jej łeb?|Wyłowiłem już ich. Przybyłem tu po nagrodę. Natknąłem się na kilku topielców, ale prawdziwym problemem była wodnica. Czy jej głowa da mi coś w zamian?|Zrobiłem to już. Oto moja nagroda. Przydarzyło się to kilku topielcom, prawda, ale prawdziwym problemem była wodnica. Czy jej głowa może mi coś dać?
Geralt|Ah! Here it is! Hmm, seems he's only been meetin' women of late, the dog.|Zoltan Chivay|Got any better ideas? 'Sides, Dandelion's a babbler. They're sure to know somethin' of his doin's.|Zoltan Chivay|Zoltan, please. You really wanna track down the women Dandelion's been wooing? Most likely all angry women by now.|Zoltan, daj spokój. Chcesz chodzić po całym mieście i wypytywać o niego kobiety, z którymi się spotykał?|Zoltan, proszę. Naprawdę chcesz śledzić te kobiety, które uwodził Dandelion? Najprawdopodobniej są już wszystkie wściekłe.|Zoltan, proszę. Naprawdę chcesz śledzić kobiety, które Dmuchawiec próbował uwodzić? Najprawdopodobniej już wszystkie są wściekłe.
Geralt|There are weaklings in every herd. They must die to make room for those of strong blood.|Hallgrim|I speak of the she-bear and her cub.|Hallgrim|Strong blood? What're you talking about?|Silnej krwi? O czym ty mówisz?|"Co masz na myśli mówiąc ""silna krew""?"|Silna krew? O czym ty mówisz?
Graden|He pay you much to be his yes-man?|Tamara|Who the bloody hell is this?|Baron|Verily I say unto you that ire and vehemence can lead to naught but one's downfall.|„Zaprawdę powiadam wam, zapalczywość wasza do niczego innego, tylko do zguby doprowadzić może”.|Rzeczywiście mówię wam, że gniew i furia mogą prowadzić jedynie do upadku.|Zaprawdę mówię wam, że gniew i zapalczywość mogą prowadzić jedynie do upadku.
Geralt|It'll pass… That took… a great deal of Power.|Keira Metz|Now, in your firm embrace? Not on your life.|Keira Metz|Just don't faint on me.|Tylko mi tu nie mdlej.|Po prostu nie zemdlej mi tutaj.|Tylko nie zemdlej przy mnie.
Novigrad Rich Woman 01|Rrraaw!|Novigrad Rich Man 01|||Heeheehee!|Hi, hi, hi!|Heeheehee! → Heeheehee!|Heeheehee!
Verden Peasant 02|I'm looking for Tamara, the Bloody Baron's daughter. Your brother said I'd find her here.|Geralt|How else would I know she was here?|Geralt|Voytek send you, sir?|Wojciech cię przysłał, panie?|Czy Voytek cię przysłał, panie?|Wojtek przesyła cię, panie?
Temerian Peasant 01|Aah, so that's it.|Temerian Peasant 01|Hm, don't know if…|Geralt|Maybe you'd come 'round, visit us this eventide? Verka's bakin' a pie.|Może zajdziecie do nas pod wieczór? Verka nasmaży placków z blachy.|Może byś wpadł wieczorem, odwiedził nas? Verka piecze ciasto.|Może wpadniesz do nas wieczorem, odwiedzisz nas dziś wieczorem? Werka piecze ciasto.
Triss|Young woman who's like a daughter to me.|Geralt|She was here - there're witnesses, evidence. Was hoping you'd heard something.|Geralt|Her?! Here?! No. Impossible.|Ona?! Tutaj?! To niemożliwe!|Ona?! Tutaj?! Nie. Niemożliwe.|Ona?! Tutaj?! Nie. Niemożliwe.
Geralt|The sooner we resolve this, the better. Best do it tonight, at midnight.|Geralt|Not good, not good. No Forefathers' Eve this year, it means, the horror. Should your mind ye change, the pellar in his hut you'll find.|Guslar|Said already I won't help. Gonna have to make do without me.|Mówiłem już, że wam nie pomogę. Radźcie sobie beze mnie.|Powiedziałem już, że nie pomogę. Będą musieli sobie radzić bez mnie.|Już mówiłem, że nie pomogę. Będą musieli sobie radzić beze mnie.
Cirilla|Probably been a while since anyone showed you just how much you still have to learn.|Geralt|Ahem. Almost there.|Geralt|Mhm.|Mhm.|Mhm.|Mhm.
Yennefer|Nice fight.|Geralt|A mage?|Geralt|One repelled the other with powerful magic, then fled through a portal.|Jeden odepchnął drugiego wiązką potężnej magii, po czym uciekł przez portal.|Jedna odparła drugą potężną magią, a następnie uciekły przez portal.|Odpierały się nawzajem potężną magią, a następnie uciekły przez portal.
