speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prev|dialog_next
Arnvald|What's that to do with Birna?|Holger Blackhand|This is no proof. It is inconclusive. Anyone might have donned our tartans.|Lady Bran|Those men wore Clan Tuirseach colors.|Ci ludzie nosili kolory klanu Tuirseach.|Ci mężczyźni nosili barwy Klanu Tuirseach.|Ci mężczyźni nosili barwy Klanu Tuirseach.
Skellige Villager 06|Never said the beast marked one of the elders.|Geralt|The woman you were talking to. Hilde.|Geralt|Who, then?|To kto?|Kto, w takim razie?|Kto, więc?
Verden Old Man 03|Greetings.|Geralt|What's that? Master! I've not seen that much coin in my life!|Verden Old Man 03|Yeah?|No?|Co?|Tak?
Novigrad Trader 03|Begone, already.|Novigrad Trader 03|Huh?|Geralt|I welcome my savior to my humble abode!|Witam wybawcę w moich skromnych progach!|Witam mojego wybawiciela w moim skromnym domu.|Witam mojego zbawiciela w moim skromnym domostwie.
Triss|Sshhhh! Let's go.|Geralt|I sure hope the other guests don't get drunk as quickly as I did!|Triss|Hahahha.|Ha, ha, ha.|Haha.|Ha ha ha
Geralt|What mood would you be in if you'd lost your son…? So, I'm askin' - what d'ye want?|Skellige Blacksmith Helper 01|So be it…|Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Chcę obejrzeć twoje towary.|Nie miałbym nic przeciwko rzuceniu okiem na twój towar.|Nie miałbym nic przeciwko rzuceniu okiem na twój stan magazynowy.
Lambert|Had some time to experiment after we resolved the Karadin matter. Like to finish that.|Lambert|I brought this Mahakaman mix - flammable as bone dry saltpeter and ploughin' sticks to anythin'.|Zoltan Chivay|Think I know how to produce a fortified formula of White Raffard's Decoction.|Chyba już wiem, jak uzyskać silniejszy Dekokt Raffarda Białego.|Myślę, że wiem, jak wyprodukować wzmocnioną formułę Dekokcji Białego Raffarda.|Myślę, że wiem, jak wyprodukować wzmocnioną formułę Dekokcji Białego Raffarda.
Skellige Priestess 01|Perished in glory…|Skellige Old Woman 02|Perished in glory…|Skellige Woman 05|Kjall, son of Olaf…|Kjall, syn Olafa...|Kjall, syn Olafa...|Kjall, syn Olafa...
Redanian Noble 01|Why, greetings, greetings.|Redanian Noble 01|Yeees?|Redanian Noble 01|Splendid weather we're having.|Ładną dziś pogodę mamy.|Piękną pogodę mamy.|Piękną pogodę mamy.
Temerian Peasant 02|They force you to join?|Geralt|Did see a chunk of the world, though. Some mammoth battles. A few famous generals from afar. And lots of whoresons.|Temerian Peasant 02|Nah. I was eager to fight. Thought I'd bring home more'n just the scars on my back.|A skąd. Zachciało mi się wojowania. Myślałem, że przywiozę do domu coś więcej niż blizny na grzbiecie.|Nie. Byłem chętny do walki. Myślałem, że przywiozę coś więcej niż tylko blizny na plecach.|Nah. Byłem chętny do walki. Myślałem, że przyniosę coś więcej niż tylko blizny na plecach.
Geralt|Seems so long ago… Probably because so much has changed.|Triss|Partly. Though… more as a warning.|Triss|So, sentimental value… that why you kept it?|Czyli zatrzymałaś ją z sentymentu?|Więc to wartość sentymentalna... dlatego je zatrzymałeś?|Więc, wartość sentymentalna... dlaczego je zatrzymałeś?
Triss|You could be right. But only he knows the truth…|Geralt|Which we share at times with those we hold dear.|Geralt|We're only ever the ones to know the truth about ourselves.|Tak... prawdę o sobie znamy tylko my sami.|Tylko my sami znamy prawdę o sobie.|Jesteśmy jedynymi, którzy znają prawdę o sobie.
Geralt|I need neither your permission nor your blessing. Get out.|Keira Metz|Keira. I can't-- I won't let you do this.|Geralt|Right on that count - I don't like this.|Rzeczywiście, nie podoba mi się to...|Dokładnie co do tego - nie podoba mi się to.|Dokładnie co do tego punktu - nie podoba mi się to.
Skellige Priestess 01|And if it's true? The Naglfar on Hindarsfjall's shores…?|Skellige Priestess 01|Ahhhh…|Skellige Priestess 01|May Modron Freya watch us and keep us…|Niech Modron Freyja ma nas w opiece…|Niech Modron Freja nas strzeże i chroni...|Niech May Modron Freya nas obserwuje i chroni...
Redanian Blacksmith 01|Quality wares alone here, no rusty scraps.|Redanian Blacksmith 01|Bad weather's bad for business.|Redanian Merchant 01|It worth anything? The metal on your back?|Warte coś? Te żelaza na plecach?|Czy to cokolwiek warte? Metal na twoich plecach?|Czy cokolwiek jest warte? Metal na twoich plecach?
Geralt|It's… good to see you, Geralt. I… I'd even embrace you… were you not covered in blood.|Yennefer|How did you imagine it?|Yennefer|Sorry… Wasn't expecting to see you. To be honest, this isn't at all how I imagined we'd meet.|Wybacz... Nie spodziewałem się ciebie. Szczerze mówiąc, to w ogóle nie tak wyobrażałem sobie to spotkanie.|Przepraszam... Nie spodziewałem się ciebie spotkać. Szczerze mówiąc, to zupełnie nie tak wyobrażałem sobie nasze spotkanie.|Przepraszam... Nie spodziewałem się ciebie spotkać. Szczerze mówiąc, to zupełnie nie tak wyobrażałem sobie nasze spotkanie.
Geralt|Truly? Can all of you be unfamiliar with the story of Gealbhan and Dillian of the White Fleet?|Avallach|Gealbhan was a Sage of the Alder Elves. He fell in love with an Aen Seidhe elf - Dillian. Yet she spurned him.|Avallach|Tell us, please. Absolutely love elven legends.|Opowiedz koniecznie. Uwielbiam elfie legendy.|Opowiedz nam, proszę. Uwielbiam absolutnie elfickie legendy.|Opowiedz nam, proszę. Jestem absolutnym miłośnikiem legend elfickich.
Lambert|Your memory's shit. They only kill harmful monsters.|Geralt|Whine about it to Eskel later.|Geralt|They threw stones at us, Geralt.|One rzucały w nas kamieniami, Geralt.|Rzucali w nas kamieniami, Geralt.|Rzucali w nas kamieniami, Geralt.
Geralt|So who you gonna race? Stutterin' M-m-matko? Iron-Arse Hans? Or Black Bogdan?|Baron Bandit Weak 03|Y-y-y-y-you'll s-s-s-see I-i-i-i-i'll b-b-b-b-b-b-b… ehhh, fuck it.|Baron Bandit Strong 01|I'll take Stuttering Matt.|Niech będzie Maciek Jąkała.|Wezmę Jąkającego się Matta.|Wezmę Jąkającego się Matta.
Geralt|Went to see Lugos. An an Craite on the throne remains a thorn in his arse, heheh. Now he's seen the Black Ones, it pricks him even harder.|Crach|Go. And when you see that bloody twit Lugos, be sure to tell him-- Argh, best not. The druid knows what to say. Farewell.|Crach|Think I'll join Ermion. Need to talk to him.|Dołączę do Myszowora. Mam do niego sprawę.|Myślę, że dołączę do Ermiona. Muszę z nim porozmawiać.|Myślę, że dołączę do Ermiona. Muszę z nim porozmawiać.
Dandelion|Maybe… Besides, the curse might've had something to do with Uma. I should collect him from the baron.|Geralt|First, lift the curse. Maybe I can get some help at Kaer Morhen.|Geralt|Uma - the, uh, deformed midget? What will you do with him?|Uma to ten brzydki człowieczek? Co chcesz z nim zrobić?|Uma - ten, eh, zdeformowany karzeł? Co zamierzasz z nim zrobić?|Uma - ten zdeformowany karzeł? Co zamierzasz z nim zrobić?
Geralt|"A ""pester?"" What's that?"|Graham|She suffers… How am I to help her? Gods know I'm willin'.|Graham|More than a restless ghost. A plague maiden, a powerful wraith filled with grief and hatred that drive her, give her the power to sow disease and death.|Nie jest zwykłym niespokojnym duchem, tylko potężnym upiorem. Żal i nienawiść dają jej energię do siania śmierci i zarazy.|Więcej niż niespokojny duch. Zaraza dziewica, potężna zjawa przepełniona żalem i nienawiścią, które ją napędzają, dając jej moc szerzenia choroby i śmierci.|Więcej niż niespokojny duch. Zaraza dziewica, potężne widmo przepełnione żalem i nienawiścią, które napędzają ją i dają jej moc rozprzestrzeniania choroby i śmierci.
Redanian Officer 01|Twas like I said. He was workin' with the Black Ones. Tpff!|Temerian Peasant 01|And how!|Temerian Peasant 01|Slandering servants of the Eternal Fire and his majesty, was he?|Sługi Wiecznego Ognia oczerniał, majestat królewski obrażał?|Czyżby zniesławiał sługi Wiecznego Ognia i jego wysokości?|Czy on zniesławiał sługi Wiecznego Ognia i jego majestatu?
Verden Girl 01|Means he's never hid from the Black Ones.|Verden Girl 01|One, two, three...|Geralt|No lookin', and you have to count out loud - all your fingers. Toes, too.|Nie podglądaj i licz głośno wszystkie palce. U nóg też.|Nie patrząc, musisz liczyć na głos - wszystkie swoje palce. Stopy też.|Nie patrz, a musisz liczyć na głos - wszystkie palce. Stopy też.
Verden Peasant 31|Praise the gods.|Verden Peasant 31|Yokel.|Verden Peasant 31|Umblest regards.|A kłaniam się, kłaniam.|Najniższe ukłony.|Uprzejme pozdrowienia.
Novigrad Beggar 02|Lookin' wobbly. Eat some overripe sheep's feet?|Novigrad Beggar 02|What in the--|Novigrad Beggar 02|I got a tetter!|Mam liszaja!|Mam dreszcze!|Dostałem gorączki!
Geralt|What if I paid ye?|Novigrad Peasant 03|Hm, hm. Strange, that 'un.|Novigrad Peasant 03|No.|Nie.|Nie.|Nie.
Keira Metz|Yen won't either when I tell her… Or Triss. Sorry, lost track of who you're currently obsessed with.|Keira Metz|All jokes aside - what're you gonna do with those notes?|Geralt|We're done talking, Geralt. Get out of my sight.|Koniec rozmowy, Geralt. Zejdź mi z oczu.|Skonczyliśmy rozmawiać, Geralt. Idź stąd.|Skonczyliśmy rozmawiać, Geralcie. Wynoś się z moich oczu.
Geralt|I've not seen you here before. What do they call you?|Skellige Woman 04|I'm Jutta an Dimun. No man's been found who could best me in combat.|Skellige Woman 04|Geralt of Rivia.|Geralt z Rivii.|Geralt z Rivii.|Geralt z Rivii.
Whistling Wendy|Do that practically every day in my profession. And practice makes perfect.|Geralt|That particular skill I could use myself.|Geralt|True enough. Just like I can tell right off if a punter'll pay or try to wriggle out of it.|W sumie racja. Ja z kolei od razu widzę po kliencie, czy zapłaci, czy będzie cwaniaczył.|Prawda. Podobnie potrafię od razu stwierdzić, czy klient zapłaci, czy spróbuje się wykręcić.|Rzeczywiście. Podobnie jak potrafię od razu stwierdzić, czy klient zapłaci, czy spróbuje się wykręcić.
Scoiatael Dwarf 34|Well, I'll be...|Scoiatael Dwarf 33|Dwarves are immune to magic!|Scoiatael Dwarf 34|For Mahakam!|Za Mahakam!|Dla Mahakam!|Dla Mahakam!
Geralt|Had to calm a few of 'em, but we managed it without doin' serious harm. Tough islanders, these, they'll serve you well.|Skellige Guard 06|Hm… Sure it were Ville who sent you? Expected someone more… Nilfgaardian.|Skellige Guard 06|Good. Ville doesn't like cock-ups.|Dobrze. Ville nie lubi fuszerki.|Dobrze. Ville nie lubi wpadek.|Dobrze. Ville nie lubi wpadek.
Skellige Priestess 03|I'm listening, wanderer.|Skellige Priestess 03|What is it you wish?|Skellige Priestess 02|Begone.|Odejdź.|Odejdź.|Odejdź.
Blacksmith Woman|My armor coming along all right?|Geralt|Right. Got it. See you.|Geralt|Almost there… But I need a little more time. I'd rather not deliver something unfinished, or worse yet botched.|Właśnie się robi... Ale potrzebuję jeszcze trochę czasu. Wiesz, nie chcę odstawiać fuszerki.|Prawie gotowe... Ale potrzebuję trochę więcej czasu. Wolałbym nie dostarczać czegoś nieskończonego, lub co gorsza spartaczonego.|Prawie gotowe... Ale potrzebuję trochę więcej czasu. Wolałbym nie dostarczać czegoś nieskończonego, lub co gorsza spartaczonego.
Novigrad Poor Woman 03|Can you believe it?|Novigrad Poor Woman 03|Maybe?|Novigrad Poor Woman 03|If he's such a drunk, why don't you leave him?|Jak chleje tyle, to może go zostawisz?|Jeśli jest takim pijakiem, dlaczego go nie zostawisz?|Jeśli jest takim pijakiem, dlaczego go nie zostawisz?
Novigrad Sailor 02|Why, you!|Novigrad Sailor 02|Pfff.|Novigrad Sailor 03|Thief!|Złodziej!|Złodziej!|Złodziej!
Geralt|Pff, am I. Have you crying like a baby by the time I'm through with you.|Geralt|Of course.|Lambert|So, wanna play?|To co, gramy?|No to chcesz się pobawić?|No więc, chcesz grać?
Geralt|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Baron|Will you at least tell me how Anna wound up in that blasted bog?|Baron|Sorry, but - your life story? Just not interested. This isn't a social call. I'm here on business.|Wybacz, ale nie interesuje mnie historia twojego życia. Jestem tu w konkretnej sprawie, zapomniałeś?|Przepraszam, ale twoja historia życia? Po prostu nie jestem zainteresowany. To nie jest rozmowa towarzyska. Jestem tu w interesach.|Przepraszam, ale twoja historia życia? Nie jestem zainteresowany. To nie jest rozmowa towarzyska. Jestem tu w interesach.
Eskel|What's on your mind?|Geralt|I'll head down the valley soon. Then find somewhere else to winter next year.|Eskel|Kaer Morhen. Can't imagine this place without Vesemir.|Nie wyobrażam sobie Kaer Morhen bez Vesemira.|Kaer Morhen. Nie mogę sobie wyobrazić tego miejsca bez Vesemira.|Kaer Morhen. Nie mogę sobie wyobrazić tego miejsca bez Vesemira.
Geralt|Perhaps… perhaps you'd stay just a bit longer? There's one small favor you might yet do for me.|Keira Metz|I put in an order for a few substances from Novigrad. The trader was due to be here yesterday, but has yet to arrive.|Keira Metz|What is it?|O co chodzi?|Co masz na myśli?|Co się stało?
Geralt|My brother's in the stable! We've got to save him - he'll burn alive! Him and the horses!|Baron Bandit Strong 01|Oswin! My brother! He's still in the stables! Save him!|Baron Bandit Strong 01|Somebody oughta see to the baron before he burns the castle down.|Trzeba się raczej zająć Baronem, nim puści z dymem cały kasztel.|Ktoś powinien zająć się baronem, zanim spali cały zamek.|Ktoś powinien zająć się baronem, zanim spali zamek.
Blacksmith Woman|Enough?|Geralt|Hmm… So what's Fergus do?|Geralt|They treat me like I'm nobody, the menial labor. Truth is, the Nilfgaardian, the one Fergus is kissing up to - I'll have to craft his armor. Yours, too, for that matter.|Tego, że wszyscy traktują mnie jak popychadło! A prawda jest taka, że tę zbroję dla Nilfgaardczyka, któremu Fergus tak fachowo wchodzi w tyłek, to ja zrobię. I twój pancerz zresztą też.|Traktują mnie jakby byłem nikim, zwykła praca fizyczna. Prawda jest taka, że ten Nilfgaardczyk, którego Fergus się podlizuje - będę musiał wykuć jego zbroję. Twoją też, dla porównania.|Traktują mnie jakby byłem nikim, jak zwykły robotnik. Prawda jest taka, że ten Nilfgaardczyk, którego Fergus tak się podlizuje - będę musiał wykuć jego zbroję. Twoją też, dla porównania.
Geralt|Pfft.|Dwarf Man 01|Righto. We go on your mark.|Dwarf Man 01|Ready?|Gotowi?|Gotowy?|Gotowy?
Inkeeper Elza|Mean? Light way for a hunter to put it! Clawed Lena so bad, poor thing's one foot in the grave…|Inkeeper Elza|With a drop of vodka for me.|Vesemir|But, does no good to wallow in misfortune. How can I be of service?|No, ale dość o nieszczęściach. Czym mogę służyć?|Ale nie ma sensu użalać się nad sobą. W czym mogę być pomocny?|Ale nie ma sensu użalać się nad sobą. W czym mogę być pomocny?
Geralt|I've not even peeked inside since… since they found Fabian. But I'll open it for you if you want.|Dwarf Man 03|Begone! Or I'll sick me hounds on ye! Mauler! Striga! Come!|Dwarf Man 03|Anyone home?|Jest tam kto?|Ktoś jest w domu?|Ktoś jest w domu?
Witch Hunter 01|Geralt!|Triss|Now we wait for them to scurry away.|Triss|If you say so…|Twoja wola.|Jeśli tak mówisz...|Jeśli tak mówisz...
Dijkstra|Musta noticed something. Was it…?|Geralt|Bart! Stop that! Now!|Dijkstra|No, didn't notice a fucking thing. Didn't do a taxonomic field analysis either. I know it's an inconvenience to you, but I felt I should get the hell out of there as fast as I could.|Nie, nie zauważyłem. Wybacz, że nie przeprowadziłem wstępnej analizy taksonomicznej dla twojej wygody, ale spieprzałem, co sił w nogach.|Nie, nie zauważyłem cholernego nic. Nie przeprowadziłem też analizy taksonomicznej terenowej. Wiem, że to dla ciebie niewygoda, ale czułem, że muszę się stamtąd wydostać jak najszybciej.|No, nie zauważyłem cholernego nic. Nie przeprowadziłem też analizy taksonomicznej terenowej. Wiem, że to dla ciebie niewygoda, ale czułem, że muszę się stamtąd wydostać jak najszybciej.
Dijkstra|Course you did. You're an ass, an oaf, a twit.|Dijkstra|What would you say - how many mages did we save? All together.|Dijkstra|But even an arse can do the world a favor if one more enlightened tells him how.|No, ale nawet cymbał może się przysłużyć światu. Jeśli ktoś światły powie mu, jak.|Nawet osioł może zrobić światu przysługę, jeśli jeszcze jeden oświecony mu pokaże jak.|Ale nawet osioł może zrobić światu przysługę, jeśli jeszcze jeden oświecony mu pokaże, jak to zrobić.
Geralt|Now he wants to revive the Council and the Conclave. And I'm to head both.|Triss|You don't like it?|Triss|Guess you've got everything planned out…|Widzę, że wszystko dokładnie zaplanowałaś...|Pewnie masz już wszystko zaplanowane...|Chyba masz już wszystko zaplanowane...
Verden Woman 02|Do I look like a dairy maid to you?|Keira Metz|Rest died of hunger, or soldiers led 'em off. Oh… we're as good as dead without her.|Verden Peasant 03|No, miss, but you know things. 'Tis our last cow, none other left in the village…|Wy, pani, znacie się na wszystkim. A to jedyna krowa we wsi...|Nie, proszę pani, ale ty dużo wiesz. To nasza ostatnia krowa, nie została już żadna inna we wsi...|No, proszę pani, ale pani wie rzeczy. To nasza ostatnia krowa, nie została żadna inna we wsi...
Eternal Fire Guard 02|Mind your manners.|Geralt|Wait. Grab him. I'll teach him his place.|Witch Hunter 01|Mind our--? Heh, be glad we didn't smash your snout, mutt!|Grzeczniej? Ty się ciesz, że w pysk nie dostałeś, kundlu!|Uważaj na nas - heh, ciesz się, że nie rozwaliliśmy ci pyska, kundlu!|Uważaj na nasze...? Heh, ciesz się, że nie rozwaliliśmy ci ryja, psie!
Letho|Tracking him down proved easier than killing a drowner. He was, uh, merrymaking at the Golden Hanged Man, smack in the middle of Hagge.|Letho|Started talking, killing time. Chat was so nice that once dawn came I let him go.|Letho|Nabbed him, tied him up, but the guard post didn't open till dawn… so we had a few hours.|Złapałem go i związałem, ale posterunek straży otwierali dopiero o świcie, więc mieliśmy jeszcze kilka godzin.|Złapaliśmy go, związaliśmy, ale posterunek straży nie otworzył się do świtu... więc mieliśmy kilka godzin.|Złapałem go, skrępowałem, ale posterunek straży nie otworzył się aż do świtu... więc mieliśmy kilka godzin.
Triss|We'll get our happy ending. One day.|Geralt|It's a cruel world we live in. It's hard to make plans. Even harder to invest any faith in them, though you might want to… badly.|Triss|Yes. Somewhere, over hill and dale…|Tak. Za siedmioma górami, za siedmioma lasami...|Tak. Gdzieś, ponad wzgórzami i dolinami...|Tak. Gdzieś ponad wzgórzami i dolinami...
Temerian Bandit 03|What, graylocks?|Temerian Bandit 03|Oh, yes!|Temerian Bandit 03|Oh, the prick…|A to kutas...|Ach, ten dupek...|Ach, ten dupek...
Geralt|You were there - how could I forget? I also remember excruciatingly well what happened after the banquet.|Yennefer|Well… We don't have to go…|Yennefer|Hope we don't have to go to this wake.|Mam nadzieję, że nie musimy iść na tę ucztę.|Mam nadzieję, że nie musimy iść na ten pogrzeb.|Mam nadzieję, że nie musimy iść na ten pogrzeb.
Fergus Graem|Wait. We needn't part ways, Fergus. You've been a good helper - we could go on that way. But… without the lie…|Blacksmith Woman|Well then, go stoke the fire. We've got a customer, he needs armor fit for a witcher.|Blacksmith Woman|Hmm… We did make quite the pair.|Hmm... Fakt, dobrany był z nas duet.|Hmm... Myślę, że tworzyliśmy całkiem niezły duet.|Hmm... Stworzyliśmy całkiem niezły duet.
Cirilla|Where, exactly?|Skellige Woman 04|Surprised? Been sittin' in this fish puddle me whole life… I'd love to travel like you…|Skellige Woman 04|Aren't you nosy!|Ale jesteś ciekawska!|Czyżbyś był ciekawski?|Czyżbyś był ciekawski?
Verden Old Man 01|Then the lord came out to them and said…|Verden Old Man 01|Your sobbin', whinin' - it's killed me appetite! Now begone!|Verden Old Man 01|Tree bark and green moss - sup on them, you'll live!|Korę z drzew żryjcie albo i mech zielony!|Żujcie korę drzewa i zielony mech - będziecie żyć!|Kora drzewa i zielony mech - jedz je, a przeżyjesz!
Holger Blackhand|Tuirseach!|Crach|Do it for free, gladly.|Geralt|Tuirseach!|Tuirseach!|Tuirseach!|Nie rozpoznaję tej frazy jako standardowego słowa lub zwrotu w języku angielskim. Jeśli jest to imię lub nazwisko, pozostaje ono bez zmian.
Geralt|Right?|Novigrad Nobleman 03|Startin' to like this gardener of yours.|Novigrad Thug Strong 02|Make it quick. I don't have all day.|Tylko szybko. Nie mam ochoty tu sterczeć.|Śpiesz się. Nie mam całego dnia.|Śpiesz się. Nie mam całego dnia.
Jorund|This monster - I'm intrigued. What kind of beast we talking about?|Geralt|Started harmless. Lighthouse just stopped burnin' one night. Without that light, ships can't make Arinbjorn safely, so we sent two men to see what'd happened.|Jorund|It's a ghost, I think… Or some other nightmare. Haunts Eldberg, near the lighthouse.|Jakiś duch, zdaje się... Albo inna zmora. Straszy na Eldbergu, koło latarni morskiej.|To chyba duch… Albo jakiś inny koszmar. Nawiedza Eldberg, w pobliżu latarni morskiej.|To duch, myślę... Albo jakiś inny koszmar. Nawiedza Eldberg, w pobliżu latarni morskiej.
Donar An Hindar|Uh, not like any of the others stand to out-age you.|Geralt|I've lived my fill: steeped my hand in the blood of foes, felt the warmth of the southern sun and the bite of northern winds, the touch of women of the east and west. Now, I wish to die a death worthy of song.|Donar An Hindar|Nay. But I'll gladly pass the honor to the next in line.|Nie. Ale chętnie oddam ten honor następnemu w kolejce.|Nie. Ale chętnie przekażę ten zaszczyt następnej osobie w kolejce.|Nie. Ale chętnie oddam ten zaszczyt następnej osobie w kolejce.
Novigrad Rich Man 01|Oh, I don't think so.|Novigrad Rich Man 01|Greetings. *Yaaaaaaawn*|Novigrad Rich Man 01|Good day.|Miłego dnia życzę.|Dobrego dnia.|Dzień dobry.
Geralt|Must have a lot on your mind, all those monsters to kill…|Talar|Huh? They tell you? Clowns.|Talar|Heard you three are planning to do some killing of your own.|Słyszałem, że wy też macie zamiar kogoś zabić.|Słyszałem, że we trzech planujecie zabić kogoś na własną rękę.|Słyszałem, że wy trzej planujecie zrobić trochę zabijania na własną rękę.
Avallach|Ciri!|Avallach|I'll not stop with his staff.|Cirilla|The ice… it's a spell. You must find the mage who cast it, destroy his staff.|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Lód... To zaklęcie. Musisz znaleźć maga, który je rzucił, i zniszczyć jego laskę.|Lód... To zaklęcie. Musisz znaleźć maga, który je rzucił, i zniszczyć jego laskę.
Vesemir|So, tell me… once we find Yennefer, what'll you do? Got your eye on a contract?|Geralt|A little early to settle in for the winter.|Geralt|No. I'll go to Kaer Morhen.|Nie. Jadę do Kaer Morhen.|Nie. Pojadę do Kaer Morhen.|No. Pójdę do Kaer Morhen.
Skellige Old Woman 02|All because she ran around with that bandit!|Skellige Old Woman 02|Will your lad sail on the jarl's longboat?|Skellige Old Woman 02|See no point lendin' credence to gossip.|Mnie się zdaje że nie ma co wierzyć w takie plotki.|Nie widzę sensu w dawaniu wiary plotkom.|Nie widzę sensu dawać wiary plotkom.
Hjort|Give me the horn.|Hjort|Mardroeme. Never heard of it.|Geralt|I know the smell. A mushroom - mardroeme.|Znam ten zapach. Mardroeme.|Wiem, co to za zapach. Grzyb - maślak.|Rozpoznaję ten zapach. Grzyb - mardroeme.
Novigrad Poor Man 34|Ahh...|Novigrad Poor Man 34|Oo-hoo-hoo!|Novigrad Poor Man 34|Who d'you think you are?|Co ty sobie wyobrażasz?|Kogo myślisz, że jesteś?|Kim myślisz, że jesteś?
Novigrad Nobleman 02|A mutant? What the hell's a witcher doing here?|Novigrad Nobleman 02|Nope, no monsters. Great opportunity to play some cards.|Geralt|See any drowned dead, or other shitzards around here?|Widzisz tu jakiegoś topielca czy innego pizdogona?|Widzisz tu gdzieś utopione trupy albo inne śmieci?|Widzisz tu gdzieś utopionych martwych, albo inne szkarady?
Redanian Officer 01|I don't have time for your games. The Commandant will have his stolen chalice back.|Redanian Officer 01|Where are the dwarves?|Nilfgaardian Officer 01|The thieves - where are they? Tell me, or I'll...|Mów, gdzie są złodzieje, bo...|Gdzie są złodzieje? Powiedz mi, inaczej...|Gdzie są złodzieje? Powiedz mi, inaczej...
Novigrad Rich Woman 11|I suppose we are all Redanians now…?|Novigrad Rich Woman 03|Goodness, what a monstrosity!|Novigrad Rich Woman 11|Go away.|Idzćie sobie.|Idź stąd.|Idź stąd.
Geralt|Amazing how a hobby can render a man mysterious, fascinating.|Yennefer|Looks alive.|Geralt|Especially a druid. Must be a real nature lover.|Zwłaszcza dla druida. Myszowór musi bardzo kochać naturę.|Szczególnie druid. Musi być prawdziwym miłośnikiem natury.|Szczególnie druid. Musi być prawdziwym miłośnikiem natury.
Dandelion|Having dealt with Radovid, Emhyr var Emreis did the same with enemies domestic.|Dandelion|Though their mutiny had only been a murky plan, the emperor showed no mercy. As was his wont.|Dandelion|The emperor's loyal spies named all who had conspired against him – traders, soldiers and aristocrats alike.|Wierni cesarzowi szpiedzy wskazali imiona spiskujących przeciw niemu kupców i arystokratów.|Imperatorowi lojalni szpiedzy wymienili wszystkich, którzy sprzysięgli się przeciw niemu – kupców, żołnierzy i arystokratów bez różnicy.|Cesarskie lojalne szpiedzy ujawniły wszystkich, którzy spiskowali przeciwko niemu - kupców, żołnierzy i arystokratów bez różnicy.
Baron Bandit Strong 03|Sergeant!|Baron Bandit Strong 03|Don't want no disturbances, that clear?|Baron Bandit Strong 03|Ardal! Witcher to see the baron!|Ardal! Wiedźmina do Barona!|Ardal! Wiedźmin chce widzieć barona!|Ardal! Wiedźmin chce widzieć barona!
Geralt|Now what you doin' in the city of the Eternal Fire, catshit?|Novigrad Thug Weak 02|Fuck off then! No one's keepin' you!|Novigrad Thug Weak 01|Never mind. I'm going.|Nieważne. Idę stąd.|Nieważne. Idę.|Nieważne. Idę.
Fergus Graem|Worth looking into. Say I find the tools, will you craft the armor for me?|Geralt|Well, goose kick me! These look like the real thing…|Fergus Graem|Ahem. On condition you bring the tools. But only then.|Ehkm, tak. Wtedy tak. Ale tylko wtedy.|Pod warunkiem, że przyniesiesz narzędzia. Ale tylko wtedy.|Pod warunkiem, że przyniesiesz narzędzia. Ale tylko wtedy.
Novigrad Peasant Woman 13|Aaaaaa-yaaaaaawn mrrrfff…|Novigrad Peasant Woman 13|*Snorts*|Novigrad Peasant Woman 14|Aaaarrr…|Eeech.|Ach...|Ach...
Novigrad Guard 02|No loiterin', now.|Novigrad Guard 02|Aaaargh!|Novigrad Guard 02|I'll break ytour bones!|Gnaty ci porachuje.|Połamię ci kości!|Połamię twoje kości!
Skellige Guard 03|Ye asked for it!|Skellige Guard 03|No fear!|Skellige Guard 03|Surround him!|Otoczyć!|Otoczcie go!|Otoczcie go!
Redanian Officer 01|Wanna talk about the witchers' contract.|Geralt|I know guildsmen ought to be decently rewarded, but there you've gone too far. I don't have that coin.|Redanian Officer 01|Am I to assume you've changed your mind? You'll tend to the matter?|Rozumiem, że zmieniłeś zdanie i zajmiesz się sprawą.|Czy mam zakładać, że zmieniłeś zdanie? Zajmiesz się tą sprawą?|Czy mam zakładać, że zmieniłeś zdanie? Zajmiesz się tą sprawą?
Novigrad Sailor 03|Mates, for Lebioda's sake! And those lads beat each other to a pulp over a whore!|Novigrad Sailor 03|Eh, come now, that's rubbish.|Novigrad Sailor 03|Stinkin' shame from here to Kovir…|Wstyd, jak stąd do Koviru...|Śmierdzący wstyd stąd aż do Koviru...|Śmierdzący wstyd stąd aż do Koviru...
Cirilla|Vesemir. A long time ago.|Geralt|Very. Back when I wanted to call myself Geralt Roger Eric du Haute-Bellegarcie.|Geralt|How long?|Jak dawno?|Ile czasu?|Jak długo?
