en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
Got Hoskuld's sword like you wanted. Have yet to check if it really can't be chipped.|Mam miecz Hoskulda, tak jak chciałaś. Nie sprawdzałem jeszcze, czy naprawdę nie da się go wyszczerbić.|"Tłumaczenie na język polski:

""Masz miecz Hoskulda, tak jak chciałeś. Jeszcze nie sprawdziłem, czy naprawdę nie da się go zarysować.""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego strukturę i znaczenie."|Masz miecz Hoskulda tak, jak chciałeś. Jeszcze nie sprawdziłem, czy naprawdę nie da się go zarysować.|Masz miecz Hoskulda, tak jak chciałeś. Jeszcze nie sprawdziłem, czy naprawdę nie da się go zarysować.|Dostałem miecz Hoskulda tak jak chciałeś. Jeszcze nie sprawdziłem, czy naprawdę nie da się go skruszyć.
Hm… when ye think on it… makes sense.|W sumie... Dobrze powiedziane.|Hm... kiedy się nad tym zastanowię... ma to sens.|Hm... kiedy się nad tym zastanowić... ma sens.|Hm... kiedy się nad tym zastanowię... ma to sens.|Hm… gdy się nad tym zastanowić... ma sens.
But I suppose that if all had gone smoothly, it woulda made for a dreadfully short ballad about our heroic adventure.|No, ale gdyby wszystko poszło gładko, pieśń o tej wyprawie byłaby bardzo krótka.|Ale przypuszczam, że gdyby wszystko poszło gładko, to byłaby to strasznie krótka ballada o naszej bohaterskiej przygodzie.|Ale przypuszczam, że gdyby wszystko poszło gładko, byłaby to strasznie krótka ballada o naszej bohaterskiej przygodzie.|Ale przypuszczam, że gdyby wszystko poszło gładko, to byłaby to strasznie krótka ballada o naszej bohaterskiej przygodzie.|Ale przypuszczam, że gdyby wszystko poszło gładko, byłaby to strasznie krótka ballada o naszej bohaterskiej przygodzie.
Heard you fought Jutta.|Podobno zmierzyłeś się z Juttą.|"Tłumaczenie na polski:

""Słyszałem, że walczyłeś z Juttą.""

To zdanie jest w formie przypuszczającej i wyraża informację, którą ktoś usłyszał lub dowiedział się o jakiejś sytuacji. W tym przypadku mowa jest o walce (prawdopodobnie fizycznej) między osobą, do której skierowane jest to zdanie, a kimś o imieniu Jutta. Zdanie to może być użyte w różnych kontekstach, na przykład jako pytanie retoryczne, komentarz lub po prostu stwierdzenie faktu."|Słyszałem, że walczyłeś z Juttą.|Słyszałem, że walczyłeś z Juttą.|Usłyszałem, że pokłóciłeś się z Juttą.
Swore he'd sink his blade into the giant's heart - swore it on the bones of his ancestors.|Przysiągł na kości swoich przodków, że zatopi ten miecz w sercu giganta.|Przysiągł, że wbije ostrze w serce olbrzyma - przysiągł to na kości swoich przodków.|Przysiągł, że wbije swoje ostrze w serce olbrzyma - przysiągł to na kości swoich przodków.|Przysiągł, że wbije ostrze w serce olbrzyma - przysiągł to na kości swoich przodków.|Przysiągł, że wbije swoje ostrze w serce olbrzyma - przysiągł na kości swoich przodków.
Aye, now I see. The skald sings true. Love bears many guises.|Taaak... Prawdę śpiewają skaldowie... Miłość niejedno ma imię.|Tak, teraz widzę. Skald śpiewa prawdę. Miłość przybiera wiele postaci.|Tak, teraz widzę. Skald śpiewa prawdę. Miłość przybiera wiele postaci.|Tak, teraz widzę. Skald śpiewa prawdę. Miłość przybiera wiele postaci.|Tak, teraz rozumiem. Skald mówi prawdę. Miłość ma wiele twarzy.
Gotta give this some thought. So long.|Zastanowię się jeszcze. Bywaj.|"Tłumaczenie na polski:

""Muszę się nad tym zastanowić. Do widzenia.""

To tłumaczenie oddaje sens oryginalnego tekstu w języku angielskim, który wyraża potrzebę refleksji i pożegnanie. Warto jednak pamiętać, że tłumaczenia mogą nie być dosłowne i często wymagają dostosowania do kontekstu kulturowego i językowego docelowego języka."|Muszę się nad tym zastanowić. Do widzenia.|Muszę się nad tym zastanowić. Do widzenia.|Muszę się nad tym zastanowić. Do widzenia.
Farewell.|Bywaj.|"Dobrze, oto tłumaczenie na język polski:

Pożegnanie.

To słowo ""Farewell"" w języku angielskim można przetłumaczyć jako ""pożegnanie"" lub ""do widzenia"" w języku polskim. Oba te wyrażenia są używane do wyrażenia rozstania się z kimś lub czymś, często w kontekście formalnym lub oficjalnym."|Żegnaj.|"Tłumaczenie samego słowa:

Pożegnanie."|Do widzenia.
Elders say in the Cave of Dreams you face your greatest fears. Face what makes you wake up at night, screamin'. Somethin' that's already been, will be… or just might be.|Starcy mówią, że w Jaskini Snów trzeba się zmierzyć z tym, czego się najbardziej boisz. Co sprawia, że w nocy budzisz się z krzykiem. Coś, co już było, będzie... Albo być może.|"Tłumaczenie na język polski:

""Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Staw czoła temu, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.""

To tłumaczenie oddaje sens oryginalnego tekstu, zachowując jego atmosferę i znaczenie."|Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Staw czoła temu, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.|Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Staw czoła temu, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.|Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Zmierz się z tym, co sprawia, że budzisz się w nocy, krzycząc. Coś, co już było, będzie... lub może się zdarzyć.
They say the Wild Hunt destroyed your village…|Ponoć waszą wioskę zniszczył Gon...|"Oto tłumaczenie na język polski:

Mówią, że Dzika Łowczyni zniszczyła twoją wioskę...

To zdanie może być częścią dialogu lub narracji w kontekście legendy o Dzikiej Łowczyni (Wild Hunt), która jest popularnym motywem w folklorze skandynawskim i bałtyckim. W tej legendzie Dzika Łowczyni to postać związana z lasami i naturą, czasem przedstawiana jako duch lub demoniczna istota, która może niszczyć wioski lub przynosić nieszczęścia tym, którzy jej się sprzeciwiają."|Mówią, że Dziki Łów zniszczył twoją wioskę...|"Tłumaczenie samego zdania:

Mówią, że Dzika Łowczyni zniszczyła twoją wioskę..."|Mówią, że Dzika Łowczyni zniszczyła twoją wieś...
Will that suit you?|Tyle wystarczy?|"Tłumaczenie tego zdania na język polski brzmi:

Czy to ci odpowiada?

To pytanie jest często używane w sytuacjach, gdy ktoś proponuje coś drugiej osobie i chce się upewnić, czy ta propozycja jest dla niej akceptowalna lub satysfakcjonująca. Może być stosowane w różnych kontekstach, takich jak planowanie spotkań, wybór jedzenia, czy dyskusje o preferencjach."|Czy to ci odpowiada?|Czy to ci odpowiada?|Czy to ci odpowiada?
Hey, stranger. Lookin' for some entertainment? Want a drink?|Witaj, nieznajomy. Szukasz rozrywki, czegoś chcesz się napić?|"Oto tłumaczenie na język polski:

Hej, nieznajomy. Szukasz trochę rozrywki? Chcesz się napić?

To swobodne tłumaczenie dialogu z języka angielskiego na polski, oddające jego nieformalny charakter i potoczny styl mówienia."|Cześć, obcy. Szukasz rozrywki? Chcesz się napić?|"Oto samo tłumaczenie:

Hej, nieznajomy. Szukasz trochę rozrywki? Chcesz się napić?"|Cześć obcy. Szukasz rozrywki? Chcesz się napić?
Calm down! You act like rabid dogs, not jarls of Skellige. Speak, witcher.|Spokój! Zachowujecie się jak wściekłe psy, a nie jarlowie skelliskich rodów... Mów, wiedźminie.|Uspokój się! Zachowujesz się jak wściekłe psy, a nie jarlowie ze Skellige. Mów, wiedźminie.|Uspokój się! Zachowujesz się jak wściekłe psy, a nie jarlowie ze Skellige. Mów, wiedźminie.|Uspokój się! Zachowujesz się jak wściekłe psy, a nie jarlowie ze Skellige. Mów, wiedźminie.|Uspokój się! Zachowujecie się jak wściekłe psy, nie jarlowie Skellige. Mów, wiedźminie.
Folan! I was sure you'd died! Where've you been?|Folan! Byłem pewny, że nie żyjesz! Gdzie się podziewałeś?|"Folan! Byłem pewien, że nie żyjesz! Gdzie byłeś?

To tłumaczenie z języka angielskiego na polski. Zauważ, że w języku polskim użyto wykrzyknika na początku zdania, aby oddać emocjonalny ton oryginalnego tekstu. Ponadto, słowo ""Folan"" pozostało bez zmian, ponieważ jest to imię lub nazwisko postaci, które nie wymaga tłumaczenia."|Folan! Byłem pewien, że zginąłeś! Gdzie byłeś?|Folan! Byłem pewien, że nie żyjesz! Gdzie byłeś?|Folan! Myślałem, że nie żyjesz! Gdzie byłeś?
I do.|Znam się.|"Tłumaczenie tego zdania na język polski brzmi:

""Dobrze, zrobię to.""

To jest potwierdzenie gotowości wykonania jakiejś czynności lub zadania. W języku angielskim ""I do"" może być używane w różnych kontekstach, ale najczęściej oznacza akceptację lub zgodę na coś."|Ja też.|Dobrze, zrobię to.|Jestem bardzo dobrym kucharzem.
Ahem, the claimants to the throne will step forth in a moment.|Khem, za chwilę zaczną się zgłaszać kandydaci do korony.|"Ach, za chwilę wystąpią osoby zgłaszające pretensje do tronu.

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jednocześnie jego nieformalny charakter i lekkie zakłopotanie wyrażone przez ""ahem"". Warto zauważyć, że w języku polskim często używa się podobnych zwrotów, takich jak ""ach"", ""no cóż"" lub ""tak więc"", aby wprowadzić temat lub przygotować słuchacza na pewną informację."|Ach, osoby zgłaszające roszczenia do tronu pojawią się za chwilę.|Ach, za chwilę wystąpią osoby zgłaszające pretensje do tronu.|Ehm, osoby roszczące sobie prawo do tronu wystąpią za chwilę.
Vildkaarls - what else do you know about 'em?|To co jeszcze wiesz o tych vildkaarlach?|"Tłumaczenie tego zdania na język polski brzmi:

""Wilkołaki - co o nich wiesz?""

To pytanie może być użyte w różnych kontekstach, na przykład w rozmowie o legendach i mitach, w dyskusji na temat folkloru lub w grze fabularnej. Wilkołaki to popularne stworzenia z mitologii i literatury grozy, często przedstawiane jako ludzie, którzy potrafią przemieniać się w wilki, zwykle podczas pełni księżyca."|Wilkarls - co jeszcze o nich wiesz?|Wilkołaki - co o nich wiesz?|Wilkołaki - co jeszcze o nich wiesz?
Course. Ice Giant was just the beginnin'. 'Sides, got all kinds of whoresons already sayin' he wasn't that big.|Pewno. Lodowy gigant to dopiero początek. Zresztą różni tacy już zaczynają opowiadać, że wcale nie był taki wielki.|"Tłumaczenie na polski:

Kurs. Lodowy Olbrzym był dopiero początkiem. ""Po bokach miał już wszystkie rodzaje szumowin, które mówiły, że nie jest taki duży.""

Wyjaśnienie:
To zdanie wydaje się być fragmentem dialogu lub narracji z jakiejś opowieści lub gry komputerowej. Wydaje się odnosić do postaci o imieniu ""Lodowy Olbrzym"" (Ice Giant), która jest przedstawiana jako potężna i groźna, ale inni bohaterowie próbują ją umniejszyć lub zaprzeczają jej wielkości. Zdanie może sugerować, że ta postać jest tylko jednym z wielu wyzwań lub przeciwników, z którymi główny bohater musi się zmierzyć."|Kurs. Olbrzym z lodu to był dopiero początek. Boki, już różne męty mówią, że on nie był taki wielki.|Kurs. Lodowy Olbrzym był dopiero początkiem. Po bokach miał już wszystkie rodzaje szumowin, które mówiły, że nie jest taki duży.|No jasne. Lodowy Olbrzym był dopiero początkiem. A poza tym, mnóstwo różnych drani już teraz twierdzi, że nie był taki duży.
They could start, already.|No, niechże się już zacznie...|"Tłumaczenie tego zdania na język polski brzmi:

""Mogliby już zacząć.""

To zdanie wyraża sugestię lub prośbę o rozpoczęcie czegoś wcześniej niż planowano lub oczekiwano. Może być używane w różnych kontekstach, na przykład gdy ktoś się spieszy lub chce przyspieszyć proces."|Mogliby już zacząć.|Mogliby już zacząć.|Oni mogliby już zacząć.
Aaaaa!|Aaaaa!|"""Aaaaa!"" to wykrzyknienie, które może być używane w różnych kontekstach, aby wyrazić zaskoczenie, strach, ból lub ekscytację. W języku polskim nie ma dokładnego tłumaczenia tego słowa, ponieważ jest ono głównie dźwiękonaśladowcze i emocjonalne. Można je po prostu przepisać bez zmiany, aby oddać jego znaczenie w danym kontekście.

Jeśli potrzebujesz bardziej szczegółowego opisu lub interpretacji tego wykrzyknienia w konkretnym kontekście, proszę podaj więcej informacji."|Aaaaa!|Aaaaa! to wykrzyknienie, które może być używane w różnych kontekstach, aby wyrazić zaskoczenie, strach, ból lub ekscytację. W języku polskim nie ma dokładnego tłumaczenia tego słowa; można je po prostu przepisać bez zmiany, aby oddać jego znaczenie w danym kontekście.|Aaaaa!
But the hand is that of a woman, and you--|Ale charakter pisma jest kobiecy...|"Ale to jest dłoń kobiety, a ty...

To zdanie w języku angielskim wydaje się być fragmentem dialogu lub narracji, który prawdopodobnie opisuje sytuację, w której ktoś zauważa, że dłoń należy do kobiety, i zwraca się bezpośrednio do osoby, która może być zaskoczona tym faktem. Tłumaczenie tego zdania na język polski brzmi: ""Ale to jest dłoń kobiety, a ty...""."|Ale to jest dłoń kobiety, a ty...|Ale to jest dłoń kobiety, a ty...|Ale ręka jest ręką kobiety, a ty--
So who'll mind the sheep?|A kto będzie owce pasał?|"Tłumaczenie tego zdania na język polski brzmi: ""No to kto będzie pilnował owiec?""

To popularne angielskie powiedzenie, które jest używane w sytuacji, gdy ktoś zadaje pytanie retoryczne lub wyraża obawy co do tego, kto zajmie się daną sprawą, gdy on sam nie będzie mógł tego robić. W kontekście pracy lub odpowiedzialności, może to oznaczać, że osoba pytająca ma wątpliwości co do kompetencji lub zaangażowania innych osób w danej sytuacji."|Kto będzie pilnował owiec?|No to kto będzie pilnował owiec?|Kto się zajmie owcami?
They say Freya herself planted it. When the world was young the goddess strode across Skellige, sowing seeds among the rocks. But Uroboros, the snake, bit a hole in her basket.|Mówi się, że założyła go sama Freyja. Na początku świata bogini szła przez Skellige, sypiąc nasiona między nagie skały... Ale wąż Uroboros rozerwał jej siewnicę.|Mówią, że to sama Freya zasiała je osobiście. Kiedy świat był młody, bogini kroczyła po Skelligach, rozsiewając nasiona wśród skał. Ale Uroburos, wąż, ugryzł dziurę w jej koszyku.|Mówią, że to sama Freya zasiała je. Kiedy świat był młody, bogini kroczyła po Skelligach, rozsiewając nasiona wśród skał. Ale Uroboros, wąż, ugryzł dziurę w jej koszyku.|Mówią, że to sama Freya zasiała je osobiście. Kiedy świat był młody, bogini kroczyła po Skelligach, rozsiewając nasiona wśród skał. Ale Uroburos, wąż, ugryzł dziurę w jej koszyku.|Mówi się, że sama Freja posadziła to drzewo. Kiedy świat był młody, bogini przeszła przez Skellige, siejąc nasiona pośród skał. Ale Uroburos, wąż, ugryzł dziurę w jej koszyku.
If there's one thing I'm not afraid of, it's nekkers.|Czego jak czego, ale nekkerów to się akurat nie boję.|"Jeśli jest jedna rzecz, której się nie boję, to są nią nekkery.

To tłumaczenie odzwierciedla dosłowne znaczenie oryginalnego zdania w języku angielskim, zachowując jego strukturę i ton. Warto zauważyć, że ""nekkery"" to potoczne określenie osób, które uporczywie nękają kogoś w Internecie lub przez inne media, często w sposób natrętny i irytujący."|Jedyną rzeczą, której się nie boję, są nekkersy.|Jeśli jest jedna rzecz, której się nie boję, to są nią nekkery.|Jeśli jest coś, czego się nie boję, to są nekkery.
He's loyal to the clan, so he'd never say openly. But he suggested that Udalryk's troubles likely come from Aki.|Jest lojalny wobec klanu, więc nie mówi o tym wprost, ale zasugerował, że może chodzić o Akiego.|"Tłumaczenie na język polski:

""Jest lojalny wobec klanu, więc nigdy nie powiedziałby tego otwarcie. Ale zasugerował, że problemy Udalryka prawdopodobnie pochodzą od Akiego.""

To zdanie zostało przetłumaczone dosłownie i zachowuje sens oryginalnego tekstu. Warto zauważyć, że w języku polskim często używamy bardziej bezpośrednich form wyrażania myśli niż w języku angielskim, dlatego tłumaczenia mogą czasem brzmieć mniej naturalnie. Jednak w tym przypadku tłumaczenie oddaje intencję oryginalnego tekstu i jest poprawne gramatycznie oraz stylistycznie."|Jest lojalny wobec klanu, więc nigdy by tego otwarcie nie powiedział. Ale zasugerował, że kłopoty Udalryka prawdopodobnie pochodzą od Akiego.|Jest lojalny wobec klanu, więc nigdy nie powiedziałby tego otwarcie. Ale zasugerował, że problemy Udalryka prawdopodobnie pochodzą od Akiego.|Jest lojalny wobec klanu, więc nigdy nie powiedziałby tego otwarcie. Ale sugerował, że problemy Udalryka prawdopodobnie pochodzą od Akiego.
A fiend.|Bies.|"Tłumaczenie słowa ""A fiend"" na język polski to ""Diabeł"".

Wyjaśnienie:
- ""Fiend"" w języku angielskim oznacza ""diabła"", ""demona"" lub ""złośliwego ducha"".
- W języku polskim odpowiednikiem tego słowa jest ""diabeł"".
- Słowo ""diabeł"" może być używane zarówno w kontekście religijnym, jak i metaforycznym, aby opisać kogoś bardzo złego lub niegodziwego.

Jeśli masz dodatkowe pytania dotyczące tłumaczenia lub chcesz omówić szersze znaczenie tego słowa, chętnie pomogę!"|Diabeł.|Tłumaczenie słowa A fiend na język polski to Diabeł.|Diabeł.
If you call the strife in his heart and head a battle…|Jeśli jego zmagania można nazwać bitwami, to rzeczywiście.|"Jeśli nazwiesz walkę w jego sercu i głowie bitwą...

To tłumaczenie odnosi się do oryginalnego zdania, które brzmi: ""If you call the strife in his heart and head a battle..."". W języku polskim można to przetłumaczyć jako:

""Jeśli nazwiesz zamęt w jego sercu i głowie bitwą...""

Warto zauważyć, że słowo ""strife"" (zamęt) zostało przetłumaczone jako ""walka"", co jest bliskie znaczeniowo, ale nie dosłowne tłumaczenie. Kontekst sugeruje, że chodzi o wewnętrzną rozterkę lub konflikt emocjonalny, który może być postrzegany jako ""bitwa""."|Jeśli nazwiesz walkę w jego sercu i głowie bitwą...|Jeśli nazwiesz zamęt w jego sercu i głowie bitwą...|Jeśli nazwiesz niepokój w jego sercu i głowie bitwą…
Hangin' by, mate?|Co tam, brachu?|"Tłumaczenie tego wyrażenia na język polski to:

""Wisieć na kimś?""

To potoczne wyrażenie w języku angielskim oznacza zazwyczaj prośbę o pomoc lub wsparcie, często w kontekście finansowym lub emocjonalnym. W języku polskim może być używane w podobny sposób, choć jest mniej powszechne i bardziej kolokwialne."|Wisząc na tobie, kumpel?|Wisieć na kimś?|Wiesz co, stary?
Congratulations. You'll make a great queen.|Gratuluję. Będziesz dobrą królową.|"Gratulacje! Będziesz wspaniałą królową.

To proste tłumaczenie z języka angielskiego na polski. Warto zauważyć, że w języku polskim nie ma bezpośredniego odpowiednika słowa ""queen"" (królowa) w formie męskiej, dlatego używamy ogólnego określenia ""władca"". Jednak w kontekście gratulacji dla kobiety, która obejmuje tron lub zostaje koronowana, słowo ""królowa"" jest najbardziej odpowiednim tłumaczeniem."|Gratulacje. Będziesz wspaniałą królową.|Gratulacje! Będziesz wspaniałą królową.|Gratulacje. Będziesz świetną królową.
Aaah. I understand. You must make a brew of lovage. One hour before, you know, this, that, the other.|Aaaa. Rozumiem. No, to lubczyk musisz sobie parzyć. Na godzinę przed ten, tego.|Ach! Rozumiem. Musisz przygotować napar z lubczyku. Godzinę wcześniej, wiesz, to i owo, tamto i siamto.|Ach. Rozumiem. Musisz przygotować napar z lubczyku. Godzinę wcześniej, wiesz, to, tamto, owo.|Ach! Rozumiem. Musisz przygotować napar z lubczyku.|Ach. Rozumiem. Musisz przygotować napar z lubczyku. Godzinę wcześniej, wiesz, to, tamto, inne.
Show me your goods.|Pokaż mi swoje towary.|"Tłumaczenie tego zdania na język polski brzmi:

""Pokaż mi swoje towary.""

To jest dosłowne tłumaczenie, które zachowuje znaczenie oryginalnego angielskiego wyrażenia ""Show me your goods"". Warto jednak pamiętać, że w języku polskim istnieją również inne sposoby wyrażenia tej samej prośby lub polecenia, np.:

- Pokaż mi, co masz.
- Przedstaw mi swój asortyment.
- Zaprezentuj mi swoje produkty.

Wybór konkretnej formy może zależeć od kontekstu i stylu komunikacji."|Pokaż mi swoje towary.|Pokaż mi swoje towary.|Pokaż mi swoje towary.
Thanks for the prediction.|Dziękuję za wróżbę.|"Dziękuję za przewidywanie.

To tłumaczenie jest dosłowne i może być użyte w kontekście, gdy ktoś prosi o przewidzenie lub wyraża podziękowania za czyjeś przewidywania lub prognozy. Jeśli potrzebujesz bardziej szczegółowego kontekstu lub innej formy tego zdania, daj mi znać!"|Dziękuję za przewidywanie.|Dziękuję za przewidywanie.|Nie jestem pewien, co robić dalej.
Freya smiled upon another today. Not surprisin'… she rarely looks kind on outlanders.|Freyja komu innemu dziś sprzyjała. Nie dziwne... Ona rzadko na obcych spogląda łaskawym okiem.|"Tłumaczenie na polski:

Freya uśmiechnęła się do kogoś dzisiaj. Nie dziwne... rzadko patrzy przyjaźnie na obcych.

To zdanie wydaje się pochodzić z jakiejś opowieści fantasy lub science fiction, gdzie ""Freya"" może być imieniem postaci lub bóstwa, a ""obcy"" to prawdopodobnie istoty spoza znanego świata lub ludzie o odmiennej naturze. Kontekst sugeruje, że Freya nie jest zbyt skłonna do okazywania życzliwości wobec tych, którzy są inni lub nieznani."|Freya uśmiechnęła się do kogoś dzisiaj. Nie dziwne... rzadko patrzy przyjaźnie na obcych.|"Tłumaczenie na polski:

Freya uśmiechnęła się do kogoś dzisiaj. Nie dziwne... rzadko patrzy przyjaźnie na obcych."|Freya uśmiechnęła się dziś do kolejnego. Nie dziwne... rzadko patrzy życzliwie na obcych.
If brawlin's in your nature and ye care to continue, there's Einar still to fight.|Gdybyś chciał dalej stawać do walki na pięści, to możesz walczyć z Einarem.|"Jeśli masz ochotę na bijatyki i chcesz kontynuować, pozostaje jeszcze Einar do pokonania.

To tłumaczenie zachowuje ducha oryginalnego zdania w języku angielskim, używając archaicznego stylu i nieco kolokwialnego tonu. Warto zauważyć, że w języku polskim również istnieją podobne formy wyrażeń, które mogą być używane w kontekście opowieści przygodowych lub historycznych."|Jeśli bijatyki leżą w twojej naturze i chcesz kontynuować, pozostał jeszcze Einar do pokonania.|Jeśli masz ochotę na bijatyki i chcesz kontynuować, pozostaje jeszcze Einar do pokonania.|Jeśli masz skłonność do bijatyk i chcesz kontynuować, jest jeszcze Einar do pokonania.
I know many who crave the crown… But none who'd stoop so low to get it.|Znam wielu, którzy pragną korony... Ale nikogo, kto upadłby tak nisko, żeby ją zdobyć.|"Tłumaczenie tego zdania na język polski brzmi:

""Znam wielu, którzy pragną korony... Ale nikogo, kto by się tak poniżył, żeby ją zdobyć.""

To zdanie wyraża podobną myśl jak oryginalne angielskie powiedzenie, sugerując, że choć wiele osób może marzyć o osiągnięciu wysokiej pozycji lub sukcesu, rzadko kto jest gotów zrobić coś niegodnego lub upokarzającego, aby ten cel osiągnąć."|Wiem o wielu, którzy pragną korony... Ale nikt, kto by się tak poniżył, aby ją zdobyć.|Znam wielu, którzy pragną korony... Ale nikogo, kto by się tak poniżył, żeby ją zdobyć.|Znam wielu, którzy pragną korony... Ale nikogo, kto by się tak poniżył, żeby ją zdobyć.
And?|I co?|"A co z tym?

Tekst ""And?"" w języku angielskim można przetłumaczyć na polski jako ""I co dalej?"" lub ""A co teraz?"". Kontekst, w jakim to pytanie jest używane, może pomóc w dokładniejszym określeniu jego znaczenia. W podanym przykładzie ""And?"" zostało przetłumaczone jako ""A co z tym?"", co sugeruje kontynuację rozmowy lub dyskusji i prośbę o wyjaśnienie kolejnych kroków lub informacji."|A co z tym?|I co dalej? lub A co teraz?|I co?
Farewell, an Craite.|Bywaj, an Craite.|"Tłumaczenie na język polski:

""Pożegnanie, an Craite.""

To zdanie wydaje się być połączeniem dwóch elementów:
1. ""Pożegnanie"" - słowo oznaczające akt rozstania lub końca czegoś.
2. ""an Craite"" - prawdopodobnie imię lub nazwisko osoby, której to pożegnanie dotyczy.

Całe zdanie może oznaczać pożegnanie z kimś o imieniu lub nazwisku Craite."|Żegnaj, An Craite.|"Pożegnanie, an Craite.

To zdanie oznacza pożegnanie z kimś o imieniu lub nazwisku Craite."|Żegnaj, Kraite.
Another victim.|Kolejna ofiara.|"Tłumaczenie tego zdania na język polski brzmi:

""Kolejna ofiara.""

To zdanie może być używane w różnych kontekstach, na przykład w artykułach prasowych dotyczących przestępstw lub tragedii, gdzie mowa o kolejnej osobie poszkodowanej lub zmarłej. Warto pamiętać, że słowo ""ofiara"" ma tutaj znaczenie dosłowne i odnosi się do osoby, która poniosła szkodę lub straciła życie w wyniku jakiegoś zdarzenia."|Kolejna ofiara.|Kolejna ofiara.|Kolejna ofiara.
Shame to let such a lad waste away behind bars… Come on. Maybe Lugos'll try you today.|Szkoda, żeby taki chłop marniał za kratkami... Chodź. Może Lugos zechce cię osądzić.|"Tłumaczenie na język polski:

""Wstyd, żeby taki chłopak marnował się za kratami... Chodźmy. Może dzisiaj spróbuje cię Lugosz.""

To zdanie wydaje się pochodzić z dialogu lub narracji w kontekście sądowym lub więziennym, gdzie jedna osoba próbuje pocieszyć lub zachęcić drugą przed nadchodzącym procesem lub przesłuchaniem przez sędziego o nazwisku Lugosz."|Wstyd pozwolić, by taki chłopak marniał za kratami... Chodźmy. Może dzisiaj spróbuje cię Lugosz.|Wstyd, żeby taki chłopak marnował się za kratami... Chodźmy. Może dzisiaj spróbuje cię Lugosz.|Szkoda pozwolić takiemu chłopakowi marnować się za kratami... Chodźmy. Może dziś spróbuje cię Lugosz.
Hang in there, Leif! I'll soon finish them off!|Trzymaj się, Leif! Zaraz z nimi skończę!|"Tłumaczenie tego zdania na język polski brzmi:

""Wytrwaj, Leifie! Wkrótce ich wykończę!""

To krótkie, zachęcające zdanie, które może być użyte w kontekście gry komputerowej lub filmu akcji. Oto kilka dodatkowych informacji o tym tłumaczeniu:

1. ""Hang in there"" to idiomatyczne wyrażenie w języku angielskim, które dosłownie oznacza ""trzymaj się tam"", ale jest używane jako zachęta do wytrwałości i cierpliwości.

2. ""Leif"" pozostaje bez zmian, ponieważ jest to imię własne.

3. ""I'll soon finish them off"" można przetłumaczyć jako ""wkrótce ich wykończę"". To wyrażenie sugeruje, że mówiący ma nadchodzące zwycięstwo lub osiągnięcie celu.

4. Tłumaczenie to zachowuje ton oryginalnego zdania - jest ono zwięzłe, pełne determinacji i skierowane do konkretnej osoby (Leifa).

5. Warto zauważyć, że w języku polskim nie ma dokładnego odpowiednika dla tego idiomu, dlatego tłumaczenie może wydawać się nieco sztuczne, ale najlepiej oddaje znaczenie oryginału."|Trzymaj się, Leif! Wkrótce ich załatwię!|Wytrwaj, Leifie! Wkrótce ich wykończę!|Trzymaj się, Leif! Wkrótce ich wykończę!
Take you'll decide when.|Rozumiem, że ty zadecydujesz kiedy nastąpi ten czas.|"Tekst ""Take you'll decide when"" można przetłumaczyć na język polski jako:

""Weź, kiedy zdecydujesz.""

Warto jednak zauważyć, że to tłumaczenie może nie być dosłowne i pełne w kontekście oryginalnego zdania. W zależności od sytuacji, w której to zdanie jest używane, mogą istnieć inne bardziej odpowiednie tłumaczenia. Na przykład, jeśli chodzi o decyzję dotyczącą czasu lub momentu, można również powiedzieć:

""Weź, gdy zdecydujesz się.""
lub
""Weź, kiedy postanowisz.""

Jeśli potrzebujesz bardziej szczegółowego tłumaczenia lub masz dodatkowe informacje kontekstowe, daj mi znać!"|Ty zdecydujesz kiedy.|Weź, kiedy zdecydujesz.|Zdecydujesz kiedy.
To Bran! May he want for nothing in the world beyond!|Za Brana! Niech mu niczego nie zbraknie na tamtym świecie!|"Tłumaczenie tego zdania na język polski brzmi:

""Na Brana! Niech mu niczego w świecie nie zabraknie!""

To jest popularne powiedzenie używane w kontekście życzenia komuś szczęścia i dobrobytu. ""Bran"" to imię, które może być skróconą formą imienia Bronisław lub po prostu oznaczać ""dobry"". Całe wyrażenie jest używane jako forma błogosławieństwa lub życzenia pomyślności dla danej osoby."|To Bran! Niech niczego mu w świecie nie braknie!|Na Brana! Niech mu niczego w świecie nie zabraknie!|To jest Bran! Niech niczego mu nie braknie na świecie!
