en_text|pl_text|result_one_shot|translation_one_shot|result_three_shot|translation_three_shot
Serious enough for Udalryk to break a sacred law here in Skellige - he openly questioned his father's decision.|Na tyle poważna, że Udalryk złamał święte prawo Skellige – głośno sprzeciwił się woli ojca.|"Zdanie po angielsku: Serious enough for Udalryk to break a sacred law here in Skellige - he openly questioned his father's decision.

Tłumaczenie: [Poważne na tyle, że Udalryk złamał tu w Skellige święte prawo - otwarcie kwestionował decyzję swojego ojca.]"|Poważne na tyle, że Udalryk złamał tu w Skellige święte prawo - otwarcie kwestionował decyzję swojego ojca.|Tłumaczenie: [Poważne na tyle, by Udalryk złamał tu w Skellige święte prawo - otwarcie zakwestionował decyzję swojego ojca.]|Poważne na tyle, by Udalryk złamał tu w Skellige święte prawo - otwarcie zakwestionował decyzję swojego ojca.
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|"Zdanie po angielsku: What do I do to complete the Path of Warriors? Remind me.

Tłumaczenie: [Co muszę zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.]"|Co muszę zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.|Tłumaczenie: [Co mam zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.]|Co mam zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.
Farewell.|Bywaj.|"Zdanie po angielsku: Farewell.

Tłumaczenie: [Do widzenia.]"|Do widzenia.|"Oczywiście! Oto tłumaczenie podanego zdania ""Farewell"" na język polski:

[Do widzenia.]"|Do widzenia.
When'd the gods speak to you? Right after I left?|Kiedy bogowie przemówili? Zaraz jak wypłynąłem?|"Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?

[Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?]"|Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?|"Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?

Tłumaczenie: [Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?]"|Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?
You lot gonna help me or continue preachin'?|Pomożecie mi w końcu czy będziecie dalej rozprawiać o religii?|"Zdanie po angielsku: You lot gonna help me or continue preachin'?

Tłumaczenie: [Wy mi pomożecie czy dalej będziecie gadać?]"|Wy mi pomożecie czy dalej będziecie gadać?|Tłumaczenie: [Pomożecie mi czy dalej będziecie gadać?]|Pomożecie mi czy dalej będziecie gadać?
Got a different notion of honor than you folk.|Inaczej rozumiem honor, niż wy.|"Zdanie po angielsku: Got a different notion of honor than you folk.

Tłumaczenie: [Mam inne pojęcie honoru niż wy.]"|Mam inne pojęcie honoru niż wy.|Tłumaczenie: [Mam inne pojęcie honoru niż wy ludzie.]|Mam inne pojęcie honoru niż wy ludzie.
Oh, hahahah! Givin' me a true fright right now! Shat me best trousers! Put that away before you cut yourself, you cunt.|Ha, ha, ha! Aleś mnie przestraszył! Zesrałem się w spodnie! Uważaj, bo się pokaleczysz, pizdo.|"[Oh, ha, ha, ha! Naprawdę mnie teraz straszysz! Zesrałeś się w najlepsze spodnie! Odłóż to zanim się skaleczysz, ty suko.]

To tłumaczenie jest dosłowne i może nie być odpowiednie dla wszystkich kontekstów lub odbiorców ze względu na użycie wulgaryzmów i potocznego języka. Warto pamiętać, że takie tłumaczenia często wymagają dostosowania do konkretnej sytuacji i odbiorcy."|Oh, ha, ha, ha! Naprawdę mnie teraz straszysz! Zesrałeś się w najlepsze spodnie! Odłóż to zanim się skaleczysz, ty suko.|"[Och, ha, ha, ha! Naprawdę mnie teraz wystraszyłeś! Zesrałeś się w najlepsze spodnie! Odłóż to zanim się skaleczysz, ty sukinsynie.]

To tłumaczenie jest dosłowne i może nie być odpowiednie dla wszystkich kontekstów lub odbiorców ze względu na użycie wulgaryzmów i potocznego języka. Warto pamiętać, że takie sformułowania mogą być uznane za obraźliwe w wielu sytuacjach społecznych."|Och, ha, ha, ha! Naprawdę mnie teraz wystraszyłeś! Zesrałeś się w najlepsze spodnie! Odłóż to zanim się skaleczysz, ty sukinsynie.
"Whole village laughed… ""Stupid bint Jonna, let herself be had!"" Oh no - I've not been had, nor have I forgot."|Cała wieś się śmiała... „Ale głupia ta Jona, ale się dała!”. Otóż nie, nie dała się. I nie zapomniała.|"Zdanie po angielsku: Whole village laughed… ""Stupid bint Jonna, let herself be had!"" Oh no - I've not been had, nor have I forgot.

Tłumaczenie: [Cała wieś się śmiała… ""Głupia dziewucha Jonna, dała się oszukać!""] Och nie - nie zostałam oszukana, ani nie zapomniałam."|"Cała wieś się śmiała… ""Głupia dziewucha Jonna, dała się oszukać!"""|"Oto tłumaczenie podanego zdania na język polski:

[Cała wieś się śmiała... ""Głupia dziewucha Jonna, dała się omotać!"" O nie - nie dałam się omotać, ani nie zapomniałam.]

To tłumaczenie oddaje sens oryginalnego tekstu, choć może być nieco archaiczne ze względu na użycie słowa ""bint"" (dziewczyna) oraz formy ""let herself be had"", która została przetłumaczona jako ""dała się omotać"". Współczesny odpowiednik mógłby brzmieć: ""Cała wieś się śmiała... Głupia dziewczyna Jonna, dała się oszukać!"" O nie - nie dałam się oszukać, ani nie zapomniałam."|"Cała wieś się śmiała... ""Głupia dziewucha Jonna, dała się omotać!"" O nie - nie dałam się omotać, ani nie zapomniałam."
Three years. Three fuckin' years, pickaxe in hand.|Trzy lata. Trzy pieprzone lata z kilofem w ręku...|"Zdanie po angielsku: Three years. Three fuckin' years, pickaxe in hand.

Tłumaczenie: [Trzy lata. Trzy pieprzone lata z kilofem w ręku.]

Warto zauważyć, że słowo ""fuckin'"" jest potocznym, wulgarnym określeniem używanym w języku angielskim jako intensyfikator, aby podkreślić emocje lub frustrację. W języku polskim można to oddać za pomocą słowa ""pieprzony"" lub ""cholerny"". Wybór konkretnego słowa zależy od kontekstu i poziomu formalności, jaki chcemy osiągnąć w tłumaczeniu."|Trzy lata. Trzy pieprzone lata z kilofem w ręku.|Tłumaczenie: [Trzy lata. Trzy pieprzone lata, z kilofem w ręku.]|Trzy lata. Trzy pieprzone lata, z kilofem w ręku.
I believe we're on the right track. Look for anything that might contain a djinn.|Chyba mamy trop. Szukaj czegoś, w czym mogli zamknąć dżinna.|"Zdanie po angielsku: I believe we're on the right track. Look for anything that might contain a djinn.

Tłumaczenie: [Myślę, że jesteśmy na właściwej drodze. Szukaj czegokolwiek, co może zawierać dżina.]"|Myślę, że jesteśmy na właściwej drodze. Szukaj czegokolwiek, co może zawierać dżina.|Tłumaczenie: [Wierzę, że jesteśmy na właściwej drodze. Szukaj czegokolwiek, co może zawierać dżina.]|Wierzę, że jesteśmy na właściwej drodze. Szukaj czegokolwiek, co może zawierać dżina.
Foreigners and their fancies… Fine, show me what you want.|Obcy i ich smaki... No dobra, pokaż, o co chodzi.|"Zdanie po angielsku: Foreigners and their fancies… Fine, show me what you want.

Tłumaczenie: [Cudzoziemcy i ich zachcianki... Dobrze, pokażcie mi czego chcecie.]"|Cudzoziemcy i ich zachcianki... Dobrze, pokażcie mi czego chcecie.|Tłumaczenie: [Cudzoziemcy i ich zachcianki... W porządku, pokażcie mi czego chcecie.]|Cudzoziemcy i ich zachcianki... W porządku, pokażcie mi czego chcecie.
We're looking for Ciri. Ashen hair, green eyes… Have you seen her?|Szukamy Ciri. Szare włosy, zielone oczy. Co się z nią stało?|"Zdanie po angielsku: We're looking for Ciri. Ashen hair, green eyes… Have you seen her?

Tłumaczenie: [Szukamy Ciri. Popielate włosy, zielone oczy... Czy ją widziałeś/widziałaś?]"|Szukamy Ciri. Popielate włosy, zielone oczy... Czy ją widziałeś/widziałaś?|Tłumaczenie: [Szukamy Ciri. Włosy popielate, zielone oczy... Czy widziałeś ją?]|Szukamy Ciri. Włosy popielate, zielone oczy... Czy widziałeś ją?
I can't… I'm dead. They killed me.|Nie mogę... Zostałem zabity.|"Zdanie po angielsku: I can't... I'm dead. They killed me.

Tłumaczenie: [Nie mogę... Jestem martwy. Zabili mnie.]

Warto zauważyć, że to zdanie jest niekompletne i może być częścią większej wypowiedzi lub dialogu. Pełne tłumaczenie zależałoby od kontekstu, w jakim zostało użyte."|Nie mogę... Jestem martwy. Zabili mnie.|Tłumaczenie: [Nie mogę... Jestem martwy. Zabili mnie.]|Nie mogę... Jestem martwy. Zabili mnie.
Didn't see any honor in what happened at Crach's castle. That was a massacre, plain and simple.|W tym, co się stało na zamku Cracha, nie ma żadnego honoru. To była zwykła rzeź.|"Zdanie po angielsku: Didn't see any honor in what happened at Crach's castle. That was a massacre, plain and simple.

Tłumaczenie: [Nie widział żadnego honoru w tym, co się wydarzyło w zamku Cracha. To była masakra, zwyczajna i prosta.]"|Nie widział żadnego honoru w tym, co się wydarzyło w zamku Cracha. To była masakra, zwyczajna i prosta.|Tłumaczenie: [Nie widział żadnego honoru w tym, co wydarzyło się w zamku Cracha. To była masakra, zwyczajna i prosta.]|Nie widział żadnego honoru w tym, co wydarzyło się w zamku Cracha. To była masakra, zwyczajna i prosta.
I'll see what I can do. Wanna talk to your sister, first off.|Zobaczę, co da się zrobić. Na początek chcę porozmawiać z twoją siostrą.|"Zdanie po angielsku: I'll see what I can do. Wanna talk to your sister, first off.

Tłumaczenie: [Zobaczę, co mogę zrobić. Chcesz porozmawiać z twoją siostrą, przede wszystkim.]"|Zobaczę, co mogę zrobić. Chcesz porozmawiać z twoją siostrą, przede wszystkim.|"Oto tłumaczenie podanego zdania na język polski:

[Zobaczę, co mogę zrobić. Chcesz porozmawiać ze swoją siostrą, najpierw.]

To zdanie składa się z dwóch części:
1. ""I'll see what I can do"" - Tłumaczone jako ""Zobaczę, co mogę zrobić"".
2. ""Wanna talk to your sister, first off"" - Tłumaczone jako ""Chcesz porozmawiać ze swoją siostrą, najpierw"".

Całe zdanie zostało przetłumaczone i zapisane w nawiasach kwadratowych zgodnie z instrukcją."|Zobaczę, co mogę zrobić. Chcesz porozmawiać ze swoją siostrą, najpierw.
Buyin' or leavin'?|Kupujecie, czy nie?|"Kupowanie czy zostawianie?

Tłumaczenie: [Kupować czy zostawiać?]"|Kupować czy zostawiać?|"Kupowanie czy pozostawianie?

Tłumaczenie: [Kupować czy zostawiać?]"|Kupować czy zostawiać?
I've nothin' left in this life…|Nic mi już nie zostało...|"Zdanie po angielsku: I've nothin' left in this life…

Tłumaczenie: [Nie mam już nic w tym życiu...]"|Nie mam już nic w tym życiu...|Tłumaczenie: [Nie mam już nic w tym życiu...]|Nie mam już nic w tym życiu...
The bodies - where were they found?|Gdzie znaleziono ciała?|"Zdanie po angielsku: The bodies - where were they found?

Tłumaczenie: [Ciała - gdzie zostały znalezione?]"|Ciała - gdzie zostały znalezione?|Tłumaczenie: [Gdzie znaleziono ciała?]|Gdzie znaleziono ciała?
Hm, a nekker hunting alone? You rarely see that.|Hm, nekkery prawie nigdy nie polują samotnie...|"Zdanie po angielsku: Hm, a nekker hunting alone? You rarely see that.

Tłumaczenie: [Hm, polowanie na nekkera samemu? Rzadko się to widzi.]"|Hm, polowanie na nekkera samemu? Rzadko się to widzi.|Tłumaczenie: [Hm, a samotne polowanie na nekkery? Rzadko się to widuje.]|Hm, a samotne polowanie na nekkery? Rzadko się to widuje.
You? Yet another an Craite lackey?|Ty? Kolejny sługa an Craite?|"Zdanie po angielsku: You? Yet another an Craite lackey?

Tłumaczenie: [Ty? Jeszcze jeden lokaj z Craite?]

Uwaga: Wydaje się, że w oryginalnym zdaniu jest literówka - ""an Craite"" prawdopodobnie powinno być ""a Craite"". Zakładając, że chodzi o nazwisko lub miejsce o nazwie ""Craite"", poprawione tłumaczenie brzmiałoby: [Ty? Jeszcze jeden lokaj z Craite?]"|Ty? Jeszcze jeden lokaj z Craite?|Tłumaczenie: [Ty? Jeszcze jeden lokaj na Craite?]|Ty? Jeszcze jeden lokaj na Craite?
Time for your next challenge. If you don't fear fighting a champion, Olaf awaits you on An Skellig.|Czas na kolejne wyzwanie. Jeśli nie boisz się pojedynku z mistrzem, Olaf będzie czekał na ciebie na An Skellig.|"Czas na Twoje następne wyzwanie. Jeśli nie boisz się walczyć z mistrzem, Olaf czeka na Ciebie na An Skellig.

Tłumaczenie: [Czas na Twoje następne wyzwanie. Jeśli nie boisz się walczyć z mistrzem, Olaf czeka na Ciebie na An Skellig.]"|Czas na Twoje następne wyzwanie. Jeśli nie boisz się walczyć z mistrzem, Olaf czeka na Ciebie na An Skellig.|"Czas na Twoje kolejne wyzwanie. Jeśli nie boisz się walczyć z mistrzem, Olaf czeka na Ciebie na An Skellig.

Tłumaczenie: [Czas na Twoje następne wyzwanie. Jeżeli nie boisz się zmierzyć z mistrzem, Olaf czeka na Ciebie na An Skellig.]"|Czas na Twoje następne wyzwanie. Jeżeli nie boisz się zmierzyć z mistrzem, Olaf czeka na Ciebie na An Skellig.
Where'd you get this mask?|Skąd masz tę Maskę?|"Zdanie po angielsku: Where'd you get this mask?

Tłumaczenie: Skąd masz tę maskę?

Końcowe tłumaczenie w nawiasach kwadratowych: [Skąd masz tę maskę?]"|Skąd masz tę maskę?|Tłumaczenie: [Skąd masz tę maskę?]|Skąd masz tę maskę?
Pretty sure you can handle this fine without me.|Widzę, że poradzicie sobie sami...|"Zdanie po angielsku: Pretty sure you can handle this fine without me.

Tłumaczenie: [Jestem pewien, że możesz sobie z tym poradzić bez problemu beze mnie.]

[Jesteś pewien, że możesz to ogarnąć samodzielnie.]"|Jestem pewien, że możesz sobie z tym poradzić bez problemu beze mnie.|Tłumaczenie: [Jestem pewien/pewna, że możesz sobie z tym poradzić bez problemu beze mnie.]|Jestem pewien/pewna, że możesz sobie z tym poradzić bez problemu beze mnie.
I returned the sword, but nothing's changed. It's not his brother's ghost that haunts him, tortures him.|To nie duch brata go prześladuje. Zwróciłem miecz i nic się nie zmieniło.|"Zdanie po angielsku: I returned the sword, but nothing's changed. It's not his brother's ghost that haunts him, tortures him.

Tłumaczenie: [Zwróciłem miecz, ale nic się nie zmieniło. To nie duch jego brata go prześladuje, dręczy.]"|Zwróciłem miecz, ale nic się nie zmieniło. To nie duch jego brata go prześladuje, dręczy.|Tłumaczenie: [Zwróciłem miecz, ale nic się nie zmieniło. To nie duch jego brata go prześladuje, dręczy.]|Zwróciłem miecz, ale nic się nie zmieniło. To nie duch jego brata go prześladuje, dręczy.
That's how ye earn respect in Skellige, Geralt. That's exactly how!|Tak się zdobywa uznanie na Skellige, Geralt. Właśnie tak!|"Zdanie po angielsku: That's how ye earn respect in Skellige, Geralt. That's exactly how!

Tłumaczenie: [Tak zyskujesz szacunek w Skellige, Geralcie. Dokładnie tak!]"|Tak zyskujesz szacunek w Skellige, Geralcie. Dokładnie tak!|Tłumaczenie: [Tak zarabia się szacunek w Skellige, Geralt. Dokładnie tak!]|Tak zarabia się szacunek w Skellige, Geralt. Dokładnie tak!
But now, enough of this maudlin business. We've something to do, remember?|Ale teraz dość już tego roztkliwiania się. Mamy coś do zrobienia, pamiętasz?|"Zdanie po angielsku: But now, enough of this maudlin business. We've something to do, remember?

Tłumaczenie: [Ale teraz wystarczy tej sentymentalnej gadki. Mamy coś do zrobienia, prawda?]"|Ale teraz wystarczy tej sentymentalnej gadki. Mamy coś do zrobienia, prawda?|Tłumaczenie: [Ale teraz wystarczy tej sentymentalnej gadki. Mamy coś do zrobienia, prawda?]|Ale teraz wystarczy tej sentymentalnej gadki. Mamy coś do zrobienia, prawda?
Yen… you didn't have to do that.|Yen... Nie musiałaś.|"Zdanie po angielsku: Yen... you didn't have to do that.

Tłumaczenie: [Yen... nie musiałeś tego robić.]

Warto zauważyć, że imię ""Yen"" pozostaje bez zmian, ponieważ jest to nazwa własna. W języku polskim również używamy imion w oryginalnej formie, chyba że istnieje ich polska wersja lub zostało ono spolszczone."|Yen... nie musiałeś tego robić.|Tłumaczenie: [Yen... nie musiałaś tego robić.]|Yen... nie musiałaś tego robić.
Those who venture below… remain in the garden, forever.|Ci, którzy schodzą niżej... Zostają w ogrodzie na zawsze.|"Zdanie po angielsku: Those who venture below… remain in the garden, forever.

Tłumaczenie: [Ci, którzy schodzą poniżej... pozostają w ogrodzie, na zawsze.]"|Ci, którzy schodzą poniżej... pozostają w ogrodzie, na zawsze.|Tłumaczenie: [Ci, którzy schodzą poniżej... pozostają w ogrodzie, na zawsze.]|Ci, którzy schodzą poniżej... pozostają w ogrodzie, na zawsze.
Bread… Sheep's milk cheese…|Chleb... Owczy ser...|"Zdanie po angielsku: Bread… Sheep's milk cheese…

Tłumaczenie: [Chleb… Ser z mleka owczego…]

W tym przypadku nie ma pełnego zdania, więc tłumaczenie obejmuje jedynie poszczególne słowa. Jeśli potrzebujesz pełnego zdania, mogę stworzyć przykładowe zdanie używające tych słów:

""Na śniadanie zjadła chleb i ser z mleka owczego.""

Pełne tłumaczenie tego zdania brzmiałoby: [Na śniadanie zjadła chleb i ser z mleka owczego.]"|Chleb… Ser z mleka owczego…|"[Chleb... Ser z mleka owczego...]

W tym przypadku nie ma pełnego zdania, więc tłumaczenie składa się jedynie z nazw produktów spożywczych w języku polskim."|Chleb... Ser z mleka owczego...
Whoever it is, they could strike again.|Ktokolwiek to jest, może uderzyć znowu.|"Zdanie po angielsku: Whoever it is, they could strike again.

Tłumaczenie: [Ktokolwiek to jest, mogą uderzyć ponownie.]"|Ktokolwiek to jest, mogą uderzyć ponownie.|Tłumaczenie: [Ktokolwiek to jest, mogą uderzyć ponownie.]|Ktokolwiek to jest, mogą uderzyć ponownie.
Here we are, gabbin' away. Steam's gone… gotta douse the coals.|No... My tu gadu-gadu, a para ucieka. Trzeba węgle polać.|"Zdanie po angielsku: Here we are, gabbin' away. Steam's gone… gotta douse the coals.

Tłumaczenie: [No cóż, gadamy sobie. Para zniknęła... musimy ugasić węgle.]"|No cóż, gadamy sobie. Para zniknęła... musimy ugasić węgle.|"Oto tłumaczenie podanego zdania na język polski:

[Jesteśmy tutaj, gadamy bez przerwy. Para uciekła... trzeba zgasić węgle.]"|Jesteśmy tutaj, gadamy bez przerwy. Para uciekła... trzeba zgasić węgle.
The stuff of fairy tales, legends… But it seems to make sense, right?|Zawsze myślałam, że to tylko legenda... Ale zgadzałoby się, prawda?|"Zdanie po angielsku: The stuff of fairy tales, legends… But it seems to make sense, right?

Tłumaczenie: [To jest materia baśni, legend... Ale wydaje się, że ma sens, prawda?]"|To jest materia baśni, legend... Ale wydaje się, że ma sens, prawda?|Tłumaczenie: [To jest materia baśni, legend... Ale wydaje się, że ma to sens, prawda?]|To jest materia baśni, legend... Ale wydaje się, że ma to sens, prawda?
What're you offering?|Pokaż mi swoje towary.|"Zdanie po angielsku: What're you offering?

Tłumaczenie: [Co oferujesz?]"|Co oferujesz?|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: What're you offering?
Tłumaczenie: [Co oferujesz?]

Warto zauważyć, że w tym przypadku ""What're"" jest skróconą formą ""What are"", która w języku polskim brzmi ""Co oferujesz?"". W języku angielskim często używa się takich skrótów, aby zaoszczędzić czas i uprościć wymowę."|Co oferujesz?
Any idea where Hjalmar thought he might find the giant?|Wiesz, gdzie Hjalmar chciał szukać giganta?|"Zdanie po angielsku: Any idea where Hjalmar thought he might find the giant?

Tłumaczenie: [Czy masz jakiekolwiek pojęcie, gdzie Hjalmar myślał, że mógłby znaleźć olbrzyma?]"|Czy masz jakiekolwiek pojęcie, gdzie Hjalmar myślał, że mógłby znaleźć olbrzyma?|Tłumaczenie: [Masz jakiekolwiek pojęcie, gdzie Hjalmar myślał, że mógłby znaleźć olbrzyma?]|Masz jakiekolwiek pojęcie, gdzie Hjalmar myślał, że mógłby znaleźć olbrzyma?
Let's start.|Tak, zaczynamy.|"Zdanie po angielsku: Let's start.

Tłumaczenie: [Zacznijmy.]"|Zacznijmy.|"Zdanie po angielsku: Let's start.

Tłumaczenie: [Zacznijmy.]"|Zacznijmy.
Really…?|Tak...?|"Zdanie po angielsku: Really…?

Tłumaczenie: [Naprawdę...?]"|Naprawdę...?|Tłumaczenie: [Naprawdę...?]|Naprawdę...?
Kaer Morhen's got a pretty rich library.|Kaer Morhen też ma całkiem zasobną bibliotekę.|"Zdanie po angielsku: Kaer Morhen's got a pretty rich library.

Tłumaczenie: [Kaer Morhen ma całkiem bogatą bibliotekę.]"|Kaer Morhen ma całkiem bogatą bibliotekę.|Tłumaczenie: [Kaer Morhen ma całkiem bogatą bibliotekę.]|Kaer Morhen ma całkiem bogatą bibliotekę.
You will. Later.|Zabijesz go. Tylko później.|"Zdanie po angielsku: You will. Later.

Tłumaczenie: [Będziesz później.]"|Będziesz później.|Tłumaczenie: [Będziesz. Później.]|Będziesz. Później.
But… she's one of us!|Przecież ona jest jedną z nas!|"Zdanie po angielsku: But… she's one of us!

Tłumaczenie: [Ale... ona jest jedną z nas!]"|Ale... ona jest jedną z nas!|Tłumaczenie: [Ale... ona jest jedną z nas!]|Ale... ona jest jedną z nas!
Some stranger wants on the longship. Says he's got business. But…|Jakiś obcy na drakkar chce wleźć. Mówi, że ma interes. Ale...|"Zdanie po angielsku: Some stranger wants on the longship. Says he's got business. But…

Tłumaczenie: [Jakiś obcy chce wejść na długi statek. Mówi, że ma interesy. Ale…]"|Jakiś obcy chce wejść na długi statek. Mówi, że ma interesy. Ale…|Tłumaczenie: [Jakiś obcy chce wejść na długi statek. Mówi, że ma interesy. Ale...]|Jakiś obcy chce wejść na długi statek. Mówi, że ma interesy. Ale...
So long.|Do zobaczenia.|"Zdanie po angielsku: So long.

Tłumaczenie: [Do widzenia.]

Warto zauważyć, że ""So long"" to potoczne pożegnanie w języku angielskim, które może być używane jako nieformalny odpowiednik ""Goodbye"". W języku polskim najczęściej używanymi formami pożegnania są ""Do widzenia"", ""Cześć"" lub ""Pa pa""."|Do widzenia.|"Tłumaczenie: [Do widzenia.]

Warto zauważyć, że ""So long"" może być również tłumaczone jako ""Żegnaj"", ale ""Do widzenia"" jest bardziej formalne i powszechnie używane jako pożegnanie w języku polskim."|Do widzenia.
I can get rid of Morkvarg. Don't know what he's turned into, but a silver sword should do the trick.|Mogę pozbyć się Morkvarga. Nie wiem jeszcze, w co się zmienił... Ale srebrny miecz powinien załatwić sprawę.|"Zdanie po angielsku: I can get rid of Morkvarg. Don't know what he's turned into, but a silver sword should do the trick.

Tłumaczenie: [Mogę się pozbyć Morkvarga. Nie wiem, w co się zmienił, ale srebrny miecz powinien załatwić sprawę.]"|Mogę się pozbyć Morkvarga. Nie wiem, w co się zmienił, ale srebrny miecz powinien załatwić sprawę.|Tłumaczenie: [Mogę się pozbyć Morkvarga. Nie wiem, czym się stał, ale srebrny miecz powinien dać radę.]|Mogę się pozbyć Morkvarga. Nie wiem, czym się stał, ale srebrny miecz powinien dać radę.
Geralt, this is Holger Blackhand. Birna, Bran's widow and our hostess today, you've already met.|Geralt, poznaj Holgera zwanego Czarną Ręką. Birnę, wdowę po Branie i naszą gospodynię już poznałeś.|"Zdanie po angielsku: Geralt, this is Holger Blackhand. Birna, Bran's widow and our hostess today, you've already met.

Tłumaczenie: [Geralt, to jest Holger Czarnoręki. Birna, wdowa po Branie i nasza gospodyni dzisiaj, już się poznaliście.]"|Geralt, to jest Holger Czarnoręki. Birna, wdowa po Branie i nasza gospodyni dzisiaj, już się poznaliście.|Tłumaczenie: [Geralt, to jest Holger Czarnoręki. Birna, wdowa po Branie i nasza dzisiejsza gospodyni, już się poznaliście.]|Geralt, to jest Holger Czarnoręki. Birna, wdowa po Branie i nasza dzisiejsza gospodyni, już się poznaliście.
An empty envelope. Hm… scent's familiar…|Pusta koperta. Ale... chyba znam skądś ten zapach...|"Zdanie po angielsku: An empty envelope. Hm… scent's familiar…

Tłumaczenie: [Pusta koperta. Hm… zapach jest znajomy…]"|Pusta koperta. Hm… zapach jest znajomy…|Tłumaczenie: [Pusta koperta. Hm... zapach jest znajomy...]|Pusta koperta. Hm... zapach jest znajomy...
What happened?|Co ci się stało?|"Zdanie po angielsku: What happened?

Tłumaczenie: [Co się stało?]"|Co się stało?|Tłumaczenie: [Co się stało?]|Co się stało?
Tell the guard to take you to Lugos. Tell him he does that, Simun'll forget what happened at Fyresdal.|Powiedz strażnikowi, że jak zaprowadzi cię przed Lugosa, Simun zapomni, co stało się pod Fyresdal.|"Zdanie po angielsku: Tell the guard to take you to Lugos. Tell him he does that, Simun'll forget what happened at Fyresdal.

Tłumaczenie: [Powiedz strażnikowi, żeby zabrał cię do Lugos. Powiedz mu, że tak zrobi, a Simun zapomni, co się stało w Fyresdal.]"|Powiedz strażnikowi, żeby zabrał cię do Lugos. Powiedz mu, że tak zrobi, a Simun zapomni, co się stało w Fyresdal.|Tłumaczenie: [Powiedz strażnikowi, żeby cię zabrał do Lugos. Powiedz mu, że tak robi, a Simun zapomni, co się stało w Fyresdal.]|Powiedz strażnikowi, żeby cię zabrał do Lugos. Powiedz mu, że tak robi, a Simun zapomni, co się stało w Fyresdal.
Be careful.|Trzymaj się.|"Zdanie po angielsku: Be careful.

Tłumaczenie: [Bądź ostrożny/ostrożna.]"|Bądź ostrożny/ostrożna.|Tłumaczenie: [Bądź ostrożny.]|Bądź ostrożny.
I love you, Yen.|Kocham cię, Yen.|"Zdanie po angielsku: I love you, Yen.

Tłumaczenie: [Kocham cię, Yen.]"|Kocham cię, Yen.|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: I love you, Yen.
Tłumaczenie: [Kocham cię, Yen.]

W tym przypadku ""I love you"" oznacza ""Kocham cię"", a imię ""Yen"" pozostaje bez zmiany."|Kocham cię, Yen.
Master witcher!|Mistrzu wiedźminie!|"Zdanie po angielsku: Master witcher!

Tłumaczenie: [Mistrz czarodziej!]

Warto zauważyć, że ""witcher"" to termin używany głównie w kontekście serii gier komputerowych ""Wiedźmin"", stworzonej przez CD Projekt Red, oraz opartych na nich książek Andrzeja Sapkowskiego. W tym kontekście ""witcher"" oznacza osobę zajmującą się magią i walką z potworami. Dlatego tłumaczenie ""czarodziej"" może nie być dosłowne, ale oddaje ogólny sens tego terminu w polskim języku."|Mistrz czarodziej!|"Tłumaczenie: [Mistrz czarodziej!]

Warto zauważyć, że ""Master witcher"" można również przetłumaczyć jako ""Mistrz wiedźmin"", co odnosi się do postaci Geralta z Rivii z serii książek Andrzeja Sapkowskiego oraz gier komputerowych Wiedźmin. Jednak bez kontekstu, ogólne tłumaczenie brzmi ""Mistrz czarodziej""."|Mistrz czarodziej!
Didn't find any of your folk inside. Just a mage and some monsters.|W środku nie było nikogo oprócz mnie, czarodzieja i kilku potworów.|"Zdanie po angielsku: Didn't find any of your folk inside. Just a mage and some monsters.

Tłumaczenie: [Nie znalazłem żadnego z twoich ludzi wewnątrz. Tylko mag i kilka potworów.]"|Nie znalazłem żadnego z twoich ludzi wewnątrz. Tylko mag i kilka potworów.|Tłumaczenie: [Nie znalazłem żadnego z twoich ludzi wewnątrz. Tylko czarodzieja i jakieś potwory.]|Nie znalazłem żadnego z twoich ludzi wewnątrz. Tylko czarodzieja i jakieś potwory.
Let it go. I just want to see what happened.|Spokojnie, chcę tylko zobaczyć, co się tu stało.|"Zdanie po angielsku: Let it go. I just want to see what happened.

Tłumaczenie: [Pozwól temu odejść. Chcę tylko zobaczyć, co się stało.]"|Pozwól temu odejść. Chcę tylko zobaczyć, co się stało.|Tłumaczenie: [Pozwól temu odejść. Chcę tylko zobaczyć, co się stało.]|Pozwól temu odejść. Chcę tylko zobaczyć, co się stało.
