|speaker_gender|listener_gender|en_text|pl_text|cot|cot_few_shot
100|mężczyzna|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Spojler:|Poświęciłem cały dzień na naprawianie twojego laptopa, a ty nawet mi nie podziękowałaś!
101|kobieta|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|"No, ale spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Spędziłam cały dzień naprawiając twój laptop, a ty nawet mi nie podziękowałeś!
102|mężczyzna|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Spojler:|Poświęciłem cały dzień na naprawianie twojego laptopa, a ty nawet mi nie podziękowałeś!
103|kobieta|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Poświęciłam cały dzień na naprawianie twojego laptopa, a ty nawet nie powiedziałaś dziękuję!|"Poświęciłam cały dzień na naprawianie twojego laptopa, a ty nawet nie powiedziałaś ""dziękuję""!"
104|mężczyzna|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Nie spałem całą noc, pomagając ci z twoim projektem, a teraz nawet nie pamiętasz tego?|Pomagałem ci przez całą noc z tym projektem, a teraz nawet tego nie pamiętasz?
105|kobieta|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Nie spałam całą noc, pomagając ci z twoim projektem, a teraz nawet tego nie pamiętasz?|Pomagałam panu całą noc z tym projektem, a teraz pan nawet tego nie pamięta?
106|mężczyzna|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Nie spałem całą noc pomagając ci z twoim projektem, a teraz nawet nie pamiętasz?|Nie spałem całą noc pomagając ci przy twoim projekcie, a teraz nawet nie pamiętasz o tym?
107|kobieta|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Spędziłam całą noc bez snu, pomagając ci z twoim projektem, i teraz nawet nie pamiętasz?|Nie spałam całą noc pomagając ci z twoim projektem, a teraz nawet tego nie pamiętasz?
108|mężczyzna|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Odebrałem twoją paczkę z poczty, czy zapomniałaś znów mi podziękować?|Odebrałem twoją paczkę z poczty, czy znów zapomniałaś mi podziękować?
109|kobieta|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Odebrałam twoją paczkę z poczty, czy znów zapomniałeś mi podziękować?|Odebrałam twoją paczkę z poczty, czy znów zapomniałeś mi podziękować?
110|mężczyzna|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Odebrałem twoją paczkę z poczty, czy znów zapomniałeś mi podziękować?|Podniosłem twoją paczkę z poczty, czy zapomniałeś ponownie mi podziękować?
111|kobieta|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Odebrałam twoją paczkę z poczty, czy znów zapomniałaś mi podziękować?|Odebrałam twoją paczkę z poczty, ale chyba znów zapomniałaś mi podziękować.
112|mężczyzna|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|"Czekałem dla ciebie prawie godzinę w deszczu, a ty tylko napisałaś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałaś ""przepraszam""?"
113|kobieta|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałeś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałeś ""przepraszam""?"
114|mężczyzna|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałem na ciebie prawie godzinę w deszczu, a ty teraz piszesz ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałeś ""przepraszam""?"
115|kobieta|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|Czekałam na ciebie prawie godzinę w deszczu, i ty tylko napisałaś 'przepraszam'?|"Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałaś ""przepraszam""?"
116|mężczyzna|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałem, że się umówiliśmy na sprzątanie dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że się umówiliśmy, że dziś razem sprzątamy dom, więc dlaczego robię wszystko sam?
117|kobieta|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałam, że się umówiliśmy, że razem posprzątamy dom dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że mieliśmy dziś posprzątać dom razem, a tymczasem ja robię wszystko sama!
118|mężczyzna|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałem, że się umówiliśmy żeby sprzątać dom razem dzisiaj, dlaczego ja robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie dzisiaj razem, więc dlaczego robimy to sami?
119|kobieta|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego ja robię wszystko sama?|Proszę Pani, myślałam, że umówiłyśmy się na wspólne sprzątanie domu dzisiaj, a tymczasem robię wszystko sama. Czy mogłaby Pani mi pomóc?
