en_text|pl_text|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Have a look at this diagram.|Rzuć okiem na ten schemat.|Spojrz na ten diagram.| Spójrz na ten diagram.|Zobacz ten schemat.|Spojrz na ten diagram.| Spójrz na ten diagram.|Zobacz ten schemat.|Spojrz na ten diagram.| Spójrz na ten diagram.|Zobacz ten schemat.|Spojrz na ten diagram.| Spójrz na ten diagram.|Zobacz ten schemat.|Przyjrzyj się temu diagramowi.| Spójrz na ten diagram.|Zobacz ten schemat.|Przyjrzyj się temu diagramowi.| Spójrz na ten diagram.|Zrób oko na ten schemat.|Przyjrzyj się temu diagramowi.| Spójrz na ten diagram.|Spójrz na ten schemat.|Spójrz na ten diagram.| Spójrz na ten diagram.|Spójrz na ten schemat.|Spojrz na ten diagram.| Spójrz na ten diagram.|Zajrzyj na ten schemat.|Spojrz na ten diagram.| Zobacz ten diagram.|Zrób zdjęcie tego schematu.|Spójrz na ten diagram.| Spójrz na ten diagram.|Zobaczcie ten schemat.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkowicie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkowicie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkowicie prawda. Jaskinia Marzeń - uważana za niebezpieczne miejsce.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|'Może to nie jest całkowicie prawda. Jaskinia Marzeń - uważana za niebezpieczne miejsce.'|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - ma być rzekomo niebezpiecznym miejscem.|Może to nie jest całkiem prawda. Jaskinia Marzeń ma być niebezpiecznym miejscem.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - ma być rzekomo niebezpiecznym miejscem.|'Może to nie jest całkowicie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.'|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|'Może to nie jest całkowicie prawdą. Jaskinia Marzeń - miał być niebezpiecznym miejscem.'|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo to niebezpieczne miejsce.|Może to nie jest całkowita prawda. Jaskinia Marzeń - ma być niebezpiecznym miejscem.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - ma być rzekomo niebezpiecznym miejscem.|Może to nie jest całkowicie prawdą. Jaskinia Marzeń ma być niebezpiecznym miejscem.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|'Może to nie jest zupełnie prawda. Jaskinia Marzeń - ma być niebezpiecznym miejscem.'|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest zupełnie prawda. Jaskinia Marzeń - powinna być niebezpiecznym miejscem.|Może to nie jest zupełnie prawda. Jaskinia Marzeń - miała być miejscem niebezpiecznym.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś się nauczyłeś w Velen?|Czy nauczyłeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś nauczyłeś się w Velen?|Czy nauczyłeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś się nauczyłeś w Velen?|Czy nauczyłeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś się nauczyłeś w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy udało ci się nauczyć czegoś w Velen?|Czy nauczyłeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś nauczyłeś się w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy udało ci się zdobyć jakieś doświadczenie w Velen?|Czyś coś się nauczył w Velen?|Czego się nauczyłeś w Velen?| Czy coś nauczyłeś się w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy się czegoś nauczyłeś w Velen?|Nauczyles się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś nauczyłeś się w Velen?|Czy nauczyłeś się czegoś w Velen?|Czego się nauczyłeś w Velen?| Czy udało ci się nauczyć czegoś w Velen?|Czyeliś tam coś nauczył?
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak tylko stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak tylko stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu siedzące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak tylko stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.|" Przetłumacz na polski bez dodawania żadnych wyjaśnień, napisz tylko tłumaczenie: 'We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.'

'Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie, jak tylko stoją w porcie.'"|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu tkwiące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, po prostu stojące w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki tylko siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki tak po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne patrzeć na te długie okręty, gdyby tylko stały w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki tylko przycumowane w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki, które po prostu siedzą w porcie.| Przyszłoby się spojrzeć, co powie nasz nowy król. Lecz byłoby dziwne, gdyby te długie statki po prostu siedziały w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu przywiązane w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie łodzie po prostu siedzące w porcie.|" ""Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, które po prostu stoją w porcie."""|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie tylko przycumowane w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Poczekajmy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne gdyby te długie łodzie po prostu siedziały w porcie.|Zobaczymy, co powie nasz nowy król. Ale dziwnie byłoby widzieć te długie łodzie po prostu siedzące w porcie.| Przetłumaczone: Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie statki tylko siedzące w porcie.|Zobaczymy co powie nam nowy król. Ale byłoby dziwne widzieć, jak te długie statki stoją bezczynnie w porcie.
Ready when you are.|Jestem gotowy.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty będziesz.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty jesteś.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty będziesz.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty będziesz.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty będziesz.|Gotowy kiedy ty.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty jesteś.|Gotowy kiedy ty jesteś.| Gotowy/Gotowa, gdy jesteś. (for a male/female speaker)|Jestem gotowy, kiedy ty.|Gotowy kiedy ty.| Gotowy, kiedy jesteś.|Jestem gotowy, kiedy ty jesteś.|Gotowy kiedy ty.| Gotowy, kiedy jesteś.|Gotowy kiedy ty.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotów, gdy ty jesteś.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|Celandyna uśmierzyłaby ból.| Celandyna zmniejszyłaby ból.|Nasienne stłumi ból.|Celandyna uśmierzyłaby ból.| Celandyna zmniejszyłaby ból.|Nasienne stłumi ból.|Celandyna uśmierzyłaby ból.| Celandyna zmniejszyłaby ból.|Nasienne stłumi ból.|Celandyna uśmierzyłaby ból.| Celandine by mógłby złagodzić ból.|Nasienne stłumi ból.|Cytrynka uśmierzyłaby ból.| Celandyna zmniejszyłaby ból.|Nasienne stłumi ból.|Celnadyna złagodzi ból.| Utopianka osłabi ból.|Nasienne stłumi ból.|Cytrynka uśmierzyłaby ból.| Ciemiężyca zmniejszy ból.|Nasienne stłumi ból.|Celandyna złagodziłaby ból.| Celandyna złagodziłaby ból.|Nagietek stłumi ból.|Celeri złagodziłyby ból.|" ""Miodunka osłabiłaby ból."""|Mniszek zatruć tłumi ból.|Celandyna uśmierzyłaby ból.| Żółtlica osłabiłaby ból.|Złotokap podziałałby przeciwbólowo.|Celessi uśmierzy ból.|" Kwitnący szczyr celnie uśmierzał ból.

This is a direct translation of the sentence. However, please note that translating from English to Polish often requires consideration of context, tone, and style. The provided sentence seems to be a poetic or metaphorical statement, which might require a different approach in translation to fully capture its original meaning and nuance. If you have more context, I can provide a more accurate translation."|Nasienie rdzawki przyniesie ulgę w bólu.
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Wymagania tradycji nakazują pielgrzymom złożenie ofiary z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie tylko odwagi, ale także szacunku dla Frei brakowało mu.'|Oczekuje się od pielgrzymów, aby złożyli w ofierze własną krew pod drzewem. Z pewnością tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Wymagania tradycji nakazują pielgrzymom złożenie ofiary z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie tylko odwagi, ale także szacunku dla Frei brakowało mu.'|Oczekuje się, że pielgrzymi złożą ofiarę ze swojej własnej krwi pod drzewem. Na pewno tak zrobił Craven... chyba, że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Wymagania zwyczaju nakazują pielgrzymom złożenie ofiary z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie tylko odwagi, ale także szacunku dla Frei brakowało mu.'|"""Zwyczaj nakazuje pielgrzymom złożyć w ofierze własną krew pod drzewem. Z pewnością tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi."""|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Wymagania zwyczaju nakazują pielgrzymom złożenie ofiary z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie tylko odwagi, ale także szacunku dla Frei brakowało mu.'|Oczekuje się od pielgrzymów złożenia własnej krwi w ofierze pod drzewem. Na pewno tak uczynił Craven… chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Tradycja wymaga, aby pielgrzymi złożyli ofiarę ze swojej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że nie posiadał nie tylko odwagi, ale też szacunku dla Frei.'|'Zwyczaj nakazuje pielgrzymom złożyć pod drzewem ofiarę ze swojej własnej krwi. Na pewno tak uczynił Craven... chyba że oprócz odwagi brakowało mu również szacunku dla Freyi.'|"""Niestandardowe wymagania pielgrzymów nakazują złożenie własnej krwi przed drzewem. Tchórz na pewno tak uczynił... Chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Frei."""| 'Wymagania zwyczajów wymagają od pielgrzymów złożenia ofiary z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie brakowało mu nie tylko odwagi, ale i szacunku dla Frei również.'|Oczekuje się od pielgrzymów, by złożyli w ofierze własną krew pod drzewem. Z pewnością tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Niestandardowe żądania pielgrzymów wymagają, aby złożyli oni ofiarę z własnej krwi przed drzewem. Tchórz na pewno tak uczynił... Chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Frei."""| Tutejsza tradycja wymaga, aby pielgrzymi składali ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba nie posiadał nie tylko odwagi, ale też szacunku dla Frei.|Oczekuje się od pielgrzymów złożenia w ofierze własnej krwi pod drzewem. Z pewnością tak uczynił Craven... chyba że brakowało mu nie tylko odwagi ale i szacunku dla Freyi.|"""Niestandardowe wymagania pielgrzymów polegają na tym, że składają oni ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Wymagania rytuału nakazują pielgrzymom złożenie ofiary ze swojej krwi przed drzewem. Craven na pewno to zrobił... Chyba że nie miał nie tylko odwagi, ale także braku szacunku dla Frei.'|'Zwyczaj nakazuje pielgrzymom złożyć w ofierze drzewu krew własną. Z pewnością uczynił tak Craven... chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Frei.'|"""Niestandardowe żądania pielgrzymów wymagają od nich złożenia własnej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| 'Tradycja wymaga od pielgrzymów złożenia ofiary z własnej krwi przed drzewem. Na pewno Craven tak uczynił... Chyba że nie był pozbawiony nie tylko odwagi, ale również szacunku dla Frei.'|Oczekuje się, że pielgrzymi złożą ofiarę z własnej krwi pod drzewem. Craven na pewno tak zrobił... chyba, że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Niestandardowe wymagania pielgrzymów polegają na złożeniu własnej krwi przed drzewem. Tchórz na pewno tak zrobił... Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Oczekiwanie zwyczaju zmusza pielgrzymów do złożenia ofiary własnej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że nie tylko odwagi, ale również szacunku dla Freyi nie brakowało mu.|"""Obyczaje wymagają, aby pielgrzymi złożyli ofiarę ze swojej własnej krwi przed drzewem. Craven z pewnością uczynił tak… chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi."""|"""Niestandardowe wymagania pielgrzymów każą im składać ofiarę z własnej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Frei."""| 'Wymagania tradycji nakazują pielgrzymom oddanie ofiary własnej krwi przed drzewem. Craven na pewno tak uczynił... Chyba że nie mógł tylko odwagę, ale też braku szacunku dla Frei.'|Obyczaje wymagają od pielgrzymów ofiarowania przed drzewem swojej własnej krwi. Z pewnością tak zrobił Craven... chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Fryi.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do celu...|Rozmowy mnie nie wyprowadzą z tej sytuacji...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do celu...|Rozmowy mnie nie wyprowadzą z tej sytuacji...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do celu...|Rozmowy mnie nie wyprowadzą z tego miejsca...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do żadnego celu…|Rozmowy mnie nie wyprowadzą z tej sytuacji…|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do celu...|Rozmawianie mnie nie zaprowadzi nigdzie…|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie przyniesie mi nic...|Rozmawianie mnie nie wyprowadzi z tej sytuacji...|Mówienie nie zaprowadzi mnie nigdzie...| Mówienie nie doprowadzi mnie gdziekolwiek...|Rozmowy mnie nie zaprowadzą nigdzie...|Mówienie nie zaprowadzi mnie nigdzie...| Rozmawianie nie doprowadzi mnie do nic...|Rozmowy mnie nie wyprowadzą z tej sytuacji...|Mówienie nie zaprowadzi mnie nigdzie...||Rozmawianie mnie nie wyprowadzi z tej sytuacji…|Mówienie nie zaprowadzi mnie nigdzie...| Mówienie nie poprowadzi mnie gdzieś...|'Gadanie mnie nigdzie nie zaprowadzi...'|Mówienie nie zaprowadzi mnie nigdzie...| Mówienie nie przyniesie mi gdzieś...|Rozmawianie mnie nie wyprowadzi z tej sytuacji...
There's no sense in going if you don't stay calm.|Musisz zachować spokój, inaczej w ogóle nie ma sensu się za to zabierać.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz spokojny.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz zachowywać spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz zachowywać spokoju.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz spokojny.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz spokojny.|Nie ma sensu iść, jeśli nie będziesz spokojny.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu iść, jeśli nie zachowasz spokoju.|Nie ma sensu jechać, jeśli nie będziesz spokojny.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu iść, jeśli nie będziesz spokojny.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu iść, jeśli nie zostaniesz spokojny.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.|Nie ma sensu iść, jeśli nie zachowasz spokoju.| Nie ma sensu jechać, jeśli nie będziesz zachowywać spokoju.|Nie ma sensu jechać, jeśli nie zachowasz spokoju.
Me gran always adds mallow.|Moja babka dodaje jeszcze prawoślazu.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.||Moja babcia zawsze dodaje marcipan.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje malwę.|Babcia zawsze dodaje bezy.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje malwę.|Moja babcia zawsze dodaje marcipan.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje ślaz.|Moja babcia zawsze dodaje bezy.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje malwę.|Babcia zawsze dodaje marshmallow.|Moja babcia zawsze dodaje ślaz.| Moja babcia zawsze dodaje Prawoślaz.|Moja babcia zawsze dodaje cukierkowe pianki.
First time for everything.|Kiedyś musi być ten pierwszy raz.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.|" ""Zawsze jest pierwszy raz."""|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy każdy raz.|Pierwszy raz dla wszystkiego.|" ""Pierwszy raz jest za każdym razem."""|Po raz pierwszy dla wszystkiego.|Pierwszy raz dla wszystkiego.|" ""Pierwszy raz na wszystko."""|Pierwszy raz dla wszystkiego.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy nie grzeszy.|Pierwszy raz dla wszystkiego.| Pierwszy raz na wszystko.|Po raz pierwszy, wszystko się zdarza.|Pierwszy raz dla wszystkiego.|" ""Pierwszy raz jest za każdym razem."""|Po raz pierwszy każdego.
Thank you. Nice to see you again.|Dziękuję. Miło znów cię widzieć.|Dziękuję. Miło cię znów widzieć.||Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło Cię znów widzieć.|Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło Cię znów widzieć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię widzieć ponownie.| Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło cię znów widzieć.|Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło widzieć cię ponownie.|Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło cię znowu widzieć.|Dziękuję. Miło Cię znowu widzieć.|Dziękuję. Miło cię znów widzieć.| Dziękuję. Miło cię znów widzieć.|Dziękuję. Miło zienić się znowu po raz kolejny.
And I'll be on my guard.|Więc będę czujny.|I będę uważny.| I będę na baczności.|I będę czuwać.|I będę uważny.| I będę na baczności.|I będę czuwać.|I będę uważny.| I będę ostrożny.|I będę czuwał.|I będę uważny.| I będę ostrożny.|I będę czujny.|I będę uważny.|" ""I będę na baczności."""|I będę czujny.|I będę uważny.| I będę na baczności.|I będę czujny.|I będę uważny.| I będę na czatach.|I będę czujny.|I będę uważny.|" ""I będę na baczności."""|I będę czujny.|I będę uważny.| I będę czujny.|Będę czujny.|I będę uważny.| I będę na straży.|I będę na swoim posterunku.|I będę uważny.| I będę uważny.|I będę czuwał.
