en_text|pl_text|bielik_translation_0.0|bielik_translation_0.1|bielik_translation_0.2|bielik_translation_0.3|bielik_translation_0.4|bielik_translation_0.5|bielik_translation_0.6|bielik_translation_0.7|bielik_translation_0.8|bielik_translation_0.9|bielik_translation_1.0
Lost to a witcher, Sparrowhawk. That'd likely happen to any of us.|Przegrałaś z wiedźminem, Przepiórko. Każdy z nas by przegrał.|You lost to the witcher, Sparrowhawk. Each of us would lose.|"""You lost to the Witcher, Sparrow. Each of us would lose."""|You lost to the witcher, Sparrowhawk. Each of us would lose.|"""You lost to the witcher, Sparrowhawk. Each of us would lose."""|You lost to the witcher, Sparrowhawk. Each of us would lose.|You lost to the witcher, Sparrow. Each of us would have lost.|"""You lost to the Witcher, Quack. Any of us would have lost."""|"""You lost to the witcher, Sparrow. Any of us would have lost."""|"""You lost to the Witcher, Sparrow. Each of us would lose."""|You lost to the witcher, Sparrowhawk. We all would have lost.|"""You lost to the witcher, Sparrow. Any of us would have lost."""
Wouldn't mind waiting if I had a free year or two. Sadly, I'm in a hurry.|Gdybym miał wolny rok czy dwa, mógłbym poczekać. Ale niestety się spieszę.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|"""If I had a free year or two, I could wait. But unfortunately, I'm in a hurry."""|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|If I had a year or two to spare, I could wait. But unfortunately, I am in a hurry.|If I had a free year or two, I could wait. But unfortunately, I'm in a hurry.|If I had a free year or two, I could wait. But unfortunately, I am in a hurry.|"""If I had a free year or two, I could wait. But unfortunately, I am in a hurry."""
Why not? 'Cause I don't shriek threats and warn ye of your death? Well, that's simple enough - plain bored o' that.|Bo co? Bo nie wykrzykuję gróźb i nie straszę cię śmiercią? Cóż, zwyczajnie mi się znudziło.|"""So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and didn't scare you to death? Well, I just got bored of it."""|"""What? Because I'm not shouting threats and not scaring you to death? Well, it just got boring."""|'So what? Because I don't shout threats and scare you to death? Well, I just got bored.'|"""So what? Because I'm not shouting threats or scaring you to death? Well, it just got boring."""|"""So what? Because I'm not shouting threats and not threatening you with death? Well, I just got bored of it."""|"""What? Bo I'm not shouting threats and not threatening to kill you? Well, it just got boring for me.""

---

(Uwaga: ""znudziło"" było mniej dosłowne w tym kontekście, mogę zaproponować bardziej odpowiednie tłumaczenie ""it just got too tired for me"". Jednak zachowałem dokładną formę, jak poprosiłeś/poprosiłaś.)"
Remember the wild men I sparred with? The ones we called Vildkaarls?|Pamiętasz tych osiłków, z którymi się biłem na pięści? Tych, co nazywają vildkaarlami?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with on the fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with on the fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves vildkaarla?|"Do you remember those beefy guys I fought with? The ones they call ""vildkaarla""?"|Do you remember those muscle guys I fought with on fists? The ones who call themselves vildkaarls?|Do you remember those muscle guys I fought with fists? The ones who call themselves Vildkaarls?|Do you remember those meatheads I fought with fists? The ones who call themselves vildkaarls?|"Do you remember the tough guys I used to fight with fists? The ones who call themselves ""vildkaarla""?"
Why do you want this power?|Do czego ci ta moc?|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""|"""What do you need this power for?"""
Long live Hjalmar!|Wiwat Hjalmar!|"""Hip hip hurrah for Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hail Hjalmar!"""|"""Hail Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hip hip hurrah for Hjalmar!"""|"""Hips Hips Hokal!"" 

(Wyjaśnienie: Fraza ""Wiwat Hjalmar!"" nie ma bezpośredniego odpowiednika w języku angielskim, zwłaszcza jeśli kontekst jest nieznany. Dlatego zdecydowałem się użyć popularnego angielskiego okrzyku towarzyszącego toastowi, który zachowuje ogólny ton okrzyku radości.)"|"""Hipp hip hurray for Hjalmar!"""
Have a look at this diagram.|Rzuć okiem na ten schemat.|"""Take a look at this diagram."""|"""Take a look at this diagram."""|"""Take a look at this diagram."""|Take a look at this diagram.|"""Take a look at this diagram."""|"""Take a look at this diagram."""|"""Take a look at this diagram."""|Look at this diagram.|"""Take a look at this diagram."""|"""Take a look at this diagram."""|Take a look at this diagram.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|You may have been mistaken. The Cave of Dreams is said to be a dangerous place.|You may have been mistaken. The Cave of Dreams is supposed to be a dangerous place.|You may have been mistaken. The Cave of Dreams is supposed to be a dangerous place.|You might have been wrong. The Cave of Dreams is said to be a dangerous place.|You may have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You might have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You might have been mistaken. The Cave of Dreams is supposedly a dangerous place.|You might have been wrong. The Cave of Dreams is supposed to be a dangerous place.|You may have been wrong. The Dream Cave is supposed to be a dangerous place.|You might have been wrong. The Dream Cave is said to be a dangerous place.|You might be mistaken. The Cave of Dreams is supposed to be a dangerous place.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?|Did you find out anything in Velen?
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|"""We'll see what the new king says. But I would be surprised if the longships stay in the harbor."""|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|"""We'll see what the new king says. But I'd be surprised if the longships stay in the harbor."""|"""We'll see what the new king says. But I'd be surprised if the longships stayed in the harbor."""|"""We will see what the new king says. But I would be surprised if the longships stay in the harbor."""|"""We will see what the new king says. But I would be surprised if the longships stay in the harbor."""|"""We'll see what the new king says. But I would be surprised if the longships stay in the harbor."""|We will see what the new king says. But I would be surprised if the longships stay in the harbor.|We'll see what the new king says. But I'd be surprised if the longships stayed in the harbor.|"""We'll see what the new king says. But I'd be surprised if the longships stayed in the harbor."""|"""We'll see what the new king says. But I would be surprised if the longships stay in the harbor."""
Ready when you are.|Jestem gotowy.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|"""The common johnsonweed would have eased the pain."""|"""The common milkwort would have eased the pain."""|"""The common johnsonweed would have eased the pain."""|"""The common milkwort would have eased the pain."""|"""The common yellow saxifrage would alleviate the pain."""|"""The common john's wort would alleviate the pain."""|"""The greenbill would have eased the pain."""|"""The common yew would have eased the pain."""|"""Stork's-bills would relieve the pain."""|"""Maiden's green would relieve the pain."""|"""The common swiftlet would relieve the pain."""
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|"""The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so... Unless he lacked not only courage but also respect for Freyja."""|"""Tradition demands that pilgrims offer a sacrifice of their own blood under the tree. A coward would surely do the same... Unless he was lacking not only courage but also respect for Freyja."""|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless he lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a blood sacrifice at the tree. A coward would surely do so... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless he was lacking not only courage but also respect for Freyja.|Tradition demands that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless he was lacking not only courage but also respect for Freyja.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|"""The conversation won't help here..."""|"""The conversation probably won't help here..."""|"""The conversation probably won't help here..."""|"""The conversation probably won't help here..."""|"""The conversation probably won't help here..."""|"""A conversation probably won't help here..."""|"""The conversation probably won't help here..."""|"""The conversation won't get us anywhere here..."""|"'A conversation won't do any good here...'

Pamiętaj, że zgodnie z Twoim wymaganiem, przedstawiłem wyłącznie surowe tłumaczenie bez żadnych dodatkowych wyjaśnień."|'Conversation probably won't help here...'|"""The conversation probably won't help here..."""
There's no sense in going if you don't stay calm.|Musisz zachować spokój, inaczej w ogóle nie ma sensu się za to zabierać.|You must stay calm; otherwise, there is no point in even starting.|You must stay calm; otherwise, there is no point in even starting.|You must stay calm; otherwise, there is no point in even starting.|You must stay calm; otherwise, there is no point in even starting.|You must stay calm; otherwise, there is no point in even starting.|You must remain calm; otherwise, there is no point in even starting.|You must remain calm; otherwise, there is no point in even starting.|You must stay calm; otherwise, there is no point in even starting.|You must remain calm; otherwise, it doesn't make sense to even start.|You must remain calm; otherwise, there is no point in even starting.|You must remain calm; otherwise, there is no point in even starting.
Me gran always adds mallow.|Moja babka dodaje jeszcze prawoślazu.|My grandmother also adds marshmallow.|"""My grandmother also adds marshmallow."""|"""My grandmother also adds marshmallow."""|My grandmother also adds marshmallow.|My grandmother adds comfrey too.|My grandmother also adds marshmallow.|"""My grandmother also adds marshmallow."""|"""My grandmother also adds marshmallow."""|My grandmother adds comfrey too.|"""My grandmother also adds marshmallow."""|"""My grandmother also adds marshmallow root."""
First time for everything.|Kiedyś musi być ten pierwszy raz.|"""Sometimes there must be that first time."""|"""Sometimes there must be that first time."""|"""Sometimes there must be that first time."""|"""Sooner or later, there must be that first time."""|"""Sooner or later, there must be that first time."""|"""There must be that first time."""|"""There must be a first time for everything."""|"""Eventually there has to be that first time."""|"""Sooner or later, there must be that first time."""|"""Sometimes there must be that first time."""|"""Sooner or later, there must be the first time."""
Thank you. Nice to see you again.|Dziękuję. Miło znów cię widzieć.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|"""Thank you. It's nice to see you again."""|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.
And I'll be on my guard.|Więc będę czujny.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|"""So I will be vigilant."""|So I will be vigilant.|"""So I will be alert."""|So I will be vigilant.|So I will be alert.|So I will be watchful.|So I will be watchful.
*Sighs* Ehh.|Ech.|"""Eh."""|"""Eh."""|"""Ugh."""|"""Oh."""|"""Eh."""|"""Ech.""

(Note: The phrase ""Ech."" is an informal exclamation in Polish that can be used to express a variety of emotions, such as disappointment, frustration, or even mild surprise. It is often used as an interjection and does not have a direct translation in English. Therefore, the best way to represent it in English is simply to retain the original sound and write it as ""Ech."")"|"""Oh."""|"""Eh."""|"""Eh."""|Ah.|"""Ech."" ( translation remains the same as it is a sound imitation)"
I'm Geralt. A witcher.|Jestem Geralt, wiedźmin.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a wizard.|"""I am Geralt, a witcher."""
What'd he do to you, Simun?|Czym ci podpadł ten człowiek, Simun?|What did that man do to you, Simun?|"""What did this man do to you, Simun?"""|"""What did this man do to you, Simun?"""|What did that man do to you, Simun?|"""What did this man do to you, Simun?"""|What did that man do to you, Simun?|What have you done to that man, Simun?|What did that man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|"""What have you done to that man, Simun?"""
Why won't they let you examine the zone?|Dlaczego cię nie dopuszczają?|Why are they not letting you in?|Why are they not letting you in?|"""Why aren't they letting you in?"""|"""Why aren't they letting you in?"""|Why are they not letting you in?|Why are they not letting you in?|Why are they not letting you in?|Why don't they let you in?|"""Why aren't they letting you in?"""|"""Why isn't he/she admitted?"""|"""Why are they not letting you in?"""
You'd be surprised. But you needn't tell me if you don't want to.|Hm, mógłbyś się zdziwić. Ale nie musisz mi mówić, jeśli nie chcesz.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hmm, you might be surprised. But you don't have to tell me if you don't want to.|Hmm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.
Sven must be banished before the jarl learns of this.|Trzeba wygnać Svena, zanim jarl się dowie.|We must expel Sven before the jarl finds out.|We must expel Sven before the jarl finds out.|We must expel Sven before the jarl finds out.|We must expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We must expel Sven before the jarl finds out.|We must expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|"""Sven must be expelled before the jarl finds out."""|We must expel Sven before the earl finds out.
Now we walk only as far as the tree the goddess planted. We place our offerings and make our pleas before it.|A teraz możemy przejść tylko do drzewa, które zasiała sama bogini. Tam składamy nasze dary i prośby.|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess planted herself. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess planted herself. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and prayers."""|"""Now we can only go to the tree which the goddess planted herself. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess planted herself. There we lay our offerings and prayers."""|"""Now we can only go to the tree that the goddess herself planted. There we lay our offerings and requests."""|"""Now we can only proceed to the tree that the goddess planted herself. There we lay our offerings and prayers."""
So her becoming queen of all Skellige - it's changed nothing?|Czyli nic się nie zmieniło po tym, jak została królową całego Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellig.'|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellig?|So nothing changed after she became the queen of all Skellig?|"""So nothing changed after she became the queen of all Skelling?"""
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to complete the trial on the warrior's trail?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to complete the trial on the warrior's trail?|"""Remind me what needs to be done to complete the trial on the warrior's trail?"""|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to complete the trial on the warrior's trail?|Remind me what I need to do to complete the trial on the warrior's trail?
Fine… We'll do as you say. If the need arises, I can cast spells from up here.|Dobrze. Zrobimy, jak mówisz. Jakby co, będę cię wspierać zaklęciami z murów.|Alright. We'll do as you say. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything happens, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything goes wrong, I'll support you with spells from the walls.|Okay. We'll do what you say. If anything goes wrong, I'll support you with spells from the walls.|Okay. We'll do as you say. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do as you say. If there's any trouble, I'll support you with spells from the walls.|Okay. We'll do what you say. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything happens, I'll support you with spells from the walls.|Alright. We'll do as you say. If anything happens, I'll support you with spells from the walls.
Just make sure you stay vigilant, listen to what I say.|Ważne, żebyś był czujny i słuchał moich poleceń.|"""It's important that you stay alert and follow my instructions."""|"""Important that you stay alert and follow my instructions."""|"""Important that you stay alert and follow my instructions."""|"""It's important that you stay alert and follow my instructions."""|"""Important that you stay alert and follow my instructions."""|Important to be alert and follow my instructions.|"""It's important that you stay alert and follow my instructions."""|Important that you stay alert and follow my instructions.|'It is important that you stay alert and follow my instructions.'|"""It is important that you are alert and follow my instructions."""|Important that you are alert and listen to my instructions.
What do I look for? Did Aki have anything that'll help me recognize him? Something he was wearing that could survive all this time under water?|Aki miał przy sobie coś, po czym mógłbym go rozpoznać? Coś, co wytrzymałoby pod wodą tyle czasu?|Did Aki have something with him that I could recognize? Something that would survive underwater for that long?|"""Did Aki have something with him that I could recognize? Something that would survive underwater for that long?"""|Did Aki have something with him that I could recognize? Something that would survive underwater for that long?|Did Aki have something with him that I could recognize? Something that would survive underwater for so long?|Did Aki have something with him that I could use to identify him? Something that would survive underwater for that long?|"""Did Aki have something with him that I could recognize? Something that would survive underwater for that long?"""|Did Aki have anything with him that I could recognize? Something that would survive underwater for that long?|Did Aki have something on him that I could recognize? Something that would survive underwater for that long?|"""Did Aki have something with him that would allow me to recognize him? Something that could withstand being underwater for that long?"""|Did Aki have anything on him that I could recognize? Something that would survive underwater for so long?|Did Aki have anything on him that I could identify? Something that would last underwater for so long?
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not clear whether it works or not.|So basically, it's not really known whether it works or not.|So basically, it's not clear whether it works or not.
Leave that to me. Go, seek and find your Cirilla.|Ja z nim pogadam. A wy ruszajcie szukać Ciri.|I'll talk to him. And you go look for Ciri.|I'll talk to him. And you go search for Ciri.|"""I'll talk to him. And you go search for Ciri."""|I'll talk to him. And you go look for Ciri.|"""I'll talk to him. And you go look for Ciri."""|"""I'll talk to him. And you go look for Ciri."""|"""I'll talk to him. And you go look for Ciri."""|I'll talk to him. And you go look for Ciri.|I'll talk to him. And you lot go search for Ciri.|"""I'll talk to him. And you go search for Ciri."""|I'll talk to him. And you go look for Ciri.
But could that truly be so important?|Ale żeby to było aż tak ważne...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|"""But for it to be that important..."""|"""But for it to be that important..."""|"""But for it to be that important..."""|"""But for it to be that important..."""|"""But for it to be that important..."""|"""But for it to be that important...""

Tłumaczenie z oryginalnego polskiego zdania do podanego wymagania."
Pass the mead and a tankard for the man!|Dawać wina i kielich!|"""Serve wine and cup!"""|"""Give wine and a cup!"""|"""Give wine and a cup!"""|"""Serve wine and cup!"""|"""Serve wine and cup!"""|"""Give wine and a cup!"""|"""Give wine and a cup!"""|"""Serve wine and cup!"""|"""Give wine and a cup!"""|"""Serve wine and cup!"""|"""Serve wine and a cup!"""
Recovered your stolen horn.|Odzyskałem skradziony róg.|I recovered the stolen horn.|I recovered the stolen horn.|I recovered the stolen horn.|I recovered the stolen horn.|"""I recovered the stolen horn."""|I recovered the stolen horn.|I recovered the stolen horn.|"""I retrieved the stolen horn."""|"""I retrieved the stolen horn."""|"""I have recovered the stolen horn."""|I recovered the stolen horn.
Our wagon's full of loot we ripped from the Black Ones.|Bo nasz wóz cały wyładowany jest łupami wydartymi czarnym.|Because our cart is full of loot taken from the blacks.|Because our cart is full of loot taken from the blacks.|Because our cart is full of loot taken from the blacks.|Because our cart is full of loot taken from the blacks.|Because our cart is full of loot stolen from the blacks.|Because our cart is full of loot taken from the blacks.|"""Because our cart is full of plunder stolen from the blacks."""|Because our cart is full of loot taken from the blacks.|Because our cart is full of loot taken from the blacks.|"""Because our cart is full of loot taken from the blacks."""|Because our cart is full of plunder torn from the blacks.
Lovely as monickers go.|Sympatyczny przydomek.|"""Friendly nickname."""|"""Friendly nickname."""|"""Cute nickname."""|"""Friendly nickname."""|""" endearing nickname.""

Tłumaczenie: ""endearing nickname"""|"""Convenient nickname."""|"""Friendly nickname."""|"""Friendly nickname."""|""" end{document}

### Wynik:
- ""Sympathetic nickname.""

---

Wyjaśnienie krok po kroku (dla zrozumienia procesu):

1. Rozpoznanie tekstu źródłowego: Podany tekst to zdanie w języku polskim: ""Sympatyczny przydomek.""
2. Analiza struktury zdania: Zdanie składa się z dwóch części - przymiotnika (""sympatyczny"") i rzeczownika (""przydomek"").
3. Tłumaczenie poszczególnych słów:
   - ""Sympatyczny"": W języku angielskim odpowiednikiem jest przymiotnik ""sympathetic,"" który oznacza coś przyjaznego lub budzącego sympatię.
   - ""Przydomek"": W języku angielskim możemy użyć słowa ""nickname,"" które oznacza przezwisko, pseudonim lub nazwę nadaną czemuś/komuś przez innych.
4. Połączenie tłumaczeń w pełne zdanie: Łącząc te dwa elementy, otrzymujemy następujące tłumaczenie zdania: ""Sympathetic nickname.""

Ostateczny wynik to krótkie zdanie bez dodatkowych wyjaśnień:

- Sympathetic nickname."|"""Charming nickname."""|"""A friendly nickname."""
The clans will unite. There'll be peace.|Teraz klany się zjednoczą i będzie pokój.|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|"""Now the clans will unite and there will be peace."""|Now clans will unite and there will be peace.
Can you cut my hair?|Ostrzyżesz mnie?|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|"""Will you cut my hair?"""|Will you cut my hair?
Me da fished, as did his da, and his da's da… Just sorta happened.|Ojciec łowił, przed nim dziadek i pradziadek... Jakoś tak wyszło.|"""The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that."""|"""The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that."""|"""The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that."""|"""The father fished; before him, the grandfather and great-grandfather did the same... So it went."""|"""The father fished, before him the grandfather and great-grandfather... So it turned out somehow."""|"""The father fished; before him, the grandfather and great-grandfather did too... Somehow it turned out that way."""|'The father fished, and before him the grandfather and great-grandfather did too... So it happened somehow.'|"""Father was fishing, before him grandfather and great-grandfather... It just happened like that."""|The father fished; before him, the grandfather and great-grandfather... So it turned out somehow.|"""The father fishing, before him grandfather and great-grandfather... Somehow it turned out like that."""|Father was fishing, before him grandfather and great-grandfather... Somehow it turned out like that.
What do the druids think of Skellige's new ruler?|Jak druidzi zapatrują się na nowego władcę Skellige?|"""How do the Druids view the new ruler of Skellig?"""|"""How do the Druids view the new ruler of Skellig?"""|How do the Druids view the new ruler of Skellige?|How do the Druids view the new ruler of Skellig?|How do the Druids view the new ruler of Skellige?|"""How do the Druids view the new ruler of Skellig?"""|How do the Druids view the new ruler of Skellige?|How do the Druids view the new ruler of Skellig?|"""How do the Druids view the new ruler of Skellige?"""|How do the Druids view the new ruler of Skellig?|"""What do druids think about the new ruler of Skellige?"""
Till one day Cerys, a brave lass of Skellige, called the demon out, challenged him to a duel.|Lecz pewnego dnia Cerys, dzielna córa skelligijskiej ziemi, rzuciła demonowi wyzwanie.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day, Cerys, the brave daughter of Skelligian land, challenged the demon.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day Cerys, the brave daughter of Skellig land, challenged the demon.|But one day Cerys, the brave daughter of Skellingish ground, challenged the demon.|But one day Cerys, the brave daughter of Skelling Island, challenged the demon.|But one day, Cerys, the brave daughter of Skelling Island earth, challenged the demon.|But one day Cerys, the brave daughter of Skellington Land, challenged the demon.
Sure. I'll race.|Wezmę udział w wyścigu.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.
Thanks… Farewell.|Dzięki... Bywaj.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Goodbye.|Thank you... Bye.|Thank you... Take care.
That man in the mask… he's from afar, isn't he?|Ten w masce... On chyba jest z daleka, co?|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He's probably from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""|"""That one in the mask... He seems to be from far away, right?"""|"""That one in the mask... He must be from far away, right?"""|"""This one in the mask... He must be from far away, right?"""
