en_text|pl_text|bielik_translation_0.0|bielik_translation_0.1|bielik_translation_0.2|bielik_translation_0.3|bielik_translation_0.4|bielik_translation_0.5|bielik_translation_0.6|bielik_translation_0.7|bielik_translation_0.8|bielik_translation_0.9|bielik_translation_1.0
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the drakkars stayed in the port.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the drakkars stayed in the port.|We will see what the new king says. But I would be surprised if the longships remained in the harbor.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the drakkars stayed in the port.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.|We will see what the new king says. But I would be surprised if the longships stayed in the harbor.
Ready when you are.|Jestem gotowy.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.|I am ready.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|The martin's herb would alleviate the pain.|The martin's herb would alleviate the pain.|The martin's herb would alleviate the pain.|The martin's herb would alleviate the pain.|Martagon herb would alleviate the pain.|Martagon herb would alleviate the pain.|Martin's herb would alleviate the pain.|"The translation in English is: ""Swallow-wort would have alleviated the pain."""|martin's herb would alleviate the pain.|Martin's herb would relieve the pain.|Storksbill would alleviate the pain.
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do the same... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. The coward must have done the same... unless he lacked not only courage but also respect for Freyja.|The custom requires that pilgrims offer a sacrifice of their own blood under the tree. A coward would probably do so as well... Unless they lacked not only courage but also respect for Freyja.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation probably won't help here...|The conversation doesn't seem to get us anywhere here...|The conversation racically won't help here...
There's no sense in going if you don't stay calm.|Musisz zachować spokój, inaczej w ogóle nie ma sensu się za to zabierać.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must remain calm, otherwise there is no point in even starting.|You must keep calm, otherwise there is no point in even starting.
Me gran always adds mallow.|Moja babka dodaje jeszcze prawoślazu.|My grandmother adds comfrey too.|My grandmother adds comfrey too.|My grandmother adds comfrey too.|My grandmother adds comfrey too.|My grandmother adds comfrey too.|My grandmother adds comfrey too.|My grandmother adds comfrey as well.|My grandmother adds comfrey too.|My grandmother adds marshmallow yet.|My grandmother adds yet more marshmallow.|My grandmother also adds marshmallow.
First time for everything.|Kiedyś musi być ten pierwszy raz.|Sometimes there must be that first time.|Sometimes there must be that first time.|Sometimes there must be that first time.|Sometimes there must be that first time.|Sometimes there must be that first time.|Sometime there must be that first time.|Sometimes it must be that first time.|Sometimes there must be that first time.|Someday there must be that first time.|Sometime must be that first time.|Someday there must be that first time.
Thank you. Nice to see you again.|Dziękuję. Miło znów cię widzieć.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.|Thank you. It's nice to see you again.
And I'll be on my guard.|Więc będę czujny.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.|So I will be vigilant.
*Sighs* Ehh.|Ech.|Eh.|Eh.|Eh.|Eh.|Eh.|Eh.|Eh.|Eh.|Ech.|Eh.|Eh.
I'm Geralt. A witcher.|Jestem Geralt, wiedźmin.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.|I am Geralt, a witcher.
What'd he do to you, Simun?|Czym ci podpadł ten człowiek, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?|What did this man do to you, Simun?
Why won't they let you examine the zone?|Dlaczego cię nie dopuszczają?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why aren't they letting you in?|Why isn't he/she not admitting you?|Why aren't they letting you in?
You'd be surprised. But you needn't tell me if you don't want to.|Hm, mógłbyś się zdziwić. Ale nie musisz mi mówić, jeśli nie chcesz.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.|Hmm, you might be surprised. But you don't have to tell me if you don't want to.|Hm, you might be surprised. But you don't have to tell me if you don't want to.
Sven must be banished before the jarl learns of this.|Trzeba wygnać Svena, zanim jarl się dowie.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.|We need to expel Sven before the jarl finds out.
Now we walk only as far as the tree the goddess planted. We place our offerings and make our pleas before it.|A teraz możemy przejść tylko do drzewa, które zasiała sama bogini. Tam składamy nasze dary i prośby.|And now we can only go to the tree which was planted by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree which was planted by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree which was planted by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree which was sown by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree that the goddess herself planted. There, we lay our offerings and prayers.|And now we can only go to the tree which was planted by the goddess herself. There we lay our offerings and prayers.|And now we can only go to the tree which the goddess herself planted. There, we lay our offerings and prayers.|And now we can only go to the tree which was planted by the goddess herself. There we lay our offerings and prayers.|And now we can only go to the tree which was planted by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree which was sown by the goddess herself. There, we lay our offerings and prayers.|And now we can only go to the tree which was sown by the goddess herself. There, we lay our offerings and prayers.
So her becoming queen of all Skellige - it's changed nothing?|Czyli nic się nie zmieniło po tym, jak została królową całego Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?|So nothing changed after she became the queen of all Skellige?
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warrior's path?|Remind me what needs to be done to finish the trial on the warrior's path?|Remind me what I need to do to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?|Remind me what needs to be done to complete the trial on the warriors' trail?
Fine… We'll do as you say. If the need arises, I can cast spells from up here.|Dobrze. Zrobimy, jak mówisz. Jakby co, będę cię wspierać zaklęciami z murów.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Okay. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.|Okay. We'll do it your way. If there's any trouble, I'll support you with spells from the walls.|Alright. We'll do it your way. If anything goes wrong, I'll support you with spells from the walls.
Just make sure you stay vigilant, listen to what I say.|Ważne, żebyś był czujny i słuchał moich poleceń.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my instructions.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my commands.|Important that you stay alert and listen to my instructions.|Important that you stay alert and listen to my commands.
What do I look for? Did Aki have anything that'll help me recognize him? Something he was wearing that could survive all this time under water?|Aki miał przy sobie coś, po czym mógłbym go rozpoznać? Coś, co wytrzymałoby pod wodą tyle czasu?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have something with him that I could recognize? Something that would survive underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have anything with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for that long?|Did Aki have anything with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?|Did Aki have anything with him that I could recognize? Something that would last underwater for so long?|Did Aki have something with him that I could recognize? Something that would withstand being underwater for so long?
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|So actually, it's not known if it works.|So actually, it's not known if it works.|So actually, it's not known if it works.|So actually, it's not known if it works.|So actually, it's not known if it works.|So actually, it's not known if it works.|So basically, it's not known whether it works or not.|So actually, it's not known if it works.|So actually, it's not known if it works.|So technically, it's not known if it works or not?|So actually, it's not known if it works.
Leave that to me. Go, seek and find your Cirilla.|Ja z nim pogadam. A wy ruszajcie szukać Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you guys, start looking for Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you guys, start searching for Ciri.|I'll talk to him. And you all go search for Ciri.|I'll talk to him. And you guys go look for Ciri.|I'll talk to him. And you guys go search for Ciri.|I will talk to him. And you go search for Ciri.
But could that truly be so important?|Ale żeby to było aż tak ważne...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be that important...?|But for it to be so important...?|But for it to be that important...?|But for it to be that important...?|But for it to be so important...?|But for it to be that important...?
Pass the mead and a tankard for the man!|Dawać wina i kielich!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!|Give wine and cup!
Recovered your stolen horn.|Odzyskałem skradziony róg.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I regained the stolen horn.|I retrieved the stolen horn.|I regained the stolen horn.
Our wagon's full of loot we ripped from the Black Ones.|Bo nasz wóz cały wyładowany jest łupami wydartymi czarnym.|For our wagon is fully loaded with plunder torn from the blacks.|For our wagon is fully loaded with plunder stolen from the blacks.|For our wagon is fully loaded with plunder torn from the blacks.|For our wagon is fully loaded with plunder taken from the blacks.|For our wagon is full of plunder taken from the blacks.|For our wagon is full of plunder stolen from the blacks.|For our cart is fully loaded with plunder torn from the blacks.|For our cart is fully loaded with plunder taken from the blacks.|For our wagon is full of plunder stolen from the blacks.|For our cart is full of plunder stolen from the black ones.|For our cart is entirely loaded with loot torn from the blacks.
Lovely as monickers go.|Sympatyczny przydomek.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Translation: Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.|Sympathetic nickname.
The clans will unite. There'll be peace.|Teraz klany się zjednoczą i będzie pokój.|Now the clans will unite and there will be peace.|Now the clans will unite and there will be peace.|Now clans will unite and there will be peace.|Now the clans will unite and there will be peace.|Now clans will unite and there will be peace.|Now the clans will unite and there will be peace.|Now clans will unite and there will be peace.|Now the clans will unite and there will be peace.|Now clans will unite and there will be peace.|Now the clans will unite and there will be peace.|Now the clans will unite and there will be peace.
Can you cut my hair?|Ostrzyżesz mnie?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut my hair?|Will you cut me?
Me da fished, as did his da, and his da's da… Just sorta happened.|Ojciec łowił, przed nim dziadek i pradziadek... Jakoś tak wyszło.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father was fishing, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father fished, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father was fishing, before him the grandfather and great-grandfather... Somehow it turned out like that.|The father caught (fish), before him the grandfather and great-grandfather... So it somehow turned out.
What do the druids think of Skellige's new ruler?|Jak druidzi zapatrują się na nowego władcę Skellige?|How do the druids view the new ruler of Skellig?|How do the druids view the new ruler of Skellig?|How do the druids view the new ruler of Skellig?|How do the druids view the new ruler of Skellige?|How do the druids view the new ruler of Skellig?|How do the druids view the new ruler of Skellinge?|How do the druids view the new ruler of Skellig?|How do druids view the new ruler of Skellig?|How do the druids view the new ruler of Skellige?|How do druids view the new ruler of Skellige?|How druids view the new ruler of Skellige?
Till one day Cerys, a brave lass of Skellige, called the demon out, challenged him to a duel.|Lecz pewnego dnia Cerys, dzielna córa skelligijskiej ziemi, rzuciła demonowi wyzwanie.|But one day Cerys, the brave daughter of Skellington land, challenged the demon.|But one day Cerys, the brave daughter of Skellington land, challenged the demon.|But one day Cerys, the brave daughter of Skellington land, challenged the demon.|But one day Cerys, the brave daughter of Skelligian land, challenged the demon.|But one day Cerys, the brave daughter of Skellington land, challenged the demon.|But one day Cerys, the brave daughter of Skelligian land, challenged the demon.|But one day Cerys, the brave daughter of Skellington earth, challenged the demon.|But one day, Cerys, the brave daughter of Skellington earth, challenged the demon.|But one day Cerys, the brave daughter of Skellington land, challenged the demon.|But one day Cerys, the brave daughter of Skellingish soil, challenged the demon.|But one day, Cerys, the brave daughter of Skellig hench, challenged the demon.
Sure. I'll race.|Wezmę udział w wyścigu.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.|I will take part in the race.
Thanks… Farewell.|Dzięki... Bywaj.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.|Thank you... Bye.
That man in the mask… he's from afar, isn't he?|Ten w masce... On chyba jest z daleka, co?|Ten in the mask... He is probably from far away, right?|Ten in the mask... He is probably from far away, right?|Ten in the mask... He must be from far away, right?|There's one in the mask... He must be from far away, right?|Ten in the mask... He is probably from far away, right?|Ten in the mask... He is probably from far away, right?|You in the mask... Oh, you're probably from far away, right?|Ten in the mask... He must be from far away, right?|Ten in the mask... He is probably from far away, right?|Ten in the mask... He is probably from far away, right?|There are ten in the mask... He is probably from far away, right?
Three years! Three years and not a word, not a peep! Until today. You made me break my vow. Happy?!|Trzy lata. Trzy lata i ani słowa, ani pisku nawet! Aż do dziś. Złamałem śluby. Zadowolony?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!|Three years. Three years and not a word, not even a squeak! Until today. I broke my vows. Satisfied?!
I have no home.|Ja nie mam domu.|I don't have a house.|I don't have a house.|I don't have a house.|I don't have a house.|I don't have a house.|I don't have a house.|I do not have a house.|I don't have a house.|I don't have a house.|I don't have a house.|I don't have a home.
I'd sail out to find them, I would, but I've got to make sure the wedding's proper prepared.|Normalnie sam bym wypłynął na poszukiwania, ale muszę dopilnować, żeby przygotowano wesele jak należy.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would go out to look for them myself, but I have to make sure that the wedding is prepared properly.|Normally, I would go out to look for them, but I have to make sure the wedding is prepared properly.|Normally, I would go out on a search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set out to search myself, but I have to make sure that the wedding is prepared properly.|Normally, I would set sail to look for them, but I have to make sure the wedding is prepared properly.
Found a wreck. It's been here a while. Wood's rotted.|Ten wrak już tu leży jakiś czas. Drewno zbutwiało.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.|The wreck has been lying here for some time. The wood has rotted.
Feeble. But I expected as much.|Słabiutko. Ale spodziewałem się tego.|Quite poorly. But I expected this.|Quite poorly. But I expected this.|Quite poorly. But I expected this.|Quite poorly. But I expected this.|Quite poorly. But I expected this.|Quite poorly. But I expected this.|Very weakly. But I expected this.|Not bad. But I expected that.|Really weak. But I expected this.|Quite poorly. But I expected this.|Quite poorly. But I expected this.
It shan't take long.|To nie zajmie długo.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.|It won't take long.
Thanks for sparing a moment.|Dzięki za poświęconą chwilę.|Thank you for your time.|Thank you for your time.|Thank you for your time.|Thank you for your time.|Thank you for your time.|Thank you for your time.|Thank you for the moment shared.|Thank you for your time.|Thank you for the moment spent.|Thank you for the moment dedicated.|Thank you for the moment spent.
He knew, however, that he could only use it once. So he waited. Waited until his longing grew so strong that it became unbearable.|Wiedział jednak, że może jej użyć tylko raz, dlatego czekał, aż zatęskni tak bardzo, że nie będzie mógł już tego znieść.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he longed so much that he could no longer bear it.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he longed so much that he could no longer bear it.|He knew, however, that he could only use it once, so he waited until he longed so much that he could no longer bear it.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he missed it so much that he couldn't stand it anymore.|He knew, however, that he could only use it once, so he waited until he longed so much that he could no longer bear it.
Mummy, whatcha cookin'?|Mamooo, co gotujesz?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?|Mommy, what are you cooking?
