en_text|pl_text|google_translation|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Remember the wild men I sparred with? The ones we called Vildkaarls?|Pamiętasz tych osiłków, z którymi się biłem na pięści? Tych, co nazywają vildkaarlami?|Pamiętasz dzikich ludzi, z którymi się biłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich ludzi, z którymi się mierzyłem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?||Pamiętasz dzikich mężczyzn z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się ścigałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz tych dzikusów z którymi przeprowadzałem sparingi? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi toczyłem pojedynki? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn z którymi sparingowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się biłem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się siłowałem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich ludzi z którymi trenowałem? Tych, których nazywaliśmy Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się mierzyłem? Tych, których nazywaliśmy Vildkaarls?| Pamiętasz dzikich mężczyzn, z którymi walczyłem? Tych, których nazwaliśmy Vildkaarls?|Pamiętasz tych dzikich ludzi z którymi się bijałem? Tych, o których mówiliśmy jako Vildkaarls?|Pamiętasz dzikich mężczyzn, z którymi się biłem? Tych, których nazywaliśmy wilkoludźmi (Vildkaarls)?| Pamiętasz dzicy mężczyźni z którymi ryzyjkałem się? Tych, których nazywaliśmy Vildkaarls?|Pamiętaj o dzikich mężczyznach z którymi walczyłem. O tych, których nazywaliśmy Vildkarlami?
Why do you want this power?|Do czego ci ta moc?|Dlaczego chcesz mieć tę moc?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę władzę?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę władzę?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę władzę?|Dlaczego chcesz tej mocy?|Dlaczego chcesz mieć tę władzę?| Dlaczego chcesz tę władzę?|Dlaczego pragniesz tej mocy?|Dlaczego chcesz tej władzy?| Dlaczego chcesz tę moc?|Dlaczego chcesz tej mocy?|Dlaczego chcesz mieć tę władzę?| Dlaczego chcesz uzyskać tę moc?|Dlaczego chcesz taką władzę?
Long live Hjalmar!|Wiwat Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|"""Niech żyje długo Hjalmar!"""| Niech żyje Hjalmar!|Niech żyje Hjalmar!|"""Niech żyje długo Hjalmar!"""| Niech żyje Hjalmar!|Niech żyje Hjalmar!|"""Niech żyje długo Hjalmar!"""| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|Niech żyje długo Hjalmar!| Niech żyje Hjalmar!|Niech żyje Hjalmar!|"""Niech żyje długo Hjalmar!"""| Niech żyje Hjalmar!|Niech żyje Hjalmar!
Have a look at this diagram.|Rzuć okiem na ten schemat.|Przyjrzyj się temu diagramowi.|Spojrzyj na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spojrzyj na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spojrzyj na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spojrzyj na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spojrz na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spójrz na ten diagram.| Spójrz na ten schemat.|Zobacz ten schemat.|Spójrz na ten diagram.| Popatrz na ten diagram.|Zrób zdjęcie tego schematu.|Spojrzyj na ten diagram.| Popatrz na ten schemat.|Zróbmy sobie rzut oka na ten schemat.|Spójrz na ten diagram.| Popatrz na ten diagram.|Zobacz ten schemat.|Spojrzyj na ten diagram.| Przejrzyj ten schemat.|Zobacz ten schemat.|Spojrzyj na ten diagram.| Spróbuj popatrzeć na ten diagram.|Rozglądnij się na ten diagrams.
Maybe that's not entirely true. Cave of Dreams - supposed to be a dangerous place.|Może się myliłeś. Jaskinia Snów to podobno niebezpieczne miejsce.|Może to nie do końca prawda. Cave of Dreams - miało być niebezpiecznym miejscem.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo jest niebezpiecznym miejscem.|Może to nie jest całkiem prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkiem prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkowicie prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo jest niebezpiecznym miejscem.|Może to nie jest całkowicie prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|Może to nie jest całkowicie prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie do końca prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawdą. Jaskinia Marzeń - ma być niebezpiecznym miejscem.|Może to nie jest całkiem prawda. Jaskinia Marzeń - miała być niebezpiecznym miejscem.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Być może to nie jest całkowita prawda. Jaskinia Marzeń - miała być to niebezpieczne miejsce.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest zupełnie prawda. Jaskinia Snów - ma być niebezpiecznym miejscem.|Może to nie jest zupełnie prawda. Jaskinia Marzeń - miejsce uważane za niebezpieczne.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest zupełnie prawda. Jaskinia Marzeń - ma być niebezpieczne miejsce.|Być może to nie jest zupełnie prawda. Jaskinia Marzeń - miała być miejscem niebezpiecznym.|Może to nie jest całkiem prawdziwe. Jaskinia Snów - rzekomo niebezpieczne miejsce.| Może to nie jest całkowicie prawda. Jaskinia Marzeń - rzekomo jest to niebezpieczne miejsce.|Może to nie do końca prawda. Jaskinia Marzeń – rzekomo miejsce niebezpieczne.|Może to nie jest całkiem prawda. Jaskinia Snów - rzekomo bardzo niebezpieczne miejsce.| Może to nie jest w całości prawda. Jaskinia Marzeń - rzekomo niebezpieczne miejsce.|Może to nie jest zupełnie prawda. Jaskinia Marzeń – jakoby była to niebezpieczna miejscowość.|Może to nie jest całkiem prawda. Jaskinia Marzeń - rzekomo miejsce niebezpieczne.| To może nie być zupełnie prawda. Jaskinia Marzeń - ma być niebezpieczne miejsce.|Może to nie do końca prawda. Jaskinia Snów – miejsce uważane za niebezpieczne.
Did you learn anything in Velen?|Dowiedziałeś się czegoś w Velen?|Czy nauczyłeś się czegoś w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy udało ci się coś nauczyć w Velen?|Czyś się czegoś nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś się nauczyłeś w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy coś się nauczyłeś w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy dowiedziałeś się czegoś w Velen?|Czyś coś się nauczył w Velen?|Czy czegoś się nauczyłeś w Velen?| Czy dowiedziałeś się czegoś w Velen?|Czyś coś się nauczył w Velenu?|Czy czegoś nauczyłeś się w Velene?| Czy dowiedziałeś się czegoś w Velen?|Czyś coś się nauczył w Welen?|Czy dowiedziałeś się czegoś w Velen?| Czy udało Ci się w czymś się nauczyć w Velen?|Czyście coś się tam nauczyli w Welen?|Czy czegoś się nauczyłeś w Velene?| Czy coś się nauczyłeś w Velen?|Czy się tam czegoś nauczyłeś?|Czy czegoś nauczyłeś się w Velen?| Czy dowiedziałeś się czegoś w Velen?|Czy coś się nauczyłeś we Wleniu?|Czy czegoś się dowiedziałeś w Velanie?| Czy dowiedziałeś się czegoś w Velen?|Czy się tam czegoś nauczyłeś?|"""Czego się nauczyłeś w Velenu?"""| Czy wydziałeś coś nowego w Velen?|Czyście się czegoś tam nauczyli w Velen?
We'll see what our new king says. But it'd be strange to see those longships just sit in the harbor.|Zobaczymy, co powie nowy król. Ale zdziwiłbym się, gdyby drakkary zostały w porcie.|Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne, gdyby te długie statki po prostu stały w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie, jak tylko stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki po prostu tkwiące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie, które po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu tkwiące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie statki, które po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki po prostu tkwiące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby jednak widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć te długie łodzie, jak po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie po prostu stojące w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie, które po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie statki po prostu zacumowane w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby jednak widzieć te długie statki po prostu siedzące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne patrzeć na te długie łodzie, które po prostu siedzą w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie tkwiące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki po prostu siedzące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne patrzeć na te długie łodzie, gdy po prostu stoją w porcie.|Zobaczymy co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie statki tak po prostu siedzące w porcie.| Wyślechamy, co powie nasz nowy król. Ale byłoby dziwne zobaczyć, jak te długie statki po prostu stoją w porcie.|Zobaczymy co nasz nowy król powie. Ale byłoby dziwne widzieć te długie statki po prostu siedzące w porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie będzie widzieć te długie łodzie po prostu siedzące w porcie.||Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne widzieć te długie łodzie unoszące się po porcie.|Zobaczymy, co powie nasz nowy król. Dziwnie byłoby widzieć te długie łodzie po prostu stojące w porcie.| Zobaczymy, co powie nasz nowy król. Ale byłoby dziwne teraz zobaczyć też długie statki opuszczone w porcie.|Zobaczymy co nasz nowy król powie. Ale byłoby dziwne widzieć gdyby te okręty dalej tkwiły w porcie.
Ready when you are.|Jestem gotowy.|Jesteśmy gotowi, kiedy Ty będziesz.|Gotowy kiedy jesteś.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy jesteś.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy jesteś.| Gotowy, gdy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy ty.| Gotowy, gdy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy jesteś.| Gotowy, gdy jesteś.|Gotowy, kiedy ty będziesz.|Gotowy kiedy jesteś.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty jesteś.|Gotowy kiedy jesteś.| Gotów, jak tylko będziesz.|Gotowy, kiedy Ty jesteś.|Gotowy kiedy jesteś.| Gotowy, kiedy jesteś.|Gotowy, gdy ty jesteś.|Gotowy kiedy jesteś.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty.|Gotowy kiedy jesteś.| Gotowy, gdy Ty będziesz.|Gotowy, kiedy ty jesteś.|Gotowy kiedy ty.| Gotowy, kiedy jesteś.|Gotowy, kiedy ty będziesz.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|Glistnik uśmierza ból.|Celandyna złagodzi ból.| Celandyna zmniejszy ból.|Nasienne stłumi ból.|Celandyna złagodzi ból.| Celandyna zmniejszy ból.|Nasienne stłumi ból.|Celandyna złagodzi ból.| Celandyna zmniejszy ból.|Nasienne przytępia ból.|Celandine złagodziłaby ból.| Celandyna zmniejszy ból.|Nasienne stłumi ból.|Celandyna złagodziłaby ból.| Celandyna zmniejszy ból.|Nasienne stępia ból.|Celandyna złagodzi ból.| Kielisznik zmniejszyłby ból.|Nasienne stłumią ból.|Dziewanna złagodzi ból.| 'Celandine miałaby zmniejszyć ból.'|Nasienie dzikiego makowego stępia ból.|Centaurzyca złagodziłaby ból.| Szałwia okromiec złagodzi ból.|Nasienne przyciemnią ból.|Dziewanna tłumi ból.| Szałwia łosiańska zmniejszy ból.|Cielęcina zniwelowałaby ból.|Cantedukt stępi ból.| 'Podbiał zmniejszyłby ból.'|Cielętnik zmniejszy ból.|Chaber złagodzi ból.| Pokrzywa żółknąca stłumiłaby ból.|Nasiona Cichego zmniejszą ból.
Custom demands pilgrims make an offering of their own blood before the tree. Craven surely did so… Unless he lacked not only courage but respect for Freya as well.|Zwyczaj nakazuje, by pielgrzymi złożyli pod drzewem ofiarę z własnej krwi. Tchórz też tak pewnie zrobił... Chyba że brak mu było nie tylko odwagi, ale i szacunku dla Freyji.|Zwyczaj wymaga, aby pielgrzymi składali ofiarę z własnej krwi przed drzewem. Craven z pewnością to zrobił… Chyba że zabrakło mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Pielgrzymi składają własną ofiarę z krwi przed drzewem. Na pewno tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie posiadał nie tylko odwagi, ale także szacunku dla Freyi.|"""Zwyczaje wymagają, by pielgrzymi złożyli w ofierze własną krew pod drzewem. Z pewnością tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi."""|"""Pielgrzymi składają własną ofiarę z krwi przed drzewem. Na pewno tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie posiadał nie tylko odwagi, ale także szacunku dla Freyi.|"""Zwyczaje wymagają, by pielgrzymi złożyli w ofierze własną krew pod drzewem. Na pewno tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi."""|"""Pielgrzymi składają własną krew w ofierze przed drzewem. Na pewno tak zrobił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie posiadał nie tylko odwagi, ale także szacunku dla Frei.|'Niegdyś pielgrzymi składali pod drzewem ofiarę ze swojej własnej krwi. Z pewnością tak zrobił Craven… chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi.'|"""Pielgrzymi składają własną ofiarę z krwi przed drzewem. Na pewno tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę ze swojej własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie posiadał nie tylko odwagi, ale i szacunku dla Freyi.|'Niestandardowe wymagania pielgrzymi składają ofiarę własnej krwi pod drzewem. Craven z pewnością to zrobił... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi.'|"""Pielgrzymi składają własną ofiarę z krwi przed drzewem. Na pewno tak uczynił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Wymóg zwyczaju nakazuje pielgrzymom złożenie ofiary z własnej krwi przed drzewem. Craven na pewno to zrobił... Chyba że nie tylko odwagi, ale także szacunku dla Freyi pozbawiony był.|"""Zwyczaje wymagają od pielgrzymów, aby złożyli ofiarę ze swojej własnej krwi przed drzewem. Z pewnością Craven uczynił to... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi."""|"""Pielgrzymi składają własną krew w ofierze pod drzewem. Craven z pewnością tak uczynił... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Tradycja wymaga, aby pielgrzymi składali ofiarę ze swojej krwi przed drzewem. Craven na pewno to zrobił… Chyba że nie posiadał nie tylko odwagi, ale także szacunku dla Frei.|'Zwyczaje wymagają, by pielgrzymi złożyli w ofierze drzewu własną krew. Z pewnością tak uczynił Craven… chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi.'|"""Pielgrzymi składają własną krwawą ofiarę u stóp drzewa. Na pewno tak zrobił Craven... chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Frei."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę z własnej krwi przed drzewem. Craven na pewno tak zrobił… Chyba że nie miał nie tylko odwagi, ale i szacunku dla Freyi.|Oczekuje się od pielgrzymów złożenia własnej krwi w ofierze pod drzewem. Na pewno tak uczynił Craven… chyba że brakowało mu nie tylko odwagi, ale i szacunku dla bogini Freyi.|Pielgrzymi składają własną krew w ofierze przed drzewem. Z pewnością tak uczynił też Craven... Chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.| Żądania tradycji nakazują pielgrzymom złożenie ofiary ze swojej krwi przed drzewem. Craven na pewno to zrobił... Chyba że brakowało mu nie tylko odwagi, ale i szacunku dla Freyi.|"""Zwyczaj nakazuje pielgrzymom, by złożyli w ofierze swą własną krew pod drzewem. Na pewno tak zrobił Craven... chyba że brakowało mu nie tyle odwagi, co szacunku dla Freyi."""|Odwiedzający świątynię pielgrzymi składają własną krew w ofierze u stóp drzewa. Kraven z pewnością tak zrobił... chyba że brakowało mu nie tylko odwagi, ale też szacunku do Frei.| 'Zwyczaj nakazuje pielgrzymom złożenie ofiary własnej krwi przed drzewem. Craven na pewno tak zrobił... Chyba że nie brakowało mu nie tylko odwagi, ale i szacunku dla Frei.'|'Właściwa tradycja każe pielgrzymom złożyć w ofierze własną krew pod drzewem. Z pewnością Craven uczynił to… Chyba że brakowało mu nie tylko odwagi, ale także szacunku dla Freyi.'|"""Pielgrzymi składają własną krew w ofierze pod drzewem na swoje zamówienie. Na pewno tak zrobił Craven... chyba że brakowało mu nie tylko odwagi, ale też szacunku dla Frei."""| Nadanie narzuca pielgrzymom obowiązek złożenia ofiary z własnej krwi przed drzewem. Craven na pewno to zrobił... Chyba że nie brakowało mu nie tylko odwagi, ale także szacunku dla Frei.|'Niestandardowe praktyki religijne wymagają od pielgrzymów złożenia ofiary ze swojej krwi pod drzewem. Craven z pewnością zrobił to... chyba że brakowało mu nie tylko odwagi, ale również szacunku dla Freyi.'|"""Pielgrzymi składają swoją własną krew w ofierze pod drzewem. Craven na pewno to zrobił... Chyba że brakowało mu nie tylko odwagi, ale też szacunku dla Freyi."""| Tradycja wymaga, aby pielgrzymi złożyli ofiarę ze swojej krwi przed drzewem. Pewnie Tchórz uczynił to samo ... Chyba że poza odwagą nie posiadał również szacunku dla Freyi.|Zwyczaje wymagają, by pielgrzymi złożyli pod drzewem ofiarę ze swojej własnej krwi. Z pewnością tak uczynił również Craven… chyba że oprócz odwagi brakowało mu szacunku dla Freyi.
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...|Gadanie nic mi nie da…|Mówienie nigdzie mnie nie zaprowadzi...| Rozmawianie nie doprowadzi mnie do żadnego celu...|Rozmowy mnie nigdzie nie zaprowadzą...|Mówienie nigdzie mnie nie zaprowadzi...| Rozmawianie nie doprowadzi mnie do żadnego celu…|Rozmowy mnie nigdzie nie zaprowadzą...|Mówienie nigdzie mnie nie zaprowadzi...| Rozmawianie nie doprowadzi mnie do żadnego celu…|Rozmowy mnie nie wyprowadzą z tej sytuacji...|Mówienie niczego mi nie da...| Rozmawianie nie doprowadzi mnie do żadnego celu...|Rozmowy mnie nigdzie nie zaprowadzą...|Mówienie mi nic nie da...| Mówienie mnie nie doprowadzi nigdzie...|Rozmowy mnie nigdzie nie zaprowadzą...|Mówienie nigdzie mnie nie zaprowadzi...| Mówienie nie doprowadzi mnie gdzieś...|Rozmowy mnie nigdzie nie zaprowadzą…|Mówienie nigdzie mnie nie zaprowadzi...| Rozmawianie nie doprowadzi mnie gdziekolwiek...|Rozmowy mnie nic nie dadzą...|Mówienie niczego mi nie da...| Mówienie mnie nigdzie nie zaprowadzi...|...rozmowy nic tu nie dadzą.|Mówienie nigdzie mnie nie zaprowadzi...| Rozmowa nie zabierze mnie nigdzie...|Rozmowy nie zaprowadzą mnie nigdzie...|Mówienie mi nic nie da...| Rozmawianie nie zaprowadzi mnie gdziekolwiek...|Rozmowy nic tu nie dadzą...|Mówienie nie zaprowadzi mnie nigdzie...| Mówienie nie doprowadzi mnie nigdzie...|Gadanie mnie nigdzie nie wyprowadzi…
