en_text|pl_text|bielik_translation|mixtral-8x22B_translation|llama3.1_translation|google_translation
Spiked gloves… black with dried blood.|Rękawice nabite ćwiekami... Czerwone od zakrzepłej krwi.|Rękawice z kolcami... czarne z zaschniętą krwią.| 'Rękawice z kolcami… czarne z wyschniętą krwią.'|'Rękawice z kolcami… czarne ze sterczącą wyschnięta krwią.'|Kolczaste rękawice… czarne od zaschniętej krwi.
We've offended him, Sven. The Woodland Spirit seeks revenge. This here is him saying we've strayed from the old paths.|Obraziliśmy go, Sven. Duch Lasu mści się na nas. Mówi, że zboczyliśmy ze starej ścieżki.|Obraziliśmy go, Sven. Leśny Duch szuka zemsty. To tutaj jest jego sposób na powiedzenie, że zeszliśmy ze starych ścieżek.| Naruszyliśmy jego godność, Sven. Duch Lasu szuka zemsty. To jest jego sposób na powiedzenie, że odstąpiliśmy od starych dróg.|Zraniśmy go, Święty lasu szuka zemsty. To oto on mówi, że zboczyliśmy ze starych ścieżek.|Obraziliśmy go, Sven. Duch Lasu szuka zemsty. Oto on, mówiący, że zboczyliśmy ze starych ścieżek.
You died for a good cause, sheep. Rest in peace.|Zginęłaś w słusznej sprawie, owco. Niech ci ziemia lekką będzie.|Zginęliście dla dobrej sprawy, owce. Spoczywajcie w pokoju.| Umierając służyłeś dobrej sprawie, owco. Spocznij w pokoju.|Zmarłeś dla dobrej sprawy, owieczko. Spoczywaj w pokoju.|Zginąłeś za dobrą sprawę, owieczko. Spoczywaj w pokoju.
Birna should be the one goin', they shared a bed longer.|Birna powinna była za nim pójść, dłużej łoże dzielili.|Birna powinna iść, oni dłużej dzielili łóżko.| Birna powinna tam iść, razem spali w jednym łóżku dłużej.|To Birna powinna wyjechać jako pierwsza, skoro dłużej dzieliły łóżko.|Birna powinna iść, bo dłużej spali w jednym łóżku.
Ahem…|Khem...|Eh...| Chlapliwy świst (polish translation for 'Ahem...')|Eee...|Eee…
Why rarely?|Dlaczego rzadko?|Dlaczego rzadko?| Dlaczego rzadko?|Dlaczego rzadko?|Dlaczego rzadko?
My, no, that's not it at all. The golems are but one of the tower's defenses. Part of its Defensive Regulatory Magicon.|Nie, to nie tak. Golemy są jednym z zabezpieczeń wieży. Częścią Defensywnego Regulatora Magicznego.|My, nie, to wcale nie o to chodzi. Golemy są tylko jedną z obronnych funkcji wieży. Częścią jej defensywnego regulacyjnego magikonu.| Nie, to absolutnie nie to. Golemy to jedynie jedna z obron tower. Część jego Regulatora Obrony Magicznej.|Nie, nie chodzi o to wcale. Golemy są tylko jednym ze sposobów obrony wieży. Częścią jej Obronnego Regulatory Magikonu.|No nie, to nie to. Golemy to tylko jedna z obron wieży. Część jej Defensive Regulatory Magicon.
He didn't expect to be pursued… Might not've managed to take everything.|Nie spodziewał się, że ktoś będzie go ścigał... Może nie zdążył zabrać wszystkiego.|Nie spodziewał się, że będą go ścigać... Może nie zdołałby zabrać wszystkiego.| 'Nie spodziewał się, że będzie ścigany... Być może, nie byłby w stanie wszystkiego zabrać.'|Nie spodziewał się pościgu... Może nie udało by mu się zabrać wszystkiego.|Nie spodziewał się, że będzie ścigany... Być może nie udałoby mu się zabrać wszystkiego.
Aye.|Tak.|Tak.|" Tak. (pronounced like ""tak"" in English)"|Tak.|Szansa.
They say the Wild Hunt destroyed this village…|Mówią, że tę wioskę zniszczył Dziki Gon...|Mówią, że Dzikie Polowanie zniszczyło tę wieś...| Mówią, że Wilde Jagi spustoszyły to wioskę...|Mówią, że Dzikie Polowanie zniszczyło tą wioskę...|Mówią, że Dziki Gon zniszczył tę wioskę…
Beh! *Cough cough*|A khe khe!|Ech! *Kaszel kaszel*| Waugh! *Chluszek chluszek*|Hej! *Kaszlnięcie kaszlnięcie*'|Beh! *Kaszel kaszel*
For the good of the village, Sven.|Dla dobra wsi, Sven.|Dla dobra wsi, Sven.|" ""Ze względu na dobro wioski, Sven."""|Dla dobra wioski, Świętomir.|Dla dobra wioski, Sven.
I'm ready. Let's start.|Jestem. Zaczynajmy.|Jestem gotowy. Zacznijmy.| Jestem gotowy. Zacznijmy.|Jestem gotów. Zaczynajmy.|Jestem gotowy. Zaczynajmy.
Think I deserve more. Water hag's significantly more dangerous than drowners.|Należy się więcej. Baba wodna jest znacznie groźniejszym potworem niż utopce.|Myślę, że zasługuję na więcej. Wodna wiedźma jest znacznie bardziej niebezpieczna niż topielcy.| Myślę, że zasługuję na więcej. Rusałka znacznie bardziej niebezpieczna niż utopce.|Myślę, że zasługuję na więcej. Wodna babka jest znacznie bardziej niebezpieczna niż topielce.|Myślę, że zasługuję na więcej. Wiedźmy wodne są znacznie bardziej niebezpieczne niż utopce.
What did you say?!|Coś ty powiedziała?|Co powiedziałeś?!| Co ty powiedziałeś?|Co powiedziałeś?!|Co powiedziałeś?!
Listen - it's our arena, got a wraith that haunts it. Damned if we know how to drive it off. Think you could manage?|Upiór nam się na arenie objawił. Nijak go ruszyć. Może byście coś poradzili?|Słuchaj - to nasza arena, mamy tu upiora, który ją nawiedza. Przeklęty, jeśli wiemy, jak się go pozbyć. Myślisz, że dałbyś radę?| Słuchaj - to nasza arena, mamy tu strzygońa, który ją nawiedza. Przeklęty czyje są to umiejętności do odpędzenia go. Myślisz, że potrafisz to zrobić?|Słuchaj - to nasze pole walki, mają tętruka, która ją nawiedza. Przeklęci jeśli wiemy jak się jej pozbyć. Myślisz, że możesz sobie z tym poradzić?|Słuchaj - to nasza arena, nawiedza ją widmo. Cholera, jeśli wiemy, jak je odgonić. Myślisz, że dasz radę?
You'll think of something!|Coś wymyślisz!|Wymyślisz coś!| Będziesz pomyślał czegoś!|Zastanowisz się nad tym.|Wymyślisz coś!
Pull yourself together, Sinna. How'd they get in?|Weź się w garść, Sinna. Jak tu weszły?|Weź się w garść, Sinna. Jak się dostali do środka?| Wyciągnij się, Sinna. Jak weszli?|Zbierz się w garść, Sinnie. Jak oni tu wszedli?|Weź się w garść, Sinna. Jak oni się tam dostali?
Clan An Craite Elder|Starszy z klanu Craite|Ród An Craite Starszy|" An Craite Starszy Klanu

(Note: I am a text-based AI and don't have the ability to listen or speak, but I can translate text.)"|Starszy Klanu Craite.|Klan An Craite Starszy
Think I'll manage on my own.|Poradzę sobie sam.|Myślę, że dam sobie radę sam.| Pomyślę, że same potrafię sobie radzić.|Myślę, że dam sobie radę samemu.|Myślę, że dam sobie radę sam.
Knew you were thick, Brambling, but that thick? To waltz into me… Who the hell's this?|Wiedziałem, że jesteś głupi, Simun, ale żeby aż tak? Pchać się w moje... A ty coś za jeden?|Wiedziałem, że jesteś gruboskórny, Brambling, ale aż tak gruboskórny? Żeby wparowaać do mnie... Kto to, do cholery, jest?| Wiedziałem, że jesteś tępy, Barwniak, ale tak tępy? Zawitać do mnie... Co za mąciwóraś ten?|Wiedziałem, że jesteś głupi, Brambling, ale taki głupi. Wchodzić do mnie bezceremonialnie... Kto diabli to jest?|Wiedziałem, że jesteś tępy, Brambling, ale aż tak? Żeby wpaść do mnie... Kim do cholery jest ta osoba?
Mhm. Think the spirits of Skellige favor us.|Mhm. Skelligijskie duchy nam sprzyjają.|Mhm. Myślę, że duchy Skellige nam sprzyjają.| 'Mhm. Myślę, że duchy Skellige nam sprzyjają.'|Hm. Myślę, że duchy ze Skellige są dla nas łaskawe.|Mhm. Myślę, że duchy Skellige nam sprzyjają.
You and Ciri grew up together…|Ty i Ciri wychowywaliście się razem...|Ty i Ciri wychowywaliście się razem...| Zarówno Ty jak i Ciri dorastaliście razem…|Ty i Ciri wzrosłyście razem…|Ty i Ciri dorastaliście razem…
So do I…|Ja też...|Więc i ja...| Tak samo ja…|Tak samo ze mną...|Ja też…
Can't do that. Jonna doesn't deserve it.|Nie zrobię tego. Jona na to nie zasłużyła.|Nie można tego zrobić. Jonna nie zasługuje na to.| Nie mogę tego zrobić. Jonna tego nie zasługuje.|Nie mogę tego zrobić. Jonnie nie zasługuje na to.|Nie możesz tego zrobić. Jonna na to nie zasługuje.
Fine. Let's do it.|Dobrze, zróbmy to.|Dobrze. Zróbmy to.| Dobrze. Zróbmy to.|W porządku. Zróbmy to.|Dobra. Zróbmy to.
Not about to throw the fight.|Nie podłożę się.|Wcale nie zamierzam rzucać walki.| Nie mam zamiaru oddać walki.|Nie ma zamiaru rzucić walki.|Nie zamierzam poddać walki.
Neither. And we're not in Kovir. We're in Skellige.|Ani jedno, ani drugie. I nie jesteśmy w Kovirze, tylko na Skellige.|Ani tu. I nie jesteśmy w Kovirze. Jesteśmy w Skelligach.| Żadne. I nie jesteśmy w Kovirze. Jesteśmy w Skellige.|Ani jednego. I nie jesteśmy w Krowiarku. Jesteśmy na Wyspach.|Ani jedno, ani drugie. I nie jesteśmy w Kovir. Jesteśmy na Skellige.
Greetings…|Witaj...|Pozdrowienia...| Witaj...|Witaj…|Pozdrowienia…
I asked some of the local folk. Some here still remember him.|Wcześniej popytałam tu trochę o niego. Niektórzy ciągle go pamiętają.|Zapytałem niektórych miejscowych ludzi. Niektórzy tutaj wciąż go pamiętają.| Poprosiłem kilka osób z lokalnej społeczności. Niektórzy tutaj wciąż pamiętają go.|Zapytałem kilka osób z okolicy. Niektórzy pamiętają go nadal.|Zapytałem kilku miejscowych. Niektórzy tutaj nadal go pamiętają.
So? Ready?|I jak? Gotowy?|Więc? Gotowy?|" Tak? Gotowy?

Please let me know if you need more translations. I'm here to help!"|Tak? Gotowy?|No i co? Gotowy?
Bran - a great king, a great man.|Bran był wielkim człowiekiem.|Bran - wielki król, wielki człowiek.| Bran - wielki król, wielki człowiek.|Bran – wielki król, wielki człowiek.|Bran - wielki król, wielki człowiek.
We're here. The hot springs.|Jesteśmy na miejscu. Gorące źródła.|Jesteśmy tutaj. Gorące źródła.| Tutaj jesteśmy. Ciepłe źródła.|Jesteśmy tutaj. Gorące źródła|Jesteśmy tutaj. Gorące źródła.
We should see to your friend.|Trzeba się zająć twoim przyjacielem.|Powinniśmy zadbać o twojego przyjaciela.| Powinniśmy zająć się twoim przyjacielem.|Powinniśmy zajrzeć do twojego przyjaciela.|Powinniśmy odwiedzić twojego przyjaciela.
Just warmin' up. Well, what're you waiting for? Go call the next one.|No, dalej, wołaj następnego. Dopiero się rozgrzewam.|Tylko się rozgrzewam. No cóż, na co czekasz? Idź zadzwoń do następnego.| Tylko dopiero się rozgrzewam. No dobrze, czego czekasz? Idź wezwij kolejnego.|'Dopiero się rozgrzewam. No to czego czekasz? Idź zadzwoń po następnego.'|Tylko się rozgrzewam. No więc, na co czekasz? Idź i zadzwoń do następnego.
Better sail out on a raid, do some honest lootin'.|Lepiej na jakąś rejzę ruszyć i uczciwie się obłowić.|Lepiej wypłynąć na rajd i zrobić trochę uczciwych łupów.| Lepszy wypłynąć w wyprawę, zróbmy uczciwe łupiestwo.|Lepiej wyjść w rejs na łup, niż uczciwie rabować.|Lepiej wyruszyć na wyprawę i uczciwie splądrować.
Salty.|Solony.|Słony.| Słone. [The word 'salty' in Polish is 'słone' when referring to a taste or flavor]|Słony.|Słony.
This'll be tough to open.|Trudno będzie to otworzyć.|To będzie trudne do otwarcia.| To będzie trudno otworzyć.|Będzie ciężko to otworzyć.|Trudno będzie to otworzyć.
We are slaves to fear spread by blind fools like you. These woods are ours. High time we put an end to this beast.|Jesteśmy niewolnikami strachu podsycanego przez takich ślepców jak ty. To nasz las i najwyższy czas skończyć z bestią.|Jesteśmy niewolnikami strachu rozpowszechnianego przez ślepych głupców, takich jak ty. Ten las należy do nas. Najwyższy czas zakończyć istnienie tej bestii.| Jesteśmy niewolnikami strachu szerzonego przez głupców niewidzących jak Ty. Te lasy nasze. Czas nam zakończyć to stworzenie.|Jesteśmy niewolnikami strachu szerzonych przez ślepego bredniarzy, jak ty. Te lasy należą do nas. Wysoka pora, by położyć kres temu bestialstwu.|Jesteśmy niewolnikami strachu szerzonego przez ślepych głupców takich jak ty. Te lasy są nasze. Najwyższy czas położyć kres tej bestii.
I wanna talk about the past, the Wild Hunt.|Chcę pogadać o przeszłości i Dzikim Gonie.|Chcę porozmawiać o przeszłości, o Dzikim Gonie.| Chcę porozmawiać o przeszłości, o Dzikiej Łowi.|Chcę porozmawiać o przeszłości, o Dzikim Polowaniu.|Chcę porozmawiać o przeszłości, o Dzikim Gonie.
And an excellent chance of snappin' his leg off at the arse.|...i wyjątkową szansę na obcięcie nogi przy samej rzyci.|I znakomitą szansę na odstrzelenie mu nogi w tyłku.|" ""I tak szansa na strząśniecie mu nogi u tyłku."" Please note that translating such informal and colloquial speech can be challenging, and the provided translation is a close approximation."|I o doskonałą okazję do zerwania mu nogi przy dupie.|I świetna okazja, żeby urżnąć mu nogę.
You Svana? Here about the Heroes' Pursuits.|Ty jesteś Svana? Przychodzę w sprawie Wyścigów Śmiałków.|Jesteś Svana? Tutaj o Zachodzie Bohaterów.| Jesteś Svana? Tu informacje o Poszukiwaniach Bohaterów.|Jesteś Światowidem? Oto co wiemy na temat Pościgu Bohaterów.|Ty Svana? Tutaj o Heroes&#39; Pursuits.
Anybody see how the bears got in?|Nikt nie widział, skąd się wzięły te niedźwiedzie?|Ktokolwiek widział, jak niedźwiedzie się dostały?| Ktoś widział, jak niedźwiedzie weszły?|Czy ktoś wie jak niedźwiedzie się dostały do środka?|Czy ktoś widział jak niedźwiedzie się tu dostały?
For robbin' the earth of iron, forgin' it into blades that men kill one another with. That Freya would punish us. Mayhaps they spoke the truth…|Że niby żelazo ziemi wybieramy, przekuwamy na pancerze, a potem ludzie w nich śmierć niosą... Że Freyja nas ukarze. Może i prawdę mówiły...|Żeby okradać ziemię z żelaza, kuć je w ostrza, którymi mężczyźni zabijają się nawzajem. Żeby Freja ukarała nas za to. Może mówili prawdę...| Dla rabowania ziemi o żelazo, kucia na nie żelazne ostrza, którymi mężczyźni zabijają się wzajemnie. Że Freya nas ukara. Być może mówili oni prawdę...|Za rabunek ziemi z żelaza, wykuwając je w ostrza, którymi ludzie zabijają się nawzajem. NiechFreja nas ukarze. Może mówili prawdę...|Za okradanie ziemi z żelaza, przekuwanie jej na ostrza, którymi ludzie zabijają się nawzajem. Że Freya nas ukarze. Może mówili prawdę…
You land rats are all the same - afeard o' your wenches.|Szczury lądowe są wszystkie takie same. Boją się swoich bab.|Wy szczury lądowe jesteście wszystkie takie same - przestraszone swoimi damami.| Wy jesteście tacy sami szczury z lądu - boicie się swoich dziewcząt.|Wy lądowe szczury jesteście wszyscy tacy sami - boicie się swoich bab.|Wy, szczury lądowe, wszystkie jesteście takie same – boicie się waszych dziewczyn.
Job's done.|Wykonałem zlecenie.|Robota wykonana.| Praca zrobiona.|Zadanie wykonane.|Robota wykonana.
What would you say to a few rounds of gwent?|A może nie pogardzisz partyjką gwinta...?|Co powiedziałbyś na kilka rund gwenta?| Co powiesz na kilka rund gwinta?|Co powiesz na kilka rund Gwinta?|Co powiedziałbyś na kilka rund gwinta?
Ciri… Zireael… Can you hear me?|Ciri... Jaskółko... Słyszysz mnie?|Ciri... Zireael... Czy mnie słyszysz?| Ciri... Zireael... Czy mnie słyszysz?|'Ciri... Zireael... Czy mnie słyszysz?'|Ciri… Zireael… Czy mnie słyszysz?
Any who drop, I'll leave behind. Ville only wants the strong.|Który padnie, to padnie, reszta zostanie. Villemu zależy tylko na silnych.|Ktokolwiek odpadnie, zostawię go w tyle. Ville chce tylko silnych.|" ""Każdy, kto wypadnie, pozostawię w tyle. Ville chce tylko silnych."""|Kto upadnie, zostawiam w tyle. Ville chce tylko silnych.|Każdego, kto upadnie, zostawię. Ville chce tylko silnych.
The White-Haired One goes to his death… Nay, no foreigner can traverse the Path of Warriors.|Białowłosy rusza na spotkanie ze śmiercią... Żaden obcy nie przejdzie szlaku wojowników.|Białowłosy zmierza ku swojej śmierci... Nie, żaden obcokrajowiec nie może przemierzyć Drogi Wojowników.| Ten, który ma białe włosy idzie na swoją śmierć... Nie, żaden cudzoziemiec nie może przejść drogą wojowników.|Biały Włos idzie na śmierć... Nie, żaden obcy nie może przebyć Ścieżki Wojowników.|Białowłosy idzie na śmierć… Nie, żaden cudzoziemiec nie może kroczyć Ścieżką Wojowników.
Fare thee well.|Bywaj.|Żegnaj.|" Żegnaj i bądź szczęśliwy.

This phrase, ""Fare thee well,"" is a bit old-fashioned in English and can have a poetic or dramatic connotation, but the translation provided in Polish can be used in a similar context."|Żegnaj mnie.|Żegnaj.
You're on.|Stoi.|Jesteś na.| Ty masz.|Masz mnóstwo czasu.|Jesteś na miejscu.
Got anything you're willing to sell?|Masz coś na sprzedaż?|Masz coś, co chciałbyś sprzedać?| Masz coś, co gotów(a) sprzedać?|Czy masz coś, czego chcesz się pozbyć?|Masz coś, co chciałbyś sprzedać?
J-o-n-n-a… May it be quick and painless.|J-o-n-a... Oby to była lekka śmierć.|J-o-n-n-a... Niech będzie szybko i bezboleśnie.| 'J-o-n-n-a… Niech to będzie szybkie i bezbolesne.'|J-o-n-n-ą...... Niech będzie szybkie i bezbolesne.|Jonna… Oby było szybko i bezboleśnie.
You not bothered by travelers?|Ciebie podróżni nie drażnią?|"""Nie przeszkadzają pani podróżni?"""| Nie jest cię obojętne na podróżnych?|"""Czy nie przeszkadzają ci podróżni?"""|Nie przeszkadzają Ci podróżni?
Let's read the letter already.|Przeczytajmy wreszcie ten list.|Przeczytajmy już ten list.| Spróbujmy już teraz przeczytać ten list.|'No cóż, przeczytajmy ten list już.'|Przeczytajmy już ten list.
He's your patron as well, dear. Don't forget that lest he remind you of it himself.|Jest też twoim mocodawcą, mój drogi, nie zapominaj o tym. Bo może być, że sam ci wtedy o tym przypomni.|On jest także twoim patronem, drogi. Nie zapominaj o tym, bo inaczej on sam ci przypomni.| On też jest twoim opiekunem, droga. Nie zapominaj tego, aby nie przypomniał ci o tym sam.|On jest również twoim mecenasem, drogi. Nie zapominaj o tym, by nie musiał cię o tym przypomnieć sam.|On jest również twoim patronem, kochanie. Nie zapominaj o tym, żeby sam ci o tym nie przypominał.
Need you to craft something for me.|Chciałbym, żebyś coś dla mnie wykonał.|Potrzebuję, żebyś coś dla mnie stworzył.| Muszę poprosić Cię o stworzenie czegoś dla mnie.|Potrzebuję, żebyś coś dla mnie zrobił.|Musisz coś dla mnie stworzyć.
What is it?|O co chodzi?|Co to jest?| Co to jest?|Co to jest?|Co to jest?
Greetings.|Witajcie.|Pozdrowienia.| Witaj.|Witaj.|Pozdrowienia.
Thought all giants died ages ago.|Olbrzymy wymarły dawno temu.|Sądziłem, że wszystkie olbrzymy umarły dawno temu.| Przeczytałem że wszyscy giganci dawno temu wymarli.|Myślałem, że wszyscy olbrzymi zmarli wieki temu.|Myślałem, że wszyscy giganci wymarli dawno temu.
An interregnum means chaos. A chance for an Craite to oust us from Ard Skellig…|Bezkrólewie to chaos. Szansa dla an Craite, by nas wyrugować z Ard Skellig...|Interregnum oznacza chaos. Szansa dla Craite'a, aby wygnać nas z Ard Skellig...| 'Interregnum oznacza chaos. Szansę dla Craite, żeby wyprzeć nas z Ard Skelligu...'|Interregium to chaos. Szansa dla Craite'a, by wyrzucić nas z Ard Skellig...|Interregnum oznacza chaos. Szansa dla Craite, aby wyprzeć nas z Ard Skellig…
Make Freya an offerin' in gratitude. A black mare'd be best. Or a foal with a blaze on its muzzle.|Złóż Freyji w podzięce ofiarę. Najlepiej karego ogiera. Albo źrebię ze strzałką na pysku.|Zrób dla Frei ofertę w podzięce. Najlepsza byłaby czarna klacz albo źrebię z gwiazdką na pysku.|" ""Złoż ofertę Freyi w podzięce. Najlepszą byłaby czarna klacz. Albo źrebię z rozimą na pysku."""|Złożyj ofiarę Free, w podziękowaniu. Najlepszy wybór byłaby ciemna klacz. Albo źrebię z białą gwiazdą na pysku.|Złóż Freyę w ofierze w ramach wdzięczności. Najlepsza byłaby czarna klacz. Albo źrebak z łysinką na pysku.
I'd never miss a chance to spend a pleasant evening with you.|Za nic nie przegapiłbym możliwości spędzenia z tobą miłego wieczoru.|Nigdy nie przepuszczę okazji spędzenia miłego wieczoru z tobą.|" ""Nigdy bym nie przeoczył okazji na spędzenie przyjemnego wieczoru z Tobą."""|Nigdy nie przepuściłbym szansy spędzenia przyjemnego wieczoru z tobą.|Nigdy nie przegapię okazji spędzenia miłego wieczoru z Tobą.
In that case, will you tell me later? Over mead, somewhere cozy?|W takim razie może mi opowiesz o tym później? Przy miodzie, w jakimś zacisznym miejscu?|W takim przypadku powiesz mi później? Nad miodem, gdzieś w przytulnym miejscu?| W takim razie, powiesz mi później? Przy medyku, gdzieś miło?|W takim razie powiesz mi później? Przy miedzie, gdzieś ciepło?|W takim razie, czy powiesz mi później? Przy miodzie, w jakimś przytulnym miejscu?
And when he's hungry, he's angry.|A on jak głodny, to zły.|A kiedy jest głodny, jest zły.| A kiedy głodny, to zły.|A gdy jest głodny, jest zły.|A gdy jest głodny, jest zły.
I'll kill you! Kill all you ploughin' sea whores!|Pozabijam was! Pozabijam, morskie kurwy!|Zabiję cię! Zabiję wszystkie was, pływające dziwki z plugawego morza!| Chciałbym Cię zabić! Zabić wszystkie pługające morze dziwki!|Zabiję cię! Zabijcie wszystkich waszych morskich dziwek z łopotem!'|Zabiję was! Zabiję wszystkie orające morskie dziwki!
Tell me about the mountain path.|Opowiedz o tej górskiej ścieżce.|Powiedz mi o ścieżce górskiej.| Opowiedz mi o ścieżce górskiej.|Powiedz mi o górskiej ścieżce.|Opowiedz mi o górskiej ścieżce.
Not a hair on the tyke's head would've been harmed.|Małemu nie spadłby z głowy nawet włos.|Ani jeden włos na głowie dziecka nie zostałby skrzywdzony.| Na głowie tego małego nic się nie stało.|Na głowie tego małego nie upadłaby ani włos.|Ani jeden włos z głowy dzieciaka by nie spadł.
Tis madness, such a young lass…|To szaleństwo, taka młoda dziewczyna...|To szaleństwo, taka młoda dziewczyna...|" ""To szaleństwo, tak młoda dziewczyna…"""|To szaleństwo dla tak młodej dziewczyny...|To szaleństwo, taka młoda dziewczyna…
Do you think… Is there a chance that thing might be Ciri? That… well… she's been transformed by some curse?|Myślisz że... że to... to coś to może być Ciri? Że ona... no wiesz, została zmieniona jakimś zaklęciem?|Myślisz, że... Czy jest szansa, że ta rzecz może być Ciri? Że... no cóż... została przemieniona przez jakąś klątwę?| Myślisz... Czy istnieje szansa, że tamto jest Ciri? Że... no... została ona przemieniona przez jakiś klątwę?|Czy myślisz… Czy jest szansa, że ta rzecz może być Ciri? Że… no… została zmieniona przez jakieś przekleństwo.|Myślisz... Czy jest szansa, że ta rzecz może być Ciri? Że... cóż... została przemieniona przez jakąś klątwę?
Good luck.|Powodzenia.|Powodzenia.| Powodzenia.|Powodzenia.|Powodzenia.
Hah! Bled like a stuck whale!|Ha! Jucha poszła jak spod harpuna!|Hah! Krwawił jak zaklinowany wieloryb!| Haha! Krwawił jak wieloryb ugodzony harpunem!|Ha! Krew z niego szła strumieniami!|Ha! Krwawił jak uwięziony wieloryb!
Till Hjalmar split its massive skull,|Dopiero Hjalmar miecz mu wraził w serce.|"""Dopóki Hjalmar nie rozłupał jego masywnej czaszki,"""|" ""Aż Till Hjalmar rozłupał jego potężną czaszkę,"""|'Till do czasu aż Hjalmarr rozszarpał jego potężną czaszkę'|Aż Hjalmar rozłupał jej ogromną czaszkę,
Tellin' you we'll hit a cave one of these days. Make our escape.|Mówię ci, w końcu dokopiemy się do jakiejś jaskini. Wtedy uciekniemy.|Mówiąc, że któregoś dnia trafimy na jaskinię. Zapewnijmy naszą ucieczkę.| Powiem ci, że pewnego dnia wejdźmy do jaskini i ucieknijmy.|Mówię ci, pewnego razu trafi się na jaskinię i zrobimy ucieczkę.|Mówię ci, że pewnego dnia trafimy do jaskini. Ucieknijmy.
Why's that? Veins're too deep in the rock?|A co? Żyły są za głęboko w skale?|Dlaczego tak jest? Żyły są zbyt głęboko w skale?| Dlaczego tak? Żyle za głęboko w skale?|Dlaczego? Żyły są zbyt głęboko w skale?|Dlaczego? Żyły są zbyt głęboko w skale?
And where is he? My… friend?|A gdzie on jest? Ten mój... przyjaciel?|A gdzie on jest? Mój... przyjaciel?| Ale gdzie on jest? Mój... przyjaciel?|A gdzie on jest? Mój... przyjaciel?|A gdzie on jest? Mój… przyjaciel?
I can help you.|Mogę ci pomóc.|Mogę ci pomóc.| Mogę ci pomóc.|Mogę ci pomóc.|Mogę ci pomóc.
Think the council of jarls will dare to put a woman on the throne?|Myślisz, że rada jarlów posadzi na tronie kobietę?|Myślisz, że rada jarlów odważy się posadzić kobietę na tronie?| Czy myślisz, że rada jarłów odważy się postawić kobietę na tronie?|Czy radę jarlów odważy się posadzić kobietę na tronie?|Myślisz, że rada jarlów odważy się osadzić kobietę na tronie?
Tell me a rhyme. Then you'll get a prize. Or a beating.|Powiedz wierszyk. To będzie nagroda. Albo lanie.|Powiedz rym. Wtedy dostaniesz nagrodę. Albo lanie.| Powiedz rym. Wtedy dostaniesz nagrodę. Albo bicie.|Opowiedz mi rymowaną piosenkę, wtedy otrzymasz nagrodę albo baty.|Powiedz mi rym. Wtedy dostaniesz nagrodę. Albo lanie.
Yennefer and I'd be honored. Here's to your health!|Ja i Yennefer jesteśmy zaszczyceni. Wasze zdrowie!|"""Yennefer i ja będziemy zaszczyceni. Na zdrowie!"""| Ja i Yennefer byśmy byli zaszczyceni. Na zdrowie!|Jasne, Yennefer i ja będziemy honorowani. Za twoje zdrowie!|Yennefer i ja bylibyśmy zaszczyceni. Oto twoje zdrowie!
I-I-I can't go outside! It'll kill me. I can f-feel it. Mayhaps ye could…|Jeśli stąd wy-yjdę, ten upiór mnie za-abije! Czu-uję to. Może sam byś...|Nie mogę wyjść na zewnątrz! To mnie zabije. Czuję to. Może ty mógłbyś...| N-Nie-Nie mogę wyjść na zewnątrz! Zabije to mnie. Czuję to. Może być, że mógłbyś...|N-nie mogę wyjść na zewnątrz! To mnie zabije. Mogę... czuć to. Może ty możesz…|Nie mogę wyjść na zewnątrz! To mnie zabije. Czu-czuję to. Może moglibyście…
Uve seems quiet to me…|Czemu Uwe jest taki cichy?|Wydaje się spokojny dla mnie...| Wygląda na to, że Uve jest do mnie cichy...|Wygląda na to, że Uve milczy…|Wydaje mi się, że Uve jest cichy…
I know… Craven went there before you but has yet to return.|Wiem... Ale Tchórz był tam przed tobą – i do tej pory nie wrócił.|Wiem... Craven tam poszedł przed tobą, ale jeszcze nie wrócił.| Wiem… Craven był tam przed tobą, ale jeszcze nie wrócił.|' Wiem… Craven poszedł tam przed tobą, ale jeszcze nie wrócił.'|Wiem... Craven był tam przed tobą, ale jeszcze nie wrócił.
Send 'im to the tavern. Have him bring us some beer.|Do karczmy go wyślij. Niech piwa przyniesie.|Wyślij 'go do karczmy. Niech przyniesie nam trochę piwa.| Wyślij go do karczmy. Niech przyniesie nam piwo.|Wyślij go do karczmy. Niech przyniesie nam piwo.|Wyślij go do tawerny. Niech przyniesie nam trochę piwa.
Challengers? Argh, nay. Ain't none a challenge to us.|Mierzyć? Nie. Nam nikt nie dorówna.|Wyzwania? Ach, nie. Żadne nie jest dla nas wyzwaniem.| 'Wyzwanie? Ach, nie. Żaden nie stanowi dla nas wyzwania.'|'Zwycięzcy? Och, nie. Nie ma żadnego wyzwania dla nas.'|Pretendenci? Argh, nie. Żaden nie jest dla nas wyzwaniem.
Really, there's no need… I feel fine now.|Naprawdę, nie ma potrzeby... Ja już się dobrze czuję.|Naprawdę, nie ma potrzeby... Teraz czuję się dobrze.| Prawdziwie, nie ma potrzeby... Teraz czuję się dobrze.|Nie ma potrzeby... Czuję się już dobrze.|Naprawdę, nie ma potrzeby… Teraz czuję się dobrze.
