en_text|pl_text
Tis the gods' doin'. Maybe they're punishin' us?|To są sprawy bogów... Może zesłali na nas karę?
For what? You're talkin' rubbish.|Niby za co? Nie opowiadaj bzdur.
So the tales are true… Warriors in battle frenzy transformed into wild beasts…|Prawdę powiadają o wojownikach, którzy w szale zamieniają się w dzikie zwierzęta...
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?
Pull yourself together, Sinna. How'd they get in?|Weź się w garść, Sinna. Jak tu weszły?
Dunno… The gates were shut!|Nie wiem... Przecież bramy były zamknięte!
Looking for Cerys, Jarl an Craite's daughter.|Szukam Cerys, córki jarla an Craite.
Dah! You've found her or near to! Lass was just here.|Dobrze trafiłeś! Była tu niedawno.
Know where she mighta gone?|Nie wiesz, dokąd poszła?
Took an interest in our jarl, asked about his childhood. So I told her to see Bergthora and Eiric.|Ciekawił ją nasz jarl, pytała o jego dzieciństwo, to i skierowałam ją do Bergthory i Eirika.
Looking for a young woman, name of Cerys.|Szukam młodej dziewczyny, Cerys.
Bless ya, and my blessings to Cerys when you see her.|Bądź zdrów i pozdrów Cerys.
Take care.|Dziękuję.
Take care.|Bywaj.
Who are Bergthora and Eiric?|Kim są Berghtora i Eirik?
Who're Bergthora and Eiric?|Czemu akurat do nich?
Years ago, Eiric was close with the old jarl. Was the jarl that helped him win Bergthora's hand. They live towards the east end of the village.|Przed laty Eirik przyjaźnił się ze starym jarlem, a ten pomógł mu zdobyć rękę Bergthory. Mieszkają na wschodnim krańcu wioski.
Greetings.|Witaj.
Hah, nary a soul for months. Then one day guests from afar start droppin' like rain in springtime.|Ha, najpierw przez cały miesiąc ani żywego ducha, a potem jednego dnia goście wysypują się jak ulęgałki.
You weary, traveler? Hungry?|Zdrożony jesteś? Głodny?
When do you go?|Kiedy wyruszacie?
Next new moon.|Jak nów nastanie.
I'd rather you stayed.|Wolałabym, żebyś został.
Ye daft, woman? What would I say to me mates?|Zgłupiałaś, kobieto? Co ja bym powiedział moim druhom?
Maybe that your wife's with child…?|Że twoja żona jest przy nadziei…
Who are ye? Why're ye here?|Coś ty za jeden? Co tu robisz?
Could ask you the same. Places like this - usually home to necrophages alone.|Mógłbym was zapytać o to samo. Takie miejsca to często siedliska trupojadów.
There're corpse-eaters, aye. And they grow bolder by the day, crawl out to attack the livin'!|Trupojadów, które robią się coraz bardziej zuchwałe, wyłażą i atakują też żywych!
We'll kill 'em all! Clear the mine with our swords in our hands! Honor our fathers in doin' so.|A my je wybijemy! Oczyścimy kopalnię! Własnym orężem, własnymi rękoma! I okryjemy chwałą imię naszych ojców!
I'm a witcher. Could go with you and help.|Jestem wiedźminem, mogę pójść tam z wami.
And steal the glory due us?! No chance!|I odebrać nam chwałę?! Niedoczekanie!
Glory won't do much for you if ghouls're gnawing on your bones.|Nic wam po chwale, jeśli ghule będą obgryzać wasze kości.
Hm… when ye think on it… makes sense.|W sumie... Dobrze powiedziane.
Hmm… All right. You lead the way, then.|Hmm... No, dobra. To idź przodem.
Could help you.|Mogę wam pomóc.
If you're looking to die, that's your problem. So long.|Jeśli chcecie zginąć, to wasza sprawa. Bywajcie.
Lemme get out of your way.|Nie przeszkadzam.
Still here?|Ciągle tu stoicie?
Ye back? Come to see how we unburden the world o' ghouls?|A ty co? Przyszedłeś popatrzeć, jak rozprawiamy się z ghulami?
Grass has grown over our loved ones graves - but their memory lives on.|Kurhany naszych bliskich zarosły już trawą – ale pamięć o nich jest wciąż żywa.
We entrust them to the goddess.|Polecamy ich bogini.
Leif, son of Erik…|Leif, syn Eryka...
Perished in glory…|Umarł w chwale.
Kjall, son of Olaf…|Kjall, syn Olafa...
Perished in glory…|Umarł w chwale.
Ventured a bit too far, white-haired stray. But ye still got a chance to leave 'ere alive… if ye pay.|Zapędziłeś się ciut za daleko, siwy przybłędo. Ale nie martw się – masz szansę wyjść stąd żywy... jeśli zapłacisz.
Willing to leave, not willing to pay.|Wyjdę bez płacenia.
Fine, I'll leave. Not about to pay anyone for the privilege, though.|A ja myślę, że wyjdę. I nikomu nie będę płacił.
Course. We're not bloody traders, not gonna haggle.|Oczywiście. Nie jesteśmy kupcami.
I don't have time to argue with all of you. Here, take it and forget you ever saw me.|Nie mam czasu się z wami wszystkimi użerać. Weźcie to i zapomnijcie, że mnie widzieliście.
Fine. I'll pay.|Zapłacę.
Let's leave my coin pouch out of it.|Nie mieszajmy w to mojej sakiewki.
We'll take it anyway - just after we gut ye!|I tak ją sobie weźmiemy – kiedy już wyprujemy z ciebie flaki!
No chance.|Nie ma mowy.
So? No one else dares face me?|I co? Nikt więcej nie odważy się ze mną zmierzyć?
Is there truly no warrior in all Skellige who can defeat me?|Czy naprawdę na całym Skellige nie ma wojownika, który byłby w stanie mnie pokonać?
Wench is mad! She near killed 'im! Svern, can you hear me?|Dziewka jest szalona! O mało go nie zabiła! Svern, słyszysz mnie?!
I hear ye, it'th jutht-- Ptooey!|Syyyszę, syyszę, tylko... Tfu.
Heheheh… Lotht me tooth.|Heh... To był ząb.
Well, come now, out with it. How else might I help you?|No, wyduś wreszcie, co ci jest. Jak inaczej mam pomóc?
So… See, thing is… Somethin's off, of late. I'm not on form. Havin' trouble with… ye know, uh…|Bo... Chodzi o to, że... Z kondycją jakoś nie bardzo. Nie idzie mi... No ten, tego.
Aaah. I understand. You must make a brew of lovage. One hour before, you know, this, that, the other.|Aaaa. Rozumiem. No, to lubczyk musisz sobie parzyć. Na godzinę przed ten, tego.
Skelliger|Skelligijczyk
Adventurer|Łowca przygód
Commencing annihilation.|Rozpoczynam anihilację.
Collection compromised. Commencing beast teleportation.|Naruszenie zbiorów. Teleportacja bestii rozpoczęta.
Intruder in library. Collection integrity compromised.|Intruz w bibliotece. Integralność zbiorów naruszona.
Air's thick with incense.|Powietrze aż gęste od dymu kadzideł.
I'm gonna puke. It's as though--|Aż rzygać się chce. Jakby...
Shh. Hear that?|Tśś. Słyszałeś?
Noise from below.|Jakiś hałas... Z dołu.
Ah, finally.|Wreszcie.
Lumberjack|Drwal
Brokvar Shieldmaiden|Tarczowniczka klanu Brokvar
Bandit|Bandyta
Farewell.|Bywaj.
Farewell.|Bywaj.
What're you offering?|Pokaż mi swoje towary.
I'd like to look at your choice of swords.|Pozwól, że rzucę okiem na twoje miecze.
Greetings, stranger.|Witaj, nieznajomy.
You earned this.|Zasłużyłeś na to.
Didn't I, now? Though truth be told, I'd rather 'ave beat a bugger like Blueboy Lugos. But fuck it - a win's a win. Thanks, mate.|Wiem. Chociaż wolałbym wygrać z takim na przykład Lugosem Sinym. Ale chuj tam, wygrana to wygrana. Dzięki, druhu.
Gonna take on Nilfgaard now?|Ruszasz na Nilfgaard?
What now? Call up the crews, hit Nilfgaard?|To co teraz? Ruszacie na Nilfgaard?
We go back to the Black Ones now. Come out of the sea at them, we'll grind them to dust. Any who remain'll limp fast as they can back to their bloody south.|Jesli teraz uderzymy w Czarnych od morza, rozbijemy ich w pył, a niedobitki w podskokach wrócą na to swoje zasrane południe.
Farewell.|Bywaj.
Take care, Hjalmar.|Bywaj.
Farewell.|Bywaj.
Oughta be proud of her.|Powinieneś być z niej dumny.
Not even a little proud of her? Come on, admit it.|Przyznaj, nie jesteś z niej ani trochę dumny?
A bit, aye, She is the blood of me blood, bone of me bone. But don't tell her I said so. Liable to puff out her chest - which'd do her good, now I think of it.|Tak trochę, to jestem. W końcu to krew z mojej krwi. Ale nie mów jej tego, bo jeszcze zacznie zadzierać nosa.
We showed Lugos - that's most important. D'you see that rage grip 'im? I thought he'd burst!|Najważniejsze, że pokazaliśmy Lugosowi. Widziałeś, jak się wściekł?
Yeah. Surprised to see him in that much of a huff, actually.|Widziałem. To dla niego aż taka zniewaga?
Our clans've been buttin' heads, chests, bellies forever. It's the lay o' the land.|Nasze klany kłócą się od zawsze, taka już kolej rzeczy.
You all right?|Jak nastrój?
So so… Any way you cut it, I was bested by a wench.|Taki sobie... W końcu baba mnie pokonała...
Not just any wench.|Ale nie byle jaka.
Aye, true. Suppose if it had to be so, I'm glad it was Cerys.|Ano, racja. Jak już jakaś musiała mnie pokonać, to rzeczywiście wolę, żeby to była Cerys.
We must find the traitors quickly. Elsewise the warriors will take matters into their own hands. Castle's abuzz already.|Jeśli szybko nie znajdziemy winnego, wojownicy wezmą sprawy w swoje ręce. W zamku już huczy...
Think they'd attack Crach openly?|Myślisz, że otwarcie zaatakują Cracha?
My father or each other. All in the finest Skellige tradition. Haven't had a good civil war in ages.|Albo siebie nawzajem. Według najlepszych tradycji Skellige. Dawno nie było porządnej wojny domowej.
C'mon already.|Chodź już.
Heymaey Shieldmaiden|Tarczowniczka klanu Heymaey
Why're you even interested? Djinns are dangerous sometimes, and malicious all the time.|Czemu się właściwie tym interesujesz? Dżinny bywają niebezpieczne. I zawsze są złośliwe.
I remember. But the advantages outweigh the risks. If I can tame a djinn, I shall gain incredible power. And that could be useful to us one of these days.|Pamiętam... Ale gra jest warta świeczki. Jeśli go okiełznam, zdobędę potężną moc. A ta w którymś momencie może nam się przydać...
Why are you even interested?|Dlaczego się nim interesujesz?
You sure this mage actually had a djinn?|Skąd wiesz, że ten czarodziej w ogóle miał jakiegoś dżinna?
His books strongly suggest he did. He describes taming one, harnessing energy from its power.|Tak wynikało z jego ksiąg. Opisywał, w jaki sposób go spętał i czerpał energię z jego mocy.
Know for a fact this mage had a djinn?|Skąd wiesz, że czarodziej miał dżinna?
Know where to look?|Wiesz, gdzie trzeba szukać?
Know where to look - for the mage and the djinn?|Wiesz, gdzie ich szukać? Czarodzieja i dżinna?
The locals say they last saw Amos' ship off the coast of Hindarsfjall. Just before a once-in-an-eon storm broke.|Ludzie mówią, że ostatni raz widzieli statek Amosa u wybrzeży Hindarsfjall. A potem rozpętała się burza stulecia.
Doubt we'll find them, then. Mage is probably fish food, and the djinn escaped.|No to już raczej ich nie znajdziemy. Czarodziej jest karmą dla ryb, a dżinn uciekł.
Not necessarily. But even if it is so, I'll not give up without seeing some evidence. Will you help me?|Niekoniecznie. A nawet jeśli to prawda, muszę się przekonać na własne oczy. Pomożesz mi?
Since you put it that way… fine, I'll help you.|Skoro tak stawiasz sprawę... Dobrze, pomogę ci.
Thank you. A boat awaits in the harbor. Come.|Dzięki. Na przystani czeka łódź. Chodźmy.
Fine. I'll help you.|Pomogę ci.
I'm gonna follow some other leads. Something to finally put us on Ciri's trail - that's what we need.|Ja jadę sprawdzić inne tropy. Może coś wreszcie zaprowadzi nas do Ciri.
Good luck.|Powodzenia.
I'm going to see the baron. Collect Uma from him, then ride for Kaer Morhen.|Ja jadę do Barona. Wezmę od niego Umę i ruszam do Kaer Morhen.
I shall join you as soon as I can.|Dołączę, jak tylko będę mogła.
Sorry, Yen. If you wanna go djinn hunting, I'm afraid you're on your own.|Przykro mi, Yen. Jeśli chcesz się bawić w szukanie dżinna, musisz to zrobić na własną rękę.
The most I can hope to accomplish on my own are a few chats with angry Skelligers.|Na własną rękę to mogę sobie najwyżej uciąć pogawędkę ze Skelligijczykami.
If that's how you wish to be, I shall travel to Vizima. Emperor must be wondering what progress we've made…|W takim razie jadę do Wyzimy. Cesarz na pewno jest ciekaw postępów...
Do what you gotta do.|Skoro musisz.
Not about to help you with this.|Nie pomogę ci.
I've no gold to offer in reward… but I shall be ever so grateful.|Nie zaoferuję ci nagrody w złocie, ale... Możesz liczyć na moją wdzięczność.
All right. So what exactly do you expect me to do?|No dobrze, to czego właściwie ode mnie oczekujesz?
You must help me find this djinn.|Że pomożesz mi znaleźć dżinna.
What do you want from me?|Czego ode mnie oczekujesz?
Why do you want a djinn?|Po co ci dżinn?
How do you know he had a djinn?|Skąd wiesz, że czarodziej miał dżinna?
Storm wouldn't pose a threat if he'd had a djinn. He could just utter a wish.|Gdyby miał dżinna, to nie zagroziłaby mu żadna burza. Wystarczy, że wypowiedziałby życzenie.
Perhaps he had none left. Or something unexpected happened…|Chyba że nie miał już życzeń. Albo stało się coś nieoczekiwanego...
They know what happened to him?|Wiadomo, co się z nim stało?
The locals say they last saw his ship off the coast of Hindarsfjall. Then a once-in-an-eon storm broke.|Ludzie mówią, że ostatni raz widzieli go u wybrzeży Hindarsfjall. A potem rozpętała się burza stulecia.
So he's probably fish food by now.|No to pewnie skończył jako karma dla ryb.
Not necessarily. I must learn what became of him.|Niekoniecznie. Muszę się dowiedzieć, co się z nim stało.
Why? D'you know him?|Po co? Znałaś go?
No. It's not the mage who interests me - it's his djinn.|Nie. Ale to nie on mnie interesuje, tylko jego dżinn.
What happened to him?|Co się z nim stało?
Always did know how to win friends.|Zawsze potrafiłaś zjednywać sobie ludzi...
I was provoked.|Sprowokowali mnie.
Mhm, saw it happen. Wanted to talk to me about something?|Tak, widziałem. Miałaś do mnie jakąś sprawę.
Amos var Ypsis, a specialist on djinns - heard of him? I found a tome he'd penned in the emperor's library. Var Ypsis set off for Skellige one day and was never heard from again.|W cesarskiej bibliotece znalazłam księgę Amosa var Ypsisa, specjalisty od dżinnów. Któregoś dnia wypłynął na Skellige i słuch po nim zaginął.
I asked some of the local folk. Some here still remember him.|Wcześniej popytałam tu trochę o niego. Niektórzy ciągle go pamiętają.
Arike… Storm's comin', take the wash down.|Arike, pranie trzeba zdjąć, bo burza idzie.
I can see that. Might be old, but I'm not blind yet…|Widzę przecież. Może jestem stara, ale jeszcze nie oślepłam.
Hey, now… what's this about bein' 'old'…?|Oj tam, od razu stara...
It's a fact, I'm old. As are you. Come sit with me…|Stara, stara. I ty też jesteś stary. Chodź, usiądź tu ze mną.
And the storm?|A burza?
We've time.|Mamy czas.
So what can I cut for ye, Joris? Ye want loin? Maybe some shoulder?|No i co ci wykroić, Joris? Polędwicy? Karkówki?
Nothin', rather… Seems to me this meat's got worms.|Chyba nic... Mnie się zdaje, że w tym mięsie są wągry.
Worms! Worms on your brain, them's the only worms here! Don't like me meat, go chew some grass.|Wągry! Wągry to ty masz na gębie! Nie chcesz mojego mięsa, to trawę żryj!
Not interested.|Nie jestem zainteresowany.
Not interested.|Nie jestem zainteresowany.
They all say that. At first.|Każdy tak mówi. Na początku.
"Well, this time there'll be no ""second."""|Cóż, tym razem ciągu dalszego nie będzie.
Hm, you're as lovely as…|Hm, jesteś piękna jak...
As what? As what?|Jak co? Jak co?
As rotten meat. And you're a monster. And I kill monsters.|Jak gnijące mięso. Czyli wcale. Do tego jesteś potworem, a ja zabijam potwory.
You're as beautiful as…|Jesteś piękna jak...
Oh, a sweetheart! Fresh and scrumptious!|O, kochaś! Nowy, pyszny!
Tell me a rhyme. Then you'll get a prize. Or a beating.|Powiedz wierszyk. To będzie nagroda. Albo lanie.
Heard you're a man with troubles…|Z tego co słyszę, masz jakiś problem...
Something troubling you?|Masz jakiś problem?
I'm sorry… Farewell.|Przykro mi... Bywaj.
Farewell.|Bywaj.
Sorry. Farewell.|Przykro mi. Bywaj.
Farewell.|Bywaj.
Heard you're having trouble with a curse?|Ponoć masz jakiś problem z klątwą?
Hear you're having trouble with a curse?|Ponoć masz jakiś problem z klątwą?
Aye, I am. Look, see it lyin' there, the horse head on the pole? That's--|Ano, mam. Patrz. Widzisz ten koński łeb na żerdzi, co tam leży? To...
A Nithing. Kind of curse. Seen this before. They're nothing to scoff at - can bring misfortune, even death.|Nithing, rodzaj uroku. Widziałem już takie. Przynoszą nieszczęście, czasem nawet śmierć.
Aye! And the name carved upon it is Tjalve, my first-born. Boy's feverish, grows weaker by the day. I fear I'll bury 'im before the next moon. Tried to lift the curse myself but… no luck.|Tak... Wyryto na nim imię mojego pierworodnego, Tjalve. Gorączkuje, z dnia na dzień słabnie. Boję się, że nim księżyc minie, przyjdzie mi go grzebać. Sam próbowałem odczynić klątwę... Bez skutku.
I can help you.|Mogę ci pomóc.
I can help you - one of two ways.|Mogę ci pomóc. Na dwa sposoby.
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.
But… I don't trouble no one. Don't know a soul who'd wish it upon me.|Ale... Ja nikomu nie wadzę. Nie znam nikogo, kto by mi źle życzył.
Mhm. Guess I gotta investigate…|Mhm. A więc śledztwo...
I can help you.|Mogę ci pomóc.
Mind if I interrupt?|Mogę cię na chwilę oderwać od modlitw?
Nay. My prayers're in vain anyways…|Możesz. I tak nic nie dają...
Heard Cerys dropped in for a visit…|Słyszałam, że Cerys cię odwiedziła...
Aye, 'tis an honor to host an Craite's daughter.|Ano, zaszczyt córkę an Craite gościć.
She come for a reason? Or just to visit?|I tak po nic przyjechała? W odwiedziny po prostu?
I dunno. Must have a matter to tend to…|A bo ja wiem? Pewnie tu sprawę jakąś ma...
Mean you didn't ask her?|I co? I nic nie wypytałeś?
Eeee, I'm not one to pull folk by their tongue. If they don't wanna talk, they shouldn't…|Eee, ja tam nie lubię z ludzi wyciągać, jak nie chcą powiedzieć...
Ah, Yorg, you're useless…|A idź, Yorgu, żadnego z ciebie pożytku...
Freya, have mercy… Who'll I leave my home to if Tjalve dies? Who'll continue my line?|Freyjo, zlituj się... Komu ja dom ostawię, jak Tjalve umrze? Kto ród przedłuży?
Ye hear a dragon's made its nest beyond the village?|Słyszałeś, że gdzieś pod wsią smok się zalągł?
A dragon? Beh. The drivel of old wenches.|Smok? E, tam. Bajanie starych bab.
So who killed Askel and Nilas? Will ye say it was the old wenches, too?|To kto zabił Askela i Nilasa? Też stare baby?
What're ye sayin'?! I saw 'em at market no more'n a week past…|Co ty mówisz? Jeszcze tydzień temu widziałem ich na targu…
Wouldn't recognize 'em if ye saw 'em now - not after what the dragon did.|A teraz nawet byś ciał nie poznał. Tak ich smok urządził.
Send us good health.|Zdrowie nam ześlij.
And plenty o' fish to fill our nets.|I spraw, żebyśmy z połowu wrócili z pełnymi sieciami.
And a sea monster to swallow that whoreson Ornolf.|I żeby tego skurwysyna, Ornolfa, jakiś morski potwór zeżarł.
Ye deaf? Pour the mead.|Polej miodu. No, głuchy jesteś?
You've had enough. Go home.|Ty już dość wypiłeś. Wracaj do domu.
Who the fuck're you to tell me what to do, eh? Jarls make you king when I went out to piss?!|A kto ty, kurwa, jesteś, żeby mi mówić, co mam robić, hę? Jarlowie na króla cię wybrali?!
I don't rule the isles, but I do rule this tavern. So calm down or I'll toss ye out mug first.|Nie władam wyspami. Ale tą tawerną już tak. Więc się uspokoisz albo wylecisz na zbity pysk.
Help! Over here!|Pomocy! Tutaj!
Watch out! They're attackin'!|Uważaj! Atakują!
Nilfgaardian Soldier|Nilfgaardzki żołnierz
Someone oughta sail after her, stop this foolishness…|Ktoś powinien za nią popłynąć i ją powstrzymać...
She's back already. What's more, she was successful.|Cerys już wróciła. Powiodło jej się.
Oh…|Och...
She's always liked competin' with me. I've always won in the end so far, though.|Zawsze lubiła się ze mną ścigać. Ale dotąd to zawsze ja wygrywałem.
Well, time I was on me way. So long, Geralt. And thanks for your help.|No, czas mi w drogę. Bywaj, Geralt. Dziękuję za pomoc.
So long, an Craite.|Bywaj, an Craite.
Set out to help Udalryk. Don't think she can do it?|Chciała pomóc Udalrykowi. Nie wierzysz, że jej się uda?
Oh, gods, Cerys…|O, bogowie, Cerys...
Uh, witcher - you wouldn't happen to be headin' to Spikeroog by chance?|Wiedźminie? A ty nie wybierasz się przypadkiem na Spikeroog?
She sailed off to Spikeroog. Alone.|Popłynęła na Spikeroog. Sama.
Alone? What on earth was she thinking?|Sama? Co ona sobie w ogóle myślała?
She sailed off for Spikeroog.|Popłynęła na Spikeroog.
Surprised everyone.|Wszyscy byli zaskoczeni.
Surprised everyone.|Wszyscy byli zaskoczeni.
And da? Did he support her? Let her set off on some mad expedition?|A ojciec? Poparł ją? Pozwolił jej wyruszyć na jakąś szaloną wyprawę?
Wasn't pleased. Especially since Cerys didn't mention it to him beforehand.|Nie był zachwycony. Zwłaszcza że Cerys nic mu wcześniej nie powiedziała.
Nor to me.|Mnie też nie.
Aye, after all, I'm to be crowned. I killed the giant, won back Undvik… and lost my entire crew.|Tak, w końcu mam zostać królem. Zabiłem giganta, odbiłem Undvik... i straciłem całą drużynę.
Who else has put forth a claim? Blueboy Lugos, surely, and Otrygg, Svanrige…|Kto jeszcze zgłosił swoją kandydaturę? Pewnie Lugos Siny, Otrygg, Svanrige...
And Cerys.|I Cerys.
Cerys? Me sis? But she's…|Cerys? Moja siostra? Ale ona przecież...
Farewell, an Craite.|Bywaj, an Craite.
Thanks for your help, witcher. I've a distinct sensation, won't say where, that we'll meet again.|Dzięki za pomoc, wiedźminie. Wiesz co? Mam przeczucie, że jeszcze się spotkamy.
Farewell.|Bywaj.
Think everyone'll see it that way?|Myślisz, że wszyscy tak to ocenią?
Think everyone'll see it that way?|Myślisz, że wszyscy tak to ocenią?
I'm prepared to take responsibility for their deaths. I was in charge of the expedition.|Jestem gotowy wziąć na siebie odpowiedzialność za ich śmierć. To ja zorganizowałem tę wyprawę.
And they all believed in me, laid their trust in me.|A oni we mnie uwierzyli.
Aye. Need to make it known, tell all how bravely my boys fought. Make their families proud.|Tak. Muszę opowiedzieć wszystkim, jak dzielnie walczyli moi druhowie. Ich rodziny będą dumne.
A great many true warriors perished, but victory was ours. The folk of Undvik can go home.|Zginęło wielu dobrych wojowników, ale odnieśliśmy zwycięstwo. Ludzie z Undvik mogą wrócić do domu.
Gonna head back to Ard Skellig?|Wracasz na Ard Skellig?
Gonna head back to Ard Skellig?|Wracasz na Ard Skellig?
Aye, after all, I'm to be crowned. I killed the giant, won back Undvik… and lost my entire crew.|Tak, w końcu mam zostać królem. Zabiłem giganta, odbiłem Undvik... i straciłem całą drużynę.
Mayhaps should've set out alone - like Cerys.|Może powinienem wyruszyć sam, jak Cerys.
Regret ever setting out on this expedition?|Żałujesz, że zdecydowałeś się na tę wyprawę?
What's that matter now? Giant's dead. And the folk of Undvik can go home.|Teraz to nie ma znaczenia. Gigant nie żyje. Ludzie z Undvik mogą wrócić do domu.
Regret ever setting out?|Żałujesz, że zdecydowałeś się na tę wyprawę?
Everyone'll call it a great victory.|Wszyscy powiedzą, że to wielkie zwycięstwo.
Islanders will see it as a great victory.|Wszyscy na wyspach powiedzą, że to wielkie zwycięstwo.
Cause Skellige is the victor, whereas I've lost me friends. I've them to thank for makin' me a leader. They believed in me.|Skellige zwyciężyło, ale ja straciłem przyjaciół. A to dzięki nim stałem się dowódcą. Oni we mnie wierzyli.
And Cerys… she back yet?|A czy Cerys... wróciła już?
Yes and she did what she set out to do on Spikeroog.|Tak. Powiodło jej się na Spikeroog.
She's always liked competin' with me.|Zawsze lubiła się ze mną ścigać.
Except so far I've always won.|Ale dotąd to ja wygrywałem.
Well, time I was on my way. So long, Geralt. Thanks for your help.|No, czas mi w drogę. Bywaj, Geralt. Dziękuję za pomoc.
So long, an Craite.|Bywaj, an Craite.
Hadn't returned when I left Ard Skellig.|Kiedy wypływałem z Ard Skellig, jeszcze jej nie było.
Went to Spikeroog, you say… Venture she aims to face whatever's slowly killin' Udalryk.|Popłynęła na Spikeroog... Zmierzyć się z tym, co powoli zabija Udalryka.
Some say Udalryk's the gods' chosen one.|Niektórzy mówią, że Udalryk jest wybrańcem bogów.
They also say the gods are merciful. Witcher, uh, I'm sure Cerys would be glad to see me, but…|Mówią też, że bogowie są miłosierni. Wiedźminie? Cerys na pewno nie ucieszyłaby się na mój widok, ale...
You wouldn't happen to be headin' to Spikeroog?|Czy ty nie wybierasz się przypadkiem na Spikeroog?
Don't know yet.|Jeszcze nie wiem.
Your father asked me to, but… what if I help her, and she wins, and they crown her queen of Skellige?|Twój ojciec mnie o to prosił, ale... co jeśli dzięki mnie Cerys zwycięży i zostanie królową Skellige?
Hahah! Hahaha! You helped me, too. Let's call it evenin' the odds, and leave the rest for the gods to decide.|Przecież mnie też pomogłeś. Nazwijmy to wyrównaniem szans. A o reszcie niech zdecydują bogowie.
Thought you didn't fully trust them.|Miałem wrażenie, że nie do końca im ufasz.
Willin' to give them one last chance. So long, witcher.|Dam im jeszcze jedną szansę. Bywaj, wiedźminie.
Mm. So long, an Craite.|Bywaj, an Craite.
Don't know yet.|Jeszcze nie wiem.
Probably not.|Raczej nie.
Probably? So you may still change your mind? If you happen to be sailin' that way, perhaps you'd…|Ale może jeszcze zmienisz zdanie? Jakbyś przypadkiem przepływał tamtędy... I gdybyś...
Of course.|Rozumiem.
No.|Nie.
Yes.|Tak.
Yeah, I planned to go there.|Wybieram się.
Good.|To dobrze.
Thanks, Geralt.|Dzięki, Geralt.
I hope we meet again.|Mam nadzieję, że jeszcze się spotkamy.
Farewell, an Craite.|Bywaj, an Craite.
What about your family?|Co z twoją rodziną?
You should stay, see to Astrid, your mum…|Powinieneś zostać, sprawdzić co z Astrid, twoją mamą.
Afterwards… Once I'm sure you'll make it. Let's go!|Potem... Jak zobaczę, że dotarłaś na miejsce. Chodź!
I don't know how to thank you…|Nie wiem, jak ci dziękować...
You can thank me once we get there safe… Let's ride!|Podziękujesz, jak dotrzemy na miejsce. Chodź!
Thanks, Skjall.|Dziękuję, Skjall.
What… What was that?!|Co to było?!
The Wild Hunt.|Dziki Gon.
Ragh nar Roog… The world's end…|Ragh nar Roog... Koniec świata!
No… Not yet… But I must go. They're here for me.|Nie... Jeszcze nie... Ale muszę uciekać. Oni mnie szukają.
Get on the horse. I'll show you the way to the Rock.|Wskakuj na konia. Pokażę ci drogę do Skały.
Greetings. Impressive tavern.|Witaj. Ładna gospoda...
Tavern?! 'T'ain't no tavern! 'Tis the House of Warriors!|Gospoda?! To żadna gospoda, tylko Dom Wojowników!
Mhm. So what do folk do in the House of Warriors? Fight?|Mhm. To co się robi w Domu Wojowników? Walczy?
Atimes one'll take the other and give 'im a good slappin', aye. But mostly folk come 'ere to drink, eat, warm their bones by the fire, chatter a bit, maybe listen to a skald bay to the moon.|Czasem ktoś komuś po mordzie przyleje, tak. Ale ludzie raczej przychodzą się tu napić, zjeść, przy ogniu ogrzać, pogadać czy posłuchać skaldów.
About what folk do at a tavern.|Całkiem jak w gospodzie.
*Sighs* Argh, ye Continentals don't understand a thing. Ye need some of our mead - brewed wisdom, it is!|Ech, wy z Kontynentu nic nie rozumiecie. Napij się naszego miodu, to może zmądrzejesz!
Yearning to play a few rounds of gwent. That oughta set me straight.|Mam ochotę na partyjkę gwinta. Tego mi trzeba.
Really like to play gwent.|Mam ochotę na partyjkę w gwinta.
Farewell.|Bywaj.
Farewell.|Bywaj.
Lemme see what you got on offer.|Pokaż, co mogę kupić.
What're you peddling? Lemme have a look.|Pokaż, co tam masz na sprzedaż.
Yeah? What can I get ye?|Ta? Co podać?
Won't get away this time...|Tym razem mi nie uciekniesz...
What're you doing here, then?|To co wy tu robicie?
Why're you here, then? Don't look like warriors to me. More like shepherds.|To co wy tu robicie? Na wojów mi nie wyglądacie. Prędzej na pastuchów.
Every Skelliger's a warrior. Even him born in a sheep shack.|Na Skellige każdy rodzi się wojem. Choćby przyszedł na świat w szałasie.
But we don't expect you to understand. Every man's a thrall on the Continent, cringin' afore his master like a mongrel whinin' for scraps 'neath the table.|Ale ty tego nie rozumiesz. Na kontynencie każdy jest czyimś thrallem, do kogoś się łasi. Jak pies, co pod stołem o resztki skomle.
Didn't need any help.|Nie potrzebowałem pomocy.
Didn't need any help.|Nie potrzebowałem pomocy.
Anyone with half an eye and an ounce o' sense could see that. Was savin' them, not you.|To widać... Jak się ma dobre oko i trochę rozsądku. Nie ciebie ratowałem, tylko ich.
Geralt of Rivia. Witcher.|Geralt z Rivii. Wiedźmin.
