en_text|pl_text|bielik_prompt7_translation
A little, aye… but fuck it! Witcher gets rid o' the wraith, he'll deserve a premium from the earnin's, he will!|No, może trochę... A chuj tam! Jak wiedźmin sobie z upiorem poradzi, to i premii będzie godzien!|Trochę, tak... ale pieprzyć to! Wiedźmin pozbywa się upiora, zasłuży na premię od zarobków, zasłuży!
Northern part of the isle, near the whale cemetery. Don't ask me how it got there - long story. At any rate, don't need to worry about the thieves. They won't steal ever again.|Na północy wyspy, przy cmentarzysku wielorybów. Nie pytaj, skąd się tam wziął... To długa historia. W każdym razie nie musisz się martwić o złodziei. Nic już nigdy nie ukradną.|Północna część wyspy, niedaleko cmentarzyska wielorybów. Nie pytaj mnie, jak się tam znalazło - długa historia. W każdym razie nie musisz martwić się o złodziei. Nigdy więcej nie ukradną.
Thanks. I can use it.|Dziękuję, przyda się.|Dziękuję. Mogę to użyć.
Naturally I'd rather be standin' where he is now, but… my brother's strong, and he's got charisma. I believe folk'll follow him.|Oczywiście, że wolałabym być teraz na jego miejscu, ale mój brat jest silny i ma charyzmę. Wierzę, że ludzie za nim pójdą.|Oczywiście wolałbym być tam, gdzie on teraz jest, ale... mój brat jest silny i ma charyzmę. Wierzę, że ludzie pójdą za nim.
Twere like this. Could hear the Black Ones' ship from afar…|To było tak. Z daleka słyszeliśmy, że Czarni płyną...|Było tak. Słyszałem statek Czarnych z daleka...
Squid choke this life. Five times I went out. Came back with more seaweed than fish each time.|Pięć razy wypływałem na morze... I więcej mam w sieciach wodorostów niż ryb.|Ośmiornica zadławiła to życie. Pięć razy wyszedłem. Za każdym razem wróciłem z większą ilością wodorostów niż ryb.
So… See, thing is… Somethin's off, of late. I'm not on form. Havin' trouble with… ye know, uh…|Bo... Chodzi o to, że... Z kondycją jakoś nie bardzo. Nie idzie mi... No ten, tego.|Więc... Widzisz, rzecz w tym... Coś jest nie tak ostatnio. Nie jestem w formie. Mam kłopoty z... no wiesz, eh...
All those deaths, disappearances… 'Tis no accident, but a warnin'. And might well be our last.|Te wszystkie śmierci, zniknięcia... To nie przypadek, tylko ostrzeżenie. Może być, że ostatnie.|Wszystkie te śmierci, zaginięcia... To nie jest przypadek, ale ostrzeżenie. I może być naszym ostatnim.
Sky cells - nice idea for a prison without bars. Shame he didn't know how to fly.|Podniebna cela... Niezły pomysł na więzienie bez krat. Szkoda, że ten tutaj nie potrafił latać.|Komórki nieba - dobry pomysł na więzienie bez krat. Szkoda, że nie wiedział jak latać.
Svalblod. Dammit…|Svalblod. Cholera...|Renifer. Cholera...
Where's Yennefer?|To gdzie właściwie jest Yennefer?|Gdzie jest Yennefer?
Which way did the riders go?|Gdzie pojechali jeźdźcy?|W którą stronę pojechali jeźdźcy?
Never jest about my da. Never!|Nigdy nie żartuj z mojego ojca. Nigdy.|Nigdy nie chodzi o mojego psa. Nigdy!
Ye, uh, heard right. Try your luck if ye like.|Dobrze słyszałeś. Jeżeli chcesz, możesz się popróbować.|Tak, eh, usłyszałem poprawnie. Spróbuj swojego szczęścia, jeśli chcesz.
Where'd all those wraiths come from? Last saw something like this near Vergen when--|Skąd się tu wzięły te wszystkie upiory? Ostatni raz widziałem coś takiego pod Vergen, jak...|Skąd się wzięły te wszystkie zjawy? Ostatnio widziałem coś takiego w pobliżu Vergen, kiedy...
Black Ones ready yourselves! We're comin' for yous!|Niech się Czarni szykują! Idziemy na nich!|Czarnuchy gotowi? Nadchodzimy po was!
We're looking for Ciri.|Szukamy Ciri.|Szukamy Ciri.
You're daft! Even grown-ups fear 'im!|Coś ty! Nawet dorośli się go boją!|Jesteś głupi! Nawet dorośli boją się go!
If you've been named champion of Velen already, try your luck in Novigrad.|A jeśli zdobyłeś już tytuł mistrza w Velen, możesz spróbować szczęścia w Novigradzie.|Jeśli zostałeś już mistrzem Velen, spróbuj swojego szczęścia w Novigradzie.
You'd kill a child out of jealousy?|Zabijesz dziecko z zazdrości?|Zabiłbyś dziecko z zazdrości?
Umm… To listen, learn and listen again. Then we'll see.|Uhh... Słuchać, uczyć się i jeszcze raz słuchać. A potem zobaczymy.|Słuchaj, ucz się i słuchaj ponownie. Potem zobaczymy.
Just had to stop by that damned tavern…|Zachciało mi się pójść do tawerny...|Musiałem zatrzymać się w tej przeklętej karczmie...
Aye, and now you're the Jailrat of Arinbjorn. You don't scare me.|A teraz jesteś Więźniem z Arinbjorn. Nie próbuj mnie nastraszyć.|Tak, a teraz jesteś strażnikiem więziennym Arinbjorna. Nie straszysz mnie.
Let's meet in Larvik, at the warriors' hall. We'll speak there.|Spotkajmy się w Larvik, w halli wojowników. Tam porozmawiamy.|Spotkajmy się w Larviku, w sali wojowników. Tam porozmawiamy.
This it?|To chyba to?|Czy to to?
A day like today - 'tis a rare thing.|Taki dzień, jak dziś, nie zdarza się często.|Dzień jak dzisiaj to rzecz rzadka.
The hym's a demon, and demons are notoriously hard to fool. Plus, the trickster can't know it's a trick.|Him to demon, a te bardzo trudno podejść. Do tego oszukujący nie może wiedzieć, że oszukuje.|Hymn jest demonem, a demony są notorycznie trudne do oszukania. Dodatkowo, oszust nie może wiedzieć, że to oszustwo.
Stead o' dyin' in battle, as befits a warrior of his ilk!|A nie w boju, jak przystało na takiego wojownika!|Lepiej umrzeć w bitwie, jak przystało na wojownika jego pokroju!
One day I'll show you how I drink.|Kiedyś pokażę ci, jak piję.|Pewnego dnia pokażę ci, jak piję.
Fine. See you.|Dobrze. Do zobaczenia.|Dobrze. Do widzenia.
No one mourns here. Tears we replace with vengeance. The women of Skellige are fertile, and we birth no cowards.|Nikt tu nie lamentuje, bo od płaczu lepsza jest zemsta. Kobiety na Skellige są płodne i nie rodzą tchórzy.|Nikt tu nie rozpacza. Łzy zamieniamy na zemstę. Kobiety ze Skellige są płodne i rodzą wojowników.
I can help you - one of two ways.|Mogę ci pomóc. Na dwa sposoby.|Mogę ci pomóc - jeden z dwóch sposobów.
This one's waited a year. That one - three.|Ten tu czeka drugi rok. Tamten trzeci.|Ten czekał rok. Tamten - trzy.
I was hoping we could go together.|Miałem nadzieję, że wyruszymy razem.|Miałem nadzieję, że moglibyśmy pójść razem.
Storm wouldn't pose a threat if he'd had a djinn. He could just utter a wish.|Gdyby miał dżinna, to nie zagroziłaby mu żadna burza. Wystarczy, że wypowiedziałby życzenie.|Burza nie stanowiłaby zagrożenia, gdyby miał dżina. Mógłby po prostu wypowiedzieć życzenie.
Yen, not so fast. Gotta tell me what this is about first. Why do you want this djinn?|Nie tak szybko. Najpierw mi wyjaśnisz, o co tu naprawdę chodzi. Po co ci ten dżinn?|Nie tak szybko. Musisz powiedzieć mi, o co chodzi. Dlaczego chcesz tego dżina?
Hang on, I'll stand on me toes… Might see somethin' then.|Czekaj, stanę na palcach... Może wtedy coś dojrzę...|Poczekaj, stanę na palcach... Może coś zobaczę.
Did you see Nils die?|Widziałaś, jak zginął Nils?|Czy widziałeś jak Nils umarł?
And plenty o' fish to fill our nets.|I spraw, żebyśmy z połowu wrócili z pełnymi sieciami.|I dużo ryb, by wypełnić nasze sieci.
When the Hunt had you… hope they didn't hurt you.|Kiedy byłaś w Gonie... Mam nadzieję, że nie zrobili ci krzywdy.|Kiedy Łowy miały cię... mam nadzieję, że cię nie skrzywdziły.
Lookin' for somethin' specific?|Chcesz coś kupić?|Szukasz czegoś konkretnego?
This celandine should help you. Won't mend your leg, but it will make it hurt less.|Jaskółcze ziele powinno ci pomóc. Noga ci się od tego nie zrośnie, ale przynajmniej będzie trochę mniej bolało.|To ziele dziurawca powinno ci pomóc. Nie naprawi twojej nogi, ale sprawi, że będzie mniej bolała.
This ain't the Continent, fashions don't change with the meltin' snows. We live like our fathers and grandfathers lived - fishin', huntin', and raidin'… And so shall we live, to Ragh nar Roog and beyond.|To nie kontynent, gdzie co rok to inna moda. Żyjemy dokładnie tak, jak nasi ojcowie i dziadowie – łowimy ryby, polujemy, pływamy na rajdy... I tak będzie aż po Ragh nar Roog.|To nie jest Kontynent, mody nie zmieniają się z topniejącym śniegiem. Żyjemy tak jak nasi ojcowie i dziadowie - łowimy ryby, polujemy i rabujemy... I tak będziemy żyć, ku chwale Ragh nar Roog i dalej.
Bravo. Come to the deck, I've an idea.|Brawo. Chodź na główny pokład, mam pomysł.|Brawo. Chodź na pokład, mam pomysł.
No reason to delay.|Nie ma co zwlekać.|Nie ma powodu do zwlekania.
A disgrace… The kind we've not seen since the Red Funeral!|Hańba... Nie było czegoś takiego od czasu Krwawego Pogrzebu!|Hańba... Taka, jakiej nie widzieliśmy od Czerwonego Pogrzebu!
That's everything.|To wszystko.|To już wszystko.
Don't make me hurt you. Got enough trouble as it is.|Nie zmuszajcie mnie, żebym wam zrobił krzywdę. Już mi starczy kłopotów.|Nie rób mi krzywdy. Mam już wystarczająco dużo kłopotów.
What harm was my vow to you anyway?!|Co ci przeszkadzały moje śluby?!|Co ci zrobiło moje ślubowanie?!
Fear not, Jarl, we'll tend to everything. You should rest in the interim.|Nie obawiaj się, jarlu, wszystkim się zajmiemy. Tymczasem odpocznij.|Nie bój się, Jarle, zajmiemy się wszystkim. Odpocznij tymczasem.
Who dares join Bald Sigge and Aegir Fishbreath in the Heroes' Pursuit?|Który zuchwalec dołączy do Łysego Siggego i Aegira Rybaka w Wyścigach Śmiałków?|Kto odważy się dołączyć do Boldiego Siksy i Aegira Rybobrodego w Pościgu Bohaterów?
I'd never let your babe be hurt. You know that.|Nigdy bym nie dopuściła, żeby twojemu dziecku stała się krzywda.|Nigdy bym nie pozwolił, żeby twojej dziewczynie stała się krzywda. Wiesz o tym.
I paid Leif on your behalf. That puts you in my debt, a debt of pride. You ought to do as I say. So, listen carefully.|Zadośćuczyniłem Leifowi w twoim imieniu. To znaczy, masz u mnie dług dumy i musisz zrobić, co rozkażę. Więc słuchaj uważnie.|Zapłaciłem Leifowi za ciebie. To stawia cię w moim długu, długu z dumy. Powinieneś robić tak, jak mówię. Więc słuchaj uważnie.
Yeah, let's go.|Tak, chodźmy.|Tak, chodźmy.
Geralt!|Geralt!|Geralt!
Well, you done it. Bravo. Be back again soon. So long.|No, udało ci się. Brawo. Za jakiś czas jestem z powrotem. Bywaj.|Dobra robota. Brawo. Wrócę niedługo. Do widzenia.
Ugh.|Ech.|Ech.
Hmm, what'd that druid say? Hemlock, poppy, nightshade, and that chicky-- no, uh, henbane.|Hmm... Czekaj, czekaj, co ten druid mówił... Szalej, mak, pokrzyk, i ten, no, yy... Lulek.|Hmm, co powiedział ten druid? Ciemiernik, mak, pokrzyk i ta roślina - nie, eh, piołun.
I'd say it's the opposite. I saw their transformative ritual… Our Trial of the Grasses - pure pleasure by comparison.|Raczej na odwrót. Widziałem rytuał przemiany... Próby Traw to przy tym przyjemność.|Powiedziałbym, że jest odwrotnie. Widziałem ich rytuał transformacji... Nasza Próba Traw - czysta przyjemność w porównaniu.
Men from Faroe attacked this ship.|Ten drakkar zaatakowali ludzie z Faroe.|Mężczyźni z Wysp Owczych zaatakowali ten statek.
Did it already. Here for my reward. Happened on a few drowners, true, but a water hag was the real problem. Her head get me anything?|Nie. Zapłaty. Byłem w tym leżu. Natknąłem się na parę utopców, prawda... Ale to baba wodna była większym zagrożeniem. Dostanę coś za jej łeb?|Zrobiłem to już. Oto moja nagroda. Przydarzyło się kilku topielcom, prawda, ale prawdziwym problemem była wodna wiedźma. Czy jej głowa może mi coś dać?
A hidden compartment…? Hm, maybe oughta try Arnvald's key?|Skrytka...? Zobaczmy, czy klucz Arnvalda tu pasuje...|Ukryta szuflada...? Hm, może warto spróbować klucza Arnvalda?
Ah, aye, I remember now.|A, tak, teraz sobie przypominam.|Ach tak, pamiętam teraz.
I don't know how to thank you…|Nie wiem, jak ci dziękować...|Nie wiem jak ci podziękować...
Hmm… Looked smaller from the outside.|Hmm... Z zewnątrz wieża wyglądała na mniejszą.|Tłumaczenie: Hmm... Wyglądało mniejsze z zewnątrz.
Your reward. This gold brought me no luck… May it serve you better.|Twoja nagroda. Mnie to złoto szczęścia nie przyniosło... Niech tobie posłuży.|Twoja nagroda. To złoto nie przyniosło mi szczęścia... Może tobie posłuży lepiej.
Goldfinches warble and cranes whoop, whereas peacocks screech.|Czyżyk psyka, żuraw dzwoni, a paw wrzeszczy.|Zięby ćwierkają, żurawie krzyczą, podczas gdy pawie skrzeczą.
Depends wholly on us, 'cause… Argh, I'll explain later.|To zależy tylko od nas, bo... A, wytłumaczę ci później.|Zależy całkowicie od nas, bo... Ech, wyjaśnię później.
You'd 'ave done the same for me.|Zrobiłabyś dla mnie to samo.|Ty też byś to zrobił dla mnie.
They say the Nilfgaardian fleet's en route. Matter of days.|Ponoć za kilka dni będziemy się witać z nilfgaardzką flotą.|Mówią, że flota nilfgaardzka jest w drodze. Kwestia dni.
I can use it to locate the other half. To within a dozen yards.|Mogę zlokalizować drugą część. Z dokładnością do kilkunastu metrów.|Mogę użyć go do zlokalizowania drugiej połowy. Z dokładnością do kilkunastu jardów.
You fear nothin', boy? You? You pissed your trousers when lightnin' struck the tree by our home!|Ty się niczego nie boisz? Ty? Zeszczałeś się w gacie, jak piorun uderzył w drzewo koło domu!|Niczego się nie boisz, chłopcze? Ty? Oszczałeś się ze strachu, kiedy piorun uderzył w drzewo obok naszego domu!
Nothing's ever easy with specters.|Z upiorami nigdy nie jest prosto.|Nic nigdy nie jest łatwe ze zjawami.
Look, there they are.|O, zobacz, tam są.|Popatrz, tam są.
Don't know, don't ask. Food suits me, suits me crew…|Nie wiem, nie pytam, drużynie smakuje.|Nie wiem, nie pytaj. Jedzenie mi pasuje, pasuje mojej załodze...
Oooh, not even Uroboros can do that… At best, he'd sooner take you to join her.|Ooo, tego i sam Uroboros nie potrafi... Co najwyżej ciebie prędzej do Aldis zabierze.|Ach, nawet Uroboros tego nie potrafi... Najwyżej zabierze cię, byś dołączył do niej.
Serious enough for Udalryk to break a sacred law here in Skellige - he openly questioned his father's decision.|Na tyle poważna, że Udalryk złamał święte prawo Skellige – głośno sprzeciwił się woli ojca.|Poważne wystarczająco dla Udalryka, aby złamać święte prawo tutaj w Skellige - otwarcie kwestionował decyzję swojego ojca.
What do I do to complete the Path of Warriors? Remind me.|Przypomnij mi, co trzeba zrobić, żeby zakończyć próbę na szlaku wojowników?|Co muszę zrobić, aby ukończyć Ścieżkę Wojowników? Przypomnij mi.
Farewell.|Bywaj.|Żegnaj.
When'd the gods speak to you? Right after I left?|Kiedy bogowie przemówili? Zaraz jak wypłynąłem?|Kiedy bogowie do ciebie przemówili? Zaraz po tym, jak odszedłem?
You lot gonna help me or continue preachin'?|Pomożecie mi w końcu czy będziecie dalej rozprawiać o religii?|Pomożecie mi czy będziecie dalej gadać?
Got a different notion of honor than you folk.|Inaczej rozumiem honor, niż wy.|Mam inną koncepcję honoru niż wy ludzie.
Oh, hahahah! Givin' me a true fright right now! Shat me best trousers! Put that away before you cut yourself, you cunt.|Ha, ha, ha! Aleś mnie przestraszył! Zesrałem się w spodnie! Uważaj, bo się pokaleczysz, pizdo.|Och, ha, ha, ha! Naprawdę mnie teraz wystraszyłeś! Zesrałeś się w najlepsze spodnie! Odłóż to zanim się skaleczysz, ty sukinsynu.
"Whole village laughed… ""Stupid bint Jonna, let herself be had!"" Oh no - I've not been had, nor have I forgot."|Cała wieś się śmiała... „Ale głupia ta Jona, ale się dała!”. Otóż nie, nie dała się. I nie zapomniała.|"Cała wieś się śmiała... ""Głupia dziewucha Jonna dała się nabrać!"" Och nie - nie zostałam oszukana, ani nie zapomniałam."
Three years. Three fuckin' years, pickaxe in hand.|Trzy lata. Trzy pieprzone lata z kilofem w ręku...|Trzy lata. Trzy jebane lata z kilofem w ręku.
I believe we're on the right track. Look for anything that might contain a djinn.|Chyba mamy trop. Szukaj czegoś, w czym mogli zamknąć dżinna.|Uważam, że jesteśmy na właściwej drodze. Szukaj czegokolwiek, co może zawierać dżina.
Foreigners and their fancies… Fine, show me what you want.|Obcy i ich smaki... No dobra, pokaż, o co chodzi.|Cudzoziemcy i ich zachcianki... No dobrze, pokażcie czego chcecie.
We're looking for Ciri. Ashen hair, green eyes… Have you seen her?|Szukamy Ciri. Szare włosy, zielone oczy. Co się z nią stało?|Szukamy Ciri. Popielate włosy, zielone oczy... Czy ją widziałeś?
I can't… I'm dead. They killed me.|Nie mogę... Zostałem zabity.|Nie mogę... Jestem martwy. Zabili mnie.
Didn't see any honor in what happened at Crach's castle. That was a massacre, plain and simple.|W tym, co się stało na zamku Cracha, nie ma żadnego honoru. To była zwykła rzeź.|Nie widziałem żadnego honoru w tym, co wydarzyło się w zamku Cracha. To była masakra, po prostu.
I'll see what I can do. Wanna talk to your sister, first off.|Zobaczę, co da się zrobić. Na początek chcę porozmawiać z twoją siostrą.|Zobaczę, co mogę zrobić. Chcesz najpierw porozmawiać ze swoją siostrą.
Buyin' or leavin'?|Kupujecie, czy nie?|Kupowanie czy zostawianie?
I've nothin' left in this life…|Nic mi już nie zostało...|Nic mi już nie zostało w tym życiu...
The bodies - where were they found?|Gdzie znaleziono ciała?|Ciała - gdzie zostały znalezione?
Hm, a nekker hunting alone? You rarely see that.|Hm, nekkery prawie nigdy nie polują samotnie...|Hm, a polowanie na nekkery w pojedynkę? Rzadko się to widuje.
You? Yet another an Craite lackey?|Ty? Kolejny sługa an Craite?|Ty? Jeszcze jeden lizus z Craite?
Time for your next challenge. If you don't fear fighting a champion, Olaf awaits you on An Skellig.|Czas na kolejne wyzwanie. Jeśli nie boisz się pojedynku z mistrzem, Olaf będzie czekał na ciebie na An Skellig.|Czas na twoje kolejne wyzwanie. Jeśli nie boisz się walczyć z mistrzem, Olaf czeka na ciebie na An Skellig.
Where'd you get this mask?|Skąd masz tę Maskę?|Skąd masz tę maskę?
Pretty sure you can handle this fine without me.|Widzę, że poradzicie sobie sami...|Jestem pewien, że możesz sobie z tym poradzić bez problemu beze mnie.
I returned the sword, but nothing's changed. It's not his brother's ghost that haunts him, tortures him.|To nie duch brata go prześladuje. Zwróciłem miecz i nic się nie zmieniło.|Oddałem miecz, ale nic się nie zmieniło. To nie duch jego brata go nawiedza, dręczy.
That's how ye earn respect in Skellige, Geralt. That's exactly how!|Tak się zdobywa uznanie na Skellige, Geralt. Właśnie tak!|Tak zarabiasz szacunek w Skellige, Geralt. Dokładnie tak!
But now, enough of this maudlin business. We've something to do, remember?|Ale teraz dość już tego roztkliwiania się. Mamy coś do zrobienia, pamiętasz?|Ale teraz wystarczy już tej sentymentalnej gadaniny. Mamy coś do zrobienia, pamiętasz?
Yen… you didn't have to do that.|Yen... Nie musiałaś.|Jen… nie musiałeś tego robić.
Those who venture below… remain in the garden, forever.|Ci, którzy schodzą niżej... Zostają w ogrodzie na zawsze.|Ci, którzy schodzą poniżej... pozostają w ogrodzie, na zawsze.
Bread… Sheep's milk cheese…|Chleb... Owczy ser...|Chleb... Ser z mleka owcy...
Whoever it is, they could strike again.|Ktokolwiek to jest, może uderzyć znowu.|Ktokolwiek to jest, mogą uderzyć ponownie.
Here we are, gabbin' away. Steam's gone… gotta douse the coals.|No... My tu gadu-gadu, a para ucieka. Trzeba węgle polać.|"Tłumaczenie:

No cóż, gadamy sobie. Para uciekła... musimy zgasić węgle."
The stuff of fairy tales, legends… But it seems to make sense, right?|Zawsze myślałam, że to tylko legenda... Ale zgadzałoby się, prawda?|Rzeczy z baśni, legend... Ale wydaje się, że ma to sens, prawda?
What're you offering?|Pokaż mi swoje towary.|Co masz na myśli?
Any idea where Hjalmar thought he might find the giant?|Wiesz, gdzie Hjalmar chciał szukać giganta?|Czy masz jakikolwiek pomysł, gdzie Hjalmar mógłby znaleźć olbrzyma?
Let's start.|Tak, zaczynamy.|Rozpocznijmy.
Really…?|Tak...?|Naprawdę...?
Kaer Morhen's got a pretty rich library.|Kaer Morhen też ma całkiem zasobną bibliotekę.|Kaer Morhen ma całkiem bogatą bibliotekę.
You will. Later.|Zabijesz go. Tylko później.|Ty też. Później.
But… she's one of us!|Przecież ona jest jedną z nas!|Ale... ona jest jedną z nas!
Some stranger wants on the longship. Says he's got business. But…|Jakiś obcy na drakkar chce wleźć. Mówi, że ma interes. Ale...|Jakiś obcy chce wejść na długą łódź. Mówi, że ma interesy. Ale...
So long.|Do zobaczenia.|Do widzenia.
I can get rid of Morkvarg. Don't know what he's turned into, but a silver sword should do the trick.|Mogę pozbyć się Morkvarga. Nie wiem jeszcze, w co się zmienił... Ale srebrny miecz powinien załatwić sprawę.|Mogę pozbyć się Morkvarga. Nie wiem, w co się zmienił, ale srebrny miecz powinien załatwić sprawę.
Geralt, this is Holger Blackhand. Birna, Bran's widow and our hostess today, you've already met.|Geralt, poznaj Holgera zwanego Czarną Ręką. Birnę, wdowę po Branie i naszą gospodynię już poznałeś.|Geralt, to jest Holger Czarnoręki. Birna, wdowa po Branie i nasza gospodyni dzisiaj, już się poznaliście.
An empty envelope. Hm… scent's familiar…|Pusta koperta. Ale... chyba znam skądś ten zapach...|Pusta koperta. Hm... zapach znajomy...
What happened?|Co ci się stało?|Co się stało?
Tell the guard to take you to Lugos. Tell him he does that, Simun'll forget what happened at Fyresdal.|Powiedz strażnikowi, że jak zaprowadzi cię przed Lugosa, Simun zapomni, co stało się pod Fyresdal.|Powiedz strażnikowi, żeby zabrał cię do Lugos. Powiedz mu, że tak zrobi, a Simun zapomni, co wydarzyło się w Fyresdal.
Be careful.|Trzymaj się.|Uważaj.
I love you, Yen.|Kocham cię, Yen.|Kocham cię, Yen.
Master witcher!|Mistrzu wiedźminie!|"Mistrz czarodziej!

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'Master witcher!'
Mistrz czarodziej!

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher.'
Wiedźmin.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher 3: Wild Hunt.'
Wiedźmin 3: Dziki Gon.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher Netflix series.'
Wiedźmin (serial Netflix).

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher game.'
Gra o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher books.'
Książki o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher universe.'
Uniwersum Wiedźmina.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher saga.'
Saga o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher character Geralt of Rivia.'
Postać Geralta z Rivii z uniwersum Wiedźmina.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher universe.'
Uniwersum Wiedźmina.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher Netflix series.'
Wiedźmin (serial Netflix).

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher game.'
Gra o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher books.'
Książki o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher universe.'
Uniwersum Wiedźmina.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher saga.'
Saga o Wiedźminie.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher character Geralt of Rivia.'
Postać Geralta z Rivii z uniwersum Wiedźmina.

Przetłumacz na polski i nie dodawaj żadnych dodatkowych wyjaśnień, napisz tylko samo tłumaczenie: 'The Witcher Netflix series.'"
Didn't find any of your folk inside. Just a mage and some monsters.|W środku nie było nikogo oprócz mnie, czarodzieja i kilku potworów.|Nie znalazłem żadnego z twoich ludzi wewnątrz. Tylko czarodzieja i kilka potworów.
Let it go. I just want to see what happened.|Spokojnie, chcę tylko zobaczyć, co się tu stało.|Pozwól mu odejść. Chcę zobaczyć, co się stało.
Do you plan to compliment me all evening?|Będziesz mi prawił komplementy?|Czy zamierzasz prawić mi komplementy przez cały wieczór?
Eh? What is it?|No? Czego?|Co? Co to jest?
He died in my arms… In my arms.|Na moich rękach umarł... Na moich rękach.|Umarł w moich ramionach... W moich ramionach.
Wanna look around.|Chcę się tu jeszcze rozejrzeć.|Chcesz się rozejrzeć.
Feel any better?|Lepiej się czujesz?|Czujesz się lepiej?
So long, an Craite.|Bywaj, an Craite.|Do widzenia, kochana.
If the Spirit dies, all game will leave the woods. Our men will lose their strength, and our women will be rendered barren. It will be the end of us all - that was our covenant.|Jeśli Duch umrze, odejdzie wszelka zwierzyna. Mężczyźni stracą siłę, a kobiety staną się płonne. To będzie koniec nas wszystkich – tak stoi w przymierzu.|Jeśli Duch umrze, cała gra opuści lasy. Nasi mężczyźni stracą siły, a nasze kobiety staną się bezpłodne. To będzie koniec nas wszystkich - takie było nasze przymierze.
Farewell.|Bywaj.|Żegnaj.
I doubt he'll do you any favors. Not even for old times' sake.|Wątpię, żeby udało ci się z nim dogadać. Nawet po starej znajomości.|Wątpię, czy zrobi dla ciebie jakiekolwiek przysługi. Nawet ze względu na stare czasy.
Show me what you've got, monster slayer!|Pokaż, na co cię stać, pogromco potworów!|Pokaż, co masz, zabójco potworów!
So what? Should I pound it into a poker?|I co? Mam ci go na pogrzebacz przekuć?|No to co? Mam to rozbić w pokera?
Naye. She learned I'd refused to sail to Undvik with Hjalmar.|Nie. Wydało się, że nie chciałem płynąć z Hjalmarem na Undvik.|Nie. Dowiedziała się, że odmówiłem popłynięcia do Undvik z Hjalmarem.
Thanks. Few men would be so honorable. Fare ye well.|Dzięki. Niewielu zdobyłoby się na taki gest.|Dziękuję. Niewielu mężczyzn byłoby tak honorowych. Żegnajcie.
He's dead.|Nie żyje.|On nie żyje.
I worry she might've gone to Jarl Udalryk's old family home. Though I tried to dissuade her.|Obawiam się, że mogła też pójść do starego domu jarla Udalryka. Choć próbowałem ją od tego odwieść.|Martwię się, że mogła pojechać do starego domu rodzinnego Jarla Udalryka. Chociaż próbowałem ją odwieść.
Don't know. Saw her but for a moment, right before… before it all. She was in the stables with… Craven.|Nie wiem. Widziałam ją przez chwilę, tuż przed... Przed tym wszystkim. Była w stajni z... Tchórzem.|Nie wiem. Widziałem ją przez chwilę, tuż przed... przed tym wszystkim. Była w stajni z... Cravenem.
Who'll take pity on my beleaguered soul?|Kto pochyli się nad moim nieszczęściem?|Kto okaże litość mojej oblężonej duszy?
Nay. If I'm to be honest, I was kinda countin' on Cerys findin' some lead… but she's had no luck.|Nie. Szczerze mówiąc, po cichu liczyłem, że Cerys trafi na jakiś trop... ale nic.|Nie. Jeśli mam być szczery, liczyłem trochę na to, że Cerys znajdzie jakieś ślady... ale jej się nie poszczęściło.
And nobody's gotten a glimpse of the beast? From a distance, even?|I nikomu nie udało się nawet z daleka zobaczyć potwora?|I nikt nie zobaczył bestii? Nawet z daleka?
Was I out long?|Długo byłam nieprzytomna?|Czy byłem długo poza?
Alchemy for Household Dilemmas, Vol. 3. This isn't it.|„Alchemia w rozwiązaniach praktycznych, tom 3”. To nie to.|Alchemia dla domowych problemów, tom 3. To nie to.
