speaker_gender|listener_gender|en_text|pl_text|prompt6_random|prompt6_chosen|prompt7_random|prompt7_chosen
kobieta|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|"Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych znajomych? (jeśli mówca jest kobietą)

Kupiłem wszystko na imprezę i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych znajomych? (jeśli mówca jest mężczyzną)"|Kupiłam wszystko na imprezę i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłam wszystko na imprezę i udekorowałam pokój, udało ci się zaprosić wszystkich naszych znajomych?|Kupiłam wszystko na imprezę i udekorowałam pokój, udało ci się zaprosić wszystkich naszych znajomych?
mężczyzna|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłaś chociaż śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłaś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłaś śmieci?
kobieta|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłeś chociaż śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?
mężczyzna|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłeś chociaż śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?
kobieta|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłaś chociaż śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłaś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłaś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłaś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłaś śmieci?
mężczyzna|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniała biletów — masz je czy nie?|Powiedziałem ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?|Powiedziałem ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?|Powiedziałem ci, żebyś nie zapomniała biletów, przyniosłaś je czy nie?|Powiedziałem ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?
kobieta|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniał biletów — masz je czy nie?|Powiedziałam ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?|Powiedziałam ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?|Powiedziałam ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?|Mówiłaś, żebym nie zapomniał biletów, przyniosłem je czy nie?
mężczyzna|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniał biletów — masz je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach. Przyniosłeś je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?|Powiedziałem ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?
kobieta|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniała biletów — masz je czy nie?|Powiedziałam ci, żebyś nie zapomniał biletów, przyniosłeś je czy nie?|Powiedziałam ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?|Powiedziałam ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?|Powiedziałam ci, żebyś nie zapomniała o biletach, przyniosłaś je czy nie?
mężczyzna|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłem wszystkie zakupy, o które prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłem wszystkie zakupy spożywcze, jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłem wszystkie zakupy, o które prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłem wszystkie zakupy, o które prosiłaś, ale zapomniałaś sporządzić listę, prawda?
kobieta|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłam wszystkie zakupy, o które prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłam wszystkie zakupy, o które prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłam wszystkie zakupy tak jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłam wszystkie zakupy, o które prosiłeś, ale zapomniałeś sporządzić listę, prawda?
mężczyzna|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłem wszystkie zakupy tak jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłem wszystkie zakupy spożywcze, jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłem wszystkie zakupy tak jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?|Kupiłem wszystkie zakupy tak jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?
kobieta|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłam wszystkie zakupy tak jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłam wszystkie zakupy, o które prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłam wszystkie zakupy tak jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłam wszystkie zakupy, o które prosiłaś, ale zapomniałaś sporządzić listę, prawda?
mężczyzna|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!
kobieta|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!
mężczyzna|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!
kobieta|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!
mężczyzna|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłem do ciebie trzy razy rano, dlaczego nie odebrałaś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłem do ciebie trzy razy rano, dlaczego nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałaś?
kobieta|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałeś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?
mężczyzna|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, dlaczego nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?
kobieta|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałaś?
mężczyzna|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Skoczyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skoczyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Wykonaliśmy wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winna tę kawę, pamiętasz?|Skończyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winna to kawę, pamiętasz?
kobieta|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Skoczyłam wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skoczyłam wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skończyłam wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skończyłam dziś wszystkie zadania w pracy, ale nadal jesteś mi winien tę kawę, pamiętasz?
mężczyzna|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Skoczyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Wykonaliśmy wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skończyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skończyłem wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien to kawę, pamiętasz?
kobieta|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Skoczyłam wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Wykonuję swoje zadania w pracy, ale nadal jesteś mi winna tę kawę, pamiętasz?|Skończyłam wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winna tę kawę, pamiętasz?|Skończyłam wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winna to kawę, pamiętasz?
mężczyzna|kobieta|I cleaned the whole garage today, can you believe it?|Posprzątałem dziś cały garaż, możesz w to uwierzyć?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?
kobieta|mężczyzna|I cleaned the whole garage today, can you believe it?|Posprzątałam dziś cały garaż, możesz w to uwierzyć?|Posprzątałam cały garaż dzisiaj, możesz uwierzyć?|Posprzątałam dzisiaj cały garaż, uwierzysz?|Posprzątałam cały garaż dzisiaj, uwierzysz?|Posprzątałam dzisiaj cały garaż, uwierzysz?
mężczyzna|mężczyzna|I cleaned the whole garage today, can you believe it?|Posprzątałem dziś cały garaż, możesz w to uwierzyć?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?|Posprzątałem dzisiaj cały garaż, uwierzysz?
kobieta|kobieta|I cleaned the whole garage today, can you believe it?|Posprzątałam dziś cały garaż, możesz w to uwierzyć?|Posprzątałam dzisiaj cały garaż, uwierzysz?|Posprzątałam dzisiaj cały garaż, uwierzysz?|Posprzątałam dzisiaj cały garaż, uwierzysz?|Posprzątałam dzisiaj cały garaż, uwierzysz?
mężczyzna|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałaś!|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałaś!|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałaś!
kobieta|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!
mężczyzna|mężczyzna|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłem cały dzień naprawiając twój laptop, a ty nawet nie powiedziałeś ""dziękuję""!"|Poświęciłem cały dzień na naprawianie twojego laptopa, a nawet mi nie podziękowałeś!|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!|Poświęciłem cały dzień na naprawianie twojego laptopa, a nawet mi nie podziękowałeś!|Spędziłem cały dzień naprawiając twój laptop, a nawet mi nie podziękowałeś!
kobieta|kobieta|I spent the whole day fixing your laptop, and you didn't even say thank you!|"Spędziłam cały dzień naprawiając twój laptop, a ty nawet nie powiedziałaś ""dziękuję""!"|Cały dzień spędziłam naprawiając twój laptop, a nawet mi nie podziękowałaś!|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałaś!|Poświęciłam cały dzień na naprawianie twojego laptopa, a nawet mi nie podziękowałaś!|Spędziłam cały dzień naprawiając twój laptop, a nawet mi nie podziękowałaś!
mężczyzna|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czułem się tak zmęczony, bo całą noc pomagałem ci z projektem, a teraz nawet tego nie pamiętasz?|Czekałem na ciebie całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czułem się tak zmęczony, bo całą noc pomagałem ci z projektem, a teraz nawet tego nie pamiętasz?|Całą noc pomagałem ci z projektem, a teraz nawet tego nie pamiętasz?
kobieta|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czekałam na ciebie godzinami na dworcu, czemu nie odbierałeś telefonu?|Czekałam na ciebie całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czekałam na ciebie godzinami na dworcu, czemu nie odbierałeś telefonu?|Czekałam na ciebie całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?
mężczyzna|mężczyzna|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|"Czekałem na ciebie godzinami na dworcu, czemu nie odbierałeś telefonu?

Spędziłem całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?"|Całą noc pomagałem ci z twoim projektem, a teraz nawet tego nie pamiętasz?|Całą noc pomagałem ci z projektem, a teraz nawet tego nie pamiętasz?|Całą noc pomagałem ci przy twoim projekcie, a teraz nawet tego nie pamiętasz?
kobieta|kobieta|I stayed up all night helping you with your project, and now you don't even remember it?|Siedziałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czekałam całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Czekałam na ciebie całą noc pomagając ci z projektem, a teraz nawet tego nie pamiętasz?|Całą noc pomagałam ci przy tym projekcie, a teraz nawet tego nie pamiętasz?|Całą noc pomagałam ci przy projekcie, a teraz nawet tego nie pamiętasz?
mężczyzna|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Odebrałem twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować.|Odebrałem twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować.|Odebrałem twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować?|Odebrałem twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować?
kobieta|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Odebrałam twoją przesyłkę z poczty, zapomniałeś mi ponownie podziękować?|Odebrałam twoją przesyłkę z poczty, zapomniałeś mi chyba znowu podziękować.|Odebrałam twoją przesyłkę z poczty, zapomniałeś chyba znowu mi podziękować?|Odebrałam twoją paczkę z poczty, zapomniałeś chyba znowu mi podziękować?
mężczyzna|mężczyzna|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałem twoją paczkę z poczty, znowu zapomniałeś mi podziękować?|Odebrałem twoją paczkę z poczty, zapomniałeś chyba znowu mi podziękować.|Odebrałem twoją paczkę z poczty, zapomniałeś chyba znowu mi podziękować.|Odebrałem twoją paczkę z poczty, zapomniałeś chyba znowu mi podziękować?|Odebrałem twoją paczkę z poczty, zapomniałeś chyba znowu mi podziękować?
kobieta|kobieta|I picked up your parcel from the post office, did you forget to thank me again?|Odebrałam twoją paczkę z poczty, znowu zapomniałaś mi podziękować?|Odebrałam twoją przesyłkę z poczty, zapomniałaś mi chyba znowu podziękować?|Odebrałam twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować.|Odebrałam twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować?|Odebrałam twoją paczkę z poczty, zapomniałaś mi chyba znowu podziękować?
mężczyzna|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"
kobieta|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"
mężczyzna|mężczyzna|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałem na ciebie prawie godzinę w deszczu, a ty tylko napisałeś „sorry”?|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"|"Czekałem na ciebie prawie godzinę w deszczu, a ty mi tylko napisałeś ""przepraszam""?"
kobieta|kobieta|"I waited for you for almost an hour in the rain, and you just texted ""sorry""?"|Czekałam na ciebie prawie godzinę w deszczu, a ty tylko napisałaś „sorry”?|"Czekałam na ciebie prawie godzinę w deszczu, a ty po prostu napisałaś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty po prostu napisałaś ""przepraszam""?"|"Czekałam na ciebie prawie godzinę w deszczu, a ty mi tylko napisałaś ""przepraszam""?"
mężczyzna|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?
kobieta|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałam, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?
mężczyzna|mężczyzna|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałem, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?|Myślałem, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sam?
kobieta|kobieta|I thought we agreed to clean the house together today, so why am I doing everything alone?|Myślałam, że umówiliśmy się na wspólne sprzątanie, więc czemu wszystko robię sama?|Myślałam, że umówiliśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?|Myślałam, że umówiłyśmy się na sprzątanie domu razem dzisiaj, więc dlaczego robię wszystko sama?
